BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
AK,0.08844011142061281,212562.6886656609,98.516713091922,347434.42331656197,17.16086799300683,32205.687569716276,64746.36465756766,9.7966573816156,0.3064066852367688,0.8057103064066853,17412.737465181057,925.9630919220056,348567.2501697106,283021.74604390777,7431.57660167131,6726.017409470752,242036.6991643454,68420.59122562675
AL,0.13546410532416991,102589.53002285481,124.42957688167591,346858.2396503028,23.01274086454515,36632.8359838966,94112.17436667778,12.88217272501449,3.1057381800115924,4.129999171979796,25914.846236648173,1687.0830504264304,344920.4654006345,280616.8439818451,11323.892274571499,10146.886561232093,167491.1158400265,51599.38353895835
AR,0.1307241324671209,127734.67334174877,110.21248613531928,306887.790493328,22.02241573974174,49216.63773441944,93885.583085178,8.645064173665029,0.9854222785612423,1.5807320551418158,19344.568214229123,508.94834416098877,304907.71949185256,241931.15594541776,8542.56076691491,7555.173665029314,112309.74488987483,40933.146569481854
AZ,0.07150101419878296,158366.19552069248,170.82200811359027,468691.6068920947,16.095083000691943,42590.58659291742,119096.5502263711,21.41125760649087,4.4411764705882355,6.071501014198783,34809.20157200811,3023.859279918864,468891.91020142764,407467.97798818507,15778.98985801217,13606.65238336714,200902.94776876268,50888.76825557809
CA,0.23445537483101359,87792.52570042097,137.75418533665496,376889.9752613988,22.41112125250225,37455.74087598378,93207.66154376516,12.651195020958568,2.8589526667970375,5.4974024980231775,36207.98320763861,5219.165789496059,376014.0230266877,297761.4692899189,13830.80141651008,12735.073869385187,360374.34589713725,61220.25241257344
CO,0.06435690555291884,163233.58583672455,166.5533934504034,466235.5702694593,13.722550728765443,49844.86958441709,136780.91205723066,15.20654959658282,4.45828191741813,5.17484575225439,26917.415567157095,2575.271570953963,470538.86768210266,414054.1221609549,11366.906407214048,10316.585192216422,267678.6348362601,57673.733080208825
CT,0.1410373066424022,249966.26273780604,117.07026589829138,393489.8895847475,27.010019788916022,34861.22788257437,140784.60391961693,14.357597816196542,1.6151046405823475,5.286320897785866,23358.888787786876,2779.2640784551613,386293.2714920718,286366.63816472254,9966.908401577191,9056.987362248508,286707.5452431503,70354.59053685168
DC,0.0835214446952596,262491.72030852607,195.56960120391273,655480.7863741661,22.783063594905187,54499.369847406815,202780.48189202294,16.8459994983697,1.1497366440933032,2.0707298720842737,32583.214948582896,4574.7767745171805,662366.4067243554,487651.29640981473,13382.182844243793,12209.88211687986,315024.3448708302,63985.91121143717
DE,0.25999835078749894,77468.88889090397,78.42665127401666,207104.03694907395,39.53003068690038,32030.336167722413,69223.34746201341,8.120763585387976,2.3322750886451717,5.099571204749732,25391.26284324235,3538.104065308815,188441.8230389025,130824.26330426597,10896.988620433744,9940.05842335285,234532.9696957203,63280.628885956954
FL,0.16329794968736366,86831.58921960802,143.88243420095972,358435.6738912119,16.740742669564142,37521.12680311411,77826.33950075724,12.025956085502399,3.285807765013814,2.303766177112113,30001.20299549222,3167.5258833793805,358127.8756367369,307927.54707663396,13717.402210266104,11755.80994619747,192075.59429984004,50354.44103533518
