BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
AK,127.0,26995461.460538935,141470.0,498915831.882583,24643.006437957803,46247367.35011257,3884781.8794540595,14068.0,440.0,1157.0,25004691.0,1329683.0,500542571.24370444,406419227.31905156,10671744.0,9658561.0,347564700.0,98251969.0
AL,1636.0,167733881.58736762,1502736.0,4189006960.256707,277924.8714211118,442414760.1775192,357343926.07027555,155578.0,37508.0,49878.0,312973598.0,20374902.0,4165604460.643463,3389009624.768743,136758647.0,122543949.0,2022790206.0,623165755.0
AR,825.0,104870166.81357574,695551.0,1936768845.803393,138983.46573351012,310606200.74192107,75859551.13282382,54559.0,6219.0,9976.0,122083570.0,3211973.0,1924272617.7130816,1526827525.1715314,53912101.0,47680701.0,708786800.0,258329088.0
AZ,282.0,44659267.13683528,673722.0,1848519697.5824215,63479.00735472903,167977273.5224663,201749556.08347264,84446.0,17516.0,23946.0,137287491.0,11926101.0,1849309693.8344307,1607053705.185402,62232336.0,53664637.0,792361226.0,200705302.0
CA,27575.0,2414996796.9671803,16201683.0,44327160660.4189,2635839.2038705475,4405282051.64708,4528401028.4422865,1487945.0,336250.0,646566.0,4258529529.0,613841746.0,44224137290.237816,35020619687.59523,1626682047.0,1497810243.0,42384707944.0,7200297547.0
CO,678.0,110672371.19729924,1754640.0,4911791732.7887535,144567.07192754393,525115701.071834,582413123.5396881,160201.0,46968.0,54517.0,283574973.0,27130486.0,4957126971.0309515,4362060176.96566,119750359.0,108685225.0,2819994418.0,607592778.0
CT,1395.0,346703206.417337,1157942.0,3892008497.8827376,267156.10573216836,344812404.9865431,349708956.13632846,142011.0,15975.0,52287.0,231042769.0,27489701.0,3820826748.328082,2832452418.0872707,98582691.0,89582662.0,2835824330.0,695877255.0
DC,333.0,87409742.86273919,779736.0,2613401895.2738004,90836.07455288697,217288987.58161098,89020631.55059807,67165.0,4584.0,8256.0,129909278.0,18239635.0,2640854863.610005,1944265718.7859313,53354763.0,48680800.0,1256002063.0,255111828.0
DE,6306.0,487821593.34602225,1902160.0,5023101312.16284,958761.3642800818,776863773.4119394,712515915.426504,196961.0,56567.0,123685.0,615839689.0,85813176.0,4570467975.985541,3173011682.181667,264295562.0,241086177.0,5688362647.0,1534808373.0
FL,2246.0,194676423.0303612,1978959.0,4929924258.699729,230252.17467718522,516065578.0500315,412946557.3910179,165405.0,45193.0,31686.0,412636546.0,43566151.0,4925690801.50768,4235235482.4920235,188669150.0,161689410.0,2641807724.0,692574982.0
FOR,116.0,22958303.769060973,180054.0,571700253.5494016,25759.20421064646,38874153.167420805,643890.2882990581,24496.0,537.0,289.0,49134115.0,9598542.0,583379941.485226,483438846.44873524,20669803.0,18776679.0,404258411.0,93431600.0
GA,1347.0,226890556.6806997,1853882.0,5953704220.552601,294754.67408696597,701740294.0881691,483779639.1142065,181005.0,36776.0,43279.0,423370826.0,24604237.0,5967355188.04516,4775477296.50969,182334006.0,161875696.0,2561163803.0,724074243.0
HI,310.0,20983191.79661524,217395.0,632931438.175121,83764.97132981512,66620415.49604417,77966163.75297691,39542.0,4766.0,12781.0,106266150.0,12040178.0,599032146.6954297,471930683.8915064,39858697.0,35666509.0,1547194015.0,201226422.0
