,State,City
0,AL,ALEXANDER CITY
1,AL,ANDALUSIA
2,AL,ANNISTON
3,AL,ATHENS
4,AL,ATMORE
5,AL,AUBURN
6,AL,BESSEMER
7,AL,BIRMINGHAM
8,AL,CHICKASAW
9,AL,CLANTON
10,AL,CULLMAN
11,AL,DECATUR
12,AL,DEMOPOLIS
13,AL,DOTHAN
14,AL,ENTERPRISE
15,AL,EUFAULA
16,AL,FLORENCE
17,AL,FORT PAYNE
18,AL,GADSDEN
19,AL,GREENVILLE
20,AL,GUNTERSVILLE
21,AL,HUNTSVILLE
22,AL,JASPER
23,AL,MARION
24,AL,MOBILE
25,AL,MONTGOMERY
26,AL,OPELIKA
27,AL,OZARK
28,AL,PHENIX CITY
29,AL,PRICHARD
30,AL,SCOTTSBORO
31,AL,SELMA
32,AL,SHEFFIELD
33,AL,SYLACAUGA
34,AL,TALLADEGA
35,AL,TROY
36,AL,TUSCALOOSA
37,AL,TUSCUMBIA
38,AL,TUSKEGEE
39,AK,ANCHORAGE
40,AK,CORDOVA
41,AK,FAIRBANKS
42,AK,HAINES
43,AK,HOMER
44,AK,JUNEAU
45,AK,KETCHIKAN
46,AK,KODIAK
47,AK,KOTZEBUE
48,AK,NOME
49,AK,PALMER
50,AK,SEWARD
51,AK,SITKA
52,AK,SKAGWAY
53,AK,VALDEZ
54,AZ,AJO
55,AZ,AVONDALE
56,AZ,BISBEE
57,AZ,CASA GRANDE
58,AZ,CHANDLER
59,AZ,CLIFTON
60,AZ,DOUGLAS
61,AZ,FLAGSTAFF
62,AZ,FLORENCE
63,AZ,GILA BEND
64,AZ,GLENDALE
65,AZ,GLOBE
66,AZ,KINGMAN
67,AZ,LAKE HAVASU CITY
68,AZ,MESA
69,AZ,NOGALES
70,AZ,ORAIBI
71,AZ,PHOENIX
72,AZ,PRESCOTT
73,AZ,SCOTTSDALE
74,AZ,SIERRA VISTA
75,AZ,TEMPE
76,AZ,TOMBSTONE
77,AZ,TUCSON
78,AZ,WALPI
79,AZ,WINDOW ROCK
80,AZ,WINSLOW
81,AZ,YUMA
82,AR,ARKADELPHIA
83,AR,ARKANSAS POST
84,AR,BATESVILLE
85,AR,BENTON
86,AR,BLYTHEVILLE
87,AR,CAMDEN
88,AR,CONWAY
89,AR,CROSSETT
90,AR,EL DORADO
91,AR,FAYETTEVILLE
92,AR,FORREST CITY
93,AR,FORT SMITH
94,AR,HARRISON
95,AR,HELENA
96,AR,HOPE
97,AR,HOT SPRINGS
98,AR,JACKSONVILLE
99,AR,JONESBORO
100,AR,LITTLE ROCK
101,AR,MAGNOLIA
102,AR,MORRILTON
103,AR,NEWPORT
104,AR,NORTH LITTLE ROCK
105,AR,OSCEOLA
106,AR,PINE BLUFF
107,AR,ROGERS
108,AR,SEARCY
109,AR,STUTTGART
110,AR,VAN BUREN
111,AR,WEST MEMPHIS
112,CA,ALAMEDA
113,CA,ALHAMBRA
114,CA,ANAHEIM
115,CA,ANTIOCH
116,CA,ARCADIA
117,CA,BAKERSFIELD
118,CA,BARSTOW
119,CA,BELMONT
120,CA,BERKELEY
121,CA,BEVERLY HILLS
122,CA,BREA
123,CA,BUENA PARK
124,CA,BURBANK
125,CA,CALEXICO
126,CA,CALISTOGA
127,CA,CARLSBAD
128,CA,CARMEL
129,CA,CHICO
130,CA,CHULA VISTA
131,CA,CLAREMONT
132,CA,COMPTON
133,CA,CONCORD
134,CA,CORONA
135,CA,CORONADO
136,CA,COSTA MESA
137,CA,CULVER CITY
138,CA,DALY CITY
139,CA,DAVIS
140,CA,DOWNEY
141,CA,EL CENTRO
142,CA,EL CERRITO
143,CA,EL MONTE
144,CA,ESCONDIDO
145,CA,EUREKA
146,CA,FAIRFIELD
147,CA,FONTANA
148,CA,FREMONT
149,CA,FRESNO
150,CA,FULLERTON
151,CA,GARDEN GROVE
152,CA,GLENDALE
153,CA,HAYWARD
154,CA,HOLLYWOOD
155,CA,HUNTINGTON BEACH
156,CA,INDIO
157,CA,INGLEWOOD
158,CA,IRVINE
159,CA,LA HABRA
160,CA,LAGUNA BEACH
161,CA,LANCASTER
162,CA,LIVERMORE
163,CA,LODI
164,CA,LOMPOC
165,CA,LONG BEACH
166,CA,LOS ANGELES
167,CA,MALIBU
168,CA,MARTINEZ
169,CA,MARYSVILLE
170,CA,MENLO PARK
171,CA,MERCED
172,CA,MODESTO
173,CA,MONTEREY
174,CA,MOUNTAIN VIEW
175,CA,NAPA
176,CA,NEEDLES
177,CA,NEWPORT BEACH
178,CA,NORWALK
179,CA,NOVATO
180,CA,OAKLAND
181,CA,OCEANSIDE
182,CA,OJAI
183,CA,ONTARIO
184,CA,ORANGE
185,CA,OROVILLE
186,CA,OXNARD
187,CA,PACIFIC GROVE
188,CA,PALM SPRINGS
189,CA,PALMDALE
190,CA,PALO ALTO
191,CA,PASADENA
192,CA,PETALUMA
193,CA,POMONA
194,CA,PORT HUENEME
195,CA,RANCHO CUCAMONGA
196,CA,RED BLUFF
197,CA,REDDING
198,CA,REDLANDS
199,CA,REDONDO BEACH
200,CA,REDWOOD CITY
201,CA,RICHMOND
202,CA,RIVERSIDE
203,CA,ROSEVILLE
204,CA,SACRAMENTO
205,CA,SALINAS
206,CA,SAN BERNARDINO
207,CA,SAN CLEMENTE
208,CA,SAN DIEGO
209,CA,SAN FERNANDO
210,CA,SAN FRANCISCO
211,CA,SAN GABRIEL
212,CA,SAN JOSE
213,CA,SAN JUAN CAPISTRANO
214,CA,SAN LEANDRO
215,CA,SAN LUIS OBISPO
216,CA,SAN MARINO
217,CA,SAN MATEO
218,CA,SAN PEDRO
219,CA,SAN RAFAEL
220,CA,SAN SIMEON
221,CA,SANTA ANA
222,CA,SANTA BARBARA
223,CA,SANTA CLARA
224,CA,SANTA CLARITA
225,CA,SANTA CRUZ
226,CA,SANTA MONICA
227,CA,SANTA ROSA
228,CA,SAUSALITO
229,CA,SIMI VALLEY
230,CA,SONOMA
231,CA,SOUTH SAN FRANCISCO
232,CA,STOCKTON
233,CA,SUNNYVALE
234,CA,SUSANVILLE
235,CA,THOUSAND OAKS
236,CA,TORRANCE
237,CA,TURLOCK
238,CA,UKIAH
239,CA,VALLEJO
240,CA,VENTURA
241,CA,VICTORVILLE
242,CA,VISALIA
243,CA,WALNUT CREEK
244,CA,WATTS
245,CA,WEST COVINA
246,CA,WHITTIER
247,CA,WOODLAND
248,CA,YORBA LINDA
249,CA,YUBA CITY
250,CO,ALAMOSA
251,CO,ASPEN
252,CO,AURORA
253,CO,BOULDER
254,CO,BRECKENRIDGE
255,CO,BRIGHTON
256,CO,CANON CITY
257,CO,CENTRAL CITY
258,CO,CLIMAX
259,CO,COLORADO SPRINGS
260,CO,CORTEZ
261,CO,CRIPPLE CREEK
262,CO,DENVER
263,CO,DURANGO
264,CO,ENGLEWOOD
265,CO,ESTES PARK
266,CO,FORT COLLINS
267,CO,FORT MORGAN
268,CO,GEORGETOWN
269,CO,GLENWOOD SPRINGS
270,CO,GOLDEN
271,CO,GRAND JUNCTION
272,CO,GREELEY
273,CO,GUNNISON
274,CO,LA JUNTA
275,CO,LEADVILLE
276,CO,LITTLETON
277,CO,LONGMONT
278,CO,LOVELAND
279,CO,MONTROSE
280,CO,OURAY
281,CO,PAGOSA SPRINGS
282,CO,PUEBLO
283,CO,SILVERTON
284,CO,STEAMBOAT SPRINGS
285,CO,STERLING
286,CO,TELLURIDE
287,CO,TRINIDAD
288,CO,VAIL
289,CO,WALSENBURG
290,CO,WESTMINSTER
291,CT,ANSONIA
292,CT,BERLIN
293,CT,BLOOMFIELD
294,CT,BRANFORD
295,CT,BRIDGEPORT
296,CT,BRISTOL
297,CT,COVENTRY
298,CT,DANBURY
299,CT,DARIEN
300,CT,DERBY
301,CT,EAST HARTFORD
302,CT,EAST HAVEN
303,CT,ENFIELD
304,CT,FAIRFIELD
305,CT,FARMINGTON
306,CT,GREENWICH
307,CT,GROTON
308,CT,GUILFORD
309,CT,HAMDEN
310,CT,HARTFORD
311,CT,LEBANON
312,CT,LITCHFIELD
313,CT,MANCHESTER
314,CT,MANSFIELD
315,CT,MERIDEN
316,CT,MIDDLETOWN
317,CT,MILFORD
318,CT,MYSTIC
319,CT,NAUGATUCK
320,CT,NEW BRITAIN
321,CT,NEW HAVEN
322,CT,NEW LONDON
323,CT,NORTH HAVEN
324,CT,NORWALK
325,CT,NORWICH
326,CT,OLD SAYBROOK
327,CT,ORANGE
328,CT,SEYMOUR
329,CT,SHELTON
330,CT,SIMSBURY
331,CT,SOUTHINGTON
332,CT,STAMFORD
333,CT,STONINGTON
334,CT,STRATFORD
335,CT,TORRINGTON
336,CT,WALLINGFORD
337,CT,WATERBURY
338,CT,WATERFORD
339,CT,WATERTOWN
340,CT,WEST HARTFORD
341,CT,WEST HAVEN
342,CT,WESTPORT
343,CT,WETHERSFIELD
344,CT,WILLIMANTIC
345,CT,WINDHAM
346,CT,WINDSOR
347,CT,WINDSOR LOCKS
348,CT,WINSTED
349,DE,EAST CLEVELAND
350,DE,EAST LIVERPOOL
351,DE,ELYRIA
352,DE,EUCLID
353,DE,FINDLAY
354,DE,GALLIPOLIS
355,DE,GREENVILLE
356,DE,HAMILTON
357,DE,KENT
358,DE,KETTERING
359,DE,LAKEWOOD
360,DE,LANCASTER
361,DE,LIMA
362,DE,LORAIN
363,DE,MANSFIELD
364,DE,MARIETTA
365,DE,MARION
366,DE,MARTINS FERRY
367,DE,MASSILLON
368,DE,MENTOR
369,DE,MIDDLETOWN
370,DE,MILAN
371,DE,MOUNT VERNON
372,DE,NEW PHILADELPHIA
373,DE,NEWARK
374,DE,NILES
375,DE,NORTH COLLEGE HILL
376,DE,NORWALK
377,DE,OBERLIN
378,DE,PAINESVILLE
379,DE,PARMA
380,DE,PIQUA
381,DE,PORTSMOUTH
382,DE,PUT-IN-BAY
383,DE,SALEM
384,DE,SANDUSKY
385,DE,SHAKER HEIGHTS
386,DE,SPRINGFIELD
387,DE,STEUBENVILLE
388,DE,TIFFIN
389,DE,TOLEDO
390,DE,URBANA
391,DE,WARREN
392,DE,WOOSTER
393,DE,WORTHINGTON
394,DE,XENIA
395,DE,YELLOW SPRINGS
396,DE,YOUNGSTOWN
397,DE,ZANESVILLE
398,FL,APALACHICOLA
399,FL,BARTOW
400,FL,BELLE GLADE
401,FL,BOCA RATON
402,FL,BRADENTON
403,FL,CAPE CORAL
404,FL,CLEARWATER
405,FL,COCOA BEACH
406,FL,COCOA-ROCKLEDGE
407,FL,CORAL GABLES
408,FL,DAYTONA BEACH
409,FL,DE LAND
410,FL,DEERFIELD BEACH
411,FL,DELRAY BEACH
412,FL,FERNANDINA BEACH
413,FL,FORT LAUDERDALE
414,FL,FORT MYERS
415,FL,FORT PIERCE
416,FL,FORT WALTON BEACH
417,FL,GAINESVILLE
418,FL,HALLANDALE BEACH
419,FL,HIALEAH
420,FL,HOLLYWOOD
421,FL,HOMESTEAD
422,FL,JACKSONVILLE
423,FL,KEY WEST
424,FL,LAKE CITY
425,FL,LAKE WALES
426,FL,LAKELAND
427,FL,LARGO
428,FL,MELBOURNE
429,FL,MIAMI
430,FL,MIAMI BEACH
431,FL,NAPLES
432,FL,NEW SMYRNA BEACH
433,FL,OCALA
434,FL,ORLANDO
435,FL,ORMOND BEACH
436,FL,PALATKA
437,FL,PALM BAY
438,FL,PALM BEACH
439,FL,PANAMA CITY
440,FL,PENSACOLA
441,FL,POMPANO BEACH
442,FL,SAINT AUGUSTINE
443,FL,SAINT PETERSBURG
444,FL,SANFORD
445,FL,SARASOTA
446,FL,SEBRING
447,FL,TALLAHASSEE
448,FL,TAMPA
449,FL,TARPON SPRINGS
450,FL,TITUSVILLE
451,FL,VENICE
452,FL,WEST PALM BEACH
453,FL,WHITE SPRINGS
454,FL,WINTER HAVEN
455,FL,WINTER PARK
456,GA,ALBANY
457,GA,AMERICUS
458,GA,ANDERSONVILLE
459,GA,ATHENS
460,GA,ATLANTA
461,GA,AUGUSTA
462,GA,BAINBRIDGE
463,GA,BLAIRSVILLE
464,GA,BRUNSWICK
465,GA,CALHOUN
466,GA,CARROLLTON
467,GA,COLUMBUS
468,GA,DAHLONEGA
469,GA,DALTON
470,GA,DARIEN
471,GA,DECATUR
472,GA,DOUGLAS
473,GA,EAST POINT
474,GA,FITZGERALD
475,GA,FORT VALLEY
476,GA,GAINESVILLE
477,GA,LA GRANGE
478,GA,MACON
479,GA,MARIETTA
480,GA,MILLEDGEVILLE
481,GA,PLAINS
482,GA,ROME
483,GA,SAVANNAH
484,GA,TOCCOA
485,GA,VALDOSTA
486,GA,WARM SPRINGS
487,GA,WARNER ROBINS
488,WA,ABERDEEN
489,WA,ANACORTES
490,WA,AUBURN
491,WA,BELLEVUE
492,WA,BELLINGHAM
493,WA,BREMERTON
494,WA,CENTRALIA
495,WA,COULEE DAM
496,WA,COUPEVILLE
497,WA,ELLENSBURG
498,WA,EPHRATA
499,WA,EVERETT
500,WA,HOQUIAM
501,WA,KELSO
502,WA,KENNEWICK
503,WA,LONGVIEW
504,WA,MOSES LAKE
505,WA,OAK HARBOR
506,WA,OLYMPIA
507,WA,PASCO
508,WA,POINT ROBERTS
509,WA,PORT ANGELES
510,WA,PULLMAN
511,WA,PUYALLUP
512,WA,REDMOND
513,WA,RENTON
514,WA,RICHLAND
515,WA,SEATTLE
516,WA,SPOKANE
517,WA,TACOMA
518,WA,VANCOUVER
519,WA,WALLA WALLA
520,WA,WENATCHEE
521,WA,YAKIMA
522,HI,HANALEI
523,HI,HILO
524,HI,HONAUNAU
525,HI,HONOLULU
526,HI,KAHULUI
527,HI,KANEOHE
528,HI,KAPAA
529,HI,KAWAIHAE
530,HI,LAHAINA
531,HI,LAIE
532,HI,WAHIAWA
533,HI,WAILUKU
534,HI,WAIMEA
535,ID,BLACKFOOT
536,ID,BOISE
537,ID,BONNERS FERRY
538,ID,CALDWELL
539,ID,COEUR D’ALENE
540,ID,IDAHO CITY
541,ID,IDAHO FALLS
542,ID,KELLOGG
543,ID,LEWISTON
544,ID,MOSCOW
545,ID,NAMPA
546,ID,POCATELLO
547,ID,PRIEST RIVER
548,ID,REXBURG
549,ID,SUN VALLEY
550,ID,TWIN FALLS
551,ID,ILLINOIS
552,ID,ALTON
553,ID,ARLINGTON HEIGHTS
554,ID,ARTHUR
555,ID,AURORA
556,ID,BELLEVILLE
557,ID,BELVIDERE
558,ID,BLOOMINGTON
559,ID,BROOKFIELD
560,ID,CAHOKIA
561,ID,CAIRO
562,ID,CALUMET CITY
563,ID,CANTON
564,ID,CARBONDALE
565,ID,CARLINVILLE
566,ID,CARTHAGE
567,ID,CENTRALIA
568,ID,CHAMPAIGN
569,ID,CHARLESTON
570,ID,CHESTER
571,ID,CHICAGO
572,ID,CHICAGO HEIGHTS
573,ID,CICERO
574,ID,COLLINSVILLE
575,ID,DANVILLE
576,ID,DECATUR
577,ID,DEKALB
578,ID,DES PLAINES
579,ID,DIXON
580,ID,EAST MOLINE
581,ID,EAST SAINT LOUIS
582,ID,EFFINGHAM
583,ID,ELGIN
584,ID,ELMHURST
585,ID,EVANSTON
586,ID,FREEPORT
587,ID,GALENA
588,ID,GALESBURG
589,ID,GLEN ELLYN
590,ID,GLENVIEW
591,ID,GRANITE CITY
592,ID,HARRISBURG
593,ID,HERRIN
594,ID,HIGHLAND PARK
595,ID,JACKSONVILLE
596,ID,JOLIET
597,ID,KANKAKEE
598,ID,KASKASKIA
599,ID,KEWANEE
600,ID,LA SALLE
601,ID,LAKE FOREST
602,ID,LIBERTYVILLE
603,ID,LINCOLN
604,ID,LISLE
605,ID,LOMBARD
606,ID,MACOMB
607,ID,MATTOON
608,ID,MOLINE
609,ID,MONMOUTH
610,ID,MOUNT VERNON
611,ID,MUNDELEIN
612,ID,NAPERVILLE
613,ID,NAUVOO
614,ID,NORMAL
615,ID,NORTH CHICAGO
616,ID,OAK PARK
617,OR,ALBANY
618,OR,ASHLAND
619,OR,ASTORIA
620,OR,BAKER CITY
621,OR,BEAVERTON
622,OR,BEND
623,OR,BROOKINGS
624,OR,BURNS
625,OR,COOS BAY
626,OR,CORVALLIS
627,OR,EUGENE
628,OR,GRANTS PASS
629,OR,HILLSBORO
630,OR,HOOD RIVER
631,OR,JACKSONVILLE
632,OR,JOHN DAY
633,OR,KLAMATH FALLS
634,OR,LA GRANDE
635,OR,LAKE OSWEGO
636,OR,LAKEVIEW
637,OR,MCMINNVILLE
638,OR,MEDFORD
639,OR,NEWBERG
640,OR,NEWPORT
641,OR,ONTARIO
642,OR,OREGON CITY
643,OR,PENDLETON
644,OR,PORT ORFORD
645,OR,PORTLAND
646,OR,PRINEVILLE
647,OR,REDMOND
648,OR,REEDSPORT
649,OR,ROSEBURG
650,OR,SALEM
651,OR,SEASIDE
652,OR,SPRINGFIELD
653,OR,THE DALLES
654,OR,TILLAMOOK
655,OR,PENNSYLVANIA
656,OR,ABINGTON
657,OR,ALIQUIPPA
658,OR,ALLENTOWN
659,OR,ALTOONA
660,OR,AMBRIDGE
661,OR,BEDFORD
662,OR,BETHLEHEM
663,OR,BLOOMSBURG
664,OR,BRADFORD
665,OR,BRISTOL
666,OR,CARBONDALE
667,OR,CARLISLE
668,OR,CHAMBERSBURG
669,OR,CHESTER
670,OR,COLUMBIA
671,OR,EASTON
672,OR,ERIE
673,OR,FRANKLIN
674,OR,GERMANTOWN
675,OR,GETTYSBURG
676,OR,GREENSBURG
677,OR,HANOVER
678,OR,HARMONY
679,OR,HARRISBURG
680,OR,HAZLETON
681,OR,HERSHEY
682,OR,HOMESTEAD
683,OR,HONESDALE
684,OR,INDIANA
685,OR,JEANNETTE
686,OR,JIM THORPE
687,OR,JOHNSTOWN
688,OR,LANCASTER
689,OR,LEBANON
690,OR,LEVITTOWN
691,OR,LEWISTOWN
692,OR,LOCK HAVEN
693,OR,LOWER SOUTHAMPTON
694,OR,MCKEESPORT
695,OR,MEADVILLE
696,OR,MIDDLETOWN
697,OR,MONROEVILLE
698,OR,NANTICOKE
699,OR,NEW CASTLE
700,OR,NEW HOPE
701,OR,NEW KENSINGTON
702,OR,NORRISTOWN
703,OR,OIL CITY
704,OR,PHILADELPHIA
705,OR,PHOENIXVILLE
706,OR,PITTSBURGH
707,OR,POTTSTOWN
708,OR,POTTSVILLE
709,OR,READING
710,OR,SCRANTON
711,OR,SHAMOKIN
712,OR,SHARON
713,OR,STATE COLLEGE
714,OR,STROUDSBURG
715,OR,SUNBURY
716,OR,SWARTHMORE
717,OR,TAMAQUA
718,OR,TITUSVILLE
719,OR,UNIONTOWN
720,OR,WARREN
721,IA,AMANA COLONIES
722,IA,AMES
723,IA,BOONE
724,IA,BURLINGTON
725,IA,CEDAR FALLS
726,IA,CEDAR RAPIDS
727,IA,CHARLES CITY
728,IA,CHEROKEE
729,IA,CLINTON
730,IA,COUNCIL BLUFFS
731,IA,DAVENPORT
732,IA,DES MOINES
733,IA,DUBUQUE
734,IA,ESTHERVILLE
735,IA,FAIRFIELD
736,IA,FORT DODGE
737,IA,GRINNELL
738,IA,INDIANOLA
739,IA,IOWA CITY
740,IA,KEOKUK
741,IA,MASON CITY
742,IA,MOUNT PLEASANT
743,IA,MUSCATINE
744,IA,NEWTON
745,IA,OSKALOOSA
746,IA,OTTUMWA
747,IA,SIOUX CITY
748,IA,WATERLOO
749,IA,WEBSTER CITY
750,IA,WEST DES MOINES
751,KS,ABILENE
752,KS,ARKANSAS CITY
753,KS,ATCHISON
754,KS,CHANUTE
