State,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
AK,0.11988304093567251,199041.38977356895,102.83625730994152,342161.01670703344,20.072919772988794,32262.199759816172,111400.17783817218,9.88888888888889,0.7372598162071846,1.626984126984127,18036.542188805346,949.5384294068505,339701.8012891998,275793.6381808965,7622.158730158731,6928.402255639097,242583.66750208856,68939.94611528821
AL,0.17419509851033158,95780.10250735222,123.20543008169149,330594.1922330936,18.100022463678062,30827.245596568708,58634.37135687198,12.77763094666026,3.122657376261413,2.7230898606439213,19887.988707352233,861.0837337818357,331155.88154835487,276807.3463611641,9006.590821720327,8000.134070158578,145524.7236905334,46635.41362325805
AR,0.1703001579778831,106235.48201764791,106.45592417061611,272927.9154500691,23.414794789399355,31807.09127051587,77276.86015270495,9.509478672985782,1.1838862559241705,1.8072669826224328,21157.87045813586,572.1012638230648,271063.80334481,214173.23798753833,9419.72290679305,8327.649921011058,117987.50394944708,41410.979304897315
AZ,0.2116775847336941,112466.15616712351,135.19897465109656,356916.6574354257,31.53052328487151,38094.17001270164,116415.24598325777,24.098376530902875,2.8043862147536314,6.468869268014811,35192.94730845913,3021.798063229849,344421.31125857035,263398.5360234759,15882.36018228425,13684.998917687268,196963.353973227,52129.943207063516
CA,0.19128308820702858,83688.35942379298,141.66834526289892,383786.6669800291,28.215740190816394,37404.75818561663,112697.94338361104,13.256025647925332,2.4008564684898017,5.669360108865295,38626.810031598616,6072.6563054993885,377583.334853491,298192.1777158664,14146.87928714759,13175.900668106928,445628.40071039216,64330.18222635678
CO,0.18036630036630036,99058.1874574323,125.41714285714286,331103.65834744344,27.56477933116779,39144.16948679862,109621.40046249615,10.548131868131868,2.372161172161172,4.397851037851038,26260.48971916972,2535.943785103785,319004.3594861362,251136.8029813453,11367.04927960928,10454.534798534798,263910.0223199023,60113.28503052503
CT,0.1504483013901456,94996.01756352879,97.40092127992104,257466.33673267113,35.8175451980633,28638.171530940213,92097.10372675842,9.821995558114667,1.264785720161224,4.423871020811055,23810.097392448795,2268.1117874475613,240483.00291732076,174989.66157670761,9998.354610512462,9254.69556634038,312388.3290285432,77196.14526610184
DC,0.2708074534161491,51740.22010732088,92.49316770186336,221072.2001293021,26.1039314387483,27625.210057563167,47202.124757150996,9.183850931677018,2.0888198757763976,4.047826086956522,31289.496273291927,15507.649689440994,214516.72826435106,167203.78410090803,15930.849689440995,14374.196894409937,485322.60869565216,77786.55155279503
DE,0.19508867667121418,76061.53745279783,86.02273760800364,214439.30943981995,32.683836329375154,26556.902890289603,63729.38698180126,10.53706230104593,1.6102773988176444,4.1900864029104135,29129.358344702137,2018.4779445202364,204751.20190045334,154940.89338688104,12449.607548885857,11076.829013187813,242467.66712141884,62300.960436562076
FL,0.28324516710952924,92422.30994327735,110.79854221008752,283292.3644407391,32.32747866013817,32659.420015643478,84373.58144266516,9.01496794324858,2.18805002315887,4.090831525316301,31072.79334974769,3537.271031910485,273510.7574945547,211093.53921893853,14254.438872772482,12120.920114087907,191160.5349455157,50167.6736062017
GA,0.24635911352329262,104020.18567091848,129.87042062415196,388149.90595050936,26.713657640104184,47510.341740757955,108406.57203527134,10.87295341474446,2.412347354138399,3.680099502487562,34459.716734509275,1797.2255992763455,386238.8583247565,300705.59201044455,14440.172908186341,12919.250746268657,186608.56625961105,54873.766033469015
HI,0.16138007790762382,45661.17043229122,73.04090150250417,186338.86270125,26.820259095939207,21240.76176986352,66040.34855899386,11.34835837506956,1.5325542570951587,4.028937117417919,35454.75041736227,4071.313856427379,176853.88285535367,139171.95391274098,13309.032276015581,11917.482192543128,524851.5626043406,67765.24040066778
IA,0.1173763908642182,109942.55796345201,105.75186145737472,244575.97593636147,19.60853431365467,23830.501068773563,79918.04442572102,11.897515268133523,1.2502300677654146,2.654145402827742,15255.564042499791,699.566552329959,240372.0442724316,196872.7502303213,6681.292646197608,6197.20388187066,128455.39195181127,52895.3179118213
ID,0.14428071663309658,79859.99127674989,117.18159652284533,243658.90100638825,25.985115695368943,25787.059753116813,72838.30529534942,10.902152019505989,1.9804940103890596,4.228135269797519,24594.523481395103,819.1109933213188,229046.77634338225,186075.59899208514,10272.30541715255,9345.31739637443,181554.13961624086,47577.11873211068
IL,0.23387699626231737,84951.83275669013,98.57838939857288,261782.36539990385,29.037970596238353,28830.569240844234,74146.19016726743,10.985083248386001,2.1183146449201495,3.362419300033979,33228.94746856949,5783.685117227319,248284.71634823072,197959.3407729951,14008.175025484199,12807.714950730548,233923.91800883453,64652.497043832824
IN,0.18361823361823362,92904.87903351488,102.89985754985754,266790.4840191571,29.30178063625534,28021.874478023637,67483.22733343928,11.767378917378917,2.825854700854701,5.463247863247863,25924.840527065528,1311.9102564102564,254596.3014068585,201249.73782396724,11323.362464387465,10249.683119658119,137889.06695156696,52831.306766381764
KS,0.1335316765838292,113435.24545145698,100.02485124256212,244010.1368522593,22.731727576460223,22824.859758402174,67983.32602133523,10.761463073153658,1.3392544627231362,2.504637731886594,19090.468673433672,1234.0233636681835,240820.48126275736,192777.87466891366,8144.673346167308,7501.2388869443475,139370.78228911446,53742.29637731887
KY,0.19607586657946371,98117.39904626986,100.67573577501635,250327.09880682942,29.540602651222716,31137.399480735174,58260.966313814904,10.144669718770437,2.09836494440811,3.8952256376716807,23946.223806409416,1392.3775016350555,242792.78502503567,188887.35438010495,10646.292609548726,9710.496533682146,144936.58600392414,47837.56507521256
LA,0.19033582482366565,93566.81966875425,99.49899989472576,258275.99516014016,21.06966566267953,29754.342932030286,50818.86118075763,9.936414359406253,1.8465101589641015,3.271396989156753,24258.323928834616,1775.2500263185598,254391.48924105664,202432.96467705883,10663.262343404569,9521.080745341615,156842.71986524898,47856.84945783767
MA,0.13779919550758693,65888.07287057958,88.96383766776853,210053.59593654174,35.47741095162722,22687.101096598395,84152.786390138,10.746505237165957,1.4916563781910868,4.733920108327691,22429.34123222749,4592.934366163527,192158.46537053943,145955.52909609495,9586.538611653192,8875.482695447847,365196.15902664384,73887.33836472977
