title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
"FIMO enfants 42g - pâte à modeler perle rose bébé, fournitures d'artisanat, polymère d'argile, artisanat en argile, début bricolage, pâte à pâtisserie, art déco, 8030-206","FIMO Kids 42g - Baby Pink Pearl Modeling Clay, Craft Supplies, Clay Polymer, Clay Craft, Beginning Diy, Baking Clay, Art Decoclay, 8030-206",5.0,EUR,5.0,EUR,6.01,5,,,5.0,1.0,1,0,0,0,0,,,,,,,,6,Livraison standard,5.0,false,,6,,,CZ,CzechBeadsExclusive,czechbeadsexclusive,"94 % avis positifs (1,342 notes)",1342,4.522354694485842,59f6f4037b584e6cfa9a8f9e,,,https://www.wish.com/c/5cfd5c7f935fcf2aff9e1298,https://canary.contestimg.wish.com/api/webimage/5cfd5c7f935fcf2aff9e1298-medium.jpg,5cfd5c7f935fcf2aff9e1298
Bricolage Cuisine Cuisine Moule à Tricoter Moule à Sucre Artisanat Silicone Fondant Cake Moule à Gâteau,DIY Bakeware Kitchen Knitting Mold Sugar Craft Silicone Fondant Cake Mould,6.0,EUR,6.0,EUR,7,10000,,,4.405214940098661,1419.0,963,215,143,49,49,,,,,,,2,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Cazenove,okdeals,"(84,384 notes)",84384,4.374845942358741,547be82f8edcfa5658cacad4,,,https://www.wish.com/c/5a72d972a69e66055cb1287c,https://canary.contestimg.wish.com/api/webimage/5a72d972a69e66055cb1287c-medium.jpg,5a72d972a69e66055cb1287c
" Pâte de silicone, tapis roulant, pâte de pâtisserie, coussinet d'argile, revêtement de feuille, antiadhésif", Silicone Dough Rolling Mat Baking Pastry Clay Pad Sheet Liner Non-Stick,4.73,EUR,8.0,EUR,5.73,10,,,4.609467455621302,169.0,131,22,8,4,4,,,,,,black,26cmby29cm,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,homedreamorn,homedreamorn,"84 % avis positifs (1,045 notes)",1045,4.047846889952153,599fd5910415f86742bd6379,,,https://www.wish.com/c/5d0c97184fd804036436d396,https://canary.contestimg.wish.com/api/webimage/5d0c97184fd804036436d396-medium.jpg,5d0c97184fd804036436d396
Moules à fondant Couronnes de princesse Reine 3D Moule en silicone Fondant Cake Cupcake Décoration Outils Polymer Clay Résine Bonbons Fimo Super Sculpey Crown modélisation cuisson bonbons moule gâteaux biscuits au chocolat Bricolage à la main cuisine outils de cuisson moule liquide moule en silicone,Fondant molds Crowns of Princess Queen 3D Silicone Mold Fondant Cake Cupcake Decorating Tools Polymer Clay Resin Candy Fimo Super Sculpey  Crown modeling baking candy mold cakes chocolate biscuits DIY handmade kitchen baking tools liquid silicone mold,2.29,EUR,57.0,EUR,2.7800000000000002,5000,,,4.503619441571872,967.0,709,120,80,32,26,,,,,,pink,1,50,Livraison standard,1,false,,50,,,CN,Bisuo Daily,bisuodaily,"(16,948 notes)",16948,4.611458579183385,57519029d9d2035ca7371e74,,,https://www.wish.com/c/58501252aba7607dc4e79cb8,https://canary.contestimg.wish.com/api/webimage/58501252aba7607dc4e79cb8-medium.jpg,58501252aba7607dc4e79cb8
"2020 Hot 30g / pack Baby Clay Handprint, Footprint or Paw Print Keepsake Kit - Dries Stone Hard - No Bake - Air Drying (1/2 / 4pcs only Clay for pack bag)","2020 Hot 30g/pack Baby Clay Handprint, Footprint or Paw Print Keepsake Kit - Dries Stone Hard - No Bake - Air Drying (1/2/4pcs only Clay for bag pack)",3.08,EUR,4.0,EUR,3.73,10,,,4.5,4.0,2,2,0,0,0,,,,,,blue,1pc,50,Livraison standard,1.0,false,,50,,,CN,Sstar xia,sstarxia,"87 % avis positifs (2,249 notes)",2249,4.132947976878612,5d4137c5838897037af3fc76,,,https://www.wish.com/c/5ebf84a7825fb3003fe68564,https://canary.contestimg.wish.com/api/webimage/5ebf84a7825fb3003fe68564-medium.jpg,5ebf84a7825fb3003fe68564
GT Creative Ultra-léger Argile Fluffy Slime / Clear Slime / Perles Slime Parfumé Adulte Enfants Anti-Stress Jouets,GT  Creative Ultra-light Clay Fluffy Slime/Clear Slime/Beads Slime Scented Adult Children Stress Reliever Toys,2.0,EUR,10.0,EUR,2,1000,,,3.112,125.0,37,22,18,14,34,,,,,,blue,b-butterslime(2floz),50,Livraison standard,1,false,,50,,,CN,gotarget,gotarget,"89 % avis positifs (9,575 notes)",9575,4.212950391644909,57fb54e019034319422584dc,,,https://www.wish.com/c/5a43a4045cc9a604a72ef061,https://canary.contestimg.wish.com/api/webimage/5a43a4045cc9a604a72ef061-medium.jpg,5a43a4045cc9a604a72ef061
Bougie en relief de Rose cylindrique 3D faisant le moule artisanat résine argile outil fait à la main moule en Silicone,3D Cylindrical Rose Embossed Candle Making Mold Craft Resin Clay Handmade Tool Silicone Mould,6.0,EUR,6.0,EUR,7,10,,,4.0,4.0,2,1,0,1,0,,,,,,,1pc,50,Livraison standard,2.0,false,,50,,,CN,renjunpeng,renjunpeng,"(3,245 notes)",3245,4.322033898305085,5856634b8108910367b18958,,,https://www.wish.com/c/5f3ccf805f76cf003b52fa98,https://canary.contestimg.wish.com/api/webimage/5f3ccf805f76cf003b52fa98-medium.jpg,5f3ccf805f76cf003b52fa98
"Moules à fondant Halloween, crâne, série Collection fondant décoration de gâteau moule en silicone Fondant moule à gâteau cuisson chocolat cookie DIY cuisine à la main liquide silicone moule de cuisson","Fondant molds  Halloween, skull, Series collection fondant cake decorating silicone mold  Fondant cake mold baking chocolate cookie DIY handmade kitchen liquid silicone bakeware mold",4.02,EUR,57.0,EUR,4.87,1000,,,4.637813211845103,439.0,346,50,28,7,8,,,,,,pink,4,50,Livraison standard,1.0,false,,50,,,CN,Bisuo Daily,bisuodaily,"96 % avis positifs (16,948 notes)",16948,4.611458579183385,57519029d9d2035ca7371e74,,,https://www.wish.com/c/57d2c2d772c7e941484e165f,https://canary.contestimg.wish.com/api/webimage/57d2c2d772c7e941484e165f-medium.jpg,57d2c2d772c7e941484e165f
2 sacs bébé empreinte Ultra léger stéréo bébé soins séchage à l'air argile douce bébé main pied empreinte Kit moulage bricolage jouets patte impression Pad,2 bags Baby Footprint Ultra Light Stereo Baby Care Air Drying Soft Clay Baby Hand Foot Imprint Kit Casting DIY Toys Paw Print Pad,4.0,EUR,32.0,EUR,4,10,,,3.7111111111111112,45.0,23,3,9,3,7,,,,,,red,,50,Livraison standard,1.0,false,,50,,,CN,wanghongzhi11,wanghongzhi11,"90 % avis positifs (1,553 notes)",1553,4.2607855763039275,5d91c3729263d318001e152b,,,https://www.wish.com/c/5deb210454617105495f0c05,https://canary.contestimg.wish.com/api/webimage/5deb210454617105495f0c05-medium.jpg,5deb210454617105495f0c05
FINETOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8d71e1eb31f9a6cce12c55,,5f8d71e1eb31f9a6cce12c55
"Новинка, 12/24/36 цветов, супер легкая глина, обучающая игрушка, специальный пластилин, сушка на воздухе, мягкая полимерная глина, игрушки",New 12/24/36 Colors Super Light Clay Educational Toy Special DIY Plasticine Air Drying Soft Polymer Modelling Clay Toys,5.0,EUR,16.0,EUR,5,10,,,3.914285714285714,35.0,18,6,4,4,3,,,,,,,12colors,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,initial fashion,toplifestore,"95% положительных отзывов (9,253 рейтинг)",9253,4.449043553442127,5b50614f22f1fd392e6b1496,,,https://www.wish.com/c/5e018d66c8f17f51251ab82d,https://canary.contestimg.wish.com/api/webimage/5e018d66c8f17f51251ab82d-medium.jpg,5e018d66c8f17f51251ab82d
Cattier YELLOW CLAY MASK OILY SKIN Cattier Masque à l'Argile Jaune Bio 100 ml,Cattier YELLOW CLAY MASK OILY SKIN Cattier Masque à l'Argile Jaune Bio 100 ml,12.0,EUR,15.0,EUR,13.75,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,7.51,false,,50,,,FR,discount-kg,discountkg,"88 % avis positifs (13,247 notes)",13247,4.130973050502001,58e39f84fc5a3d1337fe9814,,,https://www.wish.com/c/595f9bc937635d5095820a70,https://canary.contestimg.wish.com/api/webimage/595f9bc937635d5095820a70-medium.jpg,595f9bc937635d5095820a70
Diamond Painting Pen Set Tools Accessories Point Drill Pen Point Drill Pens Rhinestones Pictures Handmade Embroidery Resin Diamond Pen Clay Mud Wax 5D Painting Diamonds Mosaic Cross Stitch Kits Tool,Diamond Painting Pen Set Tools Accessories Point Drill Pen Point Drill Pens Rhinestones Pictures Handmade Embroidery Resin Diamond Pen Clay Mud Wax 5D Painting Diamonds Mosaic Cross Stitch Kits Tool,4.71,EUR,5.0,EUR,5.71,10,,,5.0,0.0,,,,,,,,,,,lightblue,diamondpen,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,dinrongyan,dinrongyan,"88 % avis positifs (4,383 notes)",4383,4.153319644079398,5b08f5c47e43f267dba04d19,,,https://www.wish.com/c/605838c4a2fb3315b8a8f92e,https://canary.contestimg.wish.com/api/webimage/605838c4a2fb3315b8a8f92e-medium.jpg,605838c4a2fb3315b8a8f92e
