title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Arizona No Teacher Left Behind Protest  Short-Sleeve Unisex T-Shirt,Arizona No Teacher Left Behind Protest  Short-Sleeve Unisex T-Shirt,21.0,EUR,21.0,EUR,25,0,,,5.0,0.0,,,,,,,,,,,black,s,50,Livraison Express,7.0,true,,50,,,VN,Moikang,moikang,100 % avis positifs (3 notes),3,4.666666666666667,5e95d5d9ed195b6440e997ab,,,https://www.wish.com/c/5fad129fa70f515fae8bfc0c,https://canary.contestimg.wish.com/api/webimage/5fad129fa70f515fae8bfc0c-medium.jpg,5fad129fa70f515fae8bfc0c
"Prescott, Arizona &quot;Arizona's Christmas City&quot; 1997 ceramic coffee mug","Prescott, Arizona &quot;Arizona's Christmas City&quot; 1997 ceramic coffee mug",16.0,EUR,16.0,EUR,19,0,,,5.0,0.0,,,,,,,,,,,white,11oz,50,Livraison Express,6.0,true,,50,,,DE,DecStore1,decstore1,100 % avis positifs (6 notes),6,4.833333333333333,5fbf39cab6a39e61354b006a,,,https://www.wish.com/c/5ff68489bca07700549712cf,https://canary.contestimg.wish.com/api/webimage/5ff68489bca07700549712cf-medium.jpg,5ff68489bca07700549712cf
Can_t Touch This Funny Cactus cacti Plant Arizona Gift Tshirt  Short-Sleeve Unisex T-Shirt,Can_t Touch This Funny Cactus cacti Plant Arizona Gift Tshirt  Short-Sleeve Unisex T-Shirt,22.0,EUR,22.0,EUR,26,0,,,5.0,0.0,,,,,,,,,,,black,s,50,Livraison Express,7.0,true,,50,,,VN,Black Authentic,blackauthentic,86 % avis positifs (7 notes),7,4.0,5f928c4a776f094bbca6ed3e,,,https://www.wish.com/c/5fae43475fa4b52607057060,https://canary.contestimg.wish.com/api/webimage/5fae43475fa4b52607057060-medium.jpg,5fae43475fa4b52607057060
Arizona Teacher Protest Strike  Red for Ed Tshirt  Short-Sleeve Unisex T-Shirt,Arizona Teacher Protest Strike  Red for Ed Tshirt  Short-Sleeve Unisex T-Shirt,21.0,EUR,21.0,EUR,25,0,,,5.0,0.0,,,,,,,,,,,black,s,50,Livraison Express,6.0,true,,50,,,VN,PremiumGear,premiumgear,97 % avis positifs (68 notes),68,4.661764705882353,5e5b284f60863ebbabb3602c,,,https://www.wish.com/c/5f322e54170b48003e5c179e,https://canary.contestimg.wish.com/api/webimage/5f322e54170b48003e5c179e-medium.jpg,5f322e54170b48003e5c179e
"Learn to swim arizona bay swim club tool mug 11oz, coffee mug","Learn to swim arizona bay swim club tool mug 11oz, coffee mug",22.0,EUR,22.0,EUR,26,0,,,5.0,0.0,,,,,,,,,,,white,11oz,50,Livraison Express,7.0,true,,50,,,VN,BlueWaterK,bluewaterk,100 % avis positifs (6 notes),6,4.833333333333333,5fbe79253489f3f0ec66e969,,,https://www.wish.com/c/5ff643b0c41813d4723d39d3,https://canary.contestimg.wish.com/api/webimage/5ff643b0c41813d4723d39d3-medium.jpg,5ff643b0c41813d4723d39d3
Arizona  Short-Sleeve Unisex T-Shirt,Arizona  Short-Sleeve Unisex T-Shirt,19.0,EUR,19.0,EUR,23,0,,,5.0,0.0,,,,,,,,,,,black,s,50,Livraison Express,8.0,true,,50,,,VN,Cheers1,cheers1,100 % avis positifs (11 notes),11,4.2727272727272725,5f65d970aecfa3004f1a69c9,,,https://www.wish.com/c/5f798beca7c543586be46ca1,https://canary.contestimg.wish.com/api/webimage/5f798beca7c543586be46ca1-medium.jpg,5f798beca7c543586be46ca1
Rick And Morty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f7ef16ceb31f9bb1aeaab1f,,5f7ef16ceb31f9bb1aeaab1f
Drapeau de l'état de l'Arizona Sweat à capuche épais,Arizona State Flag Pullover Hoodie,28.0,EUR,28.0,EUR,33,0,,,5.0,0.0,,,,,,,,,,,,men-s,50,Livraison standard,8.0,false,,50,true,Quantité limitée !,CN,wangcheng Store,wangchengstore,,0,5.0,5f72da290e08e2003d52a838,,,https://www.wish.com/c/6049f1bddb4354908c7693d9,https://canary.contestimg.wish.com/api/webimage/6049f1bddb4354908c7693d9-medium.jpg,6049f1bddb4354908c7693d9
Arizona State Shaped Map Embroidered Patch and  Double-Sided Coffee Tea Mug,Arizona State Shaped Map Embroidered Patch and  Double-Sided Coffee Tea Mug,21.0,EUR,21.0,EUR,25,0,,,5.0,0.0,,,,,,,,,,,white,11oz,50,Livraison standard,6.0,false,,50,,,GB,RazKek,razkek,,0,5.0,5fe302efa4129000499d620c,,,https://www.wish.com/c/6049dd759aa087272e101afa,https://canary.contestimg.wish.com/api/webimage/6049dd759aa087272e101afa-medium.jpg,6049dd759aa087272e101afa
"Cactus Saguaro sur une colline, Tucson Mountain Park, Tucson, Arizona, USA Poster Print","Saguaro cactus on a hillside, Tucson Mountain Park, Tucson, Arizona, USA Poster Print",19.0,EUR,19.0,EUR,23,0,,,5.0,0.0,,,,,,,,,,,,18x7,50,Livraison standard,6.0,false,,50,,,US,Posterazzi,posterazzi,"77 % avis positifs (5,643 notes)",5643,3.8628389154704945,55c0deb64e6a0874f22b3167,,,https://www.wish.com/c/590dfe11d264b3667108c0cb,https://canary.contestimg.wish.com/api/webimage/590dfe11d264b3667108c0cb-medium.jpg,590dfe11d264b3667108c0cb
