title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Sons of arthritis ibuprofen Chapter T-shirt homme,Sons of arthritis ibuprofen chapter  Men's T-Shirt,14.0,EUR,22.0,EUR,16.5,0,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,4.95,false,,50,,,FR,Teezily,teezily,"95 % avis positifs (1,021 notes)",1021,4.479921645445642,59e6a1959aee094d8deca3f7,,,https://www.wish.com/c/5aded08fdc0c28330bcadcef,https://canary.contestimg.wish.com/api/webimage/5aded08fdc0c28330bcadcef-medium.jpg,5aded08fdc0c28330bcadcef
1 paire de genouillères auto-chauffantes à matrice de points orthèse de sport genouillère Tourmaline support de genou pour la récupération de soulagement de la douleur articulaire de l'arthrite,1 Pair Dot Matrix Self Heating Knee Pads Brace Sports Kneepad Tourmaline Knee Support for Arthritis Joint Pain Relief Recovery,11.0,USD,19.0,USD,11,10,,,5.0,1.0,1,0,0,0,0,,,,,,black,m,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,kenniya96,kenniya96,"92 % avis positifs (22,285 notes)",22285,4.326048911824097,578b264feaad295f933b5953,,,https://www.wish.com/c/5fd1cf41afe650f7a41db87e,https://canary.contestimg.wish.com/api/webimage/5fd1cf41afe650f7a41db87e-medium.jpg,5fd1cf41afe650f7a41db87e
1 paire de gants d'arthrite gant de main de Compression rhumatoïde pour gants de thérapie de Compression d'arthrose de santé anti-arthrite magnétique,1 pairs Arthritis Gloves Rheumatoid Compression Hand Glove For Magnetic Anti Arthritis Health Osteoarthrit Compression Therapy Gloves,6.0,EUR,30.0,EUR,7,10,,,4.166666666666667,6.0,4,1,0,0,1,,,,,,black,xxs,18,Livraison standard,2.0,false,,50,,,US,berte,berte,81 % avis positifs (182 notes),182,3.9615384615384617,5fce252b91d2e5145e761394,,,https://www.wish.com/c/5ffc0513bcdfd0bf92ee8e20,https://canary.contestimg.wish.com/api/webimage/5ffc0513bcdfd0bf92ee8e20-medium.jpg,5ffc0513bcdfd0bf92ee8e20
"La médecine 10 ~ 90ML soulage la douleur, soulage les rhumatismes, la polyarthrite rhumatoïde, les douleurs articulaires, les douleurs musculaires, les ecchymoses, l'enflure","10~90ML Medicine Relieves Pain, Relieves Rheumatism, Rheumatoid Arthritis, Joint Pain, Muscle Pain, Bruises, Swelling",7.0,EUR,7.0,EUR,8,10,,,4.0,13.0,8,1,2,0,2,,,,,,,10ml,50,Livraison standard,2.0,false,,50,,,CN,chenbingzhi1030,chenbingzhi1030,"86 % avis positifs (1,591 notes)",1591,4.117536140791954,59ededa5eea5c5415be25828,,,https://www.wish.com/c/5fce13579e003b0278d9e9ac,https://canary.contestimg.wish.com/api/webimage/5fce13579e003b0278d9e9ac-medium.jpg,5fce13579e003b0278d9e9ac
"GreenPeople 100000MG pommade baume anti-douleur soulage efficacement les douleurs dorsales, genoux, cervicales, musculaires et articulaires de l'arthrite","GreenPeople 100000MG Pain Relief Balm Ointment Effectively Relieve Back, Knee, Neck, Muscle & Joint Pain Treatment of Arthritis",3.98,EUR,25.0,EUR,4.83,10,,,4.633333333333334,30.0,23,4,2,1,0,,,,,,,10ml,50,Livraison standard,1.0,false,,50,,,CN,wholesell-Company,wholesellcompany,"88 % avis positifs (5,898 notes)",5898,4.18972533062055,57ea52e2cfd0b24adf0fdeea,,,https://www.wish.com/c/5f3ca05a68415e003ef88a57,https://canary.contestimg.wish.com/api/webimage/5f3ca05a68415e003ef88a57-medium.jpg,5f3ca05a68415e003ef88a57
"CAMBIVO 2 x genouillères pour hommes femmes, manchons de compression pour genouillères pour la course à pied, l'arthrite, le LCA, la déchirure du ménisque, le sport, le soulagement de l'inconfort articulaire et de la fatigue musculaire","CAMBIVO 2 x Knee Support for Men Women, Compression Knee Brace Sleeves for Running, Arthritis, ACL, Meniscus Tear, Sports, Relieving Joint Discomfort and Muscle Fatigue",70.0,EUR,90.0,EUR,83.99,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,19.99,false,,3,,,GB,Giftenza,giftenza,79 % avis positifs (336 notes),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/5fa5beb0bead35bf1831de85,https://canary.contestimg.wish.com/api/webimage/5fa5beb0bead35bf1831de85-medium.jpg,5fa5beb0bead35bf1831de85
2021 offre spéciale plus récents gants de soutien de thérapie de massage arthrite soulagement de la douleur de pression guérir les articulations,2021 Hot Sale Newest Massage Therapy Support Gloves Arthritis Pressure Pain Relief Heal Joints,4.73,EUR,7.0,EUR,5.73,10,,,4.05,40.0,22,7,5,3,3,,,,,,black,,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,redian212,redian212,84 % avis positifs (908 notes),908,4.038546255506608,5d5121c21527545221adede4,,,https://www.wish.com/c/5fd06a4cfb26930cf545b47d,https://canary.contestimg.wish.com/api/webimage/5fd06a4cfb26930cf545b47d-medium.jpg,5fd06a4cfb26930cf545b47d
"Durable Key Assist, Practical Key Turner Aid, Arthritis Disable for Door Opening Elderly Storing Keys","Durable Key Assist, Practical Key Turner Aid, Arthritis Disable for Door Opening Elderly Storing Keys",5.66,USD,5.66,USD,5.66,1,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,C9Dshop,c9dshop,"(6,444 notes)",6444,4.4121663563004345,58e6fe5ab5fde3105f62c10c,,,https://www.wish.com/c/5fd779f0248299069a5ed39d,https://canary.contestimg.wish.com/api/webimage/5fd779f0248299069a5ed39d-medium.jpg,5fd779f0248299069a5ed39d
Dernier né de la pommade anti-douleur Meridians Pâte de pommade de tigre Meridians Pâte de polyarthrite rhumatoïde Spondylose Lombaire Spondylose Cervicale Spondylose Balm Patch Crampes Sprain Sprain Sprain Waist and Leg Pain Sticking-plaster soins de santé,Newest  Pain Relief Ointment Tiger Meridians Paste Rheumatoid Arthritis Lumbar Spondylosis Cervical Spondylosis Balm Patch Cramps Sprain Waist and Leg Pain Sticking-plaster Health Care,3.03,EUR,4.0,EUR,3.67,10,,,4.363636363636363,11.0,7,3,0,0,1,,,,,,,4pcs/1bag,50,Livraison standard,1.0,false,,50,,,CN,liuyeye180,liuyeye180,"89 % avis positifs (14,432 notes)",14432,4.205584811529934,5b1e300eeae8b413c428be3e,,,https://www.wish.com/c/5ffd83aaf5725626ddab2761,https://canary.contestimg.wish.com/api/webimage/5ffd83aaf5725626ddab2761-medium.jpg,5ffd83aaf5725626ddab2761
1 paire de gants de thérapie de soutien de poignet de main de pouce Gel de silicone rempli d'arthrite entorses articulaires Comp,1 Pair Thumb Hand Wrist Support Therapy Gloves Gel Silicone Filled Arthritis Joint Sprains Comp,4.76,EUR,5.0,EUR,5.77,10,,,2.6666666666666665,3.0,0,1,1,0,1,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,LQshop,lqshop,"93 % avis positifs (8,392 notes)",8392,4.430409914204004,58ba32743cee50528e74f1f3,,,https://www.wish.com/c/5bd7fd0f691ce82c76fc0634,https://canary.contestimg.wish.com/api/webimage/5bd7fd0f691ce82c76fc0634-medium.jpg,5bd7fd0f691ce82c76fc0634
Sumifun 1/6/12/24/36/48/60pcs Neck Pain Patch Wormwood Plaster Moxibustion Stickers Joint Aches Lumbar Cervical Rheumatoid Arthritis Self-heating Medical Herbal Plaster,Sumifun 1/6/12/24/36/48/60pcs Neck Pain Patch Wormwood Plaster Moxibustion Stickers Joint Aches Lumbar Cervical Rheumatoid Arthritis Self-heating Medical Herbal Plaster,2.32,EUR,3.0,EUR,2.81,10,,,5.0,0.0,,,,,,,,,,,,1pcs,27,Livraison standard,1,false,,50,,,CN,utoemd26f,utoemd26f,"92 % avis positifs (1,312 notes)",1312,4.295731707317073,5dc3d67e910e6e008062c1be,,,https://www.wish.com/c/604b10c4c1fe7fe850de6c18,https://canary.contestimg.wish.com/api/webimage/604b10c4c1fe7fe850de6c18-medium.jpg,604b10c4c1fe7fe850de6c18
1 Pair Arthritis Gloves Full Premium Arthritic Joint Pain Relief Hand Gloves Therapy Open Fingers Gloves,1 Pair Arthritis Gloves Full Premium Arthritic Joint Pain Relief Hand Gloves Therapy Open Fingers Gloves,3.04,EUR,4.0,EUR,3.69,10,,,5.0,0.0,,,,,,,,,,,blue,onesize,4,Livraison standard,1.0,false,,50,,,CN,hanruiwenge0213,hanruiwenge0213,"(5,632 notes)",5632,4.106889204545454,59e59a61dc7a912c67a47998,,,https://www.wish.com/c/606e72ef8e2a45a9aa6910c1,https://canary.contestimg.wish.com/api/webimage/606e72ef8e2a45a9aa6910c1-medium.jpg,606e72ef8e2a45a9aa6910c1
