title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
1/3 pièces garrot médical survie tactique Combat militaire Bandage une main garrot d'urgence trousse de premiers soins en plein air,1/3Pcs Medical Tourniquet Survival Tactical Combat Military Bandage One Hand Emergency Tourniquet First Aid Kit Outdoor,6.0,EUR,19.0,EUR,7,10,,,4.714285714285714,7.0,5,2,0,0,0,,,,,,black,1pc,50,Livraison standard,2.0,false,,50,,,TH,Aiew 201136,aiew201136,94 % avis positifs (333 notes),333,4.474474474474475,5e0fe0a329e7866e5ce95c63,,,https://www.wish.com/c/60016f3742d5b33aadbfb303,https://canary.contestimg.wish.com/api/webimage/60016f3742d5b33aadbfb303-medium.jpg,60016f3742d5b33aadbfb303
Nouveau Sandales d'été pour femmes Sandales Chaussures à talon compensé Peep Toe Shoes High Heels Fashion Platform Bandage Chaussures à semelle compensée Chaussures à la cheville Plus Taille 35-43,New Summer Women Sandals Wedge Peep Toe Shoes High Heels Fashion Platform Bandage Ankle Strap Shoes Plus Size 35-43,14.0,EUR,14.0,EUR,16,1000,,,3.5532646048109964,582.0,255,91,73,47,116,,,,,,black,35eu(4us),50,Livraison standard,4.0,false,,50,,,CN,CHANNEL E-Commerce,channelecommerce,"86 % avis positifs (11,423 notes)",11423,4.070296769675217,5718a78c3a698c40ffbf2d50,,,https://www.wish.com/c/5b58330da8c75160ee26b1c7,https://canary.contestimg.wish.com/api/webimage/5b58330da8c75160ee26b1c7-medium.jpg,5b58330da8c75160ee26b1c7
1 rouleau de pansement adhésif imperméable à l'eau pansement de bande de fixation médicale,1 Roll Waterproof Adhesive Wound Dressing Medical Fixation Tape Bandage,4.73,EUR,42.0,EUR,5.73,10,,,4.782608695652174,23.0,19,3,1,0,0,,,,,,,5cmby5m,50,Livraison standard,1.0,false,,50,,,CN,God is a girl yeah,godisagirlyeah,"(2,392 notes)",2392,3.984531772575251,5b66fba5c94f5318586188cb,,,https://www.wish.com/c/5e1bdc828a0052474276e6c3,https://canary.contestimg.wish.com/api/webimage/5e1bdc828a0052474276e6c3-medium.jpg,5e1bdc828a0052474276e6c3
Femmes Automne Hiver Cheville Court Casual Bandage Tissage En Cuir Dames Oxford Appartements Bottes Chaussures,Women Autumn Winter Ankle Short Casual Bandage Weaving Leather Ladies Oxford Flats Boots Shoes,3.89,EUR,131.0,EUR,4.72,1000,,,3.49031007751938,516.0,202,99,67,46,102,,,,,,green,35,3,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,feixuanshishang,feixuanshishang,"87 % avis positifs (2,556 notes)",2556,4.098200312989046,5b90f5825ac1f33e0328c130,,,https://www.wish.com/c/5d8c58dd0730b92d48f0d2b2,https://canary.contestimg.wish.com/api/webimage/5d8c58dd0730b92d48f0d2b2-medium.jpg,5d8c58dd0730b92d48f0d2b2
Tampax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ea1a2839719ed8249092e79,,5ea1a2839719ed8249092e79
Femmes mode noir col en v combinaison Sexy sans manches Slim Long pantalon barboteuse pantalon Bandage lâche soirée Clubwear,Women Fashion Black V-neck Jumpsuit Sexy Sleeveless Slim Long Pants Romper Trousers Bandage Loose Evening Clubwear,10.0,EUR,42.0,EUR,11,10,,,3.388888888888889,90.0,38,12,9,9,22,,,,,,black,s,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,US,modelup,modelup,"89 % avis positifs (3,659 notes)",3659,4.165345722875102,59dc769133a48743534ac5c7,,,https://www.wish.com/c/59f1a67ee0e81811e0f45559,https://canary.contestimg.wish.com/api/webimage/59f1a67ee0e81811e0f45559-medium.jpg,59f1a67ee0e81811e0f45559
Elastic Face Slimming Bandage V Line Face Shaper Women Chin Cheek Lift Up Belt Facial Anti Wrinkle Strap Face Care Slim Tools,Elastic Face Slimming Bandage V Line Face Shaper Women Chin Cheek Lift Up Belt Facial Anti Wrinkle Strap Face Care Slim Tools,3.84,EUR,4.0,EUR,4.66,10,,,4.285714285714286,14.0,9,2,2,0,1,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,Sex dream,sexdream,"(6,074 notes)",6074,4.37965097135331,5785df257c5d59052a9fde0b,,,https://www.wish.com/c/604190f080795a2dbaf86f21,https://canary.contestimg.wish.com/api/webimage/604190f080795a2dbaf86f21-medium.jpg,604190f080795a2dbaf86f21
1/3/5 / pcs Zipper Band-aid sans suture,1/3/5/pcs Zipper Band-aid Suture-free ,4.0,EUR,4.0,EUR,4,10,,,4.75,12.0,9,3,0,0,0,,,,,,,1pcs,5,Livraison standard,1.0,false,,50,,,CN,lijalnha,lijalnha,93 % avis positifs (583 notes),583,4.435677530017153,5ef6ce529473596bde7c2400,,,https://www.wish.com/c/5f3cac246f350a004f1532ef,https://canary.contestimg.wish.com/api/webimage/5f3cac246f350a004f1532ef-medium.jpg,5f3cac246f350a004f1532ef
Femmes Été Mode Bandage Sandales Casual Bout Ouvert Mignon Tongs Color Block Peep Toe Casual Sandales Plates À Lacets Sandales De Plage Plus La Taille 35-43,Women Summer Fashion Bandage Sandals Casual Open Toe Cute Flip-flops Color Block Peep Toe Casual Flat Sandals Lace Up Beach Sandals Plus Size 35-43,13.0,EUR,47.0,EUR,15,1000,,,3.989864864864865,296.0,155,57,37,20,27,,,,,,green,35.,20,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,xiaojinxiaojin,xiaojinxiaojin,"77 % avis positifs (1,465 notes)",1465,3.7290102389078497,5dbf8dfbb502306b550ca109,,,https://www.wish.com/c/5e042957ce5e481b9537a0df,https://canary.contestimg.wish.com/api/webimage/5e042957ce5e481b9537a0df-medium.jpg,5e042957ce5e481b9537a0df
Thierry Mugler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e8d2ffb9719ed6404967797,,5e8d2ffb9719ed6404967797
