title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Ensemble d'outils de pâtisserie de cuisson Fondant à double extrémité Forme de Sculpey Lisse Boule de modélisation Détail Détail Buses de soudage Argile polymère,Baking pastry tools set Double ended fondant Sculpey Shape Smooth Detail modelling ball Detail soldering nozzles Polymer Clay,5.0,EUR,5.0,EUR,5,1000,,,4.778735632183908,696.0,598,68,12,10,8,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,topitem,redevi,"(26,143 notes)",26143,4.3795279807214165,53f08b879020ee3bbf4cef0a,,,https://www.wish.com/c/5652d7c2299ac5068ea51d7f,https://canary.contestimg.wish.com/api/webimage/5652d7c2299ac5068ea51d7f-medium.jpg,5652d7c2299ac5068ea51d7f
 4 pièces Animal Cookie Plongeur Cutter Set Bande Dessinée Cuisson Biscuit Timbre Moule Fondant Gâteau Décoration Outils, 4pcs Animal Cookie Plunger Cutter Set Cartoon Baking Biscuit Stamp Mold Fondant Cake Decorating Tools,4.69,EUR,5.0,EUR,5.6899999999999995,10,,,5.0,1.0,1,0,0,0,0,,,,,,,a,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,YUYU World,yuyuworld,"95 % avis positifs (4,058 notes)",4058,4.578363725973386,5de4c26c555a19cd0e992494,,,https://www.wish.com/c/5fe9500f4e085b0040a8e5c8,https://canary.contestimg.wish.com/api/webimage/5fe9500f4e085b0040a8e5c8-medium.jpg,5fe9500f4e085b0040a8e5c8
33 pièces plongeur en plastique Fondant Cutter bricolage Cookie Biscuit moule gâteau cuisson outils gâteau moule cuisson,33pcs Plunger Plastic Fondant Cutter Diy Cookie Biscuit Mold Cake Baking Tools Cake Mold Baking,10.0,EUR,10.0,EUR,11,10,,,3.6666666666666665,3.0,0,2,1,0,0,,,,,,,33pcsaset,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,high flying appliance franchise,highflyingappliancefranchise,"93 % avis positifs (2,738 notes)",2738,4.423301680058437,5b0a3f975920692dc2188173,,,https://www.wish.com/c/5d9eff039bbbfb3845b4469e,https://canary.contestimg.wish.com/api/webimage/5d9eff039bbbfb3845b4469e-medium.jpg,5d9eff039bbbfb3845b4469e
Animal Pet Chien Os Patte Cookie Cutter Moule 3D Sugarcraft Pâtisserie Biscuit Fondant Gâteau De Cuisson Moule DIY De Décoration De Gâteau,Animal Pet Dog Bone Paw Cookie Cutter Mold 3D Sugarcraft Pastry Biscuit Fondant Cake Baking Mold DIY Cake Decorating,3.98,EUR,11.0,EUR,4.82,10,,,3.5,2.0,1,0,0,1,0,,,,,,,1,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,cnwind2018,paradiseshop2018,"92 % avis positifs (3,203 notes)",3203,4.407118326568842,5ac319a3b722cf2a94c82ce8,,,https://www.wish.com/c/5d9df8d0d690be447b3f4b1d,https://canary.contestimg.wish.com/api/webimage/5d9df8d0d690be447b3f4b1d-medium.jpg,5d9df8d0d690be447b3f4b1d
"3 pcs / ensemble PET Mosquée Eid Mubarak Ramadan Conception Café Pochoirs, laser cut cookie Biscuits fondant gâteau décoration outils","3pcs/set PET Mosque Eid Mubarak Ramadan Design Coffee Stencils,laser cut  cookie Biscuits fondant cake decoration tools",2.29,EUR,5.0,EUR,2.7800000000000002,10,,,4.50354609929078,141.0,103,20,10,2,6,,,,,,,mosqueoframadan-6,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,Dcrt Cake Decoration tools,dcrtcakedecorationtools,"96 % avis positifs (4,606 notes)",4606,4.580547112462006,5835539f0299bc56dcf79d19,,,https://www.wish.com/c/5997e8aed2bcb76a12c1a270,https://canary.contestimg.wish.com/api/webimage/5997e8aed2bcb76a12c1a270-medium.jpg,5997e8aed2bcb76a12c1a270
3D sirène silicone moule fondant moule chocolat moule pour décorer des gâteaux outil,3D Mermaid Silicone Mold Fondant Mold Chocolate Mould for Decorating Cakes Tool,6.0,EUR,6.0,EUR,7,10,,,4.655172413793103,29.0,23,4,1,0,1,,,,,,,hy-41,50,Livraison Express,7.0,true,,50,,,CN,lianggexiaodian,lianggexiaodian,"89 % avis positifs (1,162 notes)",1162,4.238382099827883,585b5b100d5bfa4ca235283b,,,https://www.wish.com/c/5daff7a51193c00c91ce2300,https://canary.contestimg.wish.com/api/webimage/5daff7a51193c00c91ce2300-medium.jpg,5daff7a51193c00c91ce2300
En plastique 4 PCS Maison Cookie Cutter Cage À Oiseaux Boîte Aux Lettres Chenil Biscuit Moule Doghouse Fondant Cutter DIY Gâteau Décoration Outils De Cuisson,Plastic 4PCS House Cookie Cutter Birdcage Mailbox Kennel Biscuit Mold Doghouse Fondant Cutter DIY Cake Decoration Baking Tools,3.19,EUR,5.0,EUR,3.87,10,,,4.333333333333333,6.0,4,1,0,1,0,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,Sunglory Global,sungloryglobal,"96 % avis positifs (1,210 notes)",1210,4.606611570247934,585d30f736cedf6e8276c3b3,,,https://www.wish.com/c/594a24e80b45712b97bb2818,https://canary.contestimg.wish.com/api/webimage/594a24e80b45712b97bb2818-medium.jpg,594a24e80b45712b97bb2818
1 / 3pcs pâte à biscuits emporte-pièce rond / carré rouleau trancheuse coupe biscuit biscuit cuisson pâtissier,1/3pcs Rolling Dough Cookie Cutters Round / Square Roll Slicer Cutter Biscuit Cookie Baking Pastry Cutter,3.89,EUR,4.0,EUR,4.72,10,,,4.431818181818182,88.0,60,14,9,2,3,,,,,,,smallwig,50,Livraison standard,1.0,false,,50,,,CN,kekeXU,kekexu,"93 % avis positifs (11,302 notes)",11302,4.4335515837904795,5b69517cd76b45341fb08f66,,,https://www.wish.com/c/5dbfef0b279a3f426c8b5a27,https://canary.contestimg.wish.com/api/webimage/5dbfef0b279a3f426c8b5a27-medium.jpg,5dbfef0b279a3f426c8b5a27
Gorgoeus Biscuit En Acier Inoxydable Biscuit Pâtisserie Gâteau Décor Double Coeurs Moule Moule Cutter,Gorgoeus Stainless Steel Cookie Biscuit Pastry Cake Decor Double Hearts Mold Mould Cutter,3.17,EUR,4.0,EUR,3.84,1000,,,4.540983606557377,183.0,132,30,13,4,4,,,,,,,onesize,50,Livraison standard,1.0,false,,50,,,CN,columbus,columbus,"89 % avis positifs (10,244 notes)",10244,4.164681764935572,561bb80937552b0f85d138c4,,,https://www.wish.com/c/5668fb252ae5bd652b1087ab,https://canary.contestimg.wish.com/api/webimage/5668fb252ae5bd652b1087ab-medium.jpg,5668fb252ae5bd652b1087ab
40 pièces / ensemble Alphabet lettre numéro Fondant gâteau Biscuit cuisson moule emporte-pièces outil,40Pcs/Set Alphabet Letter Number Fondant Cake Biscuit Baking Mould Cookie Cutters Tool,6.0,EUR,6.0,EUR,7,10000,,,4.52530199151159,3063.0,2159,530,253,66,55,,,,,,,,50,Livraison standard,8.0,false,,50,,,CN,Happy Smile,sainspeed_us,"(19,328 notes)",19328,4.301790149006623,540ff49a7a9eb42530f19d15,,,https://www.wish.com/c/56e2789de43cc7380d209169,https://canary.contestimg.wish.com/api/webimage/56e2789de43cc7380d209169-medium.jpg,56e2789de43cc7380d209169
