title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
1 PC grand coeur silicone gâteau cuisson moule en étain antiadhésif ustensiles de cuisson moule à chocolat moule,1PC Big Heart Silicone Cake Baking Tin Mould Nonstick Bakeware Pan Chocolate Mold,7.0,EUR,7.0,EUR,8,10,,,5.0,1.0,1,0,0,0,0,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,Guangzhou Manyi Technology Ltd,guangzhoumanyitechnologyltd,"92 % avis positifs (130,589 notes)",130589,4.353368200997021,5705fba6d2f7762bfcb2e290,,,https://www.wish.com/c/5eddd558da31169b4d0f3d4a,https://canary.contestimg.wish.com/api/webimage/5eddd558da31169b4d0f3d4a-medium.jpg,5eddd558da31169b4d0f3d4a
Moule en silicone chocolat bonbons moule en silicone bricolage outil de cuisson cuisine pâtisserie outils de cuisson bricolage,Silicone Mold Chocolate Candy Silicone Mold DIY Baking Tool Kitchen Pastry Cooking Tools Diy,3.14,EUR,5.0,EUR,3.81,10,,,4.333333333333333,3.0,2,0,1,0,0,,,,,,,wthoutpackage,50,Livraison standard,1.0,false,,50,,,US,Nicbek,nicbek,"89 % avis positifs (2,332 notes)",2332,4.178387650085763,5e78877029e78673c0590dd1,,,https://www.wish.com/c/600555f45dad76a704baf336,https://canary.contestimg.wish.com/api/webimage/600555f45dad76a704baf336-medium.jpg,600555f45dad76a704baf336
Mini échecs en forme de glace chocolat sucre gâteau décor Silicone Cube plateau échecs moule cuisine outil,Mini Chess Shaped Ice Chocolate Sugar Cake Decor Silicone Cube Tray Chess Mold Kitchen Tool,3.0,EUR,3.0,EUR,3,10,,,3.75,4.0,2,1,0,0,1,,,,,,,,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,February2017,february2017,"(36,057 notes)",36057,4.358460215769476,58b7951804e82c577ac247fb,,,https://www.wish.com/c/590019fc9235dc19c1ee279f,https://canary.contestimg.wish.com/api/webimage/590019fc9235dc19c1ee279f-medium.jpg,590019fc9235dc19c1ee279f
"Moules en silicone pour la cuisson, moule à chocolat, moule de cuisson en silicone rond à 6 trous, moule à gâteau en silicone demi-sphère Muffin moule à biscuits au chocolat","Silicone Molds For Baking,Chocolate Mold,6 Holes Round Silicone Baking Mold,Half Ball Sphere Silicone Cake Mold Muffin Chocolate Cookie Baking Mould Pan",3.05,EUR,4.0,EUR,3.7,10,,,3.7126436781609193,87.0,35,22,13,4,13,,,,,,,randomcolor,50,Livraison standard,1.0,false,,50,,,CN,Ruixingfang,ruixingfang,79 % avis positifs (981 notes),981,3.90316004077472,5efd800438f933d8f2d3e3f7,,,https://www.wish.com/c/5fe169c65a547a6c953fd6cf,https://canary.contestimg.wish.com/api/webimage/5fe169c65a547a6c953fd6cf-medium.jpg,5fe169c65a547a6c953fd6cf
Outil de boulangerie Fondant au chocolat Gâteau en silicone flexible décoré d'un moule à savon en forme de patte de 6 chats,Baking Tool Chocolate Fondant Flexible Silicone Cake Decorating 6-cat's Paw Mould Soap Mold,4.74,EUR,5.0,EUR,5.74,10000,,,4.708242358078603,3664.0,2934,474,198,33,25,,,,,,,,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,jingrongdianzi03,jingrongdianzi03,"92 % avis positifs (14,081 notes)",14081,4.3694339890632765,5684f3df4c2cc826b65ca56f,,,https://www.wish.com/c/577f7172966d2a070ecc9ad8,https://canary.contestimg.wish.com/api/webimage/577f7172966d2a070ecc9ad8-medium.jpg,577f7172966d2a070ecc9ad8
Différentes tailles Arc Silicone Moule Fondant Moule De Décoration De Gâteau Outils Chocolat Gumpaste Moules Sugarcraft Cuisine Accessoires,Various Sizes Bow Silicone Mold Fondant Mould Cake Decorating Tools Chocolate Gumpaste Molds Sugarcraft Kitchen Accessories,3.95,EUR,4.0,EUR,4.79,10,,,4.340425531914893,47.0,34,6,1,1,5,,,,,,,6,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,zxcvbn0729,zxcvbn0729,"96 % avis positifs (1,803 notes)",1803,4.580144204104271,5d3eb11ce4b65d39871e808e,,,https://www.wish.com/c/5d5fa73fa9c9c146c66e9959,https://canary.contestimg.wish.com/api/webimage/5d5fa73fa9c9c146c66e9959-medium.jpg,5d5fa73fa9c9c146c66e9959
Bricolage 5 Types voitures forme polycarbonate chocolat moule confiserie bonbons moule cuisson gâteau décoration outils,DIY 5 Types Cars Shape Polycarbonate Chocolate Mold Confectionery Candy Mold Baking Cake Decoration Tools,16.0,EUR,17.0,EUR,19,10,,,5.0,5.0,5,0,0,0,0,,,,,,,,50,Livraison standard,5.0,false,,50,,,CN,Dcrt Cake Decoration tools,dcrtcakedecorationtools,"96 % avis positifs (4,606 notes)",4606,4.580547112462006,5835539f0299bc56dcf79d19,,,https://www.wish.com/c/5c2617b1c1eb57190bbb07b7,https://canary.contestimg.wish.com/api/webimage/5c2617b1c1eb57190bbb07b7-medium.jpg,5c2617b1c1eb57190bbb07b7
Bricolage Silicone gaufre moule antiadhésif ustensiles de cuisson moule à gâteau chocolat gaufre moule cookie fabricant cuisine cuisson accessoires,DIY Silicone Waffle Mold Non-stick Bakeware Cake Mould Chocolate Waffle Mold Cookie Maker Kitchen Baking Accessories,3.06,EUR,7.0,EUR,3.71,10,,,5.0,6.0,6,0,0,0,0,,,,,,,withoutpackage,50,Livraison standard,1.0,false,,50,,,CN,biliheartshop,biliheartshop,"88 % avis positifs (92,318 notes)",92318,4.159882146493642,59ef1adb0a332a3e2aab1d00,,,https://www.wish.com/c/5ffd5b0bd3b67ab6e2433898,https://canary.contestimg.wish.com/api/webimage/5ffd5b0bd3b67ab6e2433898-medium.jpg,5ffd5b0bd3b67ab6e2433898
2019 Sexy pénis gâteau moule savon anniversaire Fondant gâteau chocolat glace et savon pénis forme accessoires de cuisine Silicone espiègle,2019 Sexy Penis Cake Mold Soap Birthday Fondant Cake Chocolate Ice and Soap Penis Shape Kitchen Accessories Mischievous Silicone,4.77,EUR,5.0,EUR,5.78,1000,,,4.695652173913044,138.0,117,9,6,3,3,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,yayachen,yayachen,92 % avis positifs (265 notes),265,4.384905660377359,5d83373922e7770fdcdbcde5,,,https://www.wish.com/c/5d956f39b7d971319a92bcdd,https://canary.contestimg.wish.com/api/webimage/5d956f39b7d971319a92bcdd-medium.jpg,5d956f39b7d971319a92bcdd
"Rasoir à truffes au chocolat en acier inoxydable (taille: 16,5 cm, couleur: argent)","Stainless Steel Truffle Slicer Chocolate Truffle Shaver (Size: 16.5 cm, Color: Silver)",6.0,EUR,6.0,EUR,7,10,,,3.782608695652174,23.0,13,4,0,0,6,,,,,,silver,2,50,Livraison standard,8.0,false,,50,,,CN,VR Shopping,vrshopping,"88 % avis positifs (126,045 notes)",126045,4.156856678170494,57973560cb38dd77d126e9f1,,,https://www.wish.com/c/59a3bdc295e20b7aceca8ea5,https://canary.contestimg.wish.com/api/webimage/59a3bdc295e20b7aceca8ea5-medium.jpg,59a3bdc295e20b7aceca8ea5
