title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
1 PC nouveau 3D arbre de noël Silicone gâteau chocolat cuisson moule savon faisant moule bricolage,1PC New 3D Christmas Tree Silicone Cake Chocolate Baking Mold Soap Making Mould DIY,10.0,EUR,10.0,EUR,11,10,,,4.764705882352941,34.0,27,6,1,0,0,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,dreamword,dreamword,"92 % avis positifs (59,860 notes)",59860,4.350618108920815,580d7038ecd5d0199ddeb146,,,https://www.wish.com/c/5f34dd935912151d5cd3595a,https://canary.contestimg.wish.com/api/webimage/5f34dd935912151d5cd3595a-medium.jpg,5f34dd935912151d5cd3595a
KUXSE 3D bébé lits en Silicone moule Fondant outil de décoration de gâteau Sugarcraft chocolat Gumpaste moule outils de cuisson,KUXSE 3D Baby Cots Silicone Mold Fondant Cake Decorating Tool Sugarcraft Chocolate Gumpaste Mold Baking Tools,8.0,EUR,48.0,EUR,9,10,,,4.769230769230769,13.0,11,1,1,0,0,,,,,,,,50,Livraison standard,3.0,false,,50,,,CN,KUXSE,kuxse,"94 % avis positifs (2,699 notes)",2699,4.5064838829196,5db0607fb3c5f9206bceb2cd,,,https://www.wish.com/c/5e038ca18b8de60ea30653aa,https://canary.contestimg.wish.com/api/webimage/5e038ca18b8de60ea30653aa-medium.jpg,5e038ca18b8de60ea30653aa
CHINA Chocolate Candy Melting Pot Electric Chocolate Fountain Fondue Chocolate Melting Double Pot Melter Machine Diy Kitchen Tools Gift,CHINA Chocolate Candy Melting Pot Electric Chocolate Fountain Fondue Chocolate Melting Double Pot Melter Machine Diy Kitchen Tools Gift,100.0,EUR,100.0,EUR,121.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,pink[100013777],50,Livraison standard,12.0,false,,50,,,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/605d1c04e399f3005586a5f1,https://canary.contestimg.wish.com/api/webimage/605d1c04e399f3005586a5f1-medium.jpg,605d1c04e399f3005586a5f1
Mignon Écureuil de Bande Dessinée Animaux Forme Silicone Moule De Décoration De Gâteau Fondant Moules Gâteau Au Chocolat Bonbons Argile Moule,Cute Cartoon Squirrel Animals Shape Silicone Mold Cake Decorating Fondant Molds Cake Chocolate Candy Clay Mould,3.16,EUR,8.0,EUR,3.83,1000,,,3.8556701030927836,97.0,51,15,10,8,13,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,tyuio,tyuio,"94 % avis positifs (6,670 notes)",6670,4.420839580209895,57ece553b94dd5104ee08949,,,https://www.wish.com/c/5cd53a2b2141ed16caf2ead9,https://canary.contestimg.wish.com/api/webimage/5cd53a2b2141ed16caf2ead9-medium.jpg,5cd53a2b2141ed16caf2ead9
Moule à fondant en silicone pour mini barre de chocolat brun 1PC,Mini 1PC Brown Chocolate Bars Slab Silicone Fondant Mould,4.75,EUR,5.0,EUR,5.76,1000,,,4.601895734597156,211.0,160,33,9,3,6,,,,,,,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,pengjuanv,pengjuanv,"93 % avis positifs (4,775 notes)",4775,4.428900523560209,5ac3155c9d5e9731ad0ecf0c,,,https://www.wish.com/c/5d2d789ae80a732f365f6466,https://canary.contestimg.wish.com/api/webimage/5d2d789ae80a732f365f6466-medium.jpg,5d2d789ae80a732f365f6466
Silicone Seashell Beach Shells Moules Moules Gâteau Chocolat xujs18112,Silicone Seashell Beach Shells Mould Molds Cake Chocolate xujs18112,4.72,EUR,5.0,EUR,5.72,5000,,,4.052893590541381,1607.0,924,231,203,111,138,,,,,,,1pc,50,Livraison standard,2.0,false,,50,,,CN,xujs,xujs,"91 % avis positifs (2,926 notes)",2926,4.318181818181818,5a5d93769d0a7b0c415c2fd0,,,https://www.wish.com/c/5a92e9c9a9cca970d6e9b573,https://canary.contestimg.wish.com/api/webimage/5a92e9c9a9cca970d6e9b573-medium.jpg,5a92e9c9a9cca970d6e9b573
"Moule à chocolat en forme de coeur à 15 cavités, moule à bonbons et bonbons en silicone Valentine Heart","15-Cavity Heart Shape Chocolate Mold, Silicone Valentine Heart Chocolate Gummy and Candy Mold",4.68,EUR,5.0,EUR,5.67,10,,,4.375,16.0,11,2,2,0,1,,,,,,,1pack,50,Livraison standard,2.0,false,,50,,,CN,hold river sky,holdriversky,"88 % avis positifs (3,866 notes)",3866,4.19762027935851,5eba914f72dbd10adfe31362,,,https://www.wish.com/c/5fd61bef1ff2892cd2518d0b,https://canary.contestimg.wish.com/api/webimage/5fd61bef1ff2892cd2518d0b-medium.jpg,5fd61bef1ff2892cd2518d0b
"3 Pack coquillage moule sirène queue moule Silicone Fondant moule chocolat moule pour la décoration de gâteaux, chocolat, bonbons","3 Pack Seashell Mold Mermaid Tail Mold Silicone Fondant Mold Chocolate Mold for Decorating Cakes, Chocolate, Candy",7.0,EUR,42.0,EUR,8,10,,,4.584415584415584,154.0,113,26,10,2,3,,,,,,,,50,Livraison standard,3.0,false,,50,,,CN,Well Network Co,wellnetworkco,"(6,773 notes)",6773,4.377971356858113,53f5b3c59020ee5d23d56ffe,,,https://www.wish.com/c/5b63b885540fc52ab195d68c,https://canary.contestimg.wish.com/api/webimage/5b63b885540fc52ab195d68c-medium.jpg,5b63b885540fc52ab195d68c
NOUVEAU DIY Silicone Rose Fleur Fondant Moule Chocolat Sugarcraft Gâteau Moule Décor,NEW DIY Silicone Rose Flower Fondant Mould Chocolate Sugarcraft Cake Mold Decor,5.0,EUR,5.0,EUR,6,5000,,,4.402973977695167,1345.0,935,191,105,54,60,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,mingmingwu,mingmingwu,"94 % avis positifs (94,333 notes)",94333,4.4094219414202875,585bd1d770d85b4d493b5367,,,https://www.wish.com/c/59ad10f895e20b59b60fdbde,https://canary.contestimg.wish.com/api/webimage/59ad10f895e20b59b60fdbde-medium.jpg,59ad10f895e20b59b60fdbde
"Orion chocolate pine, 36g, 18 pieces","Orion chocolate pine, 36g, 18 pieces",37.0,EUR,37.0,EUR,44,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,KR,HONGVELYSTORY,hongvelystory,100 % avis positifs (1 notes),1,5.0,5fe861284b77d63a9c810115,,,https://www.wish.com/c/6044b0c66f46ac4b4cee7948,https://canary.contestimg.wish.com/api/webimage/6044b0c66f46ac4b4cee7948-medium.jpg,6044b0c66f46ac4b4cee7948
Monstera feuille flamant rose moule en Silicone pour gâteau bonbons Fondant chocolat décoration cuisine outils de cuisson,Monstera Leaf Flamingo Silicone Mold for Cake Candy Fondant Chocolate Decoration Kitchen Baking Tools,3.95,EUR,4.0,EUR,4.79,10,,,5.0,4.0,4,0,0,0,0,,,,,,,1,50,Livraison standard,1.0,false,,50,,,CN,daydayup2017,daydayup2017,"92 % avis positifs (5,149 notes)",5149,4.356962516993591,58ff1c9dbcb58e11317ea158,,,https://www.wish.com/c/5f94b5add09be33e9d2daedf,https://canary.contestimg.wish.com/api/webimage/5f94b5add09be33e9d2daedf-medium.jpg,5f94b5add09be33e9d2daedf
AUGIENB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f576465eb31f9369957f830,,5f576465eb31f9369957f830
Multi taille 3D perle perle grand petit moule en Silicone demi-boule moule à gâteau bonbons chocolat moule cuisson moules,Multi Size 3D Bead Pearl Large Small Silicone Mold Half-Ball Cake Mold Candy Chocolate Mould Baking Molds,3.84,EUR,4.0,EUR,4.66,10,,,3.9555555555555557,45.0,25,5,7,4,4,,,,,,pink,style1,50,Livraison standard,1.0,false,,50,,,CN,jackzhuli,jackzhuli,"90 % avis positifs (7,478 notes)",7478,4.286707675849158,5aeadb638aaf7a24d38e258f,,,https://www.wish.com/c/5fb8eb91f253a1f1367c0439,https://canary.contestimg.wish.com/api/webimage/5fb8eb91f253a1f1367c0439-medium.jpg,5fb8eb91f253a1f1367c0439
1PCS Quitte Smoke Artifact Chocolate Ice Mint 15 Flavors Cigarettes Herbal Non-tobacco No Nicotine Healthy Smoke for Women Men Smoking Accessories（1Bag(20root/Bag)）,1PCS Quitte Smoke Artifact Chocolate Ice Mint 15 Flavors Cigarettes Herbal Non-tobacco No Nicotine Healthy Smoke for Women Men Smoking Accessories（1Bag(20root/Bag)）,6.0,EUR,6.0,EUR,7,10,,,3.6666666666666665,3.0,2,0,0,0,1,,,,,,,1,50,Livraison standard,2.0,false,,50,,,CN,zhangmeina0000,zhangmeina0000,89 % avis positifs (170 notes),170,4.370588235294117,5dbc157be027f11b554e4dd2,,,https://www.wish.com/c/604b888f43ca03061141980e,https://canary.contestimg.wish.com/api/webimage/604b888f43ca03061141980e-medium.jpg,604b888f43ca03061141980e
"Healthworks Cacao Powder (32 Ounces / 2 Pounds) (2 x 1 Pound Bags) | Cocoa Chocolate Substitute | Certified Organic | Sugar-Free, Keto, Vegan & Non-GMO | Peruvian Bean/Nut Origin","Healthworks Cacao Powder (32 Ounces / 2 Pounds) (2 x 1 Pound Bags) | Cocoa Chocolate Substitute | Certified Organic | Sugar-Free, Keto, Vegan & Non-GMO | Peruvian Bean/Nut Origin",77.0,EUR,77.0,EUR,93.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,12.0,false,,3,,,KR,himnaezae,himnaezae,100 % avis positifs (2 notes),2,5.0,600b04deb5a7cc068d29b0d1,,,https://www.wish.com/c/602f33f38212206371b5aea1,https://canary.contestimg.wish.com/api/webimage/602f33f38212206371b5aea1-medium.jpg,602f33f38212206371b5aea1
