title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
 PURC Masque Capillaire Masque de Traitement Magique 5 Secondes Répare les Dommages Restaure les Cheveux Doux Masque de Traitement des Cheveux Après-shampoing Sec endommagé Kératine Réparation Nourrissant Soin des Cheveux Lissant Maintenance-60ML, PURC Hair Mask Magical Treatment Mask 5 Seconds Repairs Damage Restore Soft Hair Treatment Mask Hair Conditioner Dry Damaged Keratin Repair Nourishing Hair Care Smoothing Maintenance-60ML,7.0,EUR,7.0,EUR,8,10,,,4.333333333333333,6.0,5,0,0,0,1,,,,,,,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,"Beijing Xiuhua Art Co., Ltd",beijingxiuhuaartcoltd,"93 % avis positifs (8,586 notes)",8586,4.360354064756581,56695380e363a330e034cecc,,,https://www.wish.com/c/5d526a5694de6c16e82688d6,https://canary.contestimg.wish.com/api/webimage/5d526a5694de6c16e82688d6-medium.jpg,5d526a5694de6c16e82688d6
Fdgao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f916655eb31f986349c0e49,,5f916655eb31f986349c0e49
Couvercle de climatiseur réglable Pare-brise Air conditionné Baffle Shield Climatiseur,Adjustable Air Conditioner Cover Windshield Air Conditioning Baffle Shield Air Conditioner,24.0,EUR,64.0,EUR,28,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,8.0,false,,50,true,Quantité limitée !,CN,xuweili,xuweili,82 % avis positifs (136 notes),136,4.080882352941177,5ec1f9c3a0fdfe4cc1266e95,,,https://www.wish.com/c/606fc7956552a0f07bdae65f,https://canary.contestimg.wish.com/api/webimage/606fc7956552a0f07bdae65f-medium.jpg,606fc7956552a0f07bdae65f
Ventilateur de cou de refroidissement à double suspension à faible bruit Mini ventilateur silencieux Rechargeable Portable USB pour les voyages en plein air en intérieur,Low-noise Hanging Dual Cooling Neck Fan Mini USB Portable Rechargeable Quiet Ventilator For Traveling Outdoor Indoor Sporting,5.0,EUR,5.0,EUR,5,10,,,5.0,2.0,2,0,0,0,0,,,,,,white,usbcableonly,3,Livraison standard,2.0,false,,50,,,CN,Congmingi,congmingi,"87 % avis positifs (6,672 notes)",6672,4.182254196642686,5c0a22d77fb2cb29736f8a64,,,https://www.wish.com/c/605097c0d027b54a15802ad1,https://canary.contestimg.wish.com/api/webimage/605097c0d027b54a15802ad1-medium.jpg,605097c0d027b54a15802ad1
10 / 20ml Hair Growth Essence Shampooing pour cheveux longs à croissance rapide aide vos cheveux à s'allonger plus longtemps,10/20ml Hair Growth Essence Long Hair Fast Growth Shampoo Helps Your Hair to Lengthen Grow Longer,4.0,EUR,4.0,EUR,4,1000,,,3.832258064516129,155.0,81,24,15,13,22,,,,,,,10ml,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,CHENG GUO LT,chengguolt,89 % avis positifs (590 notes),590,4.242372881355932,5d423fd6855e6f47a79b29d4,,,https://www.wish.com/c/5d552542665ba024ef839ea8,https://canary.contestimg.wish.com/api/webimage/5d552542665ba024ef839ea8-medium.jpg,5d552542665ba024ef839ea8
Unisex Summer Fan Air Conditioning Vest Outdoor Working Reflective Casual Working Reflective Vest Heatstroke Sun clothing,Unisex Summer Fan Air Conditioning Vest Outdoor Working Reflective Casual Working Reflective Vest Heatstroke Sun clothing,66.0,EUR,66.0,EUR,79.0,0,,,5.0,0.0,,,,,,,,,,,armygreen,s,50,Livraison standard,12.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/6026d2bff73c1c62a5a246cf,https://canary.contestimg.wish.com/api/webimage/6026d2bff73c1c62a5a246cf-medium.jpg,6026d2bff73c1c62a5a246cf
"3MPM2.5 Ultra-fine Active Carbon Filter Morning All-New Morning (-2016.12) Ray Air Conditioning Filter, 1, F6236|| Coupang| Vehicle Series: Morning Model × Quantity - F6236 × 1|| 3M2 Air Conditioning Filter | 3M2.52; Morning Air Conditioning Filter F16.","3MPM2.5 Ultra-fine Active Carbon Filter Morning All-New Morning (-2016.12) Ray Air Conditioning Filter, 1, F6236|| Coupang| Vehicle Series: Morning Model × Quantity - F6236 × 1|| 3M2 Air Conditioning Filter | 3M2.52; Morning Air Conditioning Filter F16.",37.0,EUR,37.0,EUR,44,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,KR,Stay_Gorgeous Korea,stay_gorgeouskorea,100 % avis positifs (5 notes),5,4.8,5fd76ab639ab348c49576bf2,,,https://www.wish.com/c/60004c62100db79ad592515a,https://canary.contestimg.wish.com/api/webimage/60004c62100db79ad592515a-medium.jpg,60004c62100db79ad592515a
Nioxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ee4b20a90b8a61604aa5ebf,,5ee4b20a90b8a61604aa5ebf
Apple iPhone XS 64 GB / 256GB / 512 GB (Refurbished-Fair condition),Apple iPhone XS 64 GB / 256GB / 512 GB (Refurbished-Fair condition),264.0,EUR,606.0,EUR,319.99,10,,,3.0,2.0,1,0,0,0,1,,,,,,spacegray,64gb,33,Livraison standard,80.0,false,,50,true,Quantité limitée !,US,JemJem Certified,jemjemcertified,"(12,930 notes)",12930,4.278576952822893,58e6a2e65e148e1fab9d3b8c,,,https://www.wish.com/c/5f74e8cede6a533416ce36e0,https://canary.contestimg.wish.com/api/webimage/5f74e8cede6a533416ce36e0-medium.jpg,5f74e8cede6a533416ce36e0
Jupes longues d'été de mode d'été de femmes jupes longues sexy de crayon de fente,Women Summer Fashion Long Skirts Sexy Split Pencil Skirts,5.0,EUR,5.0,EUR,6,1000,,,4.450980392156863,51.0,36,7,5,1,2,,,,,,pink,s,50,Livraison standard,2.0,false,,50,,,CN,yangboyang,yangboyang,"88 % avis positifs (9,756 notes)",9756,4.155904059040591,5acc6cc0c3911a32ad141f60,,,https://www.wish.com/c/5ad83d530c1d903ea49d495c,https://canary.contestimg.wish.com/api/webimage/5ad83d530c1d903ea49d495c-medium.jpg,5ad83d530c1d903ea49d495c
