title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Extenseur manuel de tube d'outil de réparation de réfrigération de climatisation ST-22,ST-22 Air Conditioning Refrigeration Repair Tool Manual Tube Expander,17.0,EUR,17.0,EUR,20,1,,,5.0,1.0,1,0,0,0,0,,,,,,,,50,Livraison Express,9.0,true,,50,,,CN,To maintain a good mood is the good life,tomaintainagoodmoodisthegoodlife,"88 % avis positifs (35,171 notes)",35171,4.131898439054903,585f9ac5d7d14e4d51c16d4e,,,https://www.wish.com/c/5ef2ba0aa9d79f19006c9f04,https://canary.contestimg.wish.com/api/webimage/5ef2ba0aa9d79f19006c9f04-medium.jpg,5ef2ba0aa9d79f19006c9f04
1/5pcs Air Conditioner Conditioning Tube Expander Swaging Tool Drill Bit Pipe Flaring 1/4” 3/8” 1/2” 5/8” 3/4” MIS,1/5pcs Air Conditioner Conditioning Tube Expander Swaging Tool Drill Bit Pipe Flaring 1/4” 3/8” 1/2” 5/8” 3/4” MIS,6.0,EUR,6.0,EUR,7,1,,,5.0,0.0,,,,,,,,,,,,e,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Miss Jackson,missjackson,"93 % avis positifs (33,484 notes)",33484,4.388274997013499,5674c0bdd0ac6f26e6383777,,,https://www.wish.com/c/6053213b256cf3b587b31793,https://canary.contestimg.wish.com/api/webimage/6053213b256cf3b587b31793-medium.jpg,6053213b256cf3b587b31793
2Pcs Side Air Conditioning Vent Trim Front Side Air Conditioning Outlet Vent,2Pcs Side Air Conditioning Vent Trim Front Side Air Conditioning Outlet Vent,14.0,EUR,14.0,EUR,16,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison Express,7.0,true,,50,,,CN,kcuikoqkk,kcuikoqkk,100 % avis positifs (18 notes),18,4.611111111111111,5f58a0b550c22aece7d6b2f7,,,https://www.wish.com/c/5fd045ad0adec2ba83b78c15,https://canary.contestimg.wish.com/api/webimage/5fd045ad0adec2ba83b78c15-medium.jpg,5fd045ad0adec2ba83b78c15
2pcs Air Conditioning Vent Outlet Fit for Thalia I / Clio II (1998-2008),2pcs Air Conditioning Vent Outlet Fit for Thalia I / Clio II (1998-2008),31.0,EUR,31.0,EUR,37,0,,,5.0,0.0,,,,,,,,,,,,,34,Livraison Express,10.0,true,,34,,,CN,fredwg,fredwg,,0,5.0,5f8803524b654a532b799d84,,,https://www.wish.com/c/60830bb1b2da26b2b65827b2,https://canary.contestimg.wish.com/api/webimage/60830bb1b2da26b2b65827b2-medium.jpg,60830bb1b2da26b2b65827b2
Air conditioning blanket,Air conditioning blanket,32.0,EUR,66.0,EUR,38,0,,,5.0,0.0,,,,,,,,,,,black,"50""by40""",50,Livraison standard,10.0,false,,50,true,Quantité limitée !,US,buffiemcilwain,buffiemcilwain,,0,5.0,5f8afd8167ac9b2ca4be6795,,,https://www.wish.com/c/5fa0b8ae40707a0559c14ec4,https://canary.contestimg.wish.com/api/webimage/5fa0b8ae40707a0559c14ec4-medium.jpg,5fa0b8ae40707a0559c14ec4
"Vanne à bille motorisée à 3 voies, -1/4 connexion 2 vanne à bille en laiton de contrôle, pour le chauffage par le sol à énergie solaire","3 Way Motorized Ball Valve, -1/4 Connection 2 Control Brass Ball Valve, for Floor Heating Solar Energy Building Automation Air Conditioning",48.0,EUR,48.0,EUR,57.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison Express,22.0,true,,50,,,CN,shifang,shifang,"93 % avis positifs (24,291 notes)",24291,4.378288254909226,571738c0b25f7a0359ede83c,,,https://www.wish.com/c/5fd1172c0c005d52b395e9bb,https://canary.contestimg.wish.com/api/webimage/5fd1172c0c005d52b395e9bb-medium.jpg,5fd1172c0c005d52b395e9bb
Refrigeration Air Conditioning AC Diagnostic Manifold Double Gauge 3 Hoses Set,Refrigeration Air Conditioning AC Diagnostic Manifold Double Gauge 3 Hoses Set,29.0,EUR,29.0,EUR,34,0,,,5.0,0.0,,,,,,,,,,,,,34,Livraison standard,9.0,false,,34,true,Quantité limitée !,CN,Lkycaodell,lkycaodell,"92 % avis positifs (2,536 notes)",2536,4.407334384858044,5b456243f0490018efaad100,,,https://www.wish.com/c/607e4e3971cfd497400f7832,https://canary.contestimg.wish.com/api/webimage/607e4e3971cfd497400f7832-medium.jpg,607e4e3971cfd497400f7832
Apple iPhone XR 64 GB / 128GB / 256 GB (Refurbished-Excellent condition),Apple iPhone XR 64 GB / 128GB / 256 GB (Refurbished-Excellent condition),322.0,EUR,644.0,EUR,389.99,10,,,4.478260869565218,23.0,15,6,1,0,1,,,,,,white,64gb,4,Livraison standard,80.0,false,,4,,,US,JemJem Certified,jemjemcertified,"88 % avis positifs (12,930 notes)",12930,4.278576952822893,58e6a2e65e148e1fab9d3b8c,,,https://www.wish.com/c/5db78acaec09c177be79dd2b,https://canary.contestimg.wish.com/api/webimage/5db78acaec09c177be79dd2b-medium.jpg,5db78acaec09c177be79dd2b
"XL XXL XXXL Summer Outdoor USB Cooling Air Conditioning Conditioned Fans Jacket Coat Work Staff Long-Sleeve with Zipper, Preventing Sunstroke","XL XXL XXXL Summer Outdoor USB Cooling Air Conditioning Conditioned Fans Jacket Coat Work Staff Long-Sleeve with Zipper, Preventing Sunstroke",47.0,EUR,47.0,EUR,56.0,0,,,5.0,0.0,,,,,,,,,,,grey,xl,3,Livraison standard,12.0,false,,38,true,Quantité limitée !,CN,Fuerdai,fuerdai,"86 % avis positifs (8,628 notes)",8628,4.113699582753825,5b0fbf6901287534c3df8974,,,https://www.wish.com/c/5e15c1058b75110a972e7b15,https://canary.contestimg.wish.com/api/webimage/5e15c1058b75110a972e7b15-medium.jpg,5e15c1058b75110a972e7b15
1PC Air Conditioner Exhaust Hose Interface Air Conditioning Pipe Joint Special Air Conditioning Hose Joint for Mall Store Home,1PC Air Conditioner Exhaust Hose Interface Air Conditioning Pipe Joint Special Air Conditioning Hose Joint for Mall Store Home,12.0,EUR,12.0,EUR,14,0,,,5.0,0.0,,,,,,,,,,,,15.5x3.5x2cm,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,Katti-Free Shop,kattifreeshop,95 % avis positifs (231 notes),231,4.4978354978354975,5b8683d4a8c53a695ad1719a,,,https://www.wish.com/c/5f945c8fd76a0c2762b86af0,https://canary.contestimg.wish.com/api/webimage/5f945c8fd76a0c2762b86af0-medium.jpg,5f945c8fd76a0c2762b86af0
