title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
14pcs Herbal Health Care Unisex Control High Blood Pressure Treatments Hypertensie Patch,14pcs Herbal Health Care Unisex Control High Blood Pressure Treatments Hypertensie Patch,6.0,EUR,6.0,EUR,7,0,,,5.0,0.0,,,,,,,,,,,,14pcs,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Mitancai,mitancai,81 % avis positifs (26 notes),26,3.8846153846153846,5f4a2889636e6dc2d13e3cba,,,https://www.wish.com/c/5f57af0af0a03d00398efb5a,https://canary.contestimg.wish.com/api/webimage/5f57af0af0a03d00398efb5a-medium.jpg,5f57af0af0a03d00398efb5a
Grip Ball Sleeve Hand-Muscle Developer Cover Elastic Protective Cover Rehabilitation Exercise Tool Black,Grip Ball Sleeve Hand-Muscle Developer Cover Elastic Protective Cover Rehabilitation Exercise Tool Black,7.0,EUR,7.0,EUR,8,0,,,5.0,0.0,,,,,,,,,,,black,5x2cm,10,Livraison standard,2.0,false,,10,,,CN,babytianyi,babytianyi,91 % avis positifs (697 notes),697,4.352941176470588,5b1283bedaac457be22a043b,,,https://www.wish.com/c/600b7a7606acdc004baa6d4c,https://canary.contestimg.wish.com/api/webimage/600b7a7606acdc004baa6d4c-medium.jpg,600b7a7606acdc004baa6d4c
Adjustable Wheelchair Seat Belt Elderly Care Wheelchair Safety Belt Restraint Strap Enjo,Adjustable Wheelchair Seat Belt Elderly Care Wheelchair Safety Belt Restraint Strap Enjo,23.0,EUR,23.0,EUR,27,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,8.0,false,,50,true,Quantité limitée !,CN,Enjoy100COM,enjoy100com,"94 % avis positifs (14,721 notes)",14721,4.450105291760071,584694b5fef409658aa487c9,,,https://www.wish.com/c/600c838428812a8911564fd6,https://canary.contestimg.wish.com/api/webimage/600c838428812a8911564fd6-medium.jpg,600c838428812a8911564fd6
Convulse Bathroom Antiskid Pad,Convulse Bathroom Antiskid Pad,19.0,EUR,19.0,EUR,22,0,,,5.0,0.0,,,,,,,,,,,,onesize,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,US,Maestro League,maestroleague,,0,5.0,600d7532611602054fbef1f5,,,https://www.wish.com/c/604b2d59cc03ab41121d9d5b,https://canary.contestimg.wish.com/api/webimage/604b2d59cc03ab41121d9d5b-medium.jpg,604b2d59cc03ab41121d9d5b
14patch hypertension artérielle plâtre à base de plantes hypertension patch vaisseau sanguin propre,14patch High Blood Pressure Plaster Herbal Hypertension Patch Blood Vessel Clean,4.0,EUR,5.0,EUR,4.85,5,,,5.0,1.0,1,0,0,0,0,,,,,,,,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,XXyEsamPMen,xxyesampmen,"91 % avis positifs (11,419 notes)",11419,4.288992030825817,58f48b03da42631634bc6ae5,,,https://www.wish.com/c/5da021103082b7717cdaa18c,https://canary.contestimg.wish.com/api/webimage/5da021103082b7717cdaa18c-medium.jpg,5da021103082b7717cdaa18c
4pcs Silicone Cupping Therapy Set Thickening Cupping Cups For Pain Relief#,4pcs Silicone Cupping Therapy Set Thickening Cupping Cups For Pain Relief#,22.0,EUR,22.0,EUR,26,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,7.0,false,,50,,,CN,otcerth,otcerth,"94 % avis positifs (6,718 notes)",6718,4.427061625483775,58cb853e83e9b950f88c1061,,,https://www.wish.com/c/5ff91528081df8004e97e3bb,https://canary.contestimg.wish.com/api/webimage/5ff91528081df8004e97e3bb-medium.jpg,5ff91528081df8004e97e3bb
Maternity Fashion Short-sleeved Dress for Pregnant Women Breastfeeding Dress stai,Maternity Fashion Short-sleeved Dress for Pregnant Women Breastfeeding Dress stai,15.0,EUR,15.0,EUR,18,0,,,5.0,0.0,,,,,,,,,,,,xxl,50,Livraison standard,5.0,false,,50,,,CN,staishop,staishop,"95 % avis positifs (25,029 notes)",25029,4.475887969954853,583bab471591452494a74951,,,https://www.wish.com/c/5fcd9392623973e30013417e,https://canary.contestimg.wish.com/api/webimage/5fcd9392623973e30013417e-medium.jpg,5fcd9392623973e30013417e
This Noise Is Ours Convulse Printed Pillowcase 45cm*45cm,This Noise Is Ours Convulse Printed Pillowcase 45cm*45cm,10.0,EUR,10.0,EUR,12,0,,,5.0,0.0,,,,,,,,,,,,45cmx45cm,50,Livraison standard,3.0,false,,50,,,CN,LujuyoupC,lujuyoupc,82 % avis positifs (65 notes),65,4.092307692307692,5e959d663b55ac48eb197b96,,,https://www.wish.com/c/5fcdf5d873a776f8cb49cd80,https://canary.contestimg.wish.com/api/webimage/5fcdf5d873a776f8cb49cd80-medium.jpg,5fcdf5d873a776f8cb49cd80
Infrared Heating Massager Electric Finger Recovery Training Rehabilitat Balls MR,Infrared Heating Massager Electric Finger Recovery Training Rehabilitat Balls MR,25.0,EUR,25.0,EUR,30,0,,,5.0,0.0,,,,,,,,,,,,euplug,50,Livraison standard,8.0,false,,50,,,CN,Amazingzhouxi,amazingzhouxi,"90 % avis positifs (2,387 notes)",2387,4.297444490992878,5b0e53286b930235ff10c3e2,,,https://www.wish.com/c/5fd16fcb315b6800430d0891,https://canary.contestimg.wish.com/api/webimage/5fd16fcb315b6800430d0891-medium.jpg,5fd16fcb315b6800430d0891
6pcs Cupping Therapy Set Cupping Cups Vacuum Suction Massage Cups Cupping Sets juny ,6pcs Cupping Therapy Set Cupping Cups Vacuum Suction Massage Cups Cupping Sets juny ,15.0,EUR,15.0,EUR,17,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,5.0,false,,50,,,CN,Junyuyuan,junyuyuan,"95 % avis positifs (5,686 notes)",5686,4.530953218431234,5955eb3b53ebe20362f40e94,,,https://www.wish.com/c/607b05ab7ba6afa3e6cb5ed0,https://canary.contestimg.wish.com/api/webimage/607b05ab7ba6afa3e6cb5ed0-medium.jpg,607b05ab7ba6afa3e6cb5ed0
