title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
"CHUWI le plus récent HeroBook Pro 14,1 pouces ordinateur portable Intel N4000 CPU Win10 OS 8 Go LDDR4 + 256 Go SSD bordure étroite avec sac à main",CHUWI Newest  HeroBook Pro 14.1 Inch Laptop Intel N4000 CPU  Win10 OS 8GB LDDR4 +256GB SSD  Narrow Border  with Handbag ,285.0,EUR,550.0,EUR,345.0,10,,,4.137931034482759,58.0,37,7,6,1,7,,,,,,,laptop,28,Livraison Express,16.0,true,,50,true,Quantité limitée !,CN,weicf5555,weicf5555,90 % avis positifs (994 notes),994,4.4124748490945676,5d57bcb52736780240185d61,,,https://www.wish.com/c/5ed47b6abd625a5781045be2,https://canary.contestimg.wish.com/api/webimage/5ed47b6abd625a5781045be2-medium.jpg,5ed47b6abd625a5781045be2
"PU Cooler Air Cooling Fan, CPU Cooling, Double CPU Cooler Office Internet Bar for Servers","PU Cooler Air Cooling Fan, CPU Cooling, Double CPU Cooler Office Internet Bar for Servers",24.0,EUR,24.0,EUR,29,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison Express,15.0,true,,50,,,CN,hejardeny,hejardeny,86 % avis positifs (81 notes),81,4.135802469135802,5ede098957d34e90000fdf29,,,https://www.wish.com/c/5fd21db7a2b4a28f192dbd21,https://canary.contestimg.wish.com/api/webimage/5fd21db7a2b4a28f192dbd21-medium.jpg,5fd21db7a2b4a28f192dbd21
Thermique Grizzly Kryonaut 1g pour CPU Intel processeur dissipateur de chaleur ventilateur composé refroidissement pâte thermique refroidisseur thermique graisse VIN,Thermal Grizzly Kryonaut 1g for CPU  Intel Processor Heatsink Fan Compound Cooling Thermal Paste Cooler Thermal Grease VIN,7.0,EUR,33.0,EUR,8,10,,,5.0,1.0,1,0,0,0,0,,,,,,,1pc,50,Livraison standard,3.0,false,,50,,,CN,Vincent_Store,vincent_store,"91 % avis positifs (25,443 notes)",25443,4.328341783594702,577625285288bd770b23fc18,,,https://www.wish.com/c/5e9eb64b6774a704ba497260,https://canary.contestimg.wish.com/api/webimage/5e9eb64b6774a704ba497260-medium.jpg,5e9eb64b6774a704ba497260
"Overseas 1488138 CORSAIR Corsair ONE a100 Compact Gaming PC-AMD Ryzen 9 3950X CPU-NVIDIA GeForce RTX 2, One Color_AMD RYZEN 9 3950X, voir détails 0, voir détails 0","Overseas 1488138 CORSAIR Corsair ONE a100 Compact Gaming PC-AMD Ryzen 9 3950X CPU-NVIDIA GeForce RTX 2, One Color_AMD RYZEN 9 3950X, see details 0, see details 0",22578.0,EUR,22578.0,EUR,27374.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,CA,othep,othep,60 % avis positifs (5 notes),5,3.2,5ff04c48c9720a6520e73166,,,https://www.wish.com/c/5fff89a0719c2dc7bcb1a0c3,https://canary.contestimg.wish.com/api/webimage/5fff89a0719c2dc7bcb1a0c3-medium.jpg,5fff89a0719c2dc7bcb1a0c3
Processeur AMD Ryzen 5 Matisse 3ème génération 3600 100-100000031BOX,AMD Ryzen 5 Matisse 3rd Generation 3600 CPU 100-100000031BOX,781.0,EUR,781.0,EUR,946.0,0,,,5.0,0.0,,,,,,,,,,,,,2,Livraison standard,12.0,false,,2,,,KR,huinayuna,huinayuna,,0,5.0,5fd268ed4b35fb269ab253ab,,,https://www.wish.com/c/5feff3b5d6b9b78af5dbb627,https://canary.contestimg.wish.com/api/webimage/5feff3b5d6b9b78af5dbb627-medium.jpg,5feff3b5d6b9b78af5dbb627
"NERMAX LIQFUSION 240 ARGB CPU COOLER, ELC-LF240-RGB","NERMAX LIQFUSION 240 ARGB CPU COOLER, ELC-LF240-RGB",215.0,EUR,215.0,EUR,260.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,17.0,false,,3,,,KR,atcmart,atcmart,67 % avis positifs (6 notes),6,3.8333333333333335,5fe2119d5265268f81dec682,,,https://www.wish.com/c/5ff288651026b101a78ed005,https://canary.contestimg.wish.com/api/webimage/5ff288651026b101a78ed005-medium.jpg,5ff288651026b101a78ed005
Refroidisseur de processeur Thermolab TRINITY WHITE LED 6.0 d'origine,Thermolab TRINITY WHITE LED 6.0 CPU Cooler Upgrade Genuine,156.0,EUR,156.0,EUR,188.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,9.0,false,,50,true,Quantité limitée !,KR,KOREASOME,koreasome,81 % avis positifs (16 notes),16,3.875,5fdd9c94b9c73f0d6a41e69e,,,https://www.wish.com/c/5fec3c06a425e15013a60022,https://canary.contestimg.wish.com/api/webimage/5fec3c06a425e15013a60022-medium.jpg,5fec3c06a425e15013a60022
"Manual Speed Regulation Automatic Temperature Control Fan Speed Controller, PC Fan Speed Governor, for Computer CPU Fan","Manual Speed Regulation Automatic Temperature Control Fan Speed Controller, PC Fan Speed Governor, for Computer CPU Fan",5.0,EUR,5.0,EUR,6,1,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,Dontowwn,dontowwn,"93 % avis positifs (3,431 notes)",3431,4.391722529874672,5afa7f1e5ccdca7670a0679a,,,https://www.wish.com/c/5fd38a192e69cfb4b2f10a62,https://canary.contestimg.wish.com/api/webimage/5fd38a192e69cfb4b2f10a62-medium.jpg,5fd38a192e69cfb4b2f10a62
MSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e8d2fcd9719ed640496767c,,5e8d2fcd9719ed640496767c
Le processeur Intel Xeon X5450 utilisé 3.0GHz 12MB 1333MHz CPU fonctionne sur la carte mère LGA775,Used Intel Xeon X5450 Processor 3.0GHz 12MB 1333MHz CPU works on LGA775 motherboard,20.0,EUR,20.0,EUR,24,10,,,4.666666666666667,3.0,2,1,0,0,0,,,,,,,,2,Livraison standard,6.0,false,,2,,,CN,lusanliang,lusanliang,90 % avis positifs (130 notes),130,4.338461538461538,5d45563ff320406845a786ab,,,https://www.wish.com/c/5e8d7ef920c9b708c017f1f7,https://canary.contestimg.wish.com/api/webimage/5e8d7ef920c9b708c017f1f7-medium.jpg,5e8d7ef920c9b708c017f1f7
