title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
1/2 pièces 18g crème d'eczéma soins de la peau dermatite psoriasis pommade antibactérienne anti-démangeaisons soulagement de la douleur,1/2Pcs 18g Eczema Cream Skin Care Dermatitis Psoriasis Antibacterial Ointment Anti-itching Pain Relieving ,3.99,EUR,4.0,EUR,4.84,10,,,4.777777777777778,9.0,7,2,0,0,0,,,,,,,1pcs,50,Livraison standard,1.0,false,,50,,,CN,yybfashionjewelry,sunshineofficestore,"88 % avis positifs (1,786 notes)",1786,4.170212765957447,5afe5b00cfb4e56ba5167d02,,,https://www.wish.com/c/5f4dee528efbad02495f9e0e,https://canary.contestimg.wish.com/api/webimage/5f4dee528efbad02495f9e0e-medium.jpg,5f4dee528efbad02495f9e0e
15g / 30g / 45g Soins de Santé Peau Champignon Anti Bactérien Crème Naturel Chinois Herbes Crème Onitment pour Psoriasis Dermatite Eczéma Traitement,15g/30g/45g Health Care Skin Fungus Anti Bacterial Cream Natural Chinese Herbs Cream Onitment for Psoriasis Dermatitis Eczema Treatment,2.28,EUR,36.0,EUR,2.76,1000,,,4.428940568475452,387.0,269,55,36,14,13,,,,,,,1pcs,50,Livraison standard,1,false,,50,,,CN,shenzhenfangrong,shenzhenfangrong,"92 % avis positifs (14,824 notes)",14824,4.307811656772801,592fe8267fcf2d292d60f356,,,https://www.wish.com/c/5c9a17c601de4174ba686c0b,https://canary.contestimg.wish.com/api/webimage/5c9a17c601de4174ba686c0b-medium.jpg,5c9a17c601de4174ba686c0b
1 pc / 3 pièces Zudaifu peau psoriasis crème dermatite eczématoïde eczéma pommade traitement psoriasis crème soin de la peau crème,1pc/3pcs Zudaifu Skin Psoriasis Cream Dermatitis Eczematoid Eczema Ointment Treatment Psoriasis Cream Skin Care Cream,6.0,EUR,6.0,EUR,7,10,,,4.722222222222222,18.0,14,3,1,0,0,,,,,,,3pcs,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,zhaoshigangs,zhaoshigangs,"81 % avis positifs (4,501 notes)",4501,3.92846034214619,5f326b69dfa31175fc97b4f3,,,https://www.wish.com/c/5fd47711d40fa9cd4a35ad7a,https://canary.contestimg.wish.com/api/webimage/5fd47711d40fa9cd4a35ad7a-medium.jpg,5fd47711d40fa9cd4a35ad7a
"New 10g/20g/30g/50g Eczema Psoriasis Cream for Athletes Foot, Jock Itch, Ringworm, Eczema, Mosquito bites , Rash, Foot&Body Care Cream","New 10g/20g/30g/50g Eczema Psoriasis Cream for Athletes Foot, Jock Itch, Ringworm, Eczema, Mosquito bites , Rash, Foot&Body Care Cream",4.7,EUR,5.0,EUR,5.7,8,,,5.0,0.0,,,,,,,,,,,,50g,50,Livraison standard,1.0,false,,50,,,CN,Meiguxian,meiguxian,(5 notes),5,4.0,5f952135f442967c92dfb5e6,,,https://www.wish.com/c/6073e854ba300da5b1d0e66e,https://canary.contestimg.wish.com/api/webimage/6073e854ba300da5b1d0e66e-medium.jpg,6073e854ba300da5b1d0e66e
La Roche-Posay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5eaaeff49719ed25a17f4525,,5eaaeff49719ed25a17f4525
Herbal Extract Anti-Inching Ointment Foot Peeling Beriberi Eczema Treatment Cream Foot Care Tanm,Herbal Extract Anti-Inching Ointment Foot Peeling Beriberi Eczema Treatment Cream Foot Care Tanm,10.0,EUR,10.0,EUR,11,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison Express,8.0,true,,50,,,CN,Tanmeii,tanmeii,100 % avis positifs (11 notes),11,4.636363636363637,5f58791025184042df03d3fd,,,https://www.wish.com/c/600ff8574414756c4f94dd0c,https://canary.contestimg.wish.com/api/webimage/600ff8574414756c4f94dd0c-medium.jpg,600ff8574414756c4f94dd0c
1/2/3Pcs 20g Herbal Antibacterial Cream Dermatitis Ointment Treatment Eczema Psoriasis Anti-Itching Medical Plaster with Box,1/2/3Pcs 20g Herbal Antibacterial Cream Dermatitis Ointment Treatment Eczema Psoriasis Anti-Itching Medical Plaster with Box,4.12,EUR,17.0,EUR,5.0,10,,,5.0,0.0,,,,,,,,,,,,1pcs,50,Livraison standard,2.0,false,,50,,,CA,Outsidern,outsidern,100 % avis positifs (4 notes),4,4.25,5fd0f1b4c23325f86447d4ee,,,https://www.wish.com/c/6048d1b9d5c1a8e4b3b629cf,https://canary.contestimg.wish.com/api/webimage/6048d1b9d5c1a8e4b3b629cf-medium.jpg,6048d1b9d5c1a8e4b3b629cf
Sumifun Tiger Balm Skin Care Treatment Eczema Psoriasis Dermatitis Ointment Herbal Antibacterial Cream Anti-Itch Plaster,Sumifun Tiger Balm Skin Care Treatment Eczema Psoriasis Dermatitis Ointment Herbal Antibacterial Cream Anti-Itch Plaster,3.17,EUR,4.0,EUR,3.84,10,,,5.0,0.0,,,,,,,,,,,,1pc,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,ganpingqiudu,ganpingqiudu,95 % avis positifs (19 notes),19,4.421052631578948,5efad4e229e7862fd84a2263,,,https://www.wish.com/c/5f6c08591cf2c40b23686264,https://canary.contestimg.wish.com/api/webimage/5f6c08591cf2c40b23686264-medium.jpg,5f6c08591cf2c40b23686264
2/1pc Skin Psoriasis Eczma Cream for All Kinds of Skin Problems Chinese Herbal Antibacterial Ointment Skin Care,2/1pc Skin Psoriasis Eczma Cream for All Kinds of Skin Problems Chinese Herbal Antibacterial Ointment Skin Care,3.13,EUR,9.0,EUR,3.79,10,,,5.0,1.0,1,0,0,0,0,,,,,,,1pcs,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,US,GLCQS0EWX,glcqs0ewx,80 % avis positifs (244 notes),244,3.9221311475409837,5e7b696d0abba564455e5d23,,,https://www.wish.com/c/6059a77cbdff6c55703a7b1f,https://canary.contestimg.wish.com/api/webimage/6059a77cbdff6c55703a7b1f-medium.jpg,6059a77cbdff6c55703a7b1f
1PC crème de psoriasis pour le corps Ultra force dermatite eczématoïde eczéma pommade traitement psoriasis baume 20g,1PC Ultra Strength Body Psoriasis Cream Dermatitis Eczematoid Eczema Ointment Treatment Psoriasis Balm 20g,3.11,EUR,4.0,EUR,3.77,1000,,,4.041958041958042,143.0,81,17,27,6,12,,,,,,,20g,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,GREEN CATT,greencatt,80 % avis positifs (667 notes),667,3.8530734632683656,5de2882739adf203806af778,,,https://www.wish.com/c/5e4fd32d7d982568c0bc723f,https://canary.contestimg.wish.com/api/webimage/5e4fd32d7d982568c0bc723f-medium.jpg,5e4fd32d7d982568c0bc723f
Amazing Aloe Vera Eczema and Psoriasis Cream with Manuka Honey by Green Leaf Naturals - 4 oz,Amazing Aloe Vera Eczema and Psoriasis Cream with Manuka Honey by Green Leaf Naturals - 4 oz,68.0,EUR,68.0,EUR,82.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,12.0,false,,3,true,Quantité limitée !,KR,gatigajayo,gatigajayo,50 % avis positifs (2 notes),2,3.0,600ac56fd11c89bf806c1304,,,https://www.wish.com/c/601b6d4629badf4499666f13,https://canary.contestimg.wish.com/api/webimage/601b6d4629badf4499666f13-medium.jpg,601b6d4629badf4499666f13
4/2/1 pièces Zudaifu peau psoriasis crème dermatite eczématoïde eczéma pommade traitement psoriasis crème crème de soin de la peau,4/2/1pcs Zudaifu Skin Psoriasis Cream Dermatitis Eczematoid Eczema Ointment Treatment Psoriasis Cream Skin Care Cream,10.0,EUR,10.0,EUR,11,7,,,5.0,0.0,,,,,,,,,,,,4pcs,50,Livraison standard,2.0,false,,50,,,CN,withoutyour,withoutyour,"84 % avis positifs (4,697 notes)",4697,4.0117096018735365,58eca2f922495c62ba066ca5,,,https://www.wish.com/c/5f97f0defdc530003b573647,https://canary.contestimg.wish.com/api/webimage/5f97f0defdc530003b573647-medium.jpg,5f97f0defdc530003b573647
"Pommade de crème de psoriasis à base de plantes chinoises de haute qualité, eczéma, prurit",High Quality  Chinese Herbal Psoriasis Dermatitis Eczema Pruritus Psoriasis Cream Ointment,2.22,EUR,3.0,EUR,2.69,10,,,5.0,0.0,,,,,,,,,,,,1pc,50,Livraison standard,1,false,,50,,,CN,shenzhuo,shenzhuo,"85 % avis positifs (3,642 notes)",3642,4.063426688632619,5a7049cbb722cf2707a8efef,,,https://www.wish.com/c/5fcb2a1850a365068605a7ad,https://canary.contestimg.wish.com/api/webimage/5fcb2a1850a365068605a7ad-medium.jpg,5fcb2a1850a365068605a7ad
Yiganerjing sans effets secondaires sécurité menthe naturelle psoriasis eczéma corps crème antibactérienne savon au soufre adapté à toutes les maladies de la peau crème de soin,Yiganerjing No Side Effects Safety Natural Mint Psoriasis Eczema Body Antibacterial Cream Sulfur soap Suitable All Skin Diseases Care Cream ,5.0,EUR,5.0,EUR,5,10,,,4.407407407407407,27.0,20,2,3,0,2,,,,,,,5pcssulfursoap,50,Livraison standard,1.0,false,,50,,,CN,Fashionjewery2017,fashionjewery2017,"90 % avis positifs (32,150 notes)",32150,4.26049766718507,59315519fc0f2466df6acac2,,,https://www.wish.com/c/5e6c7b5134af4231c97c2ac3,https://canary.contestimg.wish.com/api/webimage/5e6c7b5134af4231c97c2ac3-medium.jpg,5e6c7b5134af4231c97c2ac3
Qic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f3911e290b8a696942963c9,,5f3911e290b8a696942963c9
