title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Nouveau sac de pâte Silicone pétrissage machine à pain mélange farine mélangeur de cuisine pâtisserie 1 PC,New Dough Bag Silicone Kneading Bread Maker Mixing Flour Kitchen Mixer Pastry 1PC,8.0,EUR,8.0,EUR,9,4,,,5.0,0.0,,,,,,,,,,,,1pc,50,Livraison standard,3.0,false,,50,,,CN,TmaoFun,twentylury,"89 % avis positifs (37,979 notes)",37979,4.183364490902868,5b87a8336cff991b8b86e21a,,,https://www.wish.com/c/5f18fe0f55e50e2c83dd99a2,https://canary.contestimg.wish.com/api/webimage/5f18fe0f55e50e2c83dd99a2-medium.jpg,5f18fe0f55e50e2c83dd99a2
Farine à main en acier inoxydable maille tamis tasse poudre farine tamis glaçage sucre cuire pâtisserie outil tamis,Handheld Flour Stainless Steel Mesh Sieve Cup Powder Flour Sieve Icing Sugar Bake Pastry Tool Sifters,7.0,EUR,7.0,EUR,8,4,,,5.0,0.0,,,,,,,,,,,blue,,8,Livraison standard,3.0,false,,11,,,CN,malian435401,malian435401,"90 % avis positifs (2,286 notes)",2286,4.225721784776903,5b3f189d2f8e5218e8e42b01,,,https://www.wish.com/c/5ebd150f39ca1453782cb0fd,https://canary.contestimg.wish.com/api/webimage/5ebd150f39ca1453782cb0fd-medium.jpg,5ebd150f39ca1453782cb0fd
1000 / 1500ML boîte de rangement de grain cuisine réservoir de stockage mural de grain de grain de riz scellé peut distributeur de farine d'avoine,1000/1500ML Grain Storage Box Kitchen Wall-mounted Grain Storage Tank Rice Bean Sealed Can Oatmeal Dispenser ,10.0,EUR,15.0,EUR,11,10,,,3.2666666666666666,15.0,6,3,0,1,5,,,,,,,1000ml,50,Livraison standard,2.0,false,,50,,,CN,Eerancy Shop,eerancyshop,"(4,473 notes)",4473,4.142410015649452,5b6405c9380474269d1f3d0d,,,https://www.wish.com/c/5e69d2681862db1100ff4fd1,https://canary.contestimg.wish.com/api/webimage/5e69d2681862db1100ff4fd1-medium.jpg,5e69d2681862db1100ff4fd1
I Survived The Blue Bell Ice Cream Famine 2015 Funny T-shirt Purple,I Survived The Blue Bell Ice Cream Famine 2015 Funny T-shirt Purple,16.0,EUR,16.0,EUR,19,0,,,5.0,0.0,,,,,,,,,,,,s,50,Livraison standard,6.0,false,,50,,,CN,xiamengyan0812349,xiamengyan0812349,,0,5.0,6002741fdfb8e83a25edd7ff,,,https://www.wish.com/c/603c803163e3e0016a726d36,https://canary.contestimg.wish.com/api/webimage/603c803163e3e0016a726d36-medium.jpg,603c803163e3e0016a726d36
Step2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ed8d4a190b8a634bae4fe0f,,5ed8d4a190b8a634bae4fe0f
Manivelle de passoire de tamis de passoire de farine de poudre de maille d'écran de tasse de tamis d'acier inoxydable,Stainless Steel Sieve Cup Screen Mesh Powder Flour Colander Sieve Hand Crank,4.73,EUR,17.0,EUR,5.73,2,,,5.0,0.0,,,,,,,,,,,silver,1pc,50,Livraison standard,2.0,false,,50,,,CN,YuChenJia,yuchenjia,"90 % avis positifs (4,603 notes)",4603,4.277645014121226,59a92214776ab96fcff78181,,,https://www.wish.com/c/5b8fab7250054832a9dd6e25,https://canary.contestimg.wish.com/api/webimage/5b8fab7250054832a9dd6e25-medium.jpg,5b8fab7250054832a9dd6e25
Passoire à thé d'huile de tamis de tamis de passoire de farine de fil de maille fine d'acier inoxydable de mode,Fashion  Stainless Steel Fine Mesh Wire Flour Colander Sifter Sieve Oil Tea Strainer,4.71,EUR,5.0,EUR,5.71,10,,,4.666666666666667,9.0,6,3,0,0,0,,,,,,,onesize,50,Livraison standard,2.0,false,,50,,,CN,maom,maom,"92 % avis positifs (1,569 notes)",1569,4.309751434034417,59367c481298196c28636136,,,https://www.wish.com/c/5af4cdd69a7dd63582803f75,https://canary.contestimg.wish.com/api/webimage/5af4cdd69a7dd63582803f75-medium.jpg,5af4cdd69a7dd63582803f75
Acier inoxydable tamis à farine de poche tamis tasse maille shaker cuisine outils de cuisson,Stainless Steel Flour Sifter  Handheld Sieve Cup Mesh Shaker Kitchen Bake Tools ,7.0,EUR,33.0,EUR,8,10,,,5.0,1.0,1,0,0,0,0,,,,,,green,,50,Livraison standard,3.0,false,,50,,,CN,Keeptop international,keeptopinternational,"92 % avis positifs (24,725 notes)",24725,4.3033771486349846,53ad2f5a46188e43c8b6bef6,,,https://www.wish.com/c/5e7095f54c48b900401a059b,https://canary.contestimg.wish.com/api/webimage/5e7095f54c48b900401a059b-medium.jpg,5e7095f54c48b900401a059b
Outil de cuisson à secoueur à tamis à farine à main électrique,Electric Hand-Held Flour Sieve Sifter Shaker Baking Tool,17.0,EUR,17.0,EUR,20,4,,,4.5,2.0,1,1,0,0,0,,,,,,,,43,Livraison standard,6.0,false,,43,,,CN,zhouyijian,zhouyijian,"86 % avis positifs (4,695 notes)",4695,4.108626198083067,5b34a7104406b221bf1ea40f,,,https://www.wish.com/c/5e3a567e8a6fec2e530d04f2,https://canary.contestimg.wish.com/api/webimage/5e3a567e8a6fec2e530d04f2-medium.jpg,5e3a567e8a6fec2e530d04f2
8 pcs Cuillère En Acier Inoxydable Cuillère À Mesurer Cuillère Ensemble Farine Lait Café Échelle Scoop,8pcs Stainless Steel Bake Measuring Cup Spoon Set Flour Milk Coffee Scale Scoop,6.0,EUR,6.0,EUR,7,10,,,4.666666666666667,3.0,2,1,0,0,0,,,,,,,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,jiashenghuoqipian,jiashenghuoqipian,"90 % avis positifs (2,644 notes)",2644,4.296898638426626,5ad0208418d9211c7ea92281,,,https://www.wish.com/c/5d11d7a68371ad657068ecec,https://canary.contestimg.wish.com/api/webimage/5d11d7a68371ad657068ecec-medium.jpg,5d11d7a68371ad657068ecec
