title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
"Alani Nu Whey Protein Powder, 23g of Ultra-Premium, Gluten-Free, Low Fat Blend of Fast-digesting Protein, Confetti Cake, 30 Servings","Alani Nu Whey Protein Powder, 23g of Ultra-Premium, Gluten-Free, Low Fat Blend of Fast-digesting Protein, Confetti Cake, 30 Servings",139.0,EUR,139.0,EUR,168.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,12.0,false,,3,,,KR,gumaehae,gumaehae,,0,5.0,600fe57a79f206494221a926,,,https://www.wish.com/c/603b3797c83b96003f9d80a6,https://canary.contestimg.wish.com/api/webimage/603b3797c83b96003f9d80a6-medium.jpg,603b3797c83b96003f9d80a6
"2021 nouvelle détox à la cannelle minceur graisse amincissante TEATOX, désintoxication matinale douce, réduction et désintoxication des graisses nocturnes, produits minceur thé beauté et perte de poids 5/10/20/40 jours","2021 new cinnamon detox slimming fat fat slimming TEATOX, mild morning detoxification, night fat reduction and detoxification, beauty and weight loss tea slimming products 5/10/20/40 days",3.9,EUR,10.0,EUR,4.73,10,,,3.6666666666666665,6.0,1,2,3,0,0,,,,,,white,5days,6,Livraison standard,1.0,false,,50,,,CN,Shenzhen Phoenix Electronic Technology,shenzhenphoenixelectronictechnology,86 % avis positifs (686 notes),686,4.13265306122449,5d4bcba9933fb153ca201494,,,https://www.wish.com/c/5ff6df699be73a2fc9a3b9ac,https://canary.contestimg.wish.com/api/webimage/5ff6df699be73a2fc9a3b9ac-medium.jpg,5ff6df699be73a2fc9a3b9ac
"Perte de poids avancée Keto Diet Pills Brûleur de graisse pour la perte de poids, coupe-faim, booster de métabolisme - 2 bouteilles","Advanced Weight Loss Keto Diet Pills Fat Burner For Weight Loss, Appetite Suppressant, Metabolism Booster - 2 Bottles",32.0,EUR,32.0,EUR,38,10,,,5.0,3.0,3,0,0,0,0,,,,,,,2bottles,50,Livraison standard,10.0,false,,50,true,Quantité limitée !,US,Titan Nutrition,titannutrition,89 % avis positifs (461 notes),461,4.182212581344903,5e4c9d632d835dc300e2951e,,,https://www.wish.com/c/5e62d4e1f2bec8061f6e416f,https://canary.contestimg.wish.com/api/webimage/5e62d4e1f2bec8061f6e416f-medium.jpg,5e62d4e1f2bec8061f6e416f
Qualité supérieure 60/120/180 pcs Perte de Poids Anti-Cellulite Nombril Bâton Brûler Les Graisse Patches Rapide Minceur Produit,Superior Quality 60/120/180pcs Weight Loss Anti-Cellulite Navel Stick Fat Burning Patches Quick Slimming Product,3.01,EUR,11.0,EUR,3.65,1000,,,4.271634615384615,416.0,259,71,48,16,22,,,,,,,60pcs,50,Livraison standard,1.0,false,,50,,,CN,tangjunshi,tangjunshi,"90 % avis positifs (1,262 notes)",1262,4.2757527733755945,5d8493b3670f8e5685859837,,,https://www.wish.com/c/5eeb148ce194b10b19fb1bcc,https://canary.contestimg.wish.com/api/webimage/5eeb148ce194b10b19fb1bcc-medium.jpg,5eeb148ce194b10b19fb1bcc
Ginger Fat Burning Cream Anti Cellulite Full Body Slimming Weight Loss Massaging Cream ,Ginger Fat Burning Cream Anti Cellulite Full Body Slimming Weight Loss Massaging Cream ,4.0,EUR,6.0,EUR,4,10,,,5.0,0.0,,,,,,,,,,,,20g,50,Livraison standard,1.0,false,,50,,,CN,usgroup1987,usgroup1987,91 % avis positifs (782 notes),782,4.29923273657289,5d54fb951527545480b9e7f6,,,https://www.wish.com/c/6059b9ff5a8ef6bb6e80ed27,https://canary.contestimg.wish.com/api/webimage/6059b9ff5a8ef6bb6e80ed27-medium.jpg,6059b9ff5a8ef6bb6e80ed27
Femmes hommes Shapewear Body Shaper perte de poids Fitness brûleur de graisse taille tondeuse bande soutien du dos ventre contrôle du ventre,Women's Men's Shapewear Body Shaper Weight Loss Fitness Fat Burner Waist Trimmer Band Back Support Tummy Belly Control,4.69,EUR,5.0,EUR,5.6899999999999995,1000,,,3.690265486725664,226.0,104,39,31,13,39,,,,,,black,s,50,Livraison standard,1.0,false,,50,,,US,neightwtv,neightwtv,"(1,059 notes)",1059,4.089707271010387,5e606317ce3d48cbbd374658,,,https://www.wish.com/c/5ef1af96e152e641a1b9d18b,https://canary.contestimg.wish.com/api/webimage/5ef1af96e152e641a1b9d18b-medium.jpg,5ef1af96e152e641a1b9d18b
1 Pairs Anti Sagging Flabby Arms Sleeve Arms Slimming Wrap Burn Fat Arm Shaper S-5XL,1 Pairs Anti Sagging Flabby Arms Sleeve Arms Slimming Wrap Burn Fat Arm Shaper S-5XL,4.73,EUR,5.0,EUR,5.73,10,,,3.75,4.0,2,0,1,1,0,,,,,,,ss/m,3,Livraison standard,2.0,false,,50,,,CN,Goldlovess,goldlovess,"94 % avis positifs (2,607 notes)",2607,4.4530111238972,582ef823d914f57f9d159b62,,,https://www.wish.com/c/6038572f40a5e2005402c3b2,https://canary.contestimg.wish.com/api/webimage/6038572f40a5e2005402c3b2-medium.jpg,6038572f40a5e2005402c3b2
"Brûler les graisses et détoxifier le thé fin, humidifier l'intestin et détoxifier le matin, réduire les graisses et perdre du poids le soir.","Burning fat and detoxifying thin tea, moistening intestine and detoxifying in the morning, reducing fat and losing weight in the evening.",2.27,EUR,3.0,EUR,2.75,10,,,3.625,8.0,3,1,2,2,0,,,,,,white,10daymorningtea,50,Livraison standard,1,false,,50,,,CN,tiankun16863896,tiankun16863896,83 % avis positifs (6 notes),6,4.166666666666667,6039dec442a35409fc5e2e5c,,,https://www.wish.com/c/6041cde9d36295a6476e476c,https://canary.contestimg.wish.com/api/webimage/6041cde9d36295a6476e476c-medium.jpg,6041cde9d36295a6476e476c
Nouveau corps minceur Instrument de beauté RF infrarouge 1Mhz ultrasons EMS Cavitation Machine réduction de graisse barre de beauté machine de perte de poids,New Body Slimming Beauty Instrument RF Infrared 1Mhz Ultrasound EMS Cavitation Machine Fat Reduction Beauty Bar Weight Loss Machine,10.0,EUR,10.0,EUR,12,10,,,4.5,2.0,1,1,0,0,0,,,,,,pink,anti-wrinklefacemassager,50,Livraison standard,3.0,false,,50,,,CN,laiguanbeauty,laiguanbeauty,100 % avis positifs (2 notes),2,5.0,6007b401184e634028c364b9,,,https://www.wish.com/c/6013a755d4951f5abd5dda19,https://canary.contestimg.wish.com/api/webimage/6013a755d4951f5abd5dda19-medium.jpg,6013a755d4951f5abd5dda19
Vaslanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8d71d3eb31f9a6cce12c0f,,5f8d71d3eb31f9a6cce12c0f
