title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
April Fool's Day T-shirt -All Sizes *High Quality* horror,April Fool's Day T-shirt -All Sizes *High Quality* horror,19.0,EUR,19.0,EUR,22,0,,,5.0,0.0,,,,,,,,,,,,men-s,50,Livraison standard,5.0,false,,50,true,Quantité limitée !,CN,Xinlan66088,xinlan66088,85 % avis positifs (266 notes),266,3.992481203007519,5e61da18039ce2265c0ed633,,,https://www.wish.com/c/5fa0b24194ddbc39940a2d8c,https://canary.contestimg.wish.com/api/webimage/5fa0b24194ddbc39940a2d8c-medium.jpg,5fa0b24194ddbc39940a2d8c
Fool's Gold1 Portable Insulation Bag,Fool's Gold1 Portable Insulation Bag,19.0,EUR,19.0,EUR,22,0,,,5.0,0.0,,,,,,,,,,,,onesize,50,Livraison standard,6.0,false,,50,,,CN,zuojialei,zuojialei,100 % avis positifs (7 notes),7,4.428571428571429,5ffd31510d383a3b3059a6bc,,,https://www.wish.com/c/6050263d29ad47260dd9b77e,https://canary.contestimg.wish.com/api/webimage/6050263d29ad47260dd9b77e-medium.jpg,6050263d29ad47260dd9b77e
VETERANS coffee mug - Don't let the gray hair fool you we can still kick ass - Funny Army agent orange Vietnam Veteran gift,VETERANS coffee mug - Don't let the gray hair fool you we can still kick ass - Funny Army agent orange Vietnam Veteran gift,17.0,EUR,17.0,EUR,20,0,,,5.0,0.0,,,,,,,,,,,white,11oz,50,Livraison Express,6.0,true,,50,,,VN,City Fashion1,cityfashion1,100 % avis positifs (10 notes),10,4.9,5f97bd9903946c0add50198a,,,https://www.wish.com/c/5fbf87e099e6e43ecf622ca6,https://canary.contestimg.wish.com/api/webimage/5fbf87e099e6e43ecf622ca6-medium.jpg,5fbf87e099e6e43ecf622ca6
Landscape The Mariner's Chest Puzzle Game Puzzles for Adults for April Fool's Day,Landscape The Mariner's Chest Puzzle Game Puzzles for Adults for April Fool's Day,28.0,EUR,28.0,EUR,33,0,,,5.0,0.0,,,,,,,,,,,multicolor,1000pcs,50,Livraison standard,8.0,false,,50,true,Quantité limitée !,US,Wayne  	Andrews,wayneandrews,72 % avis positifs (18 notes),18,3.7777777777777777,5f453970f89c2105a88ce6b4,,,https://www.wish.com/c/6057ff9a4022a181f04fa842,https://canary.contestimg.wish.com/api/webimage/6057ff9a4022a181f04fa842-medium.jpg,6057ff9a4022a181f04fa842
1 pièces 45X23.5Cm 2020 Holloween crâne écharpe Ski cyclisme moteur cou Tube Snowboard cou plus chaud masque facial cagoule Bandana fête du fou Clown Cosplay masque,1 Pcs 45X23.5Cm 2020 Holloween Skull Scarf Ski Cycling Motor Neck Tube Snowboard  Neck Warmer Face Mask Balaclava Bandana Party Fool'S Day Clown Cosplay Mask,2.0,EUR,2.0,EUR,2.13,10,,,4.1,10.0,5,3,1,0,1,,,,,,,ho2,5,Livraison standard,2.05,false,,50,,,CN,Maotaer,maotaer,"93 % avis positifs (4,850 notes)",4850,4.390927835051547,5a02bfcb68788b252401523a,,,https://www.wish.com/c/5f53077582a280096af203bb,https://canary.contestimg.wish.com/api/webimage/5f53077582a280096af203bb-medium.jpg,5f53077582a280096af203bb
Nobody's Fool Bathroom Antiskid Pad,Nobody's Fool Bathroom Antiskid Pad,24.0,EUR,24.0,EUR,29,0,,,5.0,0.0,,,,,,,,,,,white,onesize,50,Livraison standard,8.0,false,,50,,,US,Zakum,zakum,,0,5.0,600bdd0183412225cf9f2821,,,https://www.wish.com/c/60473c4bb07027dbdbee2c3a,https://canary.contestimg.wish.com/api/webimage/60473c4bb07027dbdbee2c3a-medium.jpg,60473c4bb07027dbdbee2c3a
Fools Gold carpet 60 x 39 in,Fools Gold carpet 60 x 39 in,46.0,EUR,46.0,EUR,55.0,0,,,5.0,0.0,,,,,,,,,,,,60x39in,50,Livraison standard,12.0,false,,50,,,CN,yangna8349,yangna8349,88 % avis positifs (17 notes),17,4.235294117647059,5ea933b4ad48d12280d36570,,,https://www.wish.com/c/5fed31f913a49437ac10a224,https://canary.contestimg.wish.com/api/webimage/5fed31f913a49437ac10a224-medium.jpg,5fed31f913a49437ac10a224
Fool's Garden Sherpa Fleece Blanket Throw Size Lightweight Super Soft Cozy Luxury Bed Blanket Microfiber,Fool's Garden Sherpa Fleece Blanket Throw Size Lightweight Super Soft Cozy Luxury Bed Blanket Microfiber,28.0,EUR,31.0,EUR,33,0,,,5.0,0.0,,,,,,,,,,,black,"50""x40""",50,Livraison standard,8.0,false,,50,true,Quantité limitée !,US,ZhongwoliedongsWs,zhongwoliedongsws,100 % avis positifs (3 notes),3,5.0,5e6dd60629e7863262dd6d89,,,https://www.wish.com/c/5fc3dc8bec3ed5cf329339e9,https://canary.contestimg.wish.com/api/webimage/5fc3dc8bec3ed5cf329339e9-medium.jpg,5fc3dc8bec3ed5cf329339e9
120pcs Tricky Props Sets Fake Centipede Roach Simulation Cockroaches Dice Gecko Animal Prop Novelty Toys for Halloween April Fool's Day,120pcs Tricky Props Sets Fake Centipede Roach Simulation Cockroaches Dice Gecko Animal Prop Novelty Toys for Halloween April Fool's Day,15.0,USD,15.0,USD,15,0,,,5.0,0.0,,,,,,,,,,,,m,50,Livraison standard,4.0,false,,50,,,CN,goodluck.hk,goodluckhk,"93 % avis positifs (19,286 notes)",19286,4.387742403816239,57ade1f8ddd46f21ef2715f2,,,https://www.wish.com/c/5f9705d414efafb105a5c6de,https://canary.contestimg.wish.com/api/webimage/5f9705d414efafb105a5c6de-medium.jpg,5f9705d414efafb105a5c6de
"I Like To Fool Around with Models, Coffee Mug with Color Inside, Model Train Gift, Train Gifts, Model Trains, Train Collector, Made in USA","I Like To Fool Around with Models, Coffee Mug with Color Inside, Model Train Gift, Train Gifts, Model Trains, Train Collector, Made in USA",26.0,USD,26.0,USD,26,0,,,5.0,0.0,,,,,,,,,,,white,11oz,50,Livraison Express,7.0,true,,50,,,VN,RickyLDStore,rickyldstore,100 % avis positifs (9 notes),9,4.888888888888889,5fbbb725fcb820f18aee73c0,,,https://www.wish.com/c/5fe6bbfea26c7c06ddf39cb2,https://canary.contestimg.wish.com/api/webimage/5fe6bbfea26c7c06ddf39cb2-medium.jpg,5fe6bbfea26c7c06ddf39cb2
"[Fool Love] Elegant Hanbok Envelope FB205-3456 (4 types), see detailed description, see detailed description","[Fool Love] Elegant Hanbok Envelope FB205-3456 (4 types), see detailed description, see detailed description",29.0,EUR,29.0,EUR,34.0,0,,,5.0,0.0,,,,,,,,,,,,,1,Livraison standard,9.0,false,,1,,,KR,KOREASOME,koreasome,81 % avis positifs (16 notes),16,3.875,5fdd9c94b9c73f0d6a41e69e,,,https://www.wish.com/c/5fedb2cc7ef51e7110f7f7d5,https://canary.contestimg.wish.com/api/webimage/5fedb2cc7ef51e7110f7f7d5-medium.jpg,5fedb2cc7ef51e7110f7f7d5
Halloween April Fools Day Props Stinky Ass Smelly Liquid Spray Prank Jouets,Halloween April Fools Day Props Stinky Ass Smelly Liquid Spray Prank Toys,4.69,EUR,5.0,EUR,5.68,10,,,2.8,5.0,2,0,0,1,2,,,,,,,2,50,Livraison standard,2.0,false,,50,,,CN,midubuzhuo,midubuzhuo,95 % avis positifs (249 notes),249,4.385542168674699,5ae6ad31abef95619d6bd414,,,https://www.wish.com/c/5f55d1492b08ab0044e6820e,https://canary.contestimg.wish.com/api/webimage/5f55d1492b08ab0044e6820e-medium.jpg,5f55d1492b08ab0044e6820e
Rainbow Horse Puzzle Wood Game Puzzles for Adults for April Fool's Day,Rainbow Horse Puzzle Wood Game Puzzles for Adults for April Fool's Day,33.0,USD,33.0,USD,33,0,,,5.0,0.0,,,,,,,,,,,multicolor,1000pcs,50,Livraison standard,9.0,false,,50,,,US,Wayne  	Andrews,wayneandrews,72 % avis positifs (18 notes),18,3.7777777777777777,5f453970f89c2105a88ce6b4,,,https://www.wish.com/c/6057fde60cc5bdb626ad414c,https://canary.contestimg.wish.com/api/webimage/6057fde60cc5bdb626ad414c-medium.jpg,6057fde60cc5bdb626ad414c
Fool's Gold Ultra-Soft Micro Fleece Blanket,Fool's Gold Ultra-Soft Micro Fleece Blanket,29.0,EUR,29.0,EUR,35,0,,,5.0,0.0,,,,,,,,,,,,50*40,50,Livraison standard,9.0,false,,50,true,Quantité limitée !,US,RioLeigh Beauty,rioleighbeauty,,0,5.0,60123be051c9873451aad399,,,https://www.wish.com/c/6049dd8393014e6bc27195f9,https://canary.contestimg.wish.com/api/webimage/6049dd8393014e6bc27195f9-medium.jpg,6049dd8393014e6bc27195f9
"[Fool Love] iy443-Everyday of Animal Friends_No-Frame Frame, C-Pig","[Fool Love] iy443-Everyday of Animal Friends_No-Frame Frame, C-Pig",92.0,EUR,92.0,EUR,111.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,KR,easternlight,easternlight,,0,5.0,600406cb1f399b3b274795fc,,,https://www.wish.com/c/6020a24e00d9e8989960b483,https://canary.contestimg.wish.com/api/webimage/6020a24e00d9e8989960b483-medium.jpg,6020a24e00d9e8989960b483
Grimace Scream Drôle effrayant. CosplayHalloween fournitures de fête du poisson d'avril.,Grimace Scream Funny scary. CosplayHalloween April Fool's Day party supplies.,9.0,USD,40.0,USD,9,1,,,5.0,0.0,,,,,,,,,,,,1,50,Livraison standard,3.0,false,,50,,,CN,XIAORANREN,xiaoranren,88 % avis positifs (132 notes),132,4.121212121212121,5cc4079073d575183e46c819,,,https://www.wish.com/c/5d9f83b10c8f4326a9a89d4a,https://canary.contestimg.wish.com/api/webimage/5d9f83b10c8f4326a9a89d4a-medium.jpg,5d9f83b10c8f4326a9a89d4a
Fool's Gold Bundle Backpack,Fool's Gold Bundle Backpack,25.0,EUR,25.0,EUR,30,0,,,5.0,0.0,,,,,,,,,,,,onesize,50,Livraison standard,8.0,false,,50,,,US,Norma Herrera,normaherrera,89 % avis positifs (19 notes),19,4.421052631578948,5f533104a7212882b9dc4107,,,https://www.wish.com/c/60179d4f8557d6c6312df87f,https://canary.contestimg.wish.com/api/webimage/60179d4f8557d6c6312df87f-medium.jpg,60179d4f8557d6c6312df87f
