title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Ballon de football américain,American Football Ball,8.0,EUR,8.0,EUR,9,10,,,3.515151515151515,33.0,16,3,4,2,8,,,,,,,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,bbtt store,bbttstore,89 % avis positifs (772 notes),772,4.294041450777202,596c82fd94158577f2851a2f,,,https://www.wish.com/c/59c0ea7c2f4c585a293c5533,https://canary.contestimg.wish.com/api/webimage/59c0ea7c2f4c585a293c5533-medium.jpg,59c0ea7c2f4c585a293c5533
SFEEXUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5fa3dc564fbe88000fa54d3e,,5fa3dc564fbe88000fa54d3e
kickback football and hockey goal 6-piece white 123 cm,kickback football and hockey goal 6-piece white 123 cm,67.0,EUR,67.0,EUR,81.08,0,,,5.0,0.0,,,,,,,,,,,white,,1,Livraison Express,9.19,true,,1,true,Quantité limitée !,NL,Erksononline,erksononline,"90% Feedback positivo (1,444 avaliações)",1444,4.35387811634349,5f8571038ac61df76b7b8380,,,https://www.wish.com/c/5fcefa747550afadbfc8e9d1,https://canary.contestimg.wish.com/api/webimage/5fcefa747550afadbfc8e9d1-medium.jpg,5fcefa747550afadbfc8e9d1
3 couleurs hommes chaud respirant confortable coton style d'affaires chaussettes hautes chaussettes de sport pour le basket-ball de football,3 Colors Men Warm Breathable Cosy Cotton Business Style High Socks Sport Socks For Football Basketball,3.13,EUR,4.0,EUR,3.79,10,,,4.357142857142857,14.0,7,5,2,0,0,,,,,,white,1pair,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,yiwanpoint,yiwanpoint,"90 % avis positifs (6,657 notes)",6657,4.2609283461018475,577b6ca799ec37748f00185f,,,https://www.wish.com/c/5fd7481ebe4116def81d5699,https://canary.contestimg.wish.com/api/webimage/5fd7481ebe4116def81d5699-medium.jpg,5fd7481ebe4116def81d5699
Ball Stand Basketball Football Soccer Rugby Bowling Présentoir,Ball Stand Basketball Football Soccer Rugby Bowling Display Holder,5.0,EUR,21.0,EUR,6,10,,,4.25,12.0,7,3,1,0,1,,,,,,clear,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Soctuem,soctuem,"90 % avis positifs (9,237 notes)",9237,4.291111832846163,5a1e8d72dd03294d5d3c9721,,,https://www.wish.com/c/5d904f5feb9dde2d3f02c8fb,https://canary.contestimg.wish.com/api/webimage/5d904f5feb9dde2d3f02c8fb-medium.jpg,5d904f5feb9dde2d3f02c8fb
Football Gants Garçons Enfants Imperméable Thermique Grip Field Player Sports,Football Gloves Boys Kids Waterproof Thermal Grip   Field Player Sports,8.0,EUR,8.0,EUR,9,10,,,4.25,8.0,6,0,1,0,1,,,,,,,,50,Livraison standard,3.0,false,,50,,,CN,Lily's collection,3,"92 % avis positifs (59,174 notes)",59174,4.309595430425524,53ae70d6ff4d6d2b738b1573,,,https://www.wish.com/c/5e09b58f1cc0155368254f9e,https://canary.contestimg.wish.com/api/webimage/5e09b58f1cc0155368254f9e-medium.jpg,5e09b58f1cc0155368254f9e
football américain NFL junior caoutchouc noir,american football NFL junior rubber black,26.0,EUR,26.0,EUR,30.49,2,,,5.0,0.0,,,,,,,,,,,black,,4,Livraison Express,9.17,true,,4,true,Quantité limitée !,NL,Erksononline,erksononline,"90 % avis positifs (1,444 notes)",1444,4.35387811634349,5f8571038ac61df76b7b8380,,,https://www.wish.com/c/5fa040dda1d77cbde36d0074,https://canary.contestimg.wish.com/api/webimage/5fa040dda1d77cbde36d0074-medium.jpg,5fa040dda1d77cbde36d0074
"Protège-poignets, poignets, coudes, genoux et chevilles à manches compressibles Pansements de soutien Brace Strap Bandage Courir Basket-ball",Compression Sleeve Wrist/Elbow/Knee/Ankle Protector Pads Support Brace Strap Bandage Running Basketball,5.0,EUR,5.0,EUR,5,10000,,,4.283788577509755,2819.0,1669,618,311,105,116,,,,,,,wrist,50,Livraison standard,1.0,false,,50,,,CN,zessidyco,bestmoment,"90 % avis positifs (5,124 notes)",5124,4.2189695550351285,59e478e8fd9db83ba98d75f4,,,https://www.wish.com/c/5a66d0fe89889960015013ce,https://canary.contestimg.wish.com/api/webimage/5a66d0fe89889960015013ce-medium.jpg,5a66d0fe89889960015013ce
"2021 Upgrade 60x60 High Power Military Binoculars, Compact HD Professional/Daily Waterproof Binoculars Telescope for Adults Bird Watching Travel Hunting Football","2021 Upgrade 60x60 High Power Military Binoculars, Compact HD Professional/Daily Waterproof Binoculars Telescope for Adults Bird Watching Travel Hunting Football",23.0,EUR,23.0,EUR,27,5,,,5.0,0.0,,,,,,,,,,,black,30*15hd,11,Livraison Express,14.0,true,,50,,,US,kix_queen,kix_queen,89 % avis positifs (319 notes),319,4.235109717868339,59f1f6d8471c140a5dd24819,,,https://www.wish.com/c/60238779d1e5da0a524a451a,https://canary.contestimg.wish.com/api/webimage/60238779d1e5da0a524a451a-medium.jpg,60238779d1e5da0a524a451a
football EL Officialsize 5 white/black,football EL Officialsize 5 white/black,133.0,EUR,133.0,EUR,160.16,0,,,5.0,0.0,,,,,,,,,,,white&black,,2,Livraison Express,9.11,true,,2,,,NL,Erksononline,erksononline,"90% Feedback positivo (1,444 avaliações)",1444,4.35387811634349,5f8571038ac61df76b7b8380,,,https://www.wish.com/c/604405685302fddc849a4edd,https://canary.contestimg.wish.com/api/webimage/604405685302fddc849a4edd-medium.jpg,604405685302fddc849a4edd
