title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
"Wavewear Kinesiology Taping Forearm Protector Black Silver F1, 1 pc.","Wavewear Kinesiology Taping Forearm Protector Black Silver F1, 1 pc.",76.0,EUR,76.0,EUR,92.0,0,,,5.0,0.0,,,,,,,,,,,,,5,Livraison standard,17.0,false,,5,,,KR,atcmart,atcmart,67 % avis positifs (6 notes),6,3.8333333333333335,5fe2119d5265268f81dec682,,,https://www.wish.com/c/5ff3c9b4d639eaf3dfef4e36,https://canary.contestimg.wish.com/api/webimage/5ff3c9b4d639eaf3dfef4e36-medium.jpg,5ff3c9b4d639eaf3dfef4e36
Exerciseur d'entraînement de renforcement de puissance de préhension de bras de poignet de main réglable,Adjustable Hand Wrist Forearm Arm Gripper Power Strengthener Training Exerciser,10.0,EUR,10.0,EUR,12,1,,,3.0,1.0,0,0,1,0,0,,,,,,black,,50,Livraison Express,6.0,true,,50,,,CN,yangxueqing,yangxueqing,"88 % avis positifs (13,502 notes)",13502,4.133387646274626,5acf2091cd968d299afe79a3,,,https://www.wish.com/c/5d3ea8ce1044ef10eabdea21,https://canary.contestimg.wish.com/api/webimage/5d3ea8ce1044ef10eabdea21-medium.jpg,5d3ea8ce1044ef10eabdea21
1PC Finger Resistance Bands Hand Extensor Exerciser Hand Gripper Forearm Wrist Training Stretcher Exercise Set For Arthritis Fitness Equipment Tool,1PC Finger Resistance Bands Hand Extensor Exerciser Hand Gripper Forearm Wrist Training Stretcher Exercise Set For Arthritis Fitness Equipment Tool,3.09,EUR,4.0,EUR,3.75,10,,,5.0,0.0,,,,,,,,,,,lakeblue,,50,Livraison standard,1.0,false,,50,,,CN,malloc,malloc,100 % avis positifs (3 notes),3,5.0,5fcb51191e1c9a004f4e368b,,,https://www.wish.com/c/604dc3cb0e78ea77a7e727cd,https://canary.contestimg.wish.com/api/webimage/604dc3cb0e78ea77a7e727cd-medium.jpg,604dc3cb0e78ea77a7e727cd
Tomshoo Adjustable Hand Grip Arm Trainer Forearm Hand Wrist Finger Exercise Fitness Trainer Hand Exerciser Grip Strength Trainer Strengthener,Tomshoo Adjustable Hand Grip Arm Trainer Forearm Hand Wrist Finger Exercise Fitness Trainer Hand Exerciser Grip Strength Trainer Strengthener,22.0,EUR,22.0,EUR,26,0,,,5.0,0.0,,,,,,,,,,,,black,10,Livraison standard,7.0,false,,10,,,CN,WiTao,witao,"92 % avis positifs (17,033 notes)",17033,4.3604767216579585,5423c90c2754c849b00a1cd9,,,https://www.wish.com/c/5f9fe17138912e180092c819,https://canary.contestimg.wish.com/api/webimage/5f9fe17138912e180092c819-medium.jpg,5f9fe17138912e180092c819
KOREA GD Wrist Roller V General type forearm muscle training device Grip strength strength machine Fitness accessory Forearm exercise,KOREA GD Wrist Roller V General type forearm muscle training device Grip strength strength machine Fitness accessory Forearm exercise,106.0,EUR,106.0,EUR,128.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,select,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/601fb3ca13c38128295287ef,https://canary.contestimg.wish.com/api/webimage/601fb3ca13c38128295287ef-medium.jpg,601fb3ca13c38128295287ef
"Comfortable to Grip Durable Forearm Training Equipment, Forearm Exerciser, High Strength for Standard Training Gym Home Men Women Fitness Equipment","Comfortable to Grip Durable Forearm Training Equipment, Forearm Exerciser, High Strength for Standard Training Gym Home Men Women Fitness Equipment",23.0,EUR,23.0,EUR,27,0,,,5.0,0.0,,,,,,,,,,,black,,50,Livraison Express,11.0,true,,50,,,CN,otcerth,otcerth,"94 % avis positifs (6,718 notes)",6718,4.427061625483775,58cb853e83e9b950f88c1061,,,https://www.wish.com/c/5fc9e8f7accb7f14439b17ff,https://canary.contestimg.wish.com/api/webimage/5fc9e8f7accb7f14439b17ff-medium.jpg,5fc9e8f7accb7f14439b17ff
Le renforcement de la poignée augmente rapidement la force de l'avant-bras du doigt du poignet de la main avec le meilleur exerciseur de main,Hand Grip Strengthener Quickly Increase Hand Wrist Finger Forearm Strength With The Best Hand Exerciser,7.0,EUR,7.0,EUR,8,10,,,5.0,1.0,1,0,0,0,0,,,,,,black&orange,,50,Livraison Express,6.0,true,,50,,,CN,qe linyong,qelinyong,(144 notes),144,4.402777777777778,5edc5c54fa48e0070d5d3990,,,https://www.wish.com/c/5f72d0986af268004080bbe6,https://canary.contestimg.wish.com/api/webimage/5f72d0986af268004080bbe6-medium.jpg,5f72d0986af268004080bbe6
Sanrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ed7832a90b8a6318c2d7363,,5ed7832a90b8a6318c2d7363
30-50kg Anti-slip Wrist Grip Forearm Exercise Finger Strengther Badminton Arm Force Training,30-50kg Anti-slip Wrist Grip Forearm Exercise Finger Strengther Badminton Arm Force Training,14.0,EUR,41.0,EUR,16,7,,,5.0,0.0,,,,,,,,,,,black,,50,Livraison standard,4.0,false,,50,,,CN,Green Mall,greenmall,"91 % avis positifs (1,308 notes)",1308,4.296636085626911,5400b545c5c2461546f94216,,,https://www.wish.com/c/605aa4dcb99e30a77f207567,https://canary.contestimg.wish.com/api/webimage/605aa4dcb99e30a77f207567-medium.jpg,605aa4dcb99e30a77f207567
"2 pièces de meubles Outils mobiles Bracelets avant-bras Élingues mobiles Sangles de ceinture mobiles Objets lourds Bretelles mobiles (poignets, bretelles)","2 Pieces Of Furniture Moving Tools Forearm Wristbands Mobile Slings Moving Belt Straps Heavy Objects Mobile Shoulder Straps (wrist Straps, Shoulder Straps)",6.0,EUR,6.0,EUR,7,10,,,4.038461538461538,26.0,13,6,4,1,2,,,,,,orange,wristliftingstrap,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,cc-168,cc168,(244 notes),244,4.278688524590164,5d3fc30072b0c91d4175098b,,,https://www.wish.com/c/5e0335acbfce6707b83249ef,https://canary.contestimg.wish.com/api/webimage/5e0335acbfce6707b83249ef-medium.jpg,5e0335acbfce6707b83249ef
