title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/60846eb93ffc4e0010bcc168,,60846eb93ffc4e0010bcc168
"Logitech C922 Pro Wemcam Tripod with FullHD 1080P Video Camera Camcorder VideoConference Broadcast Cam, C922 Pro Tripod","Logitech C922 Pro Wemcam Tripod with FullHD 1080P Video Camera Camcorder VideoConference Broadcast Cam, C922 Pro Tripod",576.0,EUR,576.0,EUR,698.0,0,,,5.0,0.0,,,,,,,,,,,,,4,Livraison standard,12.0,false,,4,,,CA,othep,othep,60 % avis positifs (5 notes),5,3.2,5ff04c48c9720a6520e73166,,,https://www.wish.com/c/5ffcfb600c2d7b0048968701,https://canary.contestimg.wish.com/api/webimage/5ffcfb600c2d7b0048968701-medium.jpg,5ffcfb600c2d7b0048968701
1080P Full-HD H.265 4MP Sans Fil Sécurité IP Wifi Caméra IP POE ONVIF Extérieur Étanche IP66 P2P Caméra Vidéo,1080P Full-HD H.265 4MP Wireless Security Wifi IP Camera POE ONVIF Outdoor Waterproof IP66 P2P Video Camera,38.0,EUR,38.0,EUR,45,1,,,5.0,0.0,,,,,,,,,,,,1080pfull-hdh.265,50,Livraison standard,12.0,false,,50,,,CN,Yingxinly,yingxinly,"86 % avis positifs (12,051 notes)",12051,4.120487926313169,5c2c2b2c5c2e6c36855f508e,,,https://www.wish.com/c/5f6579e5f3140f38c4d1e8bd,https://canary.contestimg.wish.com/api/webimage/5f6579e5f3140f38c4d1e8bd-medium.jpg,5f6579e5f3140f38c4d1e8bd
USB3.1 Type C vers Hdmi Câble vidéo Téléphone Android Câble même écran Câble 4K Câble HD USB,USB3.1 Type C To Hdmi Video Cable Android Phone Same Screen Cable Cable 4K USB HD Cable,10.0,EUR,10.0,EUR,12,10,,,3.8181818181818183,11.0,5,3,1,0,2,,,,,,,randomcolor,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,ordering,ordering,"94 % avis positifs (3,459 notes)",3459,4.409945070829719,5774bf2c2c0668749fae3d2b,,,https://www.wish.com/c/5e916277e1008744884a1bac,https://canary.contestimg.wish.com/api/webimage/5e916277e1008744884a1bac-medium.jpg,5e916277e1008744884a1bac
Smalody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8042dfeb31f9d4246d09d0,,5f8042dfeb31f9d4246d09d0
2021 nouvelles lunettes anti-buée transparentes HD de haute qualité anti-gouttelettes anti-poussière protéger mode visière complète masque de couverture coupe-vent,2021 NEW High Quality Transparent HD Anti-fog Glasses Anti Droplet Dust-proof Protect Fashion Full Face Visor Windproof Covering Mask ,3.0,EUR,21.0,EUR,3.42,1000,,,4.030075187969925,133.0,84,14,10,5,20,,,,,,transparent,style1,50,Livraison standard,1.5,false,,50,,,CN,liuzukui123,liuzukui123,(609 notes),609,4.160919540229885,5d3bcc6ae13a7e74b6245f0a,,,https://www.wish.com/c/5fd98d77ad2ede73851387d0,https://canary.contestimg.wish.com/api/webimage/5fd98d77ad2ede73851387d0-medium.jpg,5fd98d77ad2ede73851387d0
TEAMPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8d71cfeb31f9a6cce12bf7,,5f8d71cfeb31f9a6cce12bf7
Qcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f7313fc90b8a6de20a3b224,,5f7313fc90b8a6de20a3b224
"Andoer V12 1080P Full HD 16X Caméra vidéo d'enregistrement avec zoom numérique Caméscope portable avec écran LCD rotatif de 3,0 pouces Max. 20 mégapixels prennent en charge l'embellissement du visage de détection de visage de vision nocturne",Andoer V12 1080P Full HD 16X Digital Zoom Recording Video Camera Portable Camcorder with 3.0 Inch Rotatable LCD Screen Max. 20 Mega Pixels Support Night Vision Face Detection Face Beautification,52.0,EUR,52.0,EUR,63.0,1000,,,4.319829424307036,469.0,299,91,38,12,29,,,,,,,,50,Livraison Express,14.0,true,,50,,,CN,Romaxshop,romaxshop,"93 % avis positifs (36,525 notes)",36525,4.375797399041752,56a34c5695b914238239deab,,,https://www.wish.com/c/59fbe9bfd20e9377c567e620,https://canary.contestimg.wish.com/api/webimage/59fbe9bfd20e9377c567e620-medium.jpg,59fbe9bfd20e9377c567e620
3Pcs HD-Clear Protecteur d'écran d'objectif de caméra en verre trempé pour Xiaomi Redmi Note 9S 9 Pro HD,3Pcs HD-Clear Tempered Glass Camera Lens Screen Protector for Xiaomi Redmi Note 9S 9 Pro HD ,3.87,EUR,4.0,EUR,4.6899999999999995,10,,,4.2727272727272725,77.0,47,15,8,3,4,,,,,,,3pcs,50,Livraison standard,1.0,false,,50,,,CN,NankeyiMen,nankeyimen,68 % avis positifs (336 notes),336,3.4613095238095237,5eb0c52cfb95acab460bb517,,,https://www.wish.com/c/5f3f69f1455793004dc8b619,https://canary.contestimg.wish.com/api/webimage/5f3f69f1455793004dc8b619-medium.jpg,5f3f69f1455793004dc8b619
2021NEW Upgrade Mini WiFi Spy Camera 360P/720P/1080P HD Wireless Hidden Camera Video Camera With Night Vision Indoor Use Security Cameras Surveillance Cam For Car Home Office,2021NEW Upgrade Mini WiFi Spy Camera 360P/720P/1080P HD Wireless Hidden Camera Video Camera With Night Vision Indoor Use Security Cameras Surveillance Cam For Car Home Office,7.0,EUR,17.0,EUR,8,10,,,5.0,0.0,,,,,,,,,,,black,360psquare(notsupportwifi),50,Livraison Express,6.0,true,,50,true,Quantité limitée !,CN,larissalilit,larissalilit,85 % avis positifs (737 notes),737,4.086838534599728,5d4a80607ad2421f01b94582,,,https://www.wish.com/c/6052b10610a7bd7a4b7ee1f2,https://canary.contestimg.wish.com/api/webimage/6052b10610a7bd7a4b7ee1f2-medium.jpg,6052b10610a7bd7a4b7ee1f2
"Nouvelle série 11 Montre de jeu intelligente Montre intelligente d'appel Bluetooth avec cadran de montre personnalisé, Hommes Femmes Écran tactile complet de 1,75 pouces Smartwatch PK IOS Watch Series 6 5 4 3 mieux que iwo 11 12 w26","Newest Series 11 Smart Game Watch Bluetooth Call Smart Watch With Custom Watch Face, Men Women 1.75 Inch Full Touch Screen Heart Rate Smartwatch PK IOS Watch Series 6 5 4 3 better than iwo 11 12 w26",21.0,EUR,21.0,EUR,25,10,,,3.5833333333333335,12.0,7,0,1,1,3,,,,,,white,,50,Livraison standard,9.0,false,,50,,,CN,zanqunhay,zanqunhay,81 % avis positifs (77 notes),77,3.9740259740259742,5f262a7029e786785c88061d,,,https://www.wish.com/c/5fec2c89db47220b9d67a149,https://canary.contestimg.wish.com/api/webimage/5fec2c89db47220b9d67a149-medium.jpg,5fec2c89db47220b9d67a149
POLO D7100 33MP FULL HD Appareil photo numérique DSLR Caméscope & 3Lens & Lampe de poche LED,POLO D7100 33MP FULL HD Digital Camera DSLR Camcorder&3Lens&LED Flashlight,152.0,EUR,825.0,EUR,184.0,10,,,3.3783783783783785,74.0,35,5,9,3,22,,,,,,black,plug-eu,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,CN,Triple A,triplea,"77 % avis positifs (1,087 notes)",1087,3.749770009199632,591d34b31a071f4d2bf977e8,,,https://www.wish.com/c/5c91c2badd2b3e553bce14a5,https://canary.contestimg.wish.com/api/webimage/5c91c2badd2b3e553bce14a5-medium.jpg,5c91c2badd2b3e553bce14a5
2021 Black Friday Hot Sale New HAWEI Mate 40 Pro+ 12GB RAM +512GB ROM 7.3-inch HD Full Screen 4G/5G Mobile Phone Android 10.0 MTK6889 24MP + 48MP Camera Dual Card Dual Standby Bluetooth Wifi GSM WCDMA 4G 5G Smartphone,2021 Black Friday Hot Sale New HAWEI Mate 40 Pro+ 12GB RAM +512GB ROM 7.3-inch HD Full Screen 4G/5G Mobile Phone Android 10.0 MTK6889 24MP + 48MP Camera Dual Card Dual Standby Bluetooth Wifi GSM WCDMA 4G 5G Smartphone,72.0,EUR,1073.0,EUR,87.0,10,,,5.0,0.0,,,,,,,,,,,white,i12promax8g/128gus,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,CN,nanxiong.xiaohuo,nanxiongxiaohuo,84 % avis positifs (762 notes),762,4.036745406824147,5c9725c5132869458efe163d,,,https://www.wish.com/c/604b1a24c947731142d57581,https://canary.contestimg.wish.com/api/webimage/604b1a24c947731142d57581-medium.jpg,604b1a24c947731142d57581
