title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
1PC mignon hibou drôle d'impression masques réutilisables lavables,1PC Cute Owl Funny Print Washable Reuseable Face Masks ,1.0,EUR,15.0,EUR,0.74,1000,,,4.525547445255475,137.0,99,23,7,4,4,,,,,,,1pc-random,47,Livraison standard,2.01,false,,50,,,CN,XUEFEISB,xuefeisb,92 % avis positifs (915 notes),915,4.391256830601093,5ed1d730a1aafe3440165198,,,https://www.wish.com/c/5fcf4f18bd1a6782772c671a,https://canary.contestimg.wish.com/api/webimage/5fcf4f18bd1a6782772c671a-medium.jpg,5fcf4f18bd1a6782772c671a
T-shirt mignon unisexe drôle de chien imprimé en 3D hauts de berger allemand,Unisex Funny Dog 3D Printed Cute T-shirt German Shepherd Tops,7.0,EUR,7.0,EUR,8,10,,,4.357142857142857,14.0,10,1,2,0,1,,,,,,white,xs,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,Jinhuibao Shoes,jinhuibaoshoes,91 % avis positifs (952 notes),952,4.328781512605042,5e7302b75021d64c413ff123,,,https://www.wish.com/c/5fd049abe67e47bd3825917a,https://canary.contestimg.wish.com/api/webimage/5fd049abe67e47bd3825917a-medium.jpg,5fd049abe67e47bd3825917a
"Je suis allergique à la stupidité, donc je m'éclate dans le sarcasme T-shirt drôle Chemise sarcastique mode d'été unisexe",I'm Allergic To Stupidity So I Break Out In Sarcasm Funny T-Shirt Unisex Summer Fashion Sarcastic Shirt,7.0,EUR,7.0,EUR,8,5000,,,4.336465061655901,1703.0,1113,285,154,67,84,,,,,,grey,s,50,Livraison Express,7.0,true,,50,,,CN,Fancy­_Look,fancy_look,"88 % avis positifs (124,800 notes)",124800,4.152780448717949,585c9772b32cc650a862a79d,,,https://www.wish.com/c/5a45ff7589889971f9344065,https://canary.contestimg.wish.com/api/webimage/5a45ff7589889971f9344065-medium.jpg,5a45ff7589889971f9344065
Donald Trump président de porte-clés merde squeeze drôle porte-clés nouveauté amusant,Donald Trump poop keyring president squeeze funny key chain novelty fun,5.0,EUR,5.0,EUR,5,5000,,,4.540017590149517,1137.0,830,179,71,26,31,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,yankun,yankun,"90 % avis positifs (157,836 notes)",157836,4.233318127676829,53d911ecd9113955763c015d,,,https://www.wish.com/c/5c99c5c63f85b15a1bdb5ef1,https://canary.contestimg.wish.com/api/webimage/5c99c5c63f85b15a1bdb5ef1-medium.jpg,5c99c5c63f85b15a1bdb5ef1
Meow Division joie Division parodie drôle T-Shirt femmes Tumblr mignon graphique Tee gothique Grunge vêtements hauts cadeau pour les amoureux des chats,Meow Division Joy Division Parody Funny T-Shirt Women Tumblr Cute Graphic Tee Gothic Grunge Clothes Tops Gift For Cat Lovers,10.0,EUR,17.0,EUR,11,1000,,,4.678958785249458,461.0,371,59,16,3,12,,,,,,black,s,50,Livraison standard,3.0,false,,50,,,CN,funny tees 2017,funnytees2017,"(19,086 notes)",19086,4.552342030807922,585b6957652b474d6655f1c4,,,https://www.wish.com/c/5a506c412495d431e68538ec,https://canary.contestimg.wish.com/api/webimage/5a506c412495d431e68538ec-medium.jpg,5a506c412495d431e68538ec
Nouveau Hail Satan Unicorn T-Shirt Comédie pour hommes T-shirts drôles grande taille S-6XL,New Hail Satan Unicorn T-Shirt Men's Comedy Funny T-Shirts Plus Size S-6XL,13.0,EUR,58.0,EUR,15,10,,,4.4375,16.0,13,1,0,0,2,,,,,,black,s,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,FGHJGJMHGFJHfg,fghjgjmhgfjhfg,94 % avis positifs (535 notes),535,4.433644859813084,5df0bd60630730095f6e7d77,,,https://www.wish.com/c/5e16dd136bd1ae0df003d4b5,https://canary.contestimg.wish.com/api/webimage/5e16dd136bd1ae0df003d4b5-medium.jpg,5e16dd136bd1ae0df003d4b5
Cinq nuits chez Freddy Hoodie Fashion Hoodies noirs ou multicolores Funny Inside Fleece Cotton Cartoon Freddy Hooded,Five Nights at Freddy's Hoodie Fashion Black or Multicolor Hoodies Funny Inside Fleece Cotton Cartoon Freddy Hooded,17.0,EUR,75.0,EUR,20,10,,,4.181818181818182,33.0,22,4,1,3,3,,,,,,multicolor,4xs,50,Livraison standard,6.0,false,,50,,,CN,princess department store,princessdepartmentstore,87 % avis positifs (190 notes),190,4.110526315789474,5d818fcb6b6e292b54f35519,,,https://www.wish.com/c/5df0876c2b8e60002566d8ac,https://canary.contestimg.wish.com/api/webimage/5df0876c2b8e60002566d8ac-medium.jpg,5df0876c2b8e60002566d8ac
Je ne suis pas toujours une chienne juste blague chemise femmes t-shirts graphiques col rond chemise à manches courtes drôle décontracté femmes t-shirts hauts,I'm Not Always A Bitch Just Kidding Shirt Womens Graphic Tees O-neck Short Sleeve Shirt Funny Casual Women T Shirts Tops,5.0,EUR,5.0,EUR,5,10,,,4.461538461538462,13.0,8,4,0,1,0,,,,,,purple,xs,1,Livraison standard,2.0,false,,50,,,CN,ZFashion For You,zfashionforyou,92 % avis positifs (431 notes),431,4.406032482598608,5d7b27a2bd5aa34d00972276,,,https://www.wish.com/c/5f6ee50cf033a4165cf1edc7,https://canary.contestimg.wish.com/api/webimage/5f6ee50cf033a4165cf1edc7-medium.jpg,5f6ee50cf033a4165cf1edc7
Réaliste merde cadeau drôle jouets faux merde morceau de merde farce jouets blague jouets Turd espièglerie,Realistic Shit Gift Funny Toys Fake Poop Piece of Shit Prank Toys Joke Toys Turd Mischief,3.18,EUR,8.0,EUR,3.8200000000000003,5000,,,3.850976361767729,973.0,512,147,117,51,146,,,,,,brown,,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,Redsleevedesigner,redsleevedesigner,"(28,764 notes)",28764,4.343032957863997,5a977c33ccf0c8148d9056b4,,,https://www.wish.com/c/5df6eac077144a307c7cd638,https://canary.contestimg.wish.com/api/webimage/5df6eac077144a307c7cd638-medium.jpg,5df6eac077144a307c7cd638
Nouveau Thor T Shirt T-shirts imprimés Hommes Avengers Funny Space Clothing Male Tops,New Thor T Shirt Printed T-shirts Men Avengers Funny Space Clothing Male Tops,7.0,EUR,13.0,EUR,8,10,,,4.151162790697675,86.0,47,18,14,1,6,,,,,,white,s,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,my love girl,mylovegirl,"89 % avis positifs (5,171 notes)",5171,4.16128408431638,593c09ebe81e8a2c0cb7793f,,,https://www.wish.com/c/5bff4be53dbae34075f4cfa3,https://canary.contestimg.wish.com/api/webimage/5bff4be53dbae34075f4cfa3-medium.jpg,5bff4be53dbae34075f4cfa3
