title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Smalody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8042dfeb31f9d4246d09d0,,5f8042dfeb31f9d4246d09d0
XGODY 886 7 pouces voiture / camion écran tactile capacitif 256 Mo + 8 Go navigateur GPS Navigation SAT véhicule GPS + pare-soleil,XGODY 886 7Inch Car/Truck Capacitive Touchscreen 256MB+8GB Navigator GPS Navigation SAT Vehicle GPS + Sunshade,44.0,EUR,44.0,EUR,53.0,10,,,4.0625,48.0,24,13,6,0,5,,,,,,black,withoutbluetoothfunction,30,Livraison standard,12.0,false,,50,,,CN,Shang Run,shangrun,"86 % avis positifs (3,114 notes)",3114,4.109184328837508,576fa24d62108b73e8048c5c,,,https://www.wish.com/c/5a687db2ddda8c614f62c1e9,https://canary.contestimg.wish.com/api/webimage/5a687db2ddda8c614f62c1e9-medium.jpg,5a687db2ddda8c614f62c1e9
CHINA Computer garmin edge 200 gps // trainer handheld bike mount_40594262,CHINA Computer garmin edge 200 gps // trainer handheld bike mount_40594262,198.0,EUR,198.0,EUR,240.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,gpsonly[29],50,Livraison standard,12.0,false,,50,true,Quantité limitée !,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/606dc206c788512b02ef94d4,https://canary.contestimg.wish.com/api/webimage/606dc206c788512b02ef94d4-medium.jpg,606dc206c788512b02ef94d4
Apple Watch Series 4-16 Go - Aluminium 44 mm - Toutes les couleurs - GPS UNIQUEMENT (rayures et bosses),Apple Watch Series 4 -16GB - 44mm Aluminum - All Colors - GPS ONLY (Scratch and Dent),148.0,EUR,495.0,EUR,179.0,10,,,3.25,4.0,2,0,0,1,1,,,,,,silver,,50,Livraison standard,68.58,false,,50,,,US,WombatReserve,wombatreserve,"87 % avis positifs (1,837 notes)",1837,4.248230811105063,5a85c2e028a2b328f8a4bdf4,,,https://www.wish.com/c/5e8ba2c48fc70b483ff9aa27,https://canary.contestimg.wish.com/api/webimage/5e8ba2c48fc70b483ff9aa27-medium.jpg,5e8ba2c48fc70b483ff9aa27
Hiseeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8c206ceb31f9c6391a6279,,5f8c206ceb31f9c6391a6279
"4.0"""" Almost New (Refurbished) Apple IPhone 5 Unlocked Mobile Phone IOS Dual-core  8MP Camera WIFI GPS Used Phone","4.0"""" Almost New (Refurbished) Apple IPhone 5 Unlocked Mobile Phone IOS Dual-core  8MP Camera WIFI GPS Used Phone",43.0,EUR,43.0,EUR,51.0,1,,,5.0,0.0,,,,,,,,,,,black,16gb,50,Livraison standard,12.0,false,,50,,,US,polarisvalues,polarisvalues,(77 notes),77,4.064935064935065,5fa254d65daba2267df4eff0,,,https://www.wish.com/c/5fe45dd94b77d691c18100bb,https://canary.contestimg.wish.com/api/webimage/5fe45dd94b77d691c18100bb-medium.jpg,5fe45dd94b77d691c18100bb
"KOSPET Prime 3GB 32GB Smart Watch Man is 1260mAh Face ID 16 4G Android GPS Smartwatch 2020 for Xiaomi IOS, 01 KOSPET PRIME (please check the description)","KOSPET Prime 3GB 32GB Smart Watch Man is 1260mAh Face ID 16 4G Android GPS Smartwatch 2020 for Xiaomi IOS, 01 KOSPET PRIME (please check the description)",329.0,EUR,329.0,EUR,398.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,KR,K-Mild,kmild,63 % avis positifs (8 notes),8,3.0,5ff5ca506fb1f4d5c07d6fd6,,,https://www.wish.com/c/600e8808778f9e38797be812,https://canary.contestimg.wish.com/api/webimage/600e8808778f9e38797be812-medium.jpg,600e8808778f9e38797be812
Nouveautés Mini voiture GPS GPRS Tracker Locator Device Vehicle Spy GSM Suivi en temps réel,New Arrivals Mini Car GPS GPRS Tracker Locator Device Vehicle Spy GSM Real Time Tracking,15.0,EUR,15.0,EUR,17,10,,,4.0,7.0,3,3,0,0,1,,,,,,,,50,Livraison standard,5.0,false,,50,,,CN,yonghongxiaopu,yonghongxiaopu,"91 % avis positifs (27,005 notes)",27005,4.3330494352897615,585be959652b474d54561494,,,https://www.wish.com/c/5fdc5a0e53b9dd24015dc587,https://canary.contestimg.wish.com/api/webimage/5fdc5a0e53b9dd24015dc587-medium.jpg,5fdc5a0e53b9dd24015dc587
Support de téléphone de voiture magnétique support universel de téléphone portable GPS Mini support pour iPhone pour Samsung pour Huawei,Magnetic Car Phone Holder Universal Mobile Phone GPS Stand Mini Mount For iPhone For Samsung For Huawei,2.23,EUR,3.0,EUR,2.7,20000,,,4.299704516673702,2369.0,1544,392,191,83,159,,,,,,gold,,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,Sexy coco,sexycoco,"93 % avis positifs (6,344 notes)",6344,4.363177805800756,5d3d57610ff7f926658c4e76,,,https://www.wish.com/c/5d4bac048eb691051295cea8,https://canary.contestimg.wish.com/api/webimage/5d4bac048eb691051295cea8-medium.jpg,5d4bac048eb691051295cea8
Radar Detector Voice Alert and Car Speed Alarm System with 360 Degree Detection City/Highway Mode Radar Detectors for Cars,Radar Detector Voice Alert and Car Speed Alarm System with 360 Degree Detection City/Highway Mode Radar Detectors for Cars,15.0,EUR,82.0,EUR,17,5000,,,3.5635029802842735,2181.0,970,374,242,105,490,,,,,,red,,50,Livraison standard,5.0,false,,50,,,CN,Top First,topfirst,"88% Positive Feedback (14,873 ratings)",14873,4.148389699455389,54fe97d173f9e101995e2223,,,https://www.wish.com/c/5a5c2df6613f651fd5dbf4de,https://canary.contestimg.wish.com/api/webimage/5a5c2df6613f651fd5dbf4de-medium.jpg,5a5c2df6613f651fd5dbf4de
