title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
T-Shirt Femme Poteau de but Rugby Heartbeat,Women's T-Shirt  Rugby goalpost heartbeat,14.0,EUR,19.0,EUR,16.5,2,,,5.0,0.0,,,,,,,,,,,navy,s,50,Livraison Express,5.95,true,,50,,,FR,Teezily,teezily,"95 % avis positifs (1,021 notes)",1021,4.479921645445642,59e6a1959aee094d8deca3f7,,,https://www.wish.com/c/5ada56660de05528601b6c13,https://canary.contestimg.wish.com/api/webimage/5ada56660de05528601b6c13-medium.jpg,5ada56660de05528601b6c13
Hoodie  Heartbeat,Hoodie  Heartbeat,27.0,EUR,36.0,EUR,31.95,0,,,5.0,0.0,,,,,,,,,,,black,s,50,Livraison Express,5.95,true,,50,,,FR,Teezily,teezily,"95 % avis positifs (1,021 notes)",1021,4.479921645445642,59e6a1959aee094d8deca3f7,,,https://www.wish.com/c/5ae32d1aa7d48460ba21b974,https://canary.contestimg.wish.com/api/webimage/5ae32d1aa7d48460ba21b974-medium.jpg,5ae32d1aa7d48460ba21b974
Jouet de formation comportementale de chiot mignon battement de coeur en peluche pour animaux de compagnie confortable câlin soulagement de l'anxiété aide au sommeil poupée durable chien à mâcher jouets indestructibles pour chiens à mâcher agressifs FDS,Cute Heartbeat Puppy Behavioral Training Toy Plush Pet Comfortable Snuggle Anxiety Relief Sleep Aid Doll Durable Dog Chew Indestructible Toys for Aggressive Chewers Dogs FDS,19.0,EUR,19.0,EUR,22,10,,,3.8125,16.0,7,4,2,1,2,,,,,,,1pc,50,Livraison standard,5.0,false,,50,true,Quantité limitée !,CN,fdssfg LI,fdssfgli,"90 % avis positifs (3,491 notes)",3491,4.27728444571756,58d3727d68ce84578bb979d9,,,https://www.wish.com/c/5fbb89a91f5702a7223702d7,https://canary.contestimg.wish.com/api/webimage/5fbb89a91f5702a7223702d7-medium.jpg,5fbb89a91f5702a7223702d7
Flowy Tanktop Womens  Dragon Boat - Heartbeat,Flowy Tanktop Womens  Dragon Boat - Heartbeat,28.0,EUR,28.0,EUR,32.95,0,,,5.0,0.0,,,,,,,,,,,sportgrey,s,50,Livraison Express,5.95,true,,50,,,FR,Teezily,teezily,"95 % avis positifs (1,021 notes)",1021,4.479921645445642,59e6a1959aee094d8deca3f7,,,https://www.wish.com/c/60567b541eb1d1752075c9c1,https://canary.contestimg.wish.com/api/webimage/60567b541eb1d1752075c9c1-medium.jpg,60567b541eb1d1752075c9c1
Fitness est Barbell vie battement de coeur T-Shirt drôle à manches courtes o-cou coton musculation sport t-shirt gymnases vêtements,Fitness Is Barbell Life Heartbeat Funny T-Shirt  Short Sleeve O-Neck Cotton Bodybuilding Sports T Shirt Gyms Clothing,6.0,EUR,6.0,EUR,7,8,,,5.0,1.0,1,0,0,0,0,,,,,,red,xs,50,Livraison standard,2.0,false,,50,,,CN,Golden Flower Store,goldenflowerstore,"94 % avis positifs (5,720 notes)",5720,4.425874125874126,566e35a33a698c6442548d1f,,,https://www.wish.com/c/5e58fc430696ca0940742eef,https://canary.contestimg.wish.com/api/webimage/5e58fc430696ca0940742eef-medium.jpg,5e58fc430696ca0940742eef
T-Shirt Unisexe Sailing Heartbeat.,T-Shirt  Unisexe  Sailing Heartbeat.,16.0,EUR,26.0,EUR,18.5,0,,,5.0,0.0,,,,,,,,,,,charcoal,s,50,Livraison Express,5.95,true,,50,,,FR,TeezilyFactory,teezilyfactory,"93 % avis positifs (1,113 notes)",1113,4.375561545372866,5b349e4c3fa6732be7b9ca78,,,https://www.wish.com/c/5c605140a0146769b18265f8,https://canary.contestimg.wish.com/api/webimage/5c605140a0146769b18265f8-medium.jpg,5c605140a0146769b18265f8
【Lecteur de glycémie et Doppler fœtal】 Détecteur LCD Doppler fœtal Moniteur de fréquence cardiaque prénatal et lecteur de glycémie diabétique,【Glucose Meter & Fetal Doppler】LCD Detector Fetal Doppler Prenatal Heart Rate Heartbeat Monitor & Blood Glucose Meter Diabetic,19.0,EUR,19.0,EUR,23,0,,,5.0,0.0,,,,,,,,,,,,glucosemeter,11,Livraison standard,6.0,false,,11,,,CN,Xiatianday,xiatianday,"87 % avis positifs (10,354 notes)",10354,4.154046745219239,5d51199f3db43e308c7ee28e,,,https://www.wish.com/c/5f473762501bef004b426254,https://canary.contestimg.wish.com/api/webimage/5f473762501bef004b426254-medium.jpg,5f473762501bef004b426254
Bass Guitar Heartbeat Music Fashion T-shirt Summer Short O-Neck Sleeves Unisex Hipster T shirt Casual Clothes,Bass Guitar Heartbeat Music Fashion T-shirt Summer Short O-Neck Sleeves Unisex Hipster T shirt Casual Clothes,3.09,EUR,4.0,EUR,3.74,10,,,3.6666666666666665,3.0,0,2,1,0,0,,,,,,red,sizexs,5,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,fuzhoujierunmaoyiyouxiangongsi,福州杰润贸易有限公司,91% Positive Feedback (552 ratings),552,4.304347826086956,56598c726f9156174f34e8c4,,,https://www.wish.com/c/5e8fccd93c269112009ed1b0,https://canary.contestimg.wish.com/api/webimage/5e8fccd93c269112009ed1b0-medium.jpg,5e8fccd93c269112009ed1b0
Moniteur cardiaque prénatal de poche Doppler foetal BABY Heartbeat-cadeaux pour la fête des mères,Pocket Prenatal Heart monitor Fetal Doppler BABY Heartbeat-Gifts for Mother's Day,15.0,EUR,124.0,EUR,17,10,,,4.50990099009901,202.0,145,33,13,4,7,,,,,,blue,blue,50,Livraison standard,5.0,false,,50,,,CN,CONTEC MEDICAL SYSTEMS,contecmedicalsystems,"96 % avis positifs (13,090 notes)",13090,4.597860962566845,54f906f41c36ca31e962d670,,,https://www.wish.com/c/57c7c6433bca9645e4bc7639,https://canary.contestimg.wish.com/api/webimage/57c7c6433bca9645e4bc7639-medium.jpg,57c7c6433bca9645e4bc7639
T-shirt de battement de coeur de chèvre T-shirt de chèvre de poulet de pays d'amant de chèvre,Goat Heartbeat T Shirt Goat Lover Country Chicken Goat Tee,6.0,EUR,6.0,EUR,7,10,,,4.2,10.0,5,3,1,1,0,,,,,,red,xs,50,Livraison standard,2.0,false,,50,,,CN,fujianfushikaizhinengkejiyouxiangongsi,福建富士凯智能科技有限公司,"89 % avis positifs (1,066 notes)",1066,4.233583489681051,5627981b3a698c2935496fd4,,,https://www.wish.com/c/5e3127be975d2907d0ac8ed6,https://canary.contestimg.wish.com/api/webimage/5e3127be975d2907d0ac8ed6-medium.jpg,5e3127be975d2907d0ac8ed6
