title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Demi-casque Casquette de Baseball Style Casque de sécurité face ouverte pour moto,Half Helmet Baseball Cap Style Safety Hard Hat Open Face For Motorcycle Bike,14.0,EUR,14.0,EUR,16,10,,,4.5,18.0,12,5,0,0,1,,,,,,black,,50,Livraison standard,5.0,false,,50,,,CN,Happy Smile,sainspeed_us,"91 % avis positifs (19,328 notes)",19328,4.301790149006623,540ff49a7a9eb42530f19d15,,,https://www.wish.com/c/5f5aef6ae9092c003f6ee981,https://canary.contestimg.wish.com/api/webimage/5f5aef6ae9092c003f6ee981-medium.jpg,5f5aef6ae9092c003f6ee981
2020 nouveau casque de moto rabattable course modulaire double lentille casque de Moto Motocross casques intégraux,2020 NEW Flip Up Motorcycle Helmet Racing Modular Dual Lens Motocross Moto Helmet Full Face Helmets,33.0,EUR,33.0,EUR,40,10,,,3.9393939393939394,33.0,14,10,5,1,3,,,,,,white&silver,ssize,50,Livraison standard,11.0,false,,50,,,CN,htgusd01,htgusd01,79 % avis positifs (667 notes),667,3.808095952023988,5e1445b4b353de06f8dac30f,,,https://www.wish.com/c/5f05d42d81b6500046d3580d,https://canary.contestimg.wish.com/api/webimage/5f05d42d81b6500046d3580d-medium.jpg,5f05d42d81b6500046d3580d
Nouveaux casques de moto demi-visage ABS casque de moto casque de sécurité électrique pour femmes / hommes Casque de Moto,New Motorcycle Helmets Half Face ABS Motorbike Helmet Electric Safety Helmet for Women/Men Moto Casque,13.0,EUR,13.0,EUR,15,8,,,4.0,1.0,0,1,0,0,0,,,,,,pink,m,1,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,youout,youout,"90 % avis positifs (4,330 notes)",4330,4.260739030023094,5878a3b7a8174f46d8095f98,,,https://www.wish.com/c/6045bd08291ae8c0b3cea362,https://canary.contestimg.wish.com/api/webimage/6045bd08291ae8c0b3cea362-medium.jpg,6045bd08291ae8c0b3cea362
" Capacetes para bicicleta, homens, mulheres, capacete, mountain road, bicicleta, integralmente, modelado, ciclismo, capacetes", Bicycle Helmets Men Women Bike Helmet  Mountain Road Bike Integrally Modeled Cycling Helmets,10.0,EUR,90.0,EUR,11,10,,,4.0,11.0,5,3,2,0,1,,,,,,yellow,,50,Livraison standard,2.0,false,,50,,,CN,Skyocean,skyocean,"91% Feedback positivo (17,341 avaliações)",17341,4.261345943140534,593a7c7e97555e391a2f6fe0,,,https://www.wish.com/c/5f165d601d5a1717b09eb369,https://canary.contestimg.wish.com/api/webimage/5f165d601d5a1717b09eb369-medium.jpg,5f165d601d5a1717b09eb369
2 en 1 mode avertissement éclairage casque hiver et été vélo vélo électrique vélo Scooter cyclisme casque de protection chapeaux,2 In 1 Fashion Warning Lighting Helmet Winter and Summer Bicycle Bike Electric Bike Scooter Cycling Helmet Protective Headwear,29.0,EUR,29.0,EUR,34,10,,,5.0,7.0,7,0,0,0,0,,,,,,pink,m(nolight),50,Livraison standard,9.0,false,,50,true,Quantité limitée !,CN,Xuan Mumer Ausan,xuanmumerausan,89 % avis positifs (965 notes),965,4.204145077720208,5ddd289b71483d3d8ff8e233,,,https://www.wish.com/c/5f5865e15dca9500404c43b7,https://canary.contestimg.wish.com/api/webimage/5f5865e15dca9500404c43b7-medium.jpg,5f5865e15dca9500404c43b7
Jiekai casques de moto sécurité Double visière ECE DOT casque rabattable Casque Moto Racing 4 saisons moto casque MOTO,Jiekai Motorcycle Helmets Safe Double Visor ECE DOT Flip Up Helmet Casque Moto Racing 4 Season Motor Cycle MOTO Helmet,43.0,EUR,43.0,EUR,51.0,2,,,5.0,0.0,,,,,,,,,,,white,s,2,Livraison standard,12.0,false,,50,,,CN,hgd82taw,hgd82taw,88 % avis positifs (182 notes),182,4.186813186813187,5d5503dd3db43e630a358316,,,https://www.wish.com/c/6045b2275513deb72d68f904,https://canary.contestimg.wish.com/api/webimage/6045b2275513deb72d68f904-medium.jpg,6045b2275513deb72d68f904
Type de casque WST Gen.5 Casque de réduction du bruit de communication Casque de réduction du bruit de ramassage du son,WST Gen.5 Helmet Type Communication Noise Canceling Headphones Sound Pickup Noise Reduction Headset,53.0,EUR,109.0,EUR,64.0,7,,,5.0,1.0,1,0,0,0,0,,,,,,tan,,50,Livraison standard,12.0,false,,50,,,CN,lovecy654123,lovecy654123,92 % avis positifs (879 notes),879,4.377701934015927,59a772132351343e5a8d0f3a,,,https://www.wish.com/c/5cf76638f082d868ed55a551,https://canary.contestimg.wish.com/api/webimage/5cf76638f082d868ed55a551-medium.jpg,5cf76638f082d868ed55a551
Ajuster le casque de vélo noir cyclisme vtt casque de skate casque de vélo de montagne pour hommes femmes casque de moto casque de moteur casque de sécurité équipement de protection,Adjust Black Bicycle Helmet Cycling MTB Skate Helmet Mountain Bike Helmet For Men Women Motorcycle Helmet Motor Helmet Safety Helmet Protective gear,14.0,EUR,103.0,EUR,16,10,,,4.5,4.0,2,2,0,0,0,,,,,,,,50,Livraison standard,5.0,false,,50,,,CN,Biglovenap,biglovenap,"90 % avis positifs (8,196 notes)",8196,4.263055148853099,59896ba94b913a5560b26e71,,,https://www.wish.com/c/5ef1c9647657b1535712aff8,https://canary.contestimg.wish.com/api/webimage/5ef1c9647657b1535712aff8-medium.jpg,5ef1c9647657b1535712aff8
AIS nouveau cross-country en plein air moto casque électrique équitation sport hommes et femmes moto casque de protection générale,AIS New Cross-country Outdoor Motorcycle Electric Helmet Riding Sports Men and Women Motorcycle General Protective Headgear,33.0,EUR,247.0,EUR,39,10,,,4.357142857142857,14.0,10,1,2,0,1,,,,,,transparent,halfhelmet-blue,1,Livraison standard,11.0,false,,50,,,CN,zuiqingfeng,zuiqingfeng,85 % avis positifs (245 notes),245,4.057142857142857,5ddb32f9b37a6800928e2062,,,https://www.wish.com/c/5f840ed1ac518dc17d569716,https://canary.contestimg.wish.com/api/webimage/5f840ed1ac518dc17d569716-medium.jpg,5f840ed1ac518dc17d569716
Emersongear FAST Casque balistique coupe haute Casque anti-balle Casque balistique standard américain avec rapport de test,Emersongear FAST Ballistic High Cut Helmet Anti-bullet Helmet US Standard Ballistic Helmet with Test Report,24.0,EUR,24.0,EUR,29,10,,,3.1818181818181817,11.0,4,1,2,1,3,,,,,,,fg,50,Livraison standard,8.0,false,,50,,,CN,emersongear Official Store,emersongearofficialstore,90 % avis positifs (695 notes),695,4.271942446043165,5d4a7aa27ad2421cdfb93ec5,,,https://www.wish.com/c/5d9d7cdbd6a84f019739f863,https://canary.contestimg.wish.com/api/webimage/5d9d7cdbd6a84f019739f863-medium.jpg,5d9d7cdbd6a84f019739f863
Haute qualité AIS cross-country moto en plein air casque de vélo électrique équitation sport été vélo capot de protection,High Quality AIS Cross-country Outdoor Motorcycle Electric Bicycle Helmet Riding Sports Summer Bicycle Protective Hood,32.0,EUR,330.0,EUR,38,10,,,3.6666666666666665,3.0,2,0,0,0,1,,,,,,white,s,1,Livraison standard,11.0,false,,50,,,US,osh926,osh926,"90 % avis positifs (1,520 notes)",1520,4.209868421052631,598866ab2351347863b994ab,,,https://www.wish.com/c/5f6ff6f1360798003e80f348,https://canary.contestimg.wish.com/api/webimage/5f6ff6f1360798003e80f348-medium.jpg,5f6ff6f1360798003e80f348
1 pièces FMA demi-masque de joint pour accessoires de casque tactique casque d'armée extérieur Airsoft masque pliant,1Pcs FMA Half Seal Mask for Tactical Helmet Accessories Outdoor Army Helmet Airsoft Folding Mask,19.0,EUR,19.0,EUR,22,10,,,5.0,3.0,3,0,0,0,0,,,,,,black,tb1363,50,Livraison standard,6.0,false,,50,,,CN,frgtr,frgtr,(460 notes),460,4.378260869565217,5d8452e88810cc7784e6b9bf,,,https://www.wish.com/c/5eec25be204fc807c77a0e92,https://canary.contestimg.wish.com/api/webimage/5eec25be204fc807c77a0e92-medium.jpg,5eec25be204fc807c77a0e92
