title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
1 Pc Anti-snoring Device Neoprene Unisex Soft Jaw Surppot Sleep Helper Chin Brace for Dormitory Hotel Home,1 Pc Anti-snoring Device Neoprene Unisex Soft Jaw Surppot Sleep Helper Chin Brace for Dormitory Hotel Home,10.0,EUR,10.0,EUR,11,0,,,5.0,0.0,,,,,,,,,,,red,,10,Livraison standard,3.0,false,,10,,,CN,eternmyth,eternmyth,"90 % avis positifs (10,160 notes)",10160,4.260433070866141,5a3a0b1895ebed1d3880277c,,,https://www.wish.com/c/600d7bfda2c33d563165a45d,https://canary.contestimg.wish.com/api/webimage/600d7bfda2c33d563165a45d-medium.jpg,600d7bfda2c33d563165a45d
 Non-Slip Senior Sock Aid Helper Stocking Slider Pulling Assist, Non-Slip Senior Sock Aid Helper Stocking Slider Pulling Assist,19.0,EUR,199.0,EUR,22,0,,,5.0,0.0,,,,,,,,,,,red,,20,Livraison standard,5.0,false,,50,,,CN,prasku,prasku,"79 % avis positifs (4,193 notes)",4193,3.8309086572859528,5d48e4ba60b94d4d96b1b0ca,,,https://www.wish.com/c/5fedb1594fa6d8662c6d4f5c,https://canary.contestimg.wish.com/api/webimage/5fedb1594fa6d8662c6d4f5c-medium.jpg,5fedb1594fa6d8662c6d4f5c
Silicone Infant Phlegm Cup Sputum Spitting Cup Sputum Spitting Helper Pink,Silicone Infant Phlegm Cup Sputum Spitting Cup Sputum Spitting Helper Pink,10.0,EUR,10.0,EUR,12,0,,,5.0,0.0,,,,,,,,,,,pink,7.7x5.7cm,50,Livraison standard,3.0,false,,50,,,CN,Tostaner,bestomzy,"89 % avis positifs (2,626 notes)",2626,4.253236862147753,5af55176fbf60d04be985616,,,https://www.wish.com/c/5ed350d6b4f41926f688b3b6,https://canary.contestimg.wish.com/api/webimage/5ed350d6b4f41926f688b3b6-medium.jpg,5ed350d6b4f41926f688b3b6
20/40/60 PCS KN95 masque facial 5 couches filtre à charbon actif PM2.5 masques anti-poussière Anti mauvaise haleine halitose inodore,20/40/60 PCS KN95 Face Mask 5 Layers Activated Carbon Filter PM2.5 Dust Masks Anti Bad breath Halitosis Odorless,16.0,EUR,16.0,EUR,19,1000,,,4.656910569105691,615.0,482,94,17,5,17,,,,,,,20pcs,50,Livraison standard,5.0,false,,50,,,CN,Nice Helper,nicehelper,95 % avis positifs (887 notes),887,4.589627959413754,5ed35f4fee4f57b2d8004525,,,https://www.wish.com/c/5eef8dd17c710668470ddd48,https://canary.contestimg.wish.com/api/webimage/5eef8dd17c710668470ddd48-medium.jpg,5eef8dd17c710668470ddd48
Bouchon de ronflement intelligent arrêtez de ronfler / 20X électrodes de bouchon de ronflement intelligentes biocapteur patchs anti-ronflement aide au sommeil soins sains,Smart Snore Stopper Stop Snoring/20X Smart Snore Stopper Electrodes Biosensor Anti-Snoring Patches Sleeping Helper Healthy Care,85.0,EUR,85.0,EUR,101.0,0,,,5.0,0.0,,,,,,,,,,,,20pcselectrodes,50,Livraison standard,12.0,false,,50,,,CN,Yingxinly,yingxinly,"86 % avis positifs (12,051 notes)",12051,4.120487926313169,5c2c2b2c5c2e6c36855f508e,,,https://www.wish.com/c/5f8ed1c1705d301f93115032,https://canary.contestimg.wish.com/api/webimage/5f8ed1c1705d301f93115032-medium.jpg,5f8ed1c1705d301f93115032
1pc Sputum Spitting Pat Phlegm Pat Sputum Spitting Helper Patting Tool,1pc Sputum Spitting Pat Phlegm Pat Sputum Spitting Helper Patting Tool,6.0,EUR,6.0,EUR,7,0,,,5.0,0.0,,,,,,,,,,,blue,8x8cm,10,Livraison standard,2.0,false,,10,true,Quantité limitée !,CN,xbihaya,xbihaya,93 % avis positifs (365 notes),365,4.438356164383562,5f127df4e2f1d789dd4b6cc4,,,https://www.wish.com/c/5fecf2fe744c2b613d2aff20,https://canary.contestimg.wish.com/api/webimage/5fecf2fe744c2b613d2aff20-medium.jpg,5fecf2fe744c2b613d2aff20
Été Accueil Électronique Moustique Répulsif Stylo Enfant Piqûre D'insecte Soulager Stylo Adultes Moustique Anti-Bug Anti-Piqûre Aide Antiprurigineux Dispositif,Summer Home Electronic Mosquito Repellent Pen Child Bite Insect Relieve Pen Adults Mosquito Bug Reliever Bite Helper Antipruritic Device,8.0,EUR,8.0,EUR,9,10,,,5.0,2.0,2,0,0,0,0,,,,,,black,,50,Livraison standard,3.0,false,,50,,,CN,"Forest Technology Co.,Ltd.",foresttechnologycoltd,"93 % avis positifs (13,071 notes)",13071,4.389335169459108,56cc6511ee935e1390008ef9,,,https://www.wish.com/c/5ed4b9de1a15838ad9f2135d,https://canary.contestimg.wish.com/api/webimage/5ed4b9de1a15838ad9f2135d-medium.jpg,5ed4b9de1a15838ad9f2135d
Mini Practical Sleep Helper Timing Sleep Sound Machine Relaxing Soothing Therapy,Mini Practical Sleep Helper Timing Sleep Sound Machine Relaxing Soothing Therapy,19.0,EUR,27.0,EUR,22,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,6.0,false,,50,,,CN,Duction,duction,"90 % avis positifs (6,457 notes)",6457,4.308967012544525,545b13ae8edcfa7dd59775b5,,,https://www.wish.com/c/6043298b77a4c9e80f0e7e23,https://canary.contestimg.wish.com/api/webimage/6043298b77a4c9e80f0e7e23-medium.jpg,6043298b77a4c9e80f0e7e23
Le ventilateur de la nature sonne la machine à bruit blanc pour la thérapie sonore d'aide au sommeil à la maison (20 options sonores),Nature Fan Sounds White Noise Machine for Sleeping Home Sleep Helper Sound Therapy (20 Sound Options),19.0,EUR,19.0,EUR,22,0,,,5.0,0.0,,,,,,,,,,,,,7,Livraison standard,5.0,false,,7,,,CN,Harry,harry,"91 % avis positifs (45,370 notes)",45370,4.32713246638748,585a3bfee8f5584d54f6f897,,,https://www.wish.com/c/604046b709ea8659d7793a50,https://canary.contestimg.wish.com/api/webimage/604046b709ea8659d7793a50-medium.jpg,604046b709ea8659d7793a50
No Blending Stretching Stocking Helper Sock Aid Easy On Off Stocking Slider Tool TMPC,No Blending Stretching Stocking Helper Sock Aid Easy On Off Stocking Slider Tool TMPC,13.0,EUR,13.0,EUR,15,0,,,5.0,0.0,,,,,,,,,,,,,10,Livraison Express,4.0,true,,10,,,CN,TMPCJBCD,tmpcjbcd,100 % avis positifs (1 notes),1,5.0,5f606415238df1f670d38d12,,,https://www.wish.com/c/60000482b67dace0f285daee,https://canary.contestimg.wish.com/api/webimage/60000482b67dace0f285daee-medium.jpg,60000482b67dace0f285daee
