title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Processeur Intel Core i5-9400F CPU Coffee Lake Refresh,Intel Core i5-9400F Processor Coffee Lake Refresh CPU,238.0,EUR,238.0,EUR,288.0,2,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,KR,DAESE01,daese01,(110 notes),110,3.390909090909091,5ed762f3f4010f0bc3876499,,,https://www.wish.com/c/604585c86dff24192a2ed8a8,https://canary.contestimg.wish.com/api/webimage/604585c86dff24192a2ed8a8-medium.jpg,604585c86dff24192a2ed8a8
2021Nouvelle Montre 7 Montre Intelligente Hommes Femmes Bluetooth Appel Smartwatch Fitness Tracker Bracelet De Sport Moniteur De Fréquence Cardiaque Bracelet Intelligent Bracelet pour iPhone 11 iPhone 12 XR Max,2021New Watch 7 Smart Watch Men Women Bluetooth Call Smartwatch Fitness Tracker Sports Bracelet Heart Rate Monitor Smart Bracelet Wristband for iPhone 11 iPhone 12 XR Max,21.0,EUR,21.0,EUR,25,10,,,4.183333333333334,60.0,40,9,1,2,8,,,,,,black,nobluetoothcallfunction,50,Livraison Express,8.0,true,,50,,,US,favromarylouise547,favromarylouise547,"87 % avis positifs (2,614 notes)",2614,4.140397857689365,5eaa41aa19a5f84be5ec2b47,,,https://www.wish.com/c/5f60556b53fa6c0929dfffbf,https://canary.contestimg.wish.com/api/webimage/5f60556b53fa6c0929dfffbf-medium.jpg,5f60556b53fa6c0929dfffbf
Mode Femmes Montre Intelligente Étanche Sport Fitnes Tracker Bracelet Intelligent Pression Artérielle Moniteur De Fréquence Cardiaque Smartband De Luxe Bracelet Intelligent pour Android Iphone Cadeau Parfait pour les Filles Femmes,Fashion Women Smart Watch  Waterproof Sport Fitnes Tracker Smart Bracelet Blood Pressure Heart Rate Monitor Smartband Luxury Smart Wristband  for Android Iphone Perfect Gift for Girls Women,20.0,EUR,264.0,EUR,24,10,,,3.9,10.0,6,1,1,0,2,,,,,,gold,built-in60mahbattery,50,Livraison standard,6.0,false,,50,,,CN,Fashion_storm,fashion_storm,"89 % avis positifs (51,044 notes)",51044,4.218615312279602,5711d71fb2d43a55d681ff97,,,https://www.wish.com/c/5fe1923aa7fc683e0723378e,https://canary.contestimg.wish.com/api/webimage/5fe1923aa7fc683e0723378e-medium.jpg,5fe1923aa7fc683e0723378e
Ultralight Portable Laptop 14.1 Inch 1080P 8GB DDR4+ 256GB SSD Win 10 Ultra-thin Laptop Intel J4115 CPU Notebook Computer,Ultralight Portable Laptop 14.1 Inch 1080P 8GB DDR4+ 256GB SSD Win 10 Ultra-thin Laptop Intel J4115 CPU Notebook Computer,189.0,EUR,1649.0,EUR,229.0,10,,,5.0,0.0,,,,,,,,,,,silver,,50,Livraison Express,12.0,true,,50,,,US,tatharrgjr,tatharrgjr,56 % avis positifs (25 notes),25,3.08,5e945aa746be6a9641df1dc1,,,https://www.wish.com/c/6079396e9b02a61da52600a0,https://canary.contestimg.wish.com/api/webimage/6079396e9b02a61da52600a0-medium.jpg,6079396e9b02a61da52600a0
"2021 nouvelle version 1.54 ""grand écran Bluetooth Smart Watch Full Touch IP67 étanche Tracker de fréquence cardiaque Bracelet de remise en forme avec lampe de poche température corporelle pression artérielle moniteur d'oxygène sanguin","2021 New Version 1.54"" Large Screen Bluetooth Smart Watch Full Touch IP67 Waterproof Heart Rate Tracker Fitness Bracelet with Flashlight Body Temperature Blood Pressure Blood Oxygen Monitor Wristband",16.0,EUR,16.0,EUR,19,10,,,4.25,12.0,7,3,1,0,1,,,,,,red,refurbished,10,Livraison standard,5.0,false,,50,true,Quantité limitée !,US,HuanzaishiyingvH,huanzaishiyingvh,89 % avis positifs (198 notes),198,4.308080808080808,5e8aa603290a5fd85c8fccc8,,,https://www.wish.com/c/60069abdd33950c4bbed5148,https://canary.contestimg.wish.com/api/webimage/60069abdd33950c4bbed5148-medium.jpg,60069abdd33950c4bbed5148
Nouveau I5 montre intelligente podomètre contrôle de la musique cadrans multiples fréquence cardiaque Fitness Smartwatch hommes femmes Android IOS,New I5 Smart Watch Pedometer Music Control Multiple Dials Heart Rate Fitness Smartwatch Men Women Android IOS,11.0,EUR,11.0,EUR,13,5000,,,3.5291858678955452,1302.0,590,193,139,76,304,,,,,,black,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,US,QKJ65XY4R,qkj65xy4r,"(1,518 notes)",1518,3.984189723320158,5e83a0350c8d004a847df759,,,https://www.wish.com/c/5ed8a3209827f047221bbc34,https://canary.contestimg.wish.com/api/webimage/5ed8a3209827f047221bbc34-medium.jpg,5ed8a3209827f047221bbc34
Bracelet en nylon pour bracelet Apple Watch 42mm 38mm bande iWatch 44mm 40mm Bracelet Sport boucle bracelet de montre ceinture de montre respirant 6 5 4 3 2 1,Nylon strap For Apple Watch band 42mm 38mm iWatch band 44mm 40mm Bracelet Sport loop watchband watch belt Breathable 6 5 4 3 2 1,1.65,EUR,33.0,EUR,2.0,1000,,,4.545833333333333,240.0,183,28,16,3,10,,,,,,pink,38mm,50,Livraison standard,1,false,,50,,,US,David B Alcaraz,davidbalcaraz,94 % avis positifs (311 notes),311,4.472668810289389,5e92f1c629e78679b4848252,,,https://www.wish.com/c/60026cf94d4058835faecfb0,https://canary.contestimg.wish.com/api/webimage/60026cf94d4058835faecfb0-medium.jpg,60026cf94d4058835faecfb0
"Ordinateur portable 15,6 pouces avec 8G de RAM DDR4 240G SSD ordinateurs portables de jeu Ultrabook intel j3455 Quad Core Win10 ordinateur portable",15.6 inch Laptop With 8G RAM DDR4 240G SSD Gaming Laptops Ultrabook intel j3455 Quad Core Win10 Notebook Computer,357.0,EUR,357.0,EUR,432.0,10,,,1.0,1.0,0,0,0,0,1,,,,,,,8gram&240gssd,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,CN,taotaoliuliu,taotaoliuliu,88 % avis positifs (8 notes),8,4.25,5ad4317ac3911a34ecdd2c11,,,https://www.wish.com/c/5d33d2afa113bb182a96e26a,https://canary.contestimg.wish.com/api/webimage/5d33d2afa113bb182a96e26a-medium.jpg,5d33d2afa113bb182a96e26a
2021 plus récent L19 montre intelligente hommes appel Bluetooth IP68 étanche ECG PPG fréquence cardiaque moniteur de pression artérielle réveil SmartWatch PK Huawei montre mieux que L15 L16 pour téléphone Samsung iphone Android,2021 Newest L19 Smart Watch Men Bluetooth Call IP68 Waterproof ECG PPG Heart Rate Blood Pressure Monitor Alarm Clock SmartWatch PK Huawei Watch Better Than L15 L16 for Samsung iphone Android phone,20.0,EUR,330.0,EUR,24,10,,,3.4615384615384617,13.0,3,5,2,1,2,,,,,,brown,38mm&silicone&nowaterproof,50,Livraison standard,6.0,false,,50,,,CN,leochen119,leochen119,"(2,575 notes)",2575,4.0322330097087375,579f60f387c7c65d0877b9ea,,,https://www.wish.com/c/603714bb88abbe5207b47eae,https://canary.contestimg.wish.com/api/webimage/603714bb88abbe5207b47eae-medium.jpg,603714bb88abbe5207b47eae
Nouveau réveil multifonction à affichage LED de la température de la météo intérieure,New Multi-function Indoor Weather Temperature LED Display Alarm Clock Lazy Sleepy Alarm Clock,10.0,EUR,61.0,EUR,11,10,,,4.4222222222222225,45.0,29,10,3,2,1,,,,,,black,,50,Livraison standard,2.0,false,,50,,,CN,yiwutanglei trading company,yiwutangleitradingcompany,"93 % avis positifs (50,854 notes)",50854,4.3722814331222715,55cc65fffb36df12434a5bf1,,,https://www.wish.com/c/5fb23d97d10ac977d85ee635,https://canary.contestimg.wish.com/api/webimage/5fb23d97d10ac977d85ee635-medium.jpg,5fb23d97d10ac977d85ee635
