title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Wrangler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ef9c9daeb31f94d86971466,,5ef9c9daeb31f94d86971466
Short Jeans Jeans Denim Femme Enceinte Maternité Shorts Taille ajustable Soins du Ventre Denim Thin Shorts ,Short Jeans Denim Pregnant Women Maternity Shorts Waist Adjustable Care Belly Denim Thin Shorts ,12.0,EUR,12.0,EUR,14,10,,,3.816666666666667,60.0,27,12,9,7,5,,,,,,darkblue,s,3,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,shuimanxiaoshan,shuimanxiaoshan,87 % avis positifs (701 notes),701,4.1169757489301,5aff9b8ff853f45a26473d03,,,https://www.wish.com/c/5cb7fdf6df4b41473c3821c8,https://canary.contestimg.wish.com/api/webimage/5cb7fdf6df4b41473c3821c8-medium.jpg,5cb7fdf6df4b41473c3821c8
Nouveau Unique Femmes Mode Street Style Jeans Pantalon Vintage Plusieurs Poche Jeans Pantalon Long Denim Pantalon pour Femmes Pantalon Décontracté,New Unique Women Fashion Street Style Jeans Pant Vintage  Multiple Pocket Jeans Trouser Long Denim Pants for Women Casual Pants,20.0,EUR,162.0,EUR,24,10,,,4.36,50.0,36,4,5,2,3,,,,,,blue,s,50,Livraison standard,6.0,false,,50,,,CN,mullyma,mullyma,"83 % avis positifs (24,042 notes)",24042,3.9350719574078696,59ab55d09fbc51145a0327ae,,,https://www.wish.com/c/5e15bd4cc7b5080aacc2d8ed,https://canary.contestimg.wish.com/api/webimage/5e15bd4cc7b5080aacc2d8ed-medium.jpg,5e15bd4cc7b5080aacc2d8ed
2021 Ladies Fashion Casual Jeans Comfortable Pants 3 COLOUR Jeans Shows Slim Ladies Pants Plus Size 4XL,2021 Ladies Fashion Casual Jeans Comfortable Pants 3 COLOUR Jeans Shows Slim Ladies Pants Plus Size 4XL,3.87,EUR,4.0,EUR,4.6899999999999995,10,,,5.0,1.0,1,0,0,0,0,,,,,,black,ㅤㅤㅤ,1,Livraison standard,1.0,false,,50,,,CN,yrtuguf,yrtuguf,75 % avis positifs (8 notes),8,3.375,603b386d7ea46a60142b96d7,,,https://www.wish.com/c/60502b77cd9c58279caa2a3d,https://canary.contestimg.wish.com/api/webimage/60502b77cd9c58279caa2a3d-medium.jpg,60502b77cd9c58279caa2a3d
2020 nouveau grande taille Jeans femme bleu taille Midi droite Denim maman Jeans femme élastique crayon Jean pantalon pour femmes automne pantalon,2020 New Plus Size Jeans Woman Blue Midi Waist Straight Denim Mom Jeans Female Elastic Pencil Jean Pants for Women Fall Trousers,30.0,EUR,30.0,EUR,36.0,1,,,5.0,0.0,,,,,,,,,,,navy,s,50,Livraison standard,0.0,false,,50,true,Quantité limitée !,CA,Loom,loom,81 % avis positifs (403 notes),403,4.054590570719603,60108516d38ac0468d48a860,,,https://www.wish.com/c/6016b9f14337630042b3efda,https://canary.contestimg.wish.com/api/webimage/6016b9f14337630042b3efda-medium.jpg,6016b9f14337630042b3efda
Plus la taille NOUVELLE femmes nouvelle mode mince Faux Denim crâne imprimé papillon skinny jeggings décontracté élastique Halloween Legging printemps / automne pantalon long,Plus Size NEW Women New Fashion Slim Faux Denim Skull Butterfly Print Skinny Jeggings Casual Elastic Halloween Legging Spring/ Autumn Long Pants,10.0,EUR,76.0,EUR,12,5000,,,4.107142857142857,448.0,266,69,50,21,42,,,,,,black,xxl.,50,Livraison standard,3.0,false,,50,,,CN,Meiguiseiry,meiguiseiry,"78 % avis positifs (2,310 notes)",2310,3.797835497835498,5d7e05fb09f774665312ef5e,,,https://www.wish.com/c/5deb21d99ff1b2056f03c918,https://canary.contestimg.wish.com/api/webimage/5deb21d99ff1b2056f03c918-medium.jpg,5deb21d99ff1b2056f03c918
Leggings Pantalon Crayon Élastique Taille Haute Taille Haute Jean Skinny de Couleur Bonbon,Leggings Thin Section High Waist Stretch Pencil Pants Skinny Candy-colored Jeans,2.27,EUR,34.0,EUR,2.75,1000,,,3.247422680412371,194.0,75,30,15,16,58,,,,,,yellow,sizes,2,Livraison standard,1,false,,50,,,CN,Best Goods For Sell,bestgoodsforsell,"84 % avis positifs (1,651 notes)",1651,3.9654754694124774,556dc0d5a2c01a27be57ae61,,,https://www.wish.com/c/5e95853356f9ea1940a9864b,https://canary.contestimg.wish.com/api/webimage/5e95853356f9ea1940a9864b-medium.jpg,5e95853356f9ea1940a9864b
2021 Fashion Mens Jeans Night Club Black White Color Personal Designer Printed Jeans Men Punk Pants Skinny Hip Hop Jeans,2021 Fashion Mens Jeans Night Club Black White Color Personal Designer Printed Jeans Men Punk Pants Skinny Hip Hop Jeans,10.0,EUR,10.0,EUR,11,10,,,4.0,1.0,0,1,0,0,0,,,,,,white,10,2,Livraison standard,2.0,false,,50,,,CN,heyingfenglj,heyingfenglj,(208 notes),208,3.2548076923076925,5eccd6b7682e8e34c27be83e,,,https://www.wish.com/c/602dfa09c3bd22005056d17c,https://canary.contestimg.wish.com/api/webimage/602dfa09c3bd22005056d17c-medium.jpg,602dfa09c3bd22005056d17c
"Pantalon en denim skinny déchiré et déchiré, coupe slim, mode nouvelle pour hommes",New Men's Fashion Slim Fit Stretch Destroyed Ripped Skinny Denim Jeans Pants,24.0,EUR,91.0,EUR,29,1000,,,4.238095238095238,168.0,111,21,17,3,16,,,,,,white,28,7,Livraison standard,8.0,false,,50,,,CN,Tpstyle,tpstyle,"91 % avis positifs (3,640 notes)",3640,4.298076923076923,57dcdcaf9851da105a9bd0fe,,,https://www.wish.com/c/584e847dd060604c9a681b8f,https://canary.contestimg.wish.com/api/webimage/584e847dd060604c9a681b8f-medium.jpg,584e847dd060604c9a681b8f
10 couleurs femmes mode décontracté mince serré élastique pantalon couleur pure jean loisirs pantalon grande taille XS-5XL,10 Colors Women's Fashion Casual Slim Tight Elastic Pants Pure Color Jeans Leisure Trousers Plus Size XS-5XL,4.71,EUR,5.0,EUR,5.71,10,,,3.9,30.0,14,5,7,2,2,,,,,,grey,xs,2,Livraison standard,1.0,false,,50,,,CN,Hlobart,hlobart,"82 % avis positifs (2,544 notes)",2544,3.9040880503144653,5b3c78b6ce10452ca9350b0d,,,https://www.wish.com/c/5f5745c4c2599dbdc3c242e2,https://canary.contestimg.wish.com/api/webimage/5f5745c4c2599dbdc3c242e2-medium.jpg,5f5745c4c2599dbdc3c242e2
