title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Acrylique Anime rouge guitare électrique boucles d'oreilles goutte balancent nouveauté Instrument de musique décoration bijoux pour femmes filles adolescents charme cadeau Rock accessoire,Acrylic Anime Red Electric Guitar Earrings Drop Dangle Novelty Musical Instrument Decoration Jewelry For Women Girls Teens Charm Gift Rock Accessory,2.24,EUR,9.0,EUR,2.71,10,,,4.583333333333333,12.0,10,0,1,1,0,,,,,,red,,50,Livraison standard,1,false,,50,,,CN,WEVENI,weveni,"92 % avis positifs (7,798 notes)",7798,4.391895357784048,5d400986e4b65d3340e63ac3,,,https://www.wish.com/c/5dfcb30ea63cdb0103d899c8,https://canary.contestimg.wish.com/api/webimage/5dfcb30ea63cdb0103d899c8-medium.jpg,5dfcb30ea63cdb0103d899c8
Nouveauté Creative Couleur Anneau Personnalité Versatile Cool Lumineux Crack Ring Bijoux De Mode Discothèque Bar Anneau Résine Anneau,Novelty Creative Color Ring Personality Versatile Cool Luminous Crack Ring Fashion Jewelry Nightclub Bar Ring Resin Ring,3.0,EUR,6.0,EUR,3,1000,,,3.372972972972973,185.0,75,20,30,19,41,,,,,,red,4,50,Livraison standard,1.0,false,,50,,,CN,zhangjiang0,zhangjiang0,"87 % avis positifs (4,554 notes)",4554,4.150197628458498,5ad97b5b28a2b36a21a87b25,,,https://www.wish.com/c/5dc27778f2e3c51036787b38,https://canary.contestimg.wish.com/api/webimage/5dc27778f2e3c51036787b38-medium.jpg,5dc27778f2e3c51036787b38
"Une paire de boucles d'oreilles mini avocat vert, boucles d'oreilles asymétriques, boucles d'oreilles super drôles, boucles d'oreilles pendentif amitié","A Pair of Green Mini Avocado Earrings, Asymmetrical Drop Earrings, Super Funny Earrings, Friendship Pendant Earrings",2.29,EUR,15.0,EUR,2.77,10000,,,4.399918798213561,2463.0,1651,414,232,64,102,,,,,,,1,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,Mindseller,mindseller,"93 % avis positifs (5,310 notes)",5310,4.430320150659134,58aaa9ec85391350e847dbd9,,,https://www.wish.com/c/5cf112e19c4db22c6892d259,https://canary.contestimg.wish.com/api/webimage/5cf112e19c4db22c6892d259-medium.jpg,5cf112e19c4db22c6892d259
"Lampadaire magnétique à globe terrestre flottant en forme de O de 3,5 pouces à LED pour la décoration intérieure (US/EU/UK/UK/AU Plug)",3.5 Inch O Shape Magnetic Levitation Floating Globe Map LED Light Home Decoration(US/EU/UK/AU Plug),22.0,EUR,22.0,EUR,26,1000,,,4.209046454767726,818.0,496,154,73,33,62,,,,,,gold,usplug,50,Livraison standard,7.0,false,,50,,,CN,Catelyn,catelyn,"92 % avis positifs (12,428 notes)",12428,4.350257483102672,5b5940215d643e4fa88c1fb1,,,https://www.wish.com/c/5cb0373901c3dc02dfddbf7f,https://canary.contestimg.wish.com/api/webimage/5cb0373901c3dc02dfddbf7f-medium.jpg,5cb0373901c3dc02dfddbf7f
Acrylique berger allemand chien boucles d'oreilles balancent goutte balancent nouveauté bijoux animaux pour femmes filles adolescents enfants cadeaux pour animaux de compagnie,Acrylic German Shepherd Dog Earrings Dangle Drop Dangle Novelty Animal Jewelry For Women Girls Teens Kids Pet Gifts,2.0,EUR,8.0,EUR,2,1000,,,4.613793103448276,290.0,224,40,14,4,8,,,,,,brown,,50,Livraison standard,1,false,,50,,,CN,"Bonsny E-Business Co., Ltd",bonsnyebusinesscoltd,"94 % avis positifs (42,534 notes)",42534,4.488597357408191,5496c2d3b9b7e7291a2cdc3c,,,https://www.wish.com/c/5cacba8b74447f3fcce3174f,https://canary.contestimg.wish.com/api/webimage/5cacba8b74447f3fcce3174f-medium.jpg,5cacba8b74447f3fcce3174f
Anneau de nouveauté en acier inoxydable avec 4 billes mobiles,Novelty Stainless Steel Ring with 4 Movable Balls,6.0,EUR,13.0,EUR,7,10,,,3.4583333333333335,24.0,9,5,3,2,5,,,,,,,30mm,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,zhumanyi98zhu,zhumanyi98zhu,"92 % avis positifs (3,184 notes)",3184,4.289572864321608,5b9379216cba6f4d09780207,,,https://www.wish.com/c/5d89b7864cdeb527c185a04c,https://canary.contestimg.wish.com/api/webimage/5d89b7864cdeb527c185a04c-medium.jpg,5d89b7864cdeb527c185a04c
1PC nouveauté conçoit des chouchous à glissière femmes créatives velours poche élastiques bandeaux avec fermeture éclair,1PC Novelty Designs Zipper Scrunchies Women Creative Velvet Pocket Elastic Hairbands With Zip,3.87,EUR,4.0,EUR,4.6899999999999995,10,,,1.0,2.0,0,0,0,0,2,,,,,,black,1pc,8,Livraison standard,1.0,false,,50,true,Quantité limitée !,US,ETTSDY_021,ettsdy_021,"90 % avis positifs (1,034 notes)",1034,4.316247582205029,5dbfcf5e1e10af025776267e,,,https://www.wish.com/c/5f4f3f6b8568b607f7685e94,https://canary.contestimg.wish.com/api/webimage/5f4f3f6b8568b607f7685e94-medium.jpg,5f4f3f6b8568b607f7685e94
Nouveauté décor à la maison homme escalade chambre interrupteur de lumière autocollant mur autocollant décalcomanie coup de main,Novelty Home Decor Man Climbing Bedroom Light Switch Sticker Wall Sticker Decal Helping Hand,4.71,EUR,5.0,EUR,5.71,10,,,4.458333333333333,48.0,34,7,4,1,2,,,,,,,,50,Livraison standard,1.0,false,,50,,,US,pennysaver123,pennysaver123,"92 % avis positifs (3,757 notes)",3757,4.31727442108065,5852a67030157e4df93f376e,,,https://www.wish.com/c/5db7d450c49db001edc12b5f,https://canary.contestimg.wish.com/api/webimage/5db7d450c49db001edc12b5f-medium.jpg,5db7d450c49db001edc12b5f
Boucles d'oreilles fouet faites main Miniblings Fouet Alimentaire Cuisine Cuisine Cuisine Argent,Handmade Small  Whisk Earrings Miniblings Whisk Food Cook Kitchen Cooking Silver,3.17,EUR,4.0,EUR,3.84,5000,,,4.6940298507462686,1072.0,873,122,44,14,19,,,,,,,silverplated,50,Livraison standard,1.0,false,,50,,,CN,guo0615,guo0615,"(83,223 notes)",83223,4.552719801016546,566812cbe363a3613607eac4,,,https://www.wish.com/c/5cecf28dca93a8448d1fe28b,https://canary.contestimg.wish.com/api/webimage/5cecf28dca93a8448d1fe28b-medium.jpg,5cecf28dca93a8448d1fe28b
"Capsules de café réutilisables pour Nespresso, filtres à café en acier inoxydable, machine à expresso améliorée, nouveauté","Reusable Coffee Capsules for Nespresso, Stainless Steel Coffee Filters, Upgraded Espresso Maker, Novelty",10.0,EUR,238.0,EUR,11,10,,,4.5,2.0,1,1,0,0,0,,,,,,,1spoon,4,Livraison standard,3.0,false,,50,,,CN,hyfnxeqpxebdprld,hyfnxeqpxebdprld,89 % avis positifs (36 notes),36,4.222222222222222,5ec3a4b580f8ee32dafacdb4,,,https://www.wish.com/c/6030ab6bf1166b9a2218fcd1,https://canary.contestimg.wish.com/api/webimage/6030ab6bf1166b9a2218fcd1-medium.jpg,6030ab6bf1166b9a2218fcd1
