title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
MPOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e3b0ba69719eddf0ac7e697,,5e3b0ba69719eddf0ac7e697
Smart Band CK11S Montre étanche CK11S Tension artérielle Montre Oxygène Blood Heart Rate Monitor Smart Bracelet Podomètre,Smart Band CK11S Waterproof Blood Pressure Watch Blood Oxygen Heart Rate Monitor Smart Bracelet Pedometer,22.0,EUR,165.0,EUR,26,20000,,,4.177546628407461,2788.0,1619,565,288,112,204,,,,,,gold,,50,Livraison standard,7.0,false,,50,,,CN,Jerry Room_Fashion Store,jerryroom_fashionstore,"89 % avis positifs (4,423 notes)",4423,4.247117341171151,5578435bad490c1a18f79022,,,https://www.wish.com/c/59a912a035b03a7b4d6df83c,https://canary.contestimg.wish.com/api/webimage/59a912a035b03a7b4d6df83c-medium.jpg,59a912a035b03a7b4d6df83c
"YoYoFit Newest 1.54” Full Touch Screen Smart Watch Flashlight Heart Rate Monitor Blood Pressure Sleep Monitor Fitness Tracker,Activity Tracker Pedometer Smart Notification Men Women Android iOS","YoYoFit Newest 1.54” Full Touch Screen Smart Watch Flashlight Heart Rate Monitor Blood Pressure Sleep Monitor Fitness Tracker,Activity Tracker Pedometer Smart Notification Men Women Android iOS",113.0,EUR,145.0,EUR,135.99,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,19.99,false,,3,,,GB,Giftenza,giftenza,79 % avis positifs (336 notes),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/603570b955a4c76f5ce6d046,https://canary.contestimg.wish.com/api/webimage/603570b955a4c76f5ce6d046-medium.jpg,603570b955a4c76f5ce6d046
"M6 Color Screen Smart Bracelet , Heart Rate Blood Pressure Sleep Monitor Fitness Tracker Smartband, Waterproof Sport Pedometer Step Counter Activity Tracker Smart Wristband for IOS Android Phone","M6 Color Screen Smart Bracelet , Heart Rate Blood Pressure Sleep Monitor Fitness Tracker Smartband, Waterproof Sport Pedometer Step Counter Activity Tracker Smart Wristband for IOS Android Phone",5.0,EUR,33.0,EUR,6,10,,,5.0,0.0,,,,,,,,,,,pink,,50,Livraison standard,2.0,false,,50,,,CN,Homel520,homel520,"90 % avis positifs (68,454 notes)",68454,4.215590031261869,5979c9d8ec40ae509adb287e,,,https://www.wish.com/c/606c1551f37a354969b07924,https://canary.contestimg.wish.com/api/webimage/606c1551f37a354969b07924-medium.jpg,606c1551f37a354969b07924
"2020 nouveau Q18S smart Bluetooth montre podomètre rappel de sommeil surveillance caméra à distance sport montre étanche, adapté à tous les smartphones Android / iOS, supporte la carte TF","2020 new Q18S smart Bluetooth watch pedometer sleep reminder monitoring remote camera sports waterproof watch, suitable for all smartphones Android / iOS, support TF card",12.0,EUR,279.0,EUR,14,10,,,3.7837837837837838,37.0,17,7,6,2,5,,,,,,gold&black,,50,Livraison standard,3.0,false,,50,,,CN,flash334,flash334,87 % avis positifs (837 notes),837,4.099163679808841,58c100c43f49630f1307e386,,,https://www.wish.com/c/5ea916844e671a303d0e57f1,https://canary.contestimg.wish.com/api/webimage/5ea916844e671a303d0e57f1-medium.jpg,5ea916844e671a303d0e57f1
Bracelet de montre intelligente P80 avec moniteur de fréquence cardiaque de pression artérielle podomètre Fitness Tracker bande Smartwatch pour Android Huawei IOS,P80 Smart Watch Bracelet With Blood Pressure Heart Rate Monitor Pedometer Fitness Tracker Band Smartwatch For Android Huawei IOS,52.0,EUR,52.0,EUR,63.0,0,,,5.0,0.0,,,,,,,,,,,black,,50,Livraison standard,12.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/602ff0ce97e6decc2ea8ac04,https://canary.contestimg.wish.com/api/webimage/602ff0ce97e6decc2ea8ac04-medium.jpg,602ff0ce97e6decc2ea8ac04
"Sysmarts Fitness Tracker, Smart Watch Activity Tracker with Heart Rate, Sleep Monitor, Step Counter, Calories, Sports Tracker, IP67 Waterproof, Slim Pedometer Watch for Men Women (Black)","Sysmarts Fitness Tracker, Smart Watch Activity Tracker with Heart Rate, Sleep Monitor, Step Counter, Calories, Sports Tracker, IP67 Waterproof, Slim Pedometer Watch for Men Women (Black)",108.0,EUR,138.0,EUR,129.99,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,19.99,false,,3,,,GB,Giftenza,giftenza,79 % avis positifs (336 notes),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/6042cd1fe7c363213e2b53e4,https://canary.contestimg.wish.com/api/webimage/6042cd1fe7c363213e2b53e4-medium.jpg,6042cd1fe7c363213e2b53e4
Bande intelligente colorée Bracelet Bluetooth Fitness Tracker Pression artérielle Oxygène sanguin Sommeil Moniteur de fréquence cardiaque Sport Montre intelligente Bracelet intelligent Podomètre IP67 Bande de fitness étanche pour Android Ios VS Fit Bit Miband 3 4 Noir Bleu Rose,Colorful Smart Band Bluetooth Bracelet Fitness Tracker Blood Pressure Blood Oxygen Sleep Heart Rate Monitor Sport Smart Watch Smart Wristband Pedometer IP67 Waterproof Fitness Band for Android Ios VS Fit Bit Miband 3 4 Black Blue Pink,17.0,EUR,17.0,EUR,20,10,,,3.888888888888889,18.0,9,4,2,0,3,,,,,,blue,,50,Livraison standard,6.0,false,,50,,,CN,Fashion Central International,fashioncentralinternational,"92 % avis positifs (49,864 notes)",49864,4.293738969998396,5483d35a34719132d9dd0e74,,,https://www.wish.com/c/5d65e796788b3d6b71d1452d,https://canary.contestimg.wish.com/api/webimage/5d65e796788b3d6b71d1452d-medium.jpg,5d65e796788b3d6b71d1452d
1: 1 Watch 6nd Watch Series 6 Bluetooth Phone Call Smartwatch 1.75in Infinity Full Touch Screen Bracelet Bluetooth IP68 Étanche Smart Watch Fréquence cardiaque Tensiomètre Rappel de message Podomètre Compteur de calories Moniteur de sommeil pour Smartphone Android IOS,1:1 Watch 6nd Watch Series 6 Bluetooth Phone Call Smartwatch 1.75in Infinity Full Touch Screen Bluetooth Bracelet IP68 Waterproof Smart Watch Heart Rate Blood Pressure Monitor Message Reminder Pedometer Calorie Counter Sleep Monitor for IOS Android Smartphone PK Apple Watch Series 5 4,22.0,EUR,22.0,EUR,26,10,,,4.028169014084507,71.0,41,12,6,3,9,,,,,,white,oldvision,25,Livraison standard,7.0,false,,50,,,CN,superdailydeal,superdailydeal,"(10,293 notes)",10293,4.136694841154182,57ade66751cddb1dd0f4b5b5,,,https://www.wish.com/c/5efd55e0846aab49e49090bd,https://canary.contestimg.wish.com/api/webimage/5efd55e0846aab49e49090bd-medium.jpg,5efd55e0846aab49e49090bd
"D18 Fitness Tracker Smart Watch, Activity Tracker Smartband with Heart Rate Blood Pressure Oxygen Monitor Step Calorie Counter Pedometer Waterproof Smart Bracelet Wristband for Kids Women Men","D18 Fitness Tracker Smart Watch, Activity Tracker Smartband with Heart Rate Blood Pressure Oxygen Monitor Step Calorie Counter Pedometer Waterproof Smart Bracelet Wristband for Kids Women Men",7.0,EUR,131.0,EUR,8,1000,,,3.525037936267071,659.0,268,133,78,37,143,,,,,,green,,50,Livraison standard,3.0,false,,50,,,CN,biliheartshop,biliheartshop,"(92,318 ratings)",92318,4.159882146493642,59ef1adb0a332a3e2aab1d00,,,https://www.wish.com/c/5ddf3a2f31c42055b9373ef7,https://canary.contestimg.wish.com/api/webimage/5ddf3a2f31c42055b9373ef7-medium.jpg,5ddf3a2f31c42055b9373ef7
