title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Pullover Winter Langarm Rollkragenpullover Damen Pullover Pullover Mode Herbst Frau Koreanischer Strickpullover 2019,Pullover Winter Long-sleeved Turtleneck Women Pullovers Pullover Fashion Autumn Woman Korean Knitted Sweater 2019,11.0,CHF,11.0,CHF,11,1000,,,4.398963730569948,193.0,134,27,16,7,9,,,,,,red,onesize,50,Livraison standard,3.0,false,,50,,,CN,xiatianyangguang,xiatianyangguang,"(26,054 Bewertungen)",26054,4.368580640208797,56e92d82bb8d7758654e8822,,,https://www.wish.com/c/5d88e9f396431438008d0355,https://canary.contestimg.wish.com/api/webimage/5d88e9f396431438008d0355-medium.jpg,5d88e9f396431438008d0355
Maglione in cashmere da uomo Maglione in jersey Robe Hombre Pull Homme Hiver Pullover da uomo con scollo a V o-collo Maglioni lavorati a maglia Maglioni da uomo Pull Homme Autunno Inverno,Cashmere Sweater Men Jersey Jumper Robe Hombre Pull Homme Hiver Pullover Men V-neck O-neck Knitted Sweaters Jumpers Men Pull Homme Autumn Winter,4.34,CHF,206.0,CHF,4.77,10,,,3.78,50.0,23,9,9,2,7,,,,,,darkred,xs,2,Livraison standard,1.0,false,,50,,,US,Thompsonds,thompsonds,82% feedback positivi (365 recensioni),365,3.8602739726027395,5e68de7229e78615b845222d,,,https://www.wish.com/c/5fd44d814d97c2511c82fe6e,https://canary.contestimg.wish.com/api/webimage/5fd44d814d97c2511c82fe6e-medium.jpg,5fd44d814d97c2511c82fe6e
Damenmode Stickerei Langarm Pullover Kleid S-5XL,Women's Fashion Embroidery Long Sleeve Sweater Dress S-5XL,11.0,CHF,11.0,CHF,11,5000,,,3.663544106167057,1281.0,532,241,221,119,168,,,,,,grey,s,50,Livraison standard,3.0,false,,50,,,CN,sshiJIU,sshijiu,"90% Positives Feedback (10,086 Bewertungen)",10086,4.241919492365655,5acc4f756be8732e454f3ef9,,,https://www.wish.com/c/5b8797dcdc384d743a115751,https://canary.contestimg.wish.com/api/webimage/5b8797dcdc384d743a115751-medium.jpg,5b8797dcdc384d743a115751
(kein Hemd nur Pullover Weste) 13 Farben Neue Damen Herbst Winter Mode V-Ausschnitt Strickpullover Weste Lose Weste Wild Ärmellose Pullover Weste Warm Top Pullover Westen,(no Shirt Only Sweater Vest)13 Colors New Women's Autumn Winter Fashion V-neck Knitted Sweater Vest Loose Waistcoat Wild Sleeveless Sweater Vest Warm Top Pullover Vests,8.0,CHF,8.0,CHF,8,10,,,3.9166666666666665,24.0,13,3,4,1,3,,,,,,red,xxs,1,Livraison standard,2.0,false,,50,,,US,peckoayyv,peckoayyv,"(1,132 Bewertungen)",1132,4.020318021201414,5e954c6a76b18102132cd989,,,https://www.wish.com/c/5fa638dfe9c71b004409156e,https://canary.contestimg.wish.com/api/webimage/5fa638dfe9c71b004409156e-medium.jpg,5fa638dfe9c71b004409156e
Men and Women Fashion 3D Hoodies Ramen Food Print Loose Hooded Sweatshirt Casual Pullovers S-4XL,Men and Women Fashion 3D Hoodies Ramen Food Print Loose Hooded Sweatshirt Casual Pullovers S-4XL,15.0,CHF,15.0,CHF,16,10000,,,4.021936099189318,2097.0,1114,426,256,91,210,,,,,,white,s,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,ouzhengyu,ouzhengyu,"(6,455 ratings)",6455,4.180480247869868,56ce9d9bdf108f20ac9fea5e,,,https://www.wish.com/c/5e815ddd0ee4b72300ce2e3e,https://canary.contestimg.wish.com/api/webimage/5e815ddd0ee4b72300ce2e3e-medium.jpg,5e815ddd0ee4b72300ce2e3e
Handgemachte mittelalterliche Retro industrielle Stil Stahlrohr Innenzug Türgriff Eisen schwarz Eisen antiken Griff ziehen,Handmade medieval retro industrial style steel pipe interior pull door handle iron black iron antique handle pull,21.0,CHF,26.0,CHF,22,10,,,5.0,14.0,14,0,0,0,0,,,,,,black,l30cm,50,Livraison standard,6.0,false,,50,,,CN,Barndoor,grehome,94% Positives Feedback (459 Bewertungen),459,4.483660130718954,5b14afd8d1c360042efc6cf4,,,https://www.wish.com/c/5c8b70eaebac45250ec70559,https://canary.contestimg.wish.com/api/webimage/5c8b70eaebac45250ec70559-medium.jpg,5c8b70eaebac45250ec70559
Nouvelle offre spéciale Portable Workout Gym Exercice Porte Pull Up Chin Up Bars Home Fitness US STOCK,New Hot Sale Portable Workout Gym Exercise Doorway Pull Up Chin Up Bars Home Fitness US STOCK,34.0,CHF,34.0,CHF,37,10,,,3.9375,32.0,17,6,2,4,3,,,,,,,,46,Livraison Express,10.0,true,,46,,,CN,shang87hh,shang87hh,"92 % avis positifs (2,011 notes)",2011,4.401292889109896,5d4aa5a722f301487d99ec2c,,,https://www.wish.com/c/5e797456a7d0d6155b688be3,https://canary.contestimg.wish.com/api/webimage/5e797456a7d0d6155b688be3-medium.jpg,5e797456a7d0d6155b688be3
2021 New Strong Fishing Magnets Combined 3000lbs Pull Force Double Side Retrieval Magnet N52 Neodymium Magnets with Durable Rope Powerful Magnets for Fishing and Magnetic Recovery Salvage,2021 New Strong Fishing Magnets Combined 3000lbs Pull Force Double Side Retrieval Magnet N52 Neodymium Magnets with Durable Rope Powerful Magnets for Fishing and Magnetic Recovery Salvage,18.0,CHF,18.0,CHF,19,10,,,5.0,0.0,,,,,,,,,,,silver,singleside-d42-verticalsuction500kg,20,Livraison standard,5.0,false,,50,,,US,duaneowt481m7,duaneowt481m7,(1 Bewertung),1,5.0,5e7c2ffc29e786468434e991,,,https://www.wish.com/c/606c41858c5083d0f43ada75,https://canary.contestimg.wish.com/api/webimage/606c41858c5083d0f43ada75-medium.jpg,606c41858c5083d0f43ada75
Hochwertige 11PCS / Set Fitness-Widerstandsbänder Elastisches Seil Yoga Stretch-Übungsband Training Starp Rubber Loop Latex Praktische Zugschnur für Heim-Fitnessgeräte Workout Sport,High Quality 11PCS / Set Fitness Resistance Bands Elastic Rope Yoga Stretch Exercise Band Training Starp Rubber Loop Latex Practical Pull String For Home Gym Equipment Workout Sport,7.0,CHF,7.0,CHF,7,5000,,,3.9989583333333334,960.0,501,200,117,41,101,,,,,,,1pcsbands(10lbs)with2pcshandles,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Fengday,fengday,"(6,444 Bewertungen)",6444,4.175977653631285,5ae139be7c27680e845b0262,,,https://www.wish.com/c/5ed60978a0fe1527496dbb97,https://canary.contestimg.wish.com/api/webimage/5ed60978a0fe1527496dbb97-medium.jpg,5ed60978a0fe1527496dbb97
Quality Cotton Autumn&winter Long Sleeve Pullover Hoodie Ladies Fashion Sportswear Hooded Suits,Quality Cotton Autumn&winter Long Sleeve Pullover Hoodie Ladies Fashion Sportswear Hooded Suits,18.0,CHF,18.0,CHF,19,1000,,,3.614864864864865,296.0,121,55,50,25,45,,,,,,white,s,50,Livraison standard,5.0,false,,50,,,CN,lchuanzhou4685,lvchuanzhou4685,"84% Positive Feedback (1,651 ratings)",1651,3.8994548758328285,5ab8c219c798172bf612e0fd,,,https://www.wish.com/c/5f6ae4314934b10a7aac3cc3,https://canary.contestimg.wish.com/api/webimage/5f6ae4314934b10a7aac3cc3-medium.jpg,5f6ae4314934b10a7aac3cc3
