title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
New 12V Pulse Repair Charger Smart Digital LCD Display Battery Charger for Cars Motorcycles,New 12V Pulse Repair Charger Smart Digital LCD Display Battery Charger for Cars Motorcycles,15.0,CHF,15.0,CHF,16,10,,,5.0,0.0,,,,,,,,,,,yellow,usplug(typea),2,Livraison standard,5.0,false,,50,,,CN,wangluoaaa,wangluoaaa,"(1,947 Bewertungen)",1947,4.047252182845403,5dc8c75e8218aa67e264172e,,,https://www.wish.com/c/6076c70aae59c7eb1b299362,https://canary.contestimg.wish.com/api/webimage/6076c70aae59c7eb1b299362-medium.jpg,6076c70aae59c7eb1b299362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e62b61a9719ed42053a9fd5,,5e62b61a9719ed42053a9fd5
Unité de dizaines de soulagement de la douleur tampons d'acupuncture masseur d'impulsion corporelle corps entier Relax thérapie musculaire Machine minceur + chaussures de Massage,Pain Relief Tens Unit Acupuncture Pads Body Pulse Massager Full Body Relax Muscle Therapy Slimming Machine + Massage Shoes,18.0,CHF,37.0,CHF,19,10,,,4.4,10.0,7,2,0,0,1,,,,,,,,50,Livraison standard,6.0,false,,50,,,CN,Selivator,selivator,"(3,148 notes)",3148,4.220139771283354,5c10cf3862f45e3538fe236f,,,https://www.wish.com/c/5d25a36373ebba4c9d63a4b9,https://canary.contestimg.wish.com/api/webimage/5d25a36373ebba4c9d63a4b9-medium.jpg,5d25a36373ebba4c9d63a4b9
12V-24V 8A 7-STAGE Charging Full Automatic Car Battery Charger Power Pulse Repair Chargers Wet Dry Lead Acid Battery/lithium Battery Chargers,12V-24V 8A 7-STAGE Charging Full Automatic Car Battery Charger Power Pulse Repair Chargers Wet Dry Lead Acid Battery/lithium Battery Chargers,24.0,CHF,24.0,CHF,26,10,,,5.0,1.0,1,0,0,0,0,,,,,,yellow,jpplug3stagecharge,20,Livraison standard,7.0,false,,50,,,US,Klymit,klymit,"82 % avis positifs (3,093 notes)",3093,3.9211121888134497,5845e56d1591450531c8cdef,,,https://www.wish.com/c/6037575bed472a23fea002a2,https://canary.contestimg.wish.com/api/webimage/6037575bed472a23fea002a2-medium.jpg,6037575bed472a23fea002a2
Oxymètre de pouls du bout des doigts Oxymétrie Oxygène sanguin Moniteur de saturation,Fingertip Pulse Oximeter Oximetry Blood Oxygen Saturation Monitor,11.0,CHF,92.0,CHF,11,1000,,,4.4748427672955975,318.0,226,54,19,1,18,,,,,,orange,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,careshineshop,careshineshop,"91 % avis positifs (10,232 notes)",10232,4.35086004691165,55949abc46c892405efd805b,,,https://www.wish.com/c/570ca9a39a22360e58c23a47,https://canary.contestimg.wish.com/api/webimage/570ca9a39a22360e58c23a47-medium.jpg,570ca9a39a22360e58c23a47
CHAUD! Thermodétecteur infrarouge sans contact de haute précision et oxymètre de pouls du bout des doigts Thermomètre laser thermomètre numérique infrarouge Thermomètre infrarouge Température infrarouge,HOT! High precision Non-contact Infrared Thermodetector & Fingertip Pulse Oximeter Infrarojo Digital Termometro Laser Thermometer Infrared Thermometer Infrared Temperature,7.0,CHF,7.0,CHF,7,10,,,3.2,5.0,2,1,0,0,2,,,,,,,oximeter,9,Livraison standard,2.0,false,,50,,,CN,loca33dd,loca33dd,62 % avis positifs (494 notes),494,3.1538461538461537,5f0d61001ee92b4930152816,,,https://www.wish.com/c/600fe67e5fc7e37371b22317,https://canary.contestimg.wish.com/api/webimage/600fe67e5fc7e37371b22317-medium.jpg,600fe67e5fc7e37371b22317
Carregador de bateria de carro 12V / 24V carregador elétrico de emergência para carro impulsionador inteligente carregador de bateria LCD tipo reparo,12V/24V Car Battery Charger Electric Car Emergency Charger Booster Intelligent Pulse Repair Type LCD Battery Charger,48.0,CHF,48.0,CHF,52.0,10,,,4.5,8.0,6,1,0,1,0,,,,,,red,21x19cm,8,Livraison Express,12.0,true,,49,true,Quantité limitée !,CN,shunyi6668,shunyi6668,"92% Feedback positivo (11,950 avaliações)",11950,4.344016736401674,579f5003ab4062661072cb8f,,,https://www.wish.com/c/5fd9b981c62ea32a16f21d75,https://canary.contestimg.wish.com/api/webimage/5fd9b981c62ea32a16f21d75-medium.jpg,5fd9b981c62ea32a16f21d75
2021NEU Health Care Oled Blutsauerstoffsättigungsmonitor Fingerclip Oximeter Fingerclip Sauerstoffpuls Blutsauerstoffsättigungsdetektor,2021NEW Health Care Oled Blood Oxygen Saturation Monitor Finger Clip Oximeter Finger Clip Oxygen Pulse Blood Oxygen Saturation Detector,8.0,CHF,8.0,CHF,8,10,,,3.7,10.0,4,3,1,0,2,,,,,,black,standardversion,50,Livraison standard,2.0,false,,50,,,CN,Listool,listool,"93% Positives Feedback (2,681 Bewertungen)",2681,4.467362924281984,5af930cb9679c46cad450664,,,https://www.wish.com/c/5fb7942f2155d43ab9264ba5,https://canary.contestimg.wish.com/api/webimage/5fb7942f2155d43ab9264ba5-medium.jpg,5fb7942f2155d43ab9264ba5
"Nuovo tipo di massaggiatore intelligente per collo e spalle 6D a 18 velocità a 6 teste, terapia digitale, agopuntura, moxibustione, riscaldamento a infrarossi lontani, sollievo dal dolore, fascia posteriore a impulsi elettrici","New type of 6-head 18-speed 6D smart neck and shoulder massager, digital therapy, acupuncture, moxibustion, far-infrared heating, pain relief, electric pulse back fascia machine",19.0,USD,19.0,USD,19,10,,,3.5416666666666665,48.0,22,6,7,2,11,,,,,,white,lowquality2dversion,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,CN,fhhe,fhhe,79% feedback positivi (38 recensioni),38,3.789473684210526,5f646bf8873cb317494e4ba7,,,https://www.wish.com/c/5ff58278f9cfac24bfcb2dc2,https://canary.contestimg.wish.com/api/webimage/5ff58278f9cfac24bfcb2dc2-medium.jpg,5ff58278f9cfac24bfcb2dc2
Distanz-Armband Klassischer Naturstein Weiß und Schwarz Yin Yang Perlenarmbänder für Männer Frauen Beste Freundin,Distance Bracelet Classic Natural Stone White and Black Yin Yang Beaded Bracelets for Men Women Best Friend,2.47,CHF,9.0,CHF,2.71,10000,,,4.454329371816638,2945.0,2008,536,234,65,102,,,,,,,tlx063,50,Livraison standard,1,false,,50,,,CN,YKM,ykm,"(28,397 Bewertungen)",28397,4.467232454132478,56c87ee8df108f5af23b0127,,,https://www.wish.com/c/5adff766c7e80b1fd70864b0,https://canary.contestimg.wish.com/api/webimage/5adff766c7e80b1fd70864b0-medium.jpg,5adff766c7e80b1fd70864b0
