title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
DC Comics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e3b0ba49719eddf0ac7e677,,5e3b0ba49719eddf0ac7e677
Neue Mode Frauen Deep-V Neck Push Up Bodysuit Shapewear Nahtlose Ganzkörper Shaper Spitze Oberschenkel Schlanker Bauch Bauch Gürtel,New Fashion Women Deep-v Neck Push Up Bodysuit Shapewear Seamless Full Body Shaper Lace Thigh Slimmer Tummy Belly Girdle,17.0,CHF,119.0,CHF,18,10,,,3.982142857142857,56.0,26,14,8,5,3,,,,,,black,xs,50,Livraison standard,5.0,false,,50,,,CN,zhouqingdian,zhouqingdian,"86% Positives Feedback (10,986 Bewertungen)",10986,4.113326051338067,59a60dc869eced315bf1652c,,,https://www.wish.com/c/5d2848ef26e12b5eda733e74,https://canary.contestimg.wish.com/api/webimage/5d2848ef26e12b5eda733e74-medium.jpg,5d2848ef26e12b5eda733e74
Cuvave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f746575eb31f9c7cd02eeb2,,5f746575eb31f9c7cd02eeb2
Dark Side Blades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5efb1b95eb31f937612631a3,,5efb1b95eb31f937612631a3
Iron Maiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ed7830690b8a6318c2d7293,,5ed7830690b8a6318c2d7293
Support de push-up Exercice de poitrine pour hommes Équipement d'exercice de remise en forme à domicile pour hommes,Push-up bracket chest exercise men's home fitness exercise equipment arm muscle sporting goods,36.0,CHF,36.0,CHF,39,0,,,5.0,0.0,,,,,,,,,,,,lowquality,5,Livraison standard,11.0,false,,10,true,Quantité limitée !,US,HuangpingshuohuitA,huangpingshuohuita,"73 % avis positifs (1,203 notes)",1203,3.5926849542809642,5e6cca125510407f4ea38ffd,,,https://www.wish.com/c/608653b535273b0bd6a0b069,https://canary.contestimg.wish.com/api/webimage/608653b535273b0bd6a0b069-medium.jpg,608653b535273b0bd6a0b069
Fato de banho feminino de praia Trajes de banho para banho Monokini Biquíni push up acolchoado de uma peça,Women Beach Swimsuit Swimwear Bathing Monokini Push Up Padded One Piece Bikini,5.24,CHF,6.0,CHF,5.76,10,,,5.0,0.0,,,,,,,,,,,white,s,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,Holiday Winds,holidaywinds,"(8,613 avaliações)",8613,4.196563334494369,5b583e80109f1b32c57dce2a,,,https://www.wish.com/c/5eec7605e85109255ab4c186,https://canary.contestimg.wish.com/api/webimage/5eec7605e85109255ab4c186-medium.jpg,5eec7605e85109255ab4c186
Sport BH Frauen Push Up Fitness Yoga BH Tops Weiblich Gym Running Training BH Tank Tops Plus Size Sportweste,Sports Bra Women Push Up Fitness Yoga Bra Tops Female Gym Running Training Bra Tank Tops Plus Size Sports Vest,5.0,CHF,7.0,CHF,5,1000,,,4.564102564102564,234.0,167,44,16,2,5,,,,,,yellow,xs,2,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,liudongsheng,liudongsheng,"(16,701 Bewertungen)",16701,4.117597748637806,58e1bf9caa7d296f726d4c9a,,,https://www.wish.com/c/5e60f76f2f9684f28cde8d57,https://canary.contestimg.wish.com/api/webimage/5e60f76f2f9684f28cde8d57-medium.jpg,5e60f76f2f9684f28cde8d57
Été femmes Split Bikini ensemble Push-Up Pad maillot de bain léopard Bandage maillot de bain maillot de bain vêtements de plage,Summer Women Split Bikini Set Push-Up Pad Leopard Swimwear Bandage Swimsuit Bathing Suit Beachwear ,8.0,CHF,8.0,CHF,8,10,,,4.1,10.0,7,1,0,0,2,,,,,,purple,xs,5,Livraison standard,3.0,false,,50,,,CN,Adam_chun,adam_chun,"90 % avis positifs (10,012 notes)",10012,4.216939672393128,56c2e545df108f114a8c6cf7,,,https://www.wish.com/c/5e60b6e2253d513340899a9d,https://canary.contestimg.wish.com/api/webimage/5e60b6e2253d513340899a9d-medium.jpg,5e60b6e2253d513340899a9d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e62b61b9719ed42053a9fe1,,5e62b61b9719ed42053a9fe1
