title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Matériel pour les ongles Nail Art Cleaner Lingettes non pelucheuses Lingettes douces Dissolvant pour colle à cils Outil de manucure Tampons à ongles Papier Dissolvant pour vernis à ongles,Nail Equipment Nail Art Cleaner Lint-Free Wipes Soft Wipes Eyelash glue Remover Manicure Tool Nail Pads Paper Nail Polish Remover,5.0,CHF,5.0,CHF,5,10,,,4.857142857142857,7.0,6,1,0,0,0,,,,,,white,,50,Livraison standard,2.0,false,,50,,,CN,wangweiwangpu,wangweiwangpu,"94 % avis positifs (2,556 notes)",2556,4.412363067292644,58b7d584fa90645710ae8c60,,,https://www.wish.com/c/5e6a4e729b38b82f002431e4,https://canary.contestimg.wish.com/api/webimage/5e6a4e729b38b82f002431e4-medium.jpg,5e6a4e729b38b82f002431e4
KOREA 10 Blancoderma Whitening Spot Removing Cream 2,KOREA 10 Blancoderma Whitening Spot Removing Cream 2,392.0,CHF,392.0,CHF,430.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,select,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,KR,GPOPMALL,gpopmall,69% Positives Feedback (16 Bewertungen),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/6038d66c32fd37d9bcc93ad1,https://canary.contestimg.wish.com/api/webimage/6038d66c32fd37d9bcc93ad1-medium.jpg,6038d66c32fd37d9bcc93ad1
Épurateur de lime pour les pieds Outil de nettoyage des callosités pour les pieds et les pieds secs et humides,Foot File Scrubber Callus Remover Feet Scraper File Rasp Brush Tools for Wet and Dry Feet,3.46,CHF,4.0,CHF,3.8,10,,,4.75,36.0,29,5,2,0,0,,,,,,,1pc,50,Livraison standard,1.0,false,,50,,,VE,Drooper369,drooper369,"90 % avis positifs (1,841 notes)",1841,4.335143943508963,5e14e7ac56fb9ceecc86022f,,,https://www.wish.com/c/5ee87d8b860174457de50cf9,https://canary.contestimg.wish.com/api/webimage/5ee87d8b860174457de50cf9-medium.jpg,5ee87d8b860174457de50cf9
Lancome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e542cfa9719ed19e848485f,,5e542cfa9719ed19e848485f
"Flesh wrinkle care mask LED wrinkle remover 3-colour neckline_dosage, single product, white/LED wrinkle eraser","Flesh wrinkle care mask LED wrinkle remover 3-colour neckline_dosage, single product, white/LED wrinkle eraser",359.0,CHF,359.0,CHF,394.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,KR,top korea seller,topkoreaseller,50 % avis positifs (2 notes),2,3.0,5ff4782d45e0239ccc5a5c96,,,https://www.wish.com/c/6001482622c96fb122325612,https://canary.contestimg.wish.com/api/webimage/6001482622c96fb122325612-medium.jpg,6001482622c96fb122325612
5PCS Pet Dog Cat Zahnbürste Zahnbürste zum Entfernen von Zahnstein Tartar Latex Finger Stall Pet Zahnbürste,5PCS  Pet dog cat toothbrush toothbrush set to remove tartar tartar latex finger stall pet toothbrush,2.57,CHF,10.0,CHF,2.8200000000000003,10,,,4.491228070175438,57.0,36,14,6,1,0,,,,,,transparent,,50,Livraison standard,1,false,,50,,,CN,Sea Shark,bbonline,"93% Positives Feedback (14,152 Bewertungen)",14152,4.4225551158846805,5cc6c02b11ecbd67435c86bd,,,https://www.wish.com/c/5d28943101d7fa28352f287a,https://canary.contestimg.wish.com/api/webimage/5d28943101d7fa28352f287a-medium.jpg,5d28943101d7fa28352f287a
6 pièces / ensemble rasoir à sourcils pour le visage façonnage professionnel polyvalent exfoliant outil de Dermaplaning outils de beauté épilateur coupe rasoir ciseaux,6Pcs/Set  Facial Eyebrow Razor Trimmer Shaping Professional Multipurpose Exfoliating Dermaplaning Tool Beauty Tools Hair Remover Cutter Shaver Scissors ,4.36,CHF,5.0,CHF,4.79,1000,,,4.557142857142857,280.0,201,52,17,2,8,,,,,,,6pcs/set,50,Livraison standard,1.0,false,,50,,,CN,meilixiangwang,meilixiangwang,"92 % avis positifs (87,124 notes)",87124,4.3567329323722515,58a50f07366c355121df6ab6,,,https://www.wish.com/c/5ecf35dd16b09d2c85d38f7c,https://canary.contestimg.wish.com/api/webimage/5ecf35dd16b09d2c85d38f7c-medium.jpg,5ecf35dd16b09d2c85d38f7c
2 pièces tatouage temporaire amovible mots anglais art corporel tatouages autocollant étanche,2 Pcs Removable Temporary Tattoo English Words Body Art Tattoos Sticker Waterproof,3.36,CHF,4.0,CHF,3.69,1000,,,4.41,200.0,134,34,20,4,8,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,delete,delete,"91 % avis positifs (2,525 notes)",2525,4.303762376237624,58ce7746474fa3508ddfb6ba,,,https://www.wish.com/c/5dd513d0d96aab885edf9f25,https://canary.contestimg.wish.com/api/webimage/5dd513d0d96aab885edf9f25-medium.jpg,5dd513d0d96aab885edf9f25
"1 Uds., Brochas de maquillaje, limpiador, esponja, removedor de energía, color rápido, esponja, cepillo, limpiador de cepillos",1pcs Makeup brushes Cleaner Sponge Power Remover Quick Color Off Sponge Brush Brushes Cleaner,5.16,CHF,19.0,CHF,5.67,10,,,4.606481481481482,216.0,162,34,13,3,4,,,,,,,silver,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Flavored,flavored,"(31,545 calificaciones)",31545,4.325313044856554,594dea8903d954137a8a84d2,,,https://www.wish.com/c/5af0068a03e5a86efbcdea65,https://canary.contestimg.wish.com/api/webimage/5af0068a03e5a86efbcdea65-medium.jpg,5af0068a03e5a86efbcdea65
Electric Facial Pore Cleaner Exfoliator Face Blackhead Remover Acne Vacuum Deep Cleansing Suction Machin Nano Sprayer Steamer,Electric Facial Pore Cleaner Exfoliator Face Blackhead Remover Acne Vacuum Deep Cleansing Suction Machin Nano Sprayer Steamer,22.0,CHF,22.0,CHF,24.0,10,,,5.0,1.0,1,0,0,0,0,,,,,,,option1withoutnanospray,50,Livraison standard,4.77,false,,50,,,ES,Madrid Modas Fashion,madridmodasfashion,100% Positive Feedback (14 ratings),14,4.642857142857143,5f842b3253268b99cced7627,,,https://www.wish.com/c/60456bda0d989b0468ad92ce,https://canary.contestimg.wish.com/api/webimage/60456bda0d989b0468ad92ce-medium.jpg,60456bda0d989b0468ad92ce
"EELHOE 50g Skin Care Scar cream,Repair Scar removal Scar ,treatment Scar Removal Cream Fat Scar Striae- stretch marks remover cream for All Skin Types","EELHOE 50g Skin Care Scar cream,Repair Scar removal Scar ,treatment Scar Removal Cream Fat Scar Striae- stretch marks remover cream for All Skin Types",8.0,CHF,17.0,CHF,8,10,,,5.0,0.0,,,,,,,,,,,,50g,50,Livraison standard,2.0,false,,50,,,CN,Godwinang,godwinang,"90 % avis positifs (6,201 notes)",6201,4.203193033381712,5ae02554b722cf63b2aa2f07,,,https://www.wish.com/c/60489752db232c50273b3dbf,https://canary.contestimg.wish.com/api/webimage/60489752db232c50273b3dbf-medium.jpg,60489752db232c50273b3dbf
"Fußpflegetool Elektrische Schleifmaschine Fußpeeling für tote Haut Hornhautentferner Pediküre Saubere, harte, rissige Haut Fußpflege (weiß)",Foot Care Tool Electric Grinder Machine Foot Exfoliating Dead Skin Callus Remover Pedicure Clean Hard Cracked Skin Feet Care (White),22.0,CHF,22.0,CHF,24,10,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,11.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"(1,166 Bewertungen)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/60119de940baa14b8ff11252,https://canary.contestimg.wish.com/api/webimage/60119de940baa14b8ff11252-medium.jpg,60119de940baa14b8ff11252
Olay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e8d30069719ed64049677e7,,5e8d30069719ed64049677e7
2021 New 10ML/20ML/30ML/50ML Instant Eye Cream Retinol Firming Anti Puffiness Aging Wrinkles Remove Dark Circles Moisturizing Skin Care ,2021 New 10ML/20ML/30ML/50ML Instant Eye Cream Retinol Firming Anti Puffiness Aging Wrinkles Remove Dark Circles Moisturizing Skin Care ,2.58,CHF,3.0,CHF,2.83,10,,,5.0,0.0,,,,,,,,,,,,10g,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,gfgeu,gfgeu,100% Positives Feedback (5 Bewertungen),5,4.6,5fe2bf048c40b92bc24f33b2,,,https://www.wish.com/c/607500f088a25e77d0976749,https://canary.contestimg.wish.com/api/webimage/607500f088a25e77d0976749-medium.jpg,607500f088a25e77d0976749
