title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Yeelight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f3d067c90b8a6576072aa0a,,5f3d067c90b8a6576072aa0a
Housse pour ordinateur portable pour Macbook Air Pro Retina 11 12 13 14 15 15.6 pouces sacs pour ordinateur portable pour Xiaomi Air HP Dell Lenovo,Laptop Bag Case Cover For Macbook Air Pro Retina 11 12 13 14 15 15.6 Inch Laptop Sleeve Bags for Xiaomi Air HP Dell Lenovo,13.0,CHF,110.0,CHF,14,8,,,5.0,1.0,1,0,0,0,0,,,,,,pink,11.6inch,50,Livraison standard,3.0,false,,50,,,CN,fashionhouse168,fashionhouse168,"93 % avis positifs (6,494 notes)",6494,4.409146904835232,59301b7bf4fea94f7f4cfe9d,,,https://www.wish.com/c/5d8622d90160d4270b01c38b,https://canary.contestimg.wish.com/api/webimage/5d8622d90160d4270b01c38b-medium.jpg,5d8622d90160d4270b01c38b
"Matte Hard Case For MacBook New Air 13 2019 A1932 Retina 13 15 A1502 A1398 Pro 13.3""15.4"" 16 Touch bar A2251 A2159 A1989 A2141","Matte Hard Case For MacBook New Air 13 2019 A1932 Retina 13 15 A1502 A1398 Pro 13.3""15.4"" 16 Touch bar A2251 A2159 A1989 A2141",31.0,CHF,31.0,CHF,34.0,0,,,5.0,0.0,,,,,,,,,,,transparent,air11inch,50,Livraison standard,0.0,false,,50,,,CA,Loom,loom,81 % avis positifs (403 notes),403,4.054590570719603,60108516d38ac0468d48a860,,,https://www.wish.com/c/60149f356f1c35003e07196c,https://canary.contestimg.wish.com/api/webimage/60149f356f1c35003e07196c-medium.jpg,60149f356f1c35003e07196c
MacBook Pro 16 Air 13/12/11 Zoll Schutzhülle Vaesida Soft Touch Matt mattierte Hartschalenabdeckung für Apple MacBook Pro 16 Pro 13 Zoll Pro 15 Zoll mit Retina-Display oder ohne Touch Bar und Touch ID Portatil Ordenador,MacBook Pro 16 Air 13 / 12 / 11 Inch Protective Case Vaesida Soft Touch Matte Frosted Hard Shell Cover for Apple MacBook Pro 16 Pro 13 Inch Pro 15 Inch with Retina Display or W/O Touch Bar & Touch ID Portatil Ordenador,18.0,CHF,36.0,CHF,19,10,,,2.7058823529411766,17.0,5,1,2,2,7,,,,,,transparent,11.6air(a1370/a1465),9,Livraison standard,5.0,false,,50,,,CN,Jaka Tengohot,jakatengohot,65% Positives Feedback (237 Bewertungen),237,3.261603375527426,5ee61a8ddb009a7b9d1e32f4,,,https://www.wish.com/c/5f30e0610545cad191606a9a,https://canary.contestimg.wish.com/api/webimage/5f30e0610545cad191606a9a-medium.jpg,5f30e0610545cad191606a9a
Harz sitzende Frösche Statue im Freien Frosch Skulptur Garten dekorative Ornamente,Resin Sitting Frogs Statue Outdoor Frog Sculpture Garden Decorative Ornaments,11.0,CHF,22.0,CHF,11,10,,,2.0,2.0,0,0,1,0,1,,,,,,,small,50,Livraison standard,2.0,false,,50,,,CN,Luqiann,socofyofficialstore,"(2,451 Bewertungen)",2451,4.0832313341493265,5cceb2468417cf0b591e0921,,,https://www.wish.com/c/5f1eadc1e3d641017e42a07e,https://canary.contestimg.wish.com/api/webimage/5f1eadc1e3d641017e42a07e-medium.jpg,5f1eadc1e3d641017e42a07e
Forma di balena 3D Stampo in resina Stampo epossidico Stampo in silicone Forniture per gioielli fai da te (solo stampi),3D Whale Shape Resin Mold Epoxy Mold Silicone Mold DIY Jewelry Making Supplies (Molds Only),4.31,CHF,5.0,CHF,4.74,1000,,,4.544520547945205,292.0,216,46,13,7,10,,,,,,,smallsize,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,Yi Jun Store,yijunstore,"(14,751 valutazioni)",14751,4.6500576232119855,5aed61765ce18031d74fbdf9,,,https://www.wish.com/c/5c9daeac874de16fb95b960e,https://canary.contestimg.wish.com/api/webimage/5c9daeac874de16fb95b960e-medium.jpg,5c9daeac874de16fb95b960e
40 cm extra lungo europeo retrò personalità antler gancio casa parete cappotto cappello gancio chiave decorazione della parete decorazione in resina appeso a parete,40cm Extra Long European Retro Personality Antler Hook Home Wall Coat Hat Key Hook Wall Decoration Resin Decoration Wall Hanging,21.0,CHF,21.0,CHF,22,10,,,3.75,20.0,9,6,0,1,4,,,,,,brown,40x13.5x5.5cm,50,Livraison standard,5.0,false,,50,,,CN,hetianguo4130,hetianguo4130,(273 valutazioni),273,4.073260073260073,5d4fd34b1527545bcaad4eb7,,,https://www.wish.com/c/5d6e1c9874c8b80e3de67912,https://canary.contestimg.wish.com/api/webimage/5d6e1c9874c8b80e3de67912-medium.jpg,5d6e1c9874c8b80e3de67912
Nouveau 3D Marble Creative Color Series Marbre Impression Romantique Le Plus Beau Motif De Paysage Haute qualité 2019 HOT Vendre Étui Pour Ordinateur Portable Pour mbook Air Pro Retina 11 '' 12 '' 13 '' 15 '' Pour Mbook 13.3 '' / Mbook New Pro 16 '' A2141 / Mbook Pro 13 '' 2020 avec Touch Bar + Housse pour clavier,New 3D Marble Creative Color Series Marble Printing Romantic Most Beautiful Landscape Pattern High quality 2019 HOT Sell laptop Case For mbook Air Pro Retina 11'' 12'' 13'' 15'' For Mbook 13.3''/Mbook New Pro 16'' A2141/Mbook Pro 13'' 2020 with Touch Bar + Keyboard Cover ,12.0,CHF,41.0,CHF,13,10,,,4.309523809523809,42.0,28,5,5,2,2,,,,,,blue&gold,styluspen,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,JACY-ZHENG,jacyzheng,"94 % avis positifs (3,352 notes)",3352,4.477625298329356,593a85a697555e4d992f6590,,,https://www.wish.com/c/5c91e6b8bf19a453fd396d03,https://canary.contestimg.wish.com/api/webimage/5c91e6b8bf19a453fd396d03-medium.jpg,5c91e6b8bf19a453fd396d03
XSKN German Keyboard Skin Silcione Cover for Macbook 12 Inch with Retina Display Model A1534 US EU Version (US EU Black),XSKN German Keyboard Skin Silcione Cover for Macbook 12 Inch with Retina Display Model A1534 US EU Version (US EU Black),27.0,CHF,27.0,CHF,29,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,8.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/602575788168f9376086c108,https://canary.contestimg.wish.com/api/webimage/602575788168f9376086c108-medium.jpg,602575788168f9376086c108
"New Fashion Laptop Case For Macbook Air Pro Retina 11 12 13 15 Laptop Bag For Macbook Air 13 Case Cover Hard Case For For Macbook 12"" / Macbook Air 11"" 13"" / Macbook Pro 13"" 15""","New Fashion Laptop Case For Macbook Air Pro Retina 11 12 13 15 Laptop Bag For Macbook Air 13 Case Cover Hard Case For For Macbook 12"" / Macbook Air 11"" 13"" / Macbook Pro 13"" 15""",4.37,CHF,17.0,CHF,4.8100000000000005,10,,,3.5,2.0,0,1,1,0,0,,,,,,apple,huaweimackbook14,50,Livraison standard,1.0,false,,50,,,CN,shunniang123456,shunniang123456,(666 ratings),666,4.3408408408408405,5e2feea893112412b470b43d,,,https://www.wish.com/c/5e71ba983bdd65416a222e7b,https://canary.contestimg.wish.com/api/webimage/5e71ba983bdd65416a222e7b-medium.jpg,5e71ba983bdd65416a222e7b
