title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f994fc9f82dcc00109ede91,,5f994fc9f82dcc00109ede91
8PCS Kuchenform Antihaft-Backgeschirr Perforierter Cutter Runde Form Ovale Form Rechteckige Form Quadratische Form Mousse Kreis RingDessert DIY Tart Decorating,8PCS Cake Mold Non Stick Bakeware Perforated Cutter Round-Shape Oval-Shape Rectangle-Shape Square-Shape Mousse Circle RingDessert DIY Tart Decorating,9.0,CHF,9.0,CHF,9,10,,,4.6,30.0,21,8,0,0,1,,,,,,black,type1/8pcs,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,caoliunanzhuang,caoliunanzhuang,"93% Positives Feedback (7,452 Bewertungen)",7452,4.340579710144928,59016602226be71198ac98b2,,,https://www.wish.com/c/5ec62c7dc0859d44d6630977,https://canary.contestimg.wish.com/api/webimage/5ec62c7dc0859d44d6630977-medium.jpg,5ec62c7dc0859d44d6630977
3 couleurs 80/100/120 CM tapis de sol antidérapant tapis rond tapis de coureur marocain pour chambre / salon / salle à manger / cuisine,3Colors 80/100/120CM Non-slip Floor Mat Round Carpet Moroccan Runner Rug for Bedroom/Living Room/Dining Room/Kitchen ,21.0,CHF,21.0,CHF,22,10,,,4.166666666666667,12.0,6,3,2,1,0,,,,,,blue,80cm,50,Livraison standard,5.0,false,,50,,,CN,afdgewfq,afdgewfq,(212 notes),212,3.9150943396226414,5e6b87fd4690a4a95fb82d7a,,,https://www.wish.com/c/5e772786ae85361896edccd1,https://canary.contestimg.wish.com/api/webimage/5e772786ae85361896edccd1-medium.jpg,5e772786ae85361896edccd1
Ferronickel Carbon-gehärteter Stahl Runde Nase Ende Schneiden Schmuckzangen Werkzeuge DIY Ausrüstung Zangen Fit Handcraft Perlen Reparatur,Ferronickel Carbon-Hardened Steel Round Nose End Cutting Jewelry Pliers Tools DIY Equipment Pliers Fit Handcraft Beadwork Repair,5.25,CHF,6.0,CHF,5.77,10,,,4.091743119266055,109.0,63,18,13,5,10,,,,,,,3,50,Livraison standard,2.0,false,,50,,,CN,St.kunkka 1874,stkunkka1874,"96% Positives Feedback (25,720 Bewertungen)",25720,4.588646967340591,5de5d5edd30dacbae2e29cdf,,,https://www.wish.com/c/5e5e1fa228700854bd83587a,https://canary.contestimg.wish.com/api/webimage/5e5e1fa228700854bd83587a-medium.jpg,5e5e1fa228700854bd83587a
Soft Round Pet Bed Cat Mat Pet Sleeping Basket Animals Sleep Sofa Multicolor Long Plush Dog Bed Washable Pet Sleeping Cushion Sleeping Bag(40/50/60/70/80/100CM),Soft Round Pet Bed Cat Mat Pet Sleeping Basket Animals Sleep Sofa Multicolor Long Plush Dog Bed Washable Pet Sleeping Cushion Sleeping Bag(40/50/60/70/80/100CM),12.0,CHF,12.0,CHF,13,10,,,5.0,0.0,,,,,,,,,,,lightgrey,thin-40cm,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,US,Czack,czack,,0,5.0,5fcc87fa8540d19f231e636a,,,https://www.wish.com/c/606fd0eb0b729603147a5aa5,https://canary.contestimg.wish.com/api/webimage/606fd0eb0b729603147a5aa5-medium.jpg,606fd0eb0b729603147a5aa5
Diamant peinture chat noir plein rond perceuse point de croix vente 5D bricolage diamant broderie Animal Art strass décor à la maison,Diamond Painting Black Cat Full Round Drill Cross Stitch Sale 5D DIY Diamond Embroidery Animal Art Rhinestone Home Decor,5.18,CHF,6.0,CHF,5.7,10,,,3.857142857142857,7.0,5,0,0,0,2,,,,,,,tool,50,Livraison standard,2.0,false,,50,,,CN,wsswss0405@163.com,wsswss0405163com,"(3,751 notes)",3751,4.3428419088243135,586f4e48e2576e2b8ecf43bd,,,https://www.wish.com/c/5fe4631e559faa96e8a81d45,https://canary.contestimg.wish.com/api/webimage/5fe4631e559faa96e8a81d45-medium.jpg,5fe4631e559faa96e8a81d45
Support de support de téléphone portable pour téléphone portable pour iPhone X 8 7plus Samsung Cell Smart Support de téléphone rond IPAD Support de montage pour voiture,Finger Ring Mobile Phone Smartphone Stand Holder for IPhone X 8 7plus Samsung Cell Smart Round Phone Holder IPAD Car Mount Stand,3.35,CHF,4.0,CHF,3.6799999999999997,10000,,,4.4453125,3840.0,2627,643,344,105,121,,,,,,,catshape,50,Livraison standard,1.0,false,,50,,,CN,chengppppp,chengppppp,"95 % avis positifs (10,069 notes)",10069,4.493097626377992,5afa857fa896162e609d6960,,,https://www.wish.com/c/5b48a00547119a113f5615e3,https://canary.contestimg.wish.com/api/webimage/5b48a00547119a113f5615e3-medium.jpg,5b48a00547119a113f5615e3
Diamant rond / carré broderie 5D bricolage diamant peinture point de croix blanc tigre diamant mosaïque animaux peintures à la maison artisanat,Round/Square Diamond Embroidery 5D Diy Diamond Painting Cross Stitch White Tiger Diamond Mosaic Animals Home Paintings crafts,16.0,CHF,19.0,CHF,17,10,,,4.42436974789916,238.0,171,34,11,7,15,,,,,,,round90x30cm,50,Livraison standard,5.0,false,,50,,,CN,"Qing Ye (Xiamen) Network Technology Co., Ltd",qingyexiamennetworktechnologycoltd,"95 % avis positifs (2,583 notes)",2583,4.562911343399148,5832fe7c04df991b794feb2f,,,https://www.wish.com/c/5da6cf332d4c640d2b9dffa5,https://canary.contestimg.wish.com/api/webimage/5da6cf332d4c640d2b9dffa5-medium.jpg,5da6cf332d4c640d2b9dffa5
Tapis moelleux de tapis rond cercles tapis antidérapants tapis de salle de bain lavable salle de bain,Fluffy Round Rug Carpet Circles Non Slip Rugs Washable Bathroom Living Room Mat,16.0,CHF,16.0,CHF,17,10,,,3.1875,16.0,6,2,2,1,5,,,,,,tan,40cm,50,Livraison standard,5.0,false,,50,,,CN,Tattoo199406,tattoo199406,86 % avis positifs (789 notes),789,4.164765525982256,594fcf17d2dfb274b7f65730,,,https://www.wish.com/c/5defb64508963e0f49286655,https://canary.contestimg.wish.com/api/webimage/5defb64508963e0f49286655-medium.jpg,5defb64508963e0f49286655
KOREA Queen Sense Green Round Firepan All-round Grilling Pan Camping,KOREA Queen Sense Green Round Firepan All-round Grilling Pan Camping,39.0,CHF,39.0,CHF,42,0,,,5.0,0.0,,,,,,,,,,,multicolor,select,50,Livraison standard,12.0,false,,50,,,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/6023f3dcba352e2ef27207c4,https://canary.contestimg.wish.com/api/webimage/6023f3dcba352e2ef27207c4-medium.jpg,6023f3dcba352e2ef27207c4
