title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
40 pièces Hex Star Torx Spline Socket Bit Set Tool Kit Garage Outils Équipement,40 Piece Hex Star Torx Spline Socket Bit Set Tool Kit Garage Tools Equipment,41.0,CHF,41.0,CHF,44,10,,,4.416666666666667,12.0,7,3,2,0,0,,,,,,,,50,Livraison Express,11.0,true,,50,,,CN,cleveerman,cleveerman,"94 % avis positifs (5,974 notes)",5974,4.4787412119183125,5ab49250856edf706beb0017,,,https://www.wish.com/c/5c4d1a173f50f2403cf5fd6d,https://canary.contestimg.wish.com/api/webimage/5c4d1a173f50f2403cf5fd6d-medium.jpg,5c4d1a173f50f2403cf5fd6d
"Hohe Qualität 105 Grad 1/4 ""Verlängerung Sechskantbohrer Einstellbarer Sechskantbohrer Treiber Schraubendreher Sockelhalter Adapter Werkzeuge","High Quality 105 Degrees 1/4"" Extension Hex Drill Bit Adjustable Hex Bit Angle Driver Screwdriver Socket Holder Adaptor Tools",6.0,CHF,6.0,CHF,6,10,,,4.304878048780488,82.0,50,17,8,4,3,,,,,,,5cm,50,Livraison standard,2.0,false,,50,,,CN,Arashi,arashi,"(104,734 Bewertungen)",104734,4.2965894551912465,58a3f270e269ee522580e6bb,,,https://www.wish.com/c/59edb3d36fdc510805cc0226,https://canary.contestimg.wish.com/api/webimage/59edb3d36fdc510805cc0226-medium.jpg,59edb3d36fdc510805cc0226
216 / 1St. Sechskantbuchseneinsätze Schraubenschlüssel Spannschlüssel Ratschenschlüssel Handreparatur-Werkzeugsatz,216/1pcs Hex Socket Inserts Wrenche Spanners Ratchet Wrench Hand Repairing Tool Kit,9.0,CHF,14.0,CHF,9,10,,,5.0,0.0,,,,,,,,,,,,typea(1pcs),50,Livraison standard,3.0,false,,50,,,CN,Gorgeous699,gorgeous699,"91% Positives Feedback (6,062 Bewertungen)",6062,4.329594193335533,5a0fd2317b584e487f02984c,,,https://www.wish.com/c/60753e7eb8bf070d673da283,https://canary.contestimg.wish.com/api/webimage/60753e7eb8bf070d673da283-medium.jpg,60753e7eb8bf070d673da283
"4/2 / 1PCS Smart WiFi-Steckdose, Mini-2,4-GHz-WLAN-Steckdose Funktioniert mit Alexa, Google Home und IFTTT, kein Hub erforderlich Timer-Steckerschalter, Fernsteuerung Ihrer Haushaltsgeräte von überall","4/2/1PCS Smart WiFi Plug Socket, Mini 2.4Ghz Wifi Outlet Works With Alexa, Google Home & IFTTT, No Hub Required Timer Plug Switch, Remote Control Your Home Appliances from Anywhere",13.0,CHF,13.0,CHF,14,10,,,4.445544554455446,101.0,73,16,3,2,7,,,,,,,1pc(usplug),50,Livraison standard,3.0,false,,50,,,CN,zengzhaoyou16888,zengzhaoyou16888,95% Positives Feedback (245 Bewertungen),245,4.506122448979592,5e5643bb3326be813b9c8df6,,,https://www.wish.com/c/5e910dca8fe5f90f83ca5186,https://canary.contestimg.wish.com/api/webimage/5e910dca8fe5f90f83ca5186-medium.jpg,5e910dca8fe5f90f83ca5186
Oberton Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5edb7770eb31f904715152ec,,5edb7770eb31f904715152ec
Doppia porta USB 12-24V / 9-90V Motocicletta impermeabile per moto Manubrio Adattatore per caricabatterie Presa per telefono Caricatore USB mobile,Dual USB Port 12-24V/9-90V Waterproof Motorbike Motorcycle Handlebar Charger Adapter Power Supply Socket for Phone Mobile USB charger,8.0,CHF,14.0,CHF,8,10,,,4.45679012345679,81.0,51,19,9,1,1,,,,,,,12-24v,50,Livraison standard,3.0,false,,50,,,CN,chengdanstore,chengdanstore,"(2,055 valutazioni)",2055,4.221897810218978,5b28b96c7b94e12b88af22ba,,,https://www.wish.com/c/5f6c44d945c14915f6e9dd56,https://canary.contestimg.wish.com/api/webimage/5f6c44d945c14915f6e9dd56-medium.jpg,5f6c44d945c14915f6e9dd56
Professionelle Reparatur für Heimwerker Handwerker und Handwerker Stahlschlüssel Steckschlüsselsatz Schraubenschlüsselsatz 12/46/53/153 Stück Schraubenschlüssel Steckschlüssel Schraubendreher Werkzeugsatz Mechanik 1/2 1 / 4inch mit Koffer,Professional Repair for DIY Handyman and Craftsman  Steel Spanner Socket Set Wrench Socket Set 12/46/53/153pcs Wrench Socket Screwdriver Tool Kit Mechanics 1/2 1/4inch with Case ,15.0,CHF,15.0,CHF,16,10,,,2.0,7.0,1,1,0,0,5,,,,,,,23pcs,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,Glod Sunglow Shop,sunsetglowshop,(987 Bewertungen),987,3.1388044579533942,5dcf852d4cc6670340420a49,,,https://www.wish.com/c/5f9b87ff7227480c424cb497,https://canary.contestimg.wish.com/api/webimage/5f9b87ff7227480c424cb497-medium.jpg,5f9b87ff7227480c424cb497
ADN MOTORING Orange 64 pièces Kit d'outils de retrait d'attaches protables avec embout de tournevis + cliquet + douilles + extension flexible,DNA MOTORING Orange 64 Pcs Protable Fastener Removal Tool Kit w/Screwdriver Bit+Ratchet+Sockets+Flex Extension,106.0,CHF,106.0,CHF,116.0,0,,,5.0,0.0,,,,,,,,,,,,,10,Livraison standard,12.0,false,,10,,,US,dnamotoring,dnamotoring,"92 % avis positifs (19,023 notes)",19023,4.434894601272144,5aba7db015511a4da2398f84,,,https://www.wish.com/c/5f6552f9571e942a38d91d4d,https://canary.contestimg.wish.com/api/webimage/5f6552f9571e942a38d91d4d-medium.jpg,5f6552f9571e942a38d91d4d
J2 Engineering 7075 -T6 aluminium forgé M12X1.5 20 pièces 50mm hauteur ouverte-fin écrou de cosse avec adaptateur de prise,J2 Engineering 7075 -T6 Forged Aluminum M12X1.5 20Pcs 50mm Height Open -End Lug Nut Set w / Socket Adapter,41.0,CHF,58.0,CHF,44,0,,,5.0,0.0,,,,,,,,,,,black,,10,Livraison standard,11.0,false,,50,true,Quantité limitée !,US,dnamotoring,dnamotoring,"92 % avis positifs (19,023 notes)",19023,4.434894601272144,5aba7db015511a4da2398f84,,,https://www.wish.com/c/5e55a372f0b6a5bfd31cd2ec,https://canary.contestimg.wish.com/api/webimage/5e55a372f0b6a5bfd31cd2ec-medium.jpg,5e55a372f0b6a5bfd31cd2ec
13 pièces / ensemble d'outils de douille à impact profond de 1/2 pouce 10-32mm pour l'atelier de garage,13 Pcs / Set 1/2 Inch Deep Impact Socket Tool Set 10-32mm For Garage Workshop,45.0,CHF,45.0,CHF,49.0,1,,,5.0,0.0,,,,,,,,,,,,,10,Livraison Express,12.0,true,,10,,,CN,jiehuige45,jiehuige45,77 % avis positifs (491 notes),491,3.6883910386965377,5d5cb54440defd2343a782c4,,,https://www.wish.com/c/5f5062dee657ce09b95e1adf,https://canary.contestimg.wish.com/api/webimage/5f5062dee657ce09b95e1adf-medium.jpg,5f5062dee657ce09b95e1adf
