title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Multifunktional aufgeblasen / wassergefüllt für Whirlpool Pool & Spa Sitzerhöhung mit Saugnapf PVC Essentials,Multifunctional Inflated/Water Filled for Hot Tub Pool & Spa Booster Seat with Suction Cup PVC Essentials,22.0,USD,64.0,USD,22,10,,,3.6774193548387095,31.0,14,7,2,2,6,,,,,,blue,2pcs,50,Livraison standard,6.0,false,,50,,,CN,Tinamart,tinamart,"85% Positives Feedback (25,972 Bewertungen)",25972,4.089211458493763,59e9acb937f9f87143eb06d5,,,https://www.wish.com/c/5d3e96407db8695e477fc03a,https://canary.contestimg.wish.com/api/webimage/5d3e96407db8695e477fc03a-medium.jpg,5d3e96407db8695e477fc03a
Neue Damenmode Unterhemd Kleid Schmetterling Halo Bedruckte Weste Ärmellose V-Ausschnitt Casual Weste Tanktop Plus Size XS-5XL,New Women Fashion Camisole Dress Butterfly Halo Printed Vest Sleeveless V-neck Casual Vest Tank Top Plus Size XS-5XL,9.0,CHF,9.0,CHF,9,10,,,3.9814814814814814,54.0,29,9,6,6,4,,,,,,purple,s,50,Livraison standard,3.0,false,,50,,,CN,Dai Anna,daianna,"(7,592 Bewertungen)",7592,4.081796628029505,5abc899b08a22454eeabba5a,,,https://www.wish.com/c/5fe06bcc845a7fea05b7f6eb,https://canary.contestimg.wish.com/api/webimage/5fe06bcc845a7fea05b7f6eb-medium.jpg,5fe06bcc845a7fea05b7f6eb
"STNTUS Bath Bombs Gift Set (12 x 86g), Handmade Spa Bubble Bombs and Floating Fizzies, Relaxation and Moisturizing - Perfect Valentines Birthday Christmas Gift for Women, Kids","STNTUS Bath Bombs Gift Set (12 x 86g), Handmade Natural Spa Bubble Bombs and Floating Fizzies, Relaxation and Moisturizing - Perfect Valentines Birthday Christmas Gift for Women, Kids",79.0,CHF,103.0,CHF,85.99,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,20.0,false,,3,,,GB,Giftenza,giftenza,79 % avis positifs (336 notes),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/600708889259cd21f1c7edcf,https://canary.contestimg.wish.com/api/webimage/600708889259cd21f1c7edcf-medium.jpg,600708889259cd21f1c7edcf
2pcs stylo d'acupuncture électrique Point de soulagement de la douleur Massage méridien électronique,2pcs Electric Acupuncture Pen Pain Relief Point Massage Electronic Meridian,15.0,CHF,15.0,CHF,16,10,,,4.0,27.0,16,5,1,0,5,,,,,,,2pcs,50,Livraison standard,4.0,false,,50,,,AR,tiendaboutique,tiendaboutique,84 % avis positifs (949 notes),949,4.038988408851423,5dee765129e7866c823797cf,,,https://www.wish.com/c/5f9a95d848f8991e40421841,https://canary.contestimg.wish.com/api/webimage/5f9a95d848f8991e40421841-medium.jpg,5f9a95d848f8991e40421841
CHINA Large Foot Bath Spa Tub Basin Tong Soak Feet Detox Pedicure Massage 3 Colors,CHINA Large Foot Bath Spa Tub Basin Tong Soak Feet Detox Pedicure Massage 3 Colors,71.0,CHF,71.0,CHF,78.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,purple[496],50,Livraison standard,12.0,false,,50,,,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/605d71c97ee02a149fd0cf12,https://canary.contestimg.wish.com/api/webimage/605d71c97ee02a149fd0cf12-medium.jpg,605d71c97ee02a149fd0cf12
Starwee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8d71d6eb31f9a6cce12c1e,,5f8d71d6eb31f9a6cce12c1e
Neue 7 Farben LED Photon Rotlichttherapie Gesichtsmaske Maschine Aknemaske Anti-Aging-Falten Narben Koreanische Gesichtshautpflege Hals Schönheit AU EU UK US Plug,New 7 Colors LED Photon Red Light Therapy Face Mask Machine Acne Mask Anti Aging Wrinkles Scarring Korean Facial Skin Care Neck Beauty AU EU UK US Plug,26.0,CHF,109.0,CHF,28,10,,,4.3076923076923075,91.0,65,10,4,3,9,,,,,,multicolor,onlyface-usplug,50,Livraison standard,8.0,false,,50,true,Quantité limitée !,CN,IHIOJO,ihiojo,"84% Positives Feedback (1,672 Bewertungen)",1672,4.098684210526316,5d4e592c1d9a8e08eb2ff044,,,https://www.wish.com/c/5ea6a4ed4a1914286d0a2b2c,https://canary.contestimg.wish.com/api/webimage/5ea6a4ed4a1914286d0a2b2c-medium.jpg,5ea6a4ed4a1914286d0a2b2c
20 / 40pcs Ohrreinigungskerze Natürliche Kerze Ohrenschmalzentfernung und -behandlung Ohrenschmalzreinigerentfernung Duftohrkerze,20/40pcs Ear Cleaning Candle Natural Candling Earwax Removal & Treatment Ear Wax Cleaner Removal Fragrance Ear Candle,4.55,CHF,5.0,CHF,5.0,5000,,,3.7152317880794703,604.0,293,89,85,31,106,,,,,,,20pcs,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,zhupeng1020,zhupeng1020,"89% Positives Feedback (4,298 Bewertungen)",4298,4.2052117263843645,5d43b0e472b0c95446d0192e,,,https://www.wish.com/c/5e0976444d6e22059a43d577,https://canary.contestimg.wish.com/api/webimage/5e0976444d6e22059a43d577-medium.jpg,5e0976444d6e22059a43d577
1-teiliges Kopf-Hals-Kopfhautmassagegerät Massage Octopus Equipment Stress Release Relax Tool,1pc Head Neck Scalp Massager Massage Octopus Equipment Stress Release Relax Tool,3.69,USD,3.69,USD,3.69,1000,,,4.285,200.0,120,42,22,7,9,,,,,,,1pc,50,Livraison standard,1.0,false,,50,,,CN,lilingyu,lilingyu,"(9,027 Bewertungen)",9027,4.336324360252576,58a7b941ef116850474e4fba,,,https://www.wish.com/c/5dd3b1eaa2741267891f1400,https://canary.contestimg.wish.com/api/webimage/5dd3b1eaa2741267891f1400-medium.jpg,5dd3b1eaa2741267891f1400
Ipotch 2 paquets de cire de paraffine soin des mains et des pieds recharge hydratante bain liquide spa saveur citron et jasmin,Ipotch 2 Packs Paraffin Wax Hands & Feet Care Moisturizing Refill Liquid Bath Spa  Lemon and Jasmine Flavor,21.0,CHF,96.0,CHF,23,7,,,5.0,4.0,4,0,0,0,0,,,,,,,n,16,Livraison standard,6.0,false,,16,,,CN,Pinktone,dynwave,"89 % avis positifs (6,740 notes)",6740,4.242284866468843,5ab1d22fea876405a98d2298,,,https://www.wish.com/c/5bdf821365c15d1729508961,https://canary.contestimg.wish.com/api/webimage/5bdf821365c15d1729508961-medium.jpg,5bdf821365c15d1729508961
