title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Forma a L Acquista 2 pezzi Copridivano Geometrico stampato Copridivano angolare per soggiorno Copridivano elastico in spandex Copridivano elasticizzato 25 colori,L Shape Need Buy 2pcs Sofa Cover Geometric Printed Corner Sofa Covers for Living Room Elastic Spandex Couch Cover Stretch Slipcovers 25 Colors,5.21,CHF,55.0,CHF,5.73,10,,,2.375,8.0,1,1,2,0,4,,,,,,orange,1xpillowcaase,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Yolyn Store,yolynstore,67% feedback positivi (9 recensioni),9,3.6666666666666665,5f8063dc9071814fccad498a,,,https://www.wish.com/c/5fb3c9f8633731d2736119a5,https://canary.contestimg.wish.com/api/webimage/5fb3c9f8633731d2736119a5-medium.jpg,5fb3c9f8633731d2736119a5
Damenmode Strand Badeanzug Modische Bademode Sexy Push Up Badeanzüge Halfter Bikini 4 Farben,Women Fashion Beach Swimming Swimsuit Fashion Swimwear Sexy Push Up Bathing Suits Halter Bikini 4 Colors,9.0,CHF,9.0,CHF,9,5000,,,4.109212481426448,1346.0,721,281,190,78,76,,,,,,black,xxs,2,Livraison standard,3.0,false,,50,,,CN,DINGBAOZU,dingbaozu,"(1,558 Bewertungen)",1558,4.148267008985879,591d60396f16096ee4446e3f,,,https://www.wish.com/c/5a964d510c1d905cfbfd1805,https://canary.contestimg.wish.com/api/webimage/5a964d510c1d905cfbfd1805-medium.jpg,5a964d510c1d905cfbfd1805
Spandex Clubwear Solid Color Men's Long Sleeve Front Zipper Latin Dance Tuxedo Shirt Bodysuit #M-3XL,Spandex Clubwear Solid Color Men's Long Sleeve Front Zipper Latin Dance Tuxedo Shirt Bodysuit #M-3XL,15.0,CHF,41.0,CHF,16,2,,,3.0,1.0,0,0,1,0,0,,,,,,white,m,50,Livraison standard,4.0,false,,50,,,CN,pudecoco,pudecoco,"94 % avis positifs (3,767 notes)",3767,4.401911335280063,59006a37eb16271786097b60,,,https://www.wish.com/c/5eb8fabf3246287702418110,https://canary.contestimg.wish.com/api/webimage/5eb8fabf3246287702418110-medium.jpg,5eb8fabf3246287702418110
Geometric spandex elastic dining chair cover chair cover non-slip cover elastic chair cover for wedding hotel restaurant 2/4/6 pieces,Geometric spandex elastic dining chair cover chair cover non-slip cover elastic chair cover for wedding hotel restaurant 2/4/6 pieces,13.0,CHF,60.0,CHF,14,2,,,5.0,0.0,,,,,,,,,,,,purple-2pcs,5,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,qucgfa946682545,qucgfa946682545,,0,5.0,604309d933ac364c2196b286,,,https://www.wish.com/c/606e9db847977b286e9c1ea2,https://canary.contestimg.wish.com/api/webimage/606e9db847977b286e9c1ea2-medium.jpg,606e9db847977b286e9c1ea2
1 STÜCK Bedruckter elastischer Stuhlbezug Abnehmbarer waschbarer elastischer Spandex-Haushaltsmöbel-Schutzsitzbezug für das Esszimmer Hochzeitsfeier L Größe,1PCS Printed Elastic Chair Cover Removable Washable Spandex Elastic Household Furniture Protective Seat Cover for Dining Room Wedding Party L Size,7.0,CHF,7.0,CHF,7,10,,,4.166666666666667,6.0,4,1,0,0,1,,,,,,teal,,25,Livraison standard,2.0,false,,50,,,US,Unique Bargains,uniquebargains,"92% Positives Feedback (10,039 Bewertungen)",10039,4.366570375535412,563959403a698c4d8305e3c1,,,https://www.wish.com/c/5eec7b18ff37ea2440a319e8,https://canary.contestimg.wish.com/api/webimage/5eec7b18ff37ea2440a319e8-medium.jpg,5eec7b18ff37ea2440a319e8
Xintianji Lycra tissu pour Leggings et sous-vêtements extensible modal Spandex tissu bricolage couture Patchwork tissu 50 * 175 cm / pcs,Xintianji Lycra Fabric for Leggings and Underwear Stretchy Modal Spandex Fabric DIY Sewing Patchwork Fabric  50*175cm/pcs,6.0,CHF,6.0,CHF,6,10,,,4.09375,32.0,19,6,2,1,4,,,,,,white,2,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Xintianji,xintianji,"90 % avis positifs (11,657 notes)",11657,4.283520631380287,5b56db37a3759d19c42c4c33,,,https://www.wish.com/c/5b63ca6621b7701d25620bdf,https://canary.contestimg.wish.com/api/webimage/5b63ca6621b7701d25620bdf-medium.jpg,5b63ca6621b7701d25620bdf
Mens Board Shorts Bermuda Masculina Spandex Beach Swim Short Pant Surf Elastic,Mens Board Shorts Bermuda Masculina Spandex Beach Swim Short Pants Surf Elastic,15.0,CHF,26.0,CHF,16,10,,,4.150943396226415,53.0,31,11,3,4,4,,,,,,grey,l,50,Livraison standard,5.0,false,,50,true,Quantité limitée !,CN,wangwenjian00,wangwenjian00,90 % avis positifs (654 notes),654,4.299694189602446,5ab1020b2635a75e4c30cd65,,,https://www.wish.com/c/5afe5034beb3a133673b9af4,https://canary.contestimg.wish.com/api/webimage/5afe5034beb3a133673b9af4-medium.jpg,5afe5034beb3a133673b9af4
"Élastique Spandex Housse de canapé sans bras Protecteur de mode Housse de canapé Housse Housses Décor à la maison Housses de canapé multicolores (S, L)","Elastic Spandex Armless sofa cover Fashion Protector Couch Cover Slipcover  Slipcovers Home Decor Multi Color  Sofa Covers(S,L)",15.0,CHF,190.0,CHF,16,10,,,4.7,10.0,7,3,0,0,0,,,,,,navy,s,3,Livraison standard,5.0,false,,50,,,CN,qingfamoshang-tongyue,qingfamoshangtongyue,88 % avis positifs (17 notes),17,4.0,5d3d7502e13a7e1dcff35c54,,,https://www.wish.com/c/5d7a367cb5ded67162180165,https://canary.contestimg.wish.com/api/webimage/5d7a367cb5ded67162180165-medium.jpg,5d7a367cb5ded67162180165
1/2/4/6 PCS Home Living Couleur Unie Élastique Housse de Chaise Amovible et Lavable Ensemble de Spandex Élastique Housse de Chaise Meubles de Maison Housse De Protection,1/2/4/6PCS Home Living  Solid Color Elastic Chair Cover Removable and Washable Set of Spandex Elastic Chair Cover Household Furniture Protective Cover,4.25,CHF,5.0,CHF,4.67,1000,,,4.25,268.0,170,47,20,10,21,,,,,,pink,1pc,5,Livraison standard,1.0,false,,50,,,CN,ShenZhenZhanMaWangLuoKeJi,ppapsss,90 % avis positifs (555 notes),555,4.275675675675676,5d997dcb78488972afa4f744,,,https://www.wish.com/c/5dac9a170db636001cb8d5fb,https://canary.contestimg.wish.com/api/webimage/5dac9a170db636001cb8d5fb-medium.jpg,5dac9a170db636001cb8d5fb
Mens Mock Neck Full Body Unitard Spandex Zentai Costumes Costumes,Mens Mock Neck Full Body Unitard Spandex Zentai Suits Costumes,15.0,CHF,90.0,CHF,16,10,,,4.0,4.0,3,0,0,0,1,,,,,,black,m,50,Livraison standard,4.0,false,,50,,,CN,Easyforever,easyforever,"94 % avis positifs (8,214 notes)",8214,4.398222546871196,580ec1c2f9414f1964d3ae0b,,,https://www.wish.com/c/5d8c6395f7b93c4fd4b220e2,https://canary.contestimg.wish.com/api/webimage/5d8c6395f7b93c4fd4b220e2-medium.jpg,5d8c6395f7b93c4fd4b220e2
