title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
PC de bureau iggual PSIPCH443 i5-9400 8 Go de RAM 480 Go SSD,Desktop PC iggual PSIPCH443 i5-9400 8 GB RAM 480GB SSD,699.0,EUR,699.0,EUR,846.33,0,,,5.0,0.0,,,,,,,,,,,,,7,Livraison standard,11.87,false,,7,true,Quantité limitée !,NL,Dianesz,dianesz,72 % avis positifs (18 notes),18,3.888888888888889,5f1871b899c970bb90317cd3,,,https://www.wish.com/c/601249096dbebb9eed3eaf80,https://canary.contestimg.wish.com/api/webimage/601249096dbebb9eed3eaf80-medium.jpg,601249096dbebb9eed3eaf80
"Disque dur Kingston SUV500 / 480G SSD 480 Go 2,5 '' '' SATA III","Disque dur Kingston SUV500/480G SSD 480 GB 2,5'''' SATA III",208.0,EUR,208.0,EUR,251.88,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison Express,9.99,true,,50,,,FR,Parallele Fashion avenue,parallelefashionavenue,80 % avis positifs (98 notes),98,3.979591836734694,5d9f7fb6fc44aa26cc28c3f7,,,https://www.wish.com/c/5dc2f078f38c5417779e7f29,https://canary.contestimg.wish.com/api/webimage/5dc2f078f38c5417779e7f29-medium.jpg,5dc2f078f38c5417779e7f29
Hiseeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8c206ceb31f9c6391a6279,,5f8c206ceb31f9c6391a6279
2021 DISQUE 2 To 1 To 500G Disque dur externe portable haute vitesse Stockage de masse Interface USB3.0 2 To 1 To 500g Mémoire Métal Matériel Plug and Play,2021 DISK 2TB 1TB 500G High Speed Portable External Hard Disk Mass Storage USB3.0 Interface 2TB 1TB 500g Memory Metal Material Plug and Play,15.0,EUR,15.0,EUR,17,1000,,,3.5714285714285716,294.0,145,42,22,6,79,,,,,,silver,500gusb3.0,50,Livraison standard,5.0,false,,50,,,CN,Bear maker,bearmaker,"(6,836 notes)",6836,4.064950263311879,5587d0a47b0c873f9c7d4f3b,,,https://www.wish.com/c/5f7ad4aa6973be96d050e5e2,https://canary.contestimg.wish.com/api/webimage/5f7ad4aa6973be96d050e5e2-medium.jpg,5f7ad4aa6973be96d050e5e2
"GT Samsung SSD externe T5 2 To Noir USB3.1, voir les détails","GT Samsung External SSD T5 2TB Black USB3.1, see details",9235.0,EUR,9235.0,EUR,11196.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,CA,othep,othep,60 % avis positifs (5 notes),5,3.2,5ff04c48c9720a6520e73166,,,https://www.wish.com/c/6001a2573f73e394ab11190a,https://canary.contestimg.wish.com/api/webimage/6001a2573f73e394ab11190a-medium.jpg,6001a2573f73e394ab11190a
"Lenovo S-02 Boîtier SSD 2,5 pouces HDD Adaptateur USB 3.0 vers SATA 5 Gbps Boîtier de disque dur Prise en charge du boîtier de disque dur externe 6 To pour ordinateur portable",Lenovo S-02 2.5 inch HDD SSD Case USB 3.0 to SATA Adapter 5Gbps Hard Drive Disk Enclosure Support 6TB External HDD for Laptop PC,21.0,EUR,21.0,EUR,25,10,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,6.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"(1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/60256c0bce37fe3295e65c80,https://canary.contestimg.wish.com/api/webimage/60256c0bce37fe3295e65c80-medium.jpg,60256c0bce37fe3295e65c80
Upgrade 50GB / 2TB / 4TB / 8TB / 10TB External Hard Disk Disk Portable Storage Device 2.5 Inch Portable USB 3.0 Solid State Hard Disk Enclosure / SSD Hard Disk Mobile Hard Disk Storage Device Disk Computer General Purpose,Upgrade 50GB / 2TB / 4TB / 8TB / 10TB External Hard Disk Disk Portable Storage Device 2.5 Inch Portable USB 3.0 Solid State Hard Disk Enclosure / SSD Hard Disk Mobile Hard Disk Storage Device Disk Computer General Purpose,20.0,EUR,20.0,EUR,24,10,,,5.0,0.0,,,,,,,,,,,red,50gb,3,Livraison standard,6.0,false,,50,,,US,commitscyas,commitscyas,50 % avis positifs (56 notes),56,2.875,5e5a3bdc35e4cb1ae3d6f436,,,https://www.wish.com/c/6065233a52a307627e97f24c,https://canary.contestimg.wish.com/api/webimage/6065233a52a307627e97f24c-medium.jpg,6065233a52a307627e97f24c
"Transcend StoreJet M500 SSD externe portable Thunderbolt TS1TSJM500, 1 To, blanc","Transcend StoreJet M500 Thunderbolt Portable External SSD TS1TSJM500, 1TB, White",1380.0,EUR,1380.0,EUR,1673.0,0,,,5.0,0.0,,,,,,,,,,,white,,2,Livraison standard,12.0,false,,2,true,Quantité limitée !,CA,othep,othep,(5 notes),5,3.2,5ff04c48c9720a6520e73166,,,https://www.wish.com/c/6001a334bacc3a6e3a042fde,https://canary.contestimg.wish.com/api/webimage/6001a334bacc3a6e3a042fde-medium.jpg,6001a334bacc3a6e3a042fde
"Sandisk Extreme Portable SSD E60 SSD externe, noir, 1 To","Sandisk Extreme Portable SSD E60 External SSD, Black, 1TB",585.0,EUR,585.0,EUR,709.0,0,,,5.0,0.0,,,,,,,,,,,black,,50,Livraison standard,12.0,false,,50,,,CA,othep,othep,60 % avis positifs (5 notes),5,3.2,5ff04c48c9720a6520e73166,,,https://www.wish.com/c/60019ca29607638be53db4cc,https://canary.contestimg.wish.com/api/webimage/60019ca29607638be53db4cc-medium.jpg,60019ca29607638be53db4cc
Hot Sale USB 3.0 Lecteurs Flash Drive Pen Drive Mémoire Flash USB Stick U Stockage sur disque,Hot Sale USB 3.0 Flash Drives Pen Drive Flash Memory USB Stick U Disk Storage,4.01,EUR,7.0,EUR,4.86,5000,,,3.9872448979591835,1568.0,961,210,87,36,274,,,,,,,1gb1pcs,9,Livraison standard,1.0,false,,50,,,CN,wangjingen,goldenline2018,"83 % avis positifs (1,562 notes)",1562,4.085787451984635,5acd6ef2c3911a2e8d7f4e20,,,https://www.wish.com/c/5f2b799298aac804eff5d9bd,https://canary.contestimg.wish.com/api/webimage/5f2b799298aac804eff5d9bd-medium.jpg,5f2b799298aac804eff5d9bd
"2020 CHUWI AeroBook Plus 15,6 pouces 4K UHD Display Processeur Intel Core I5 8 Go de RAM 256 Go SSD Ultra portables 55Wh Batterie PD2.0 Charge rapide avec clavier rétroéclairé Système de refroidissement par le gel",2020 CHUWI AeroBook Plus 15.6 Inch 4K UHD Display Intel Core I5 Processor 8GB RAM 256GB SSD Ultra Laptops 55Wh Battery PD2.0 Fast Charging with Backlit Keyboard Frost Cooling System,454.0,EUR,454.0,EUR,550.0,10,,,4.5,20.0,15,2,2,0,1,,,,,,,laptop,10,Livraison standard,12.0,false,,13,,,CN,zzh53651,zzh53651,91 % avis positifs (638 notes),638,4.435736677115988,5d5bc07e1d862944009717b3,,,https://www.wish.com/c/5f041679f681234561c31cd3,https://canary.contestimg.wish.com/api/webimage/5f041679f681234561c31cd3-medium.jpg,5f041679f681234561c31cd3
HaboTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f73140790b8a6de20a3b24d,,5f73140790b8a6de20a3b24d
"Mini SSD High Speed Mobile, Large Memory 2TB / 1TB, USB 3.1type-c External Interface, Stable Storage, Plug and Play. Easy To Carry","Mini SSD High Speed Mobile, Large Memory 2TB / 1TB, USB 3.1type-c External Interface, Stable Storage, Plug and Play. Easy To Carry",12.0,EUR,30.0,EUR,14,10,,,5.0,0.0,,,,,,,,,,,red,16gb,25,Livraison standard,3.0,false,,50,,,US,uclam0007,uclam0007,75 % avis positifs (4 notes),4,4.0,5e6d6a1aeb2b33c18075bbbf,,,https://www.wish.com/c/6077d04f45e38c01d21309f3,https://canary.contestimg.wish.com/api/webimage/6077d04f45e38c01d21309f3-medium.jpg,6077d04f45e38c01d21309f3
Boîtier SSD externe M.2 NGFF SATA Super haute vitesse USB3.0 Gen1 5 Gb / S Boîtier de disque dur SSD SATA Transparent pour PC,External M.2 NGFF SATA SSD Enclosure Super High Speed USB3.0 Gen1 5Gb/S Transparent SATA SSD Hard Drive Case for PC,7.0,EUR,70.0,EUR,8,10,,,5.0,0.0,,,,,,,,,,,yellow,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,Honey66,honey66,"91 % avis positifs (53,603 notes)",53603,4.270488592056415,573086c1a74be3592c11c56e,,,https://www.wish.com/c/5fe5a3a6ddb8998b624b1d8c,https://canary.contestimg.wish.com/api/webimage/5fe5a3a6ddb8998b624b1d8c-medium.jpg,5fe5a3a6ddb8998b624b1d8c
"Ordinateur portable KUU Ultrabook Win10 Intel J3455 ordinateur portable écran HD 6 Go de RAM + 256 Go / 128 Go SSD 14,1 pouces SBOOK M ordinateur portable pour ordinateur de travail de bureau",KUU Ultrabook Laptop Win10 Intel J3455  Notebook  HD Screen 6GB RAM+256GB/128GB SSD 14.1 Inch SBOOK M Laptop For Office Work Computer ,224.0,EUR,242.0,EUR,271.0,10,,,4.0,4.0,3,0,0,0,1,,,,,,,128gb,50,Livraison Express,12.0,true,,50,,,CN,Anything You Want,anythingyouwant,"90 % avis positifs (7,635 notes)",7635,4.243091028159791,57ce5cb73311771d1f405d93,,,https://www.wish.com/c/600a6eeb04555fd4d6424240,https://canary.contestimg.wish.com/api/webimage/600a6eeb04555fd4d6424240-medium.jpg,600a6eeb04555fd4d6424240
AMPCOM SK4 M.2 NVMe SSD NGFF TO PCIE X4 adaptateur M Carte d'interface clé Suppor PCI Express 3.0 x4 2230-2280 Taille m.2 FULL SPEED bon,AMPCOM SK4 M.2 NVMe SSD NGFF TO PCIE X4 adapter M Key interface card Suppor PCI Express 3.0 x4 2230-2280 Size m.2 FULL SPEED good,7.0,EUR,7.0,EUR,8,1000,,,4.493617021276596,235.0,162,47,15,2,9,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,Kivis Retail,kivisretail,96 % avis positifs (224 notes),224,4.526785714285714,5d71f12a51da4f537446f541,,,https://www.wish.com/c/5dccb659c75fe203fab2e3b1,https://canary.contestimg.wish.com/api/webimage/5dccb659c75fe203fab2e3b1-medium.jpg,5dccb659c75fe203fab2e3b1
Disque dur Crucial CT1000MX500SSD1 1 To SSD 2.5 '' '' SATA III,Disque dur Crucial CT1000MX500SSD1 1 TB SSD 2.5'''' SATA III,392.0,EUR,392.0,EUR,474.66,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison Express,9.99,true,,50,,,FR,Parallele Fashion avenue,parallelefashionavenue,80 % avis positifs (98 notes),98,3.979591836734694,5d9f7fb6fc44aa26cc28c3f7,,,https://www.wish.com/c/5dc2f501ae3173174cb6ff63,https://canary.contestimg.wish.com/api/webimage/5dc2f501ae3173174cb6ff63-medium.jpg,5dc2f501ae3173174cb6ff63
OWSOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f7d9ff990b8a6e64603063e,,5f7d9ff990b8a6e64603063e
80 Go / 500 Go / 1 To / 2 To / Grande Capacité Portable USB 3.0 Disque dur SSD / SSD Disque dur Disque dur mobile Disque de stockage pour ordinateur portable,80GB/500GB / 1TB / 2TB/ Large Capacity Portable USB 3.0 Solid-state HDD / SSD Hard Drive Mobile Hard Disk Storage Device Disk for Home Office School Desktop Notebook Universal,10.0,EUR,10.0,EUR,11,1000,,,3.6333059885151764,1219.0,594,200,96,42,287,,,,,,red,80gb,50,Livraison standard,2.0,false,,50,,,CN,Caselli Shop,casellishop,"(2,086 notes)",2086,3.7152444870565677,5dc232dfa845d6040d858571,,,https://www.wish.com/c/5f603068a4655308502b3c82,https://canary.contestimg.wish.com/api/webimage/5f603068a4655308502b3c82-medium.jpg,5f603068a4655308502b3c82
Nouveau disque dur SSD Vaseky 256 Go / 240 Go / 128 Go / 120 Go M.2 PCI-e NVMe SSD Disque dur SSD MLC 2280 M.2 pour ordinateur de bureau SSD,New Vaseky 256GB/240GB/128GB/120GB M.2 PCI-e NVMe SSD Hard Drive Disk MLC 2280 M.2 SSD Hard Drive for Laptop Desktop PC SSD,48.0,EUR,48.0,EUR,57.0,10,,,5.0,2.0,2,0,0,0,0,,,,,,,128g,50,Livraison standard,12.0,false,,50,,,CN,"Ivy Technology Co., Ltd.",ivytechnologycoltd,89 % avis positifs (758 notes),758,4.213720316622691,55aace630be09e52532ca4c7,,,https://www.wish.com/c/5d827a5a6521ad47f612cbc6,https://canary.contestimg.wish.com/api/webimage/5d827a5a6521ad47f612cbc6-medium.jpg,5d827a5a6521ad47f612cbc6
"Jangwoo Company (set) M.2 NVMe external SSD USB 3.1 PM981a, gray, 1TB","Jangwoo Company (set) M.2 NVMe external SSD USB 3.1 PM981a, gray, 1TB",725.0,EUR,725.0,EUR,878.0,0,,,5.0,0.0,,,,,,,,,,,gray,,5,Livraison standard,12.0,false,,5,,,KR,awesomekorea,awesomekorea,100 % avis positifs (1 notes),1,5.0,600f907c35473d26e050c7dd,,,https://www.wish.com/c/60328f04467ffb375bcc3885,https://canary.contestimg.wish.com/api/webimage/60328f04467ffb375bcc3885-medium.jpg,60328f04467ffb375bcc3885
"Disque SSD WD GREEN, WDS240G2G0A, 240 Go","WD GREEN SSD, WDS240G2G0A, 240GB",142.0,EUR,142.0,EUR,172.0,0,,,5.0,0.0,,,,,,,,,,,,,1,Livraison standard,12.0,false,,1,true,Quantité limitée !,KR,top korea seller,topkoreaseller,50 % avis positifs (2 notes),2,3.0,5ff4782d45e0239ccc5a5c96,,,https://www.wish.com/c/5ffe45bf929795198a2b2f72,https://canary.contestimg.wish.com/api/webimage/5ffe45bf929795198a2b2f72-medium.jpg,5ffe45bf929795198a2b2f72
