title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Unisex Black Cotton Knitted T-Shirt Steep Red,Unisex Black Cotton Knitted T-Shirt Steep Red,14.0,CHF,23.0,CHF,15,0,,,5.0,0.0,,,,,,,,,,,black,xs,50,Livraison standard,4.0,false,,50,,,CN,wangyiming2024,wangyiming2024,,0,5.0,6003a0991f399be9de47959b,,,https://www.wish.com/c/60530ac2b50c2f84cfe22df5,https://canary.contestimg.wish.com/api/webimage/60530ac2b50c2f84cfe22df5-medium.jpg,60530ac2b50c2f84cfe22df5
Bol en acier inoxydable pour animaux de compagnie en acier inoxydable à double bol pour chien de chat,Z Shape Stainless Steel Pet Dual Bowl Cat Dog Water Feeder Steep Food Drinking Bowl,12.0,CHF,12.0,CHF,13,0,,,5.0,0.0,,,,,,,,,,,blue,29.5x19x7cm,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,waybihey,waybihey,88 % avis positifs (24 notes),24,4.041666666666667,5f116e9e81c9cc9b058ab15d,,,https://www.wish.com/c/5fb258e10b7593767931c6c2,https://canary.contestimg.wish.com/api/webimage/5fb258e10b7593767931c6c2-medium.jpg,5fb258e10b7593767931c6c2
Caution Keep Out Steep Slope metal tin sign office shop garage signs,Caution Keep Out Steep Slope metal tin sign office shop garage signs,15.0,CHF,15.0,CHF,16,0,,,5.0,0.0,,,,,,,,,,,multicolor,30x20cm,50,Livraison standard,4.0,false,,50,,,US,Mike 	Tharp,miketharp,94 % avis positifs (17 notes),17,4.352941176470588,5f46760729e7862f3810acd7,,,https://www.wish.com/c/5fbf5fad081547b143969c92,https://canary.contestimg.wish.com/api/webimage/5fbf5fad081547b143969c92-medium.jpg,5fbf5fad081547b143969c92
Unframed Canvas Pictures Wall Art HD Prints Abstract Poster 5 Pieces Moon Star Steep Cliff Trees Swing Painting Home Decor,Unframed Canvas Pictures Wall Art HD Prints Abstract Poster 5 Pieces Moon Star Steep Cliff Trees Swing Painting Home Decor,15.0,CHF,15.0,CHF,16,0,,,5.0,0.0,,,,,,,,,,,,8x128x168x20in,50,Livraison standard,5.0,false,,50,,,CN,I Decal,idecal,88 % avis positifs (641 notes),641,4.221528861154447,55554e0cd33c5f1ef55e657d,,,https://www.wish.com/c/5a435133eae9ef146128fa69,https://canary.contestimg.wish.com/api/webimage/5a435133eae9ef146128fa69-medium.jpg,5a435133eae9ef146128fa69
"No Hill too Steep, Fish too Deep Shirt Hoodies for Men Black","No Hill too Steep, Fish too Deep Shirt Hoodies for Men Black",25.0,CHF,25.0,CHF,27,0,,,5.0,0.0,,,,,,,,,,,,men-s,50,Livraison standard,8.0,false,,50,,,CN,liudanyin8525,liudanyin8525,,0,5.0,6016267c882b46787d6de1b7,,,https://www.wish.com/c/605c455cda5c0019ee814972,https://canary.contestimg.wish.com/api/webimage/605c455cda5c0019ee814972-medium.jpg,605c455cda5c0019ee814972
"New Road Sign Very Steep Grade User Assumes All Risk, Engineer Grade Aluminum Metal Tin Sign Street Sign 8x12 INCH","New Road Sign Very Steep Grade User Assumes All Risk, Engineer Grade Aluminum Metal Tin Sign Street Sign 8x12 INCH",11.0,CHF,12.0,CHF,12,0,,,5.0,0.0,,,,,,,,,,,,1pc/20x30cm,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,Renjinhong0819,renjinhong0819,100 % avis positifs (10 notes),10,4.7,5e79b7c235692d2302c1c5dc,,,https://www.wish.com/c/5f1fe3a03ad9065846980ff4,https://canary.contestimg.wish.com/api/webimage/5f1fe3a03ad9065846980ff4-medium.jpg,5f1fe3a03ad9065846980ff4
Tea Strainer Filter Flavor Total Tools Swirl Steep Stir Press Healthy Herb Puer Tea&coffee Accessories Gadget ,Tea Strainer Filter Flavor Total Tools Swirl Steep Stir Press Healthy Herb Puer Tea&coffee Accessories Gadget ,5.0,CHF,5.0,CHF,5,5,,,5.0,0.0,,,,,,,,,,,green,lowquality,10,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,Mingyuexi,mingyuexi,82 % avis positifs (203 notes),203,3.8423645320197046,5f0578d8d2ee982bce6a876f,,,https://www.wish.com/c/6049911d36871b8a857cb779,https://canary.contestimg.wish.com/api/webimage/6049911d36871b8a857cb779-medium.jpg,6049911d36871b8a857cb779
Extra Fine Stainless Steel Tea Infuser Mesh Strainer Large Capacity Filter for Infusing Steeping Loose Tea (2 Cup Infusers + 1 Scoop with a clip),Extra Fine Stainless Steel Tea Infuser Mesh Strainer Large Capacity Filter for Infusing Steeping Loose Tea (2 Cup Infusers + 1 Scoop with a clip),13.0,CHF,13.0,CHF,14,0,,,5.0,0.0,,,,,,,,,,,,b,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,nurlike,nurlike,"92 % avis positifs (11,663 notes)",11663,4.354111292120381,59c07c6a15da073d208b8659,,,https://www.wish.com/c/6059ac45e873d0af56ad801d,https://canary.contestimg.wish.com/api/webimage/6059ac45e873d0af56ad801d-medium.jpg,6059ac45e873d0af56ad801d
Skiing Tee If Its Too Steep funny top Birthday tee For Him T SHIRT T-SHIRT,Skiing Tee If Its Too Steep funny top Birthday tee For Him T SHIRT T-SHIRT,17.0,CHF,17.0,CHF,18,0,,,5.0,0.0,,,,,,,,,,,,men-s,50,Livraison standard,5.0,false,,50,,,CN,lirunyu9876,lirunyu9876,0 % avis positifs (1 notes),1,1.0,5faa1d6d6b510240a6e06912,,,https://www.wish.com/c/5fcddee65e1bd3b58eb360f0,https://canary.contestimg.wish.com/api/webimage/5fcddee65e1bd3b58eb360f0-medium.jpg,5fcddee65e1bd3b58eb360f0
Modular Canvas HD Prints Poster 5 Pieces Steep Cliff Coast Pictures Blue Waves Seascape Paintings Wall Art Home Decor(No Frame),Modular Canvas HD Prints Poster 5 Pieces Steep Cliff Coast Pictures Blue Waves Seascape Paintings Wall Art Home Decor(No Frame),15.0,CHF,323.0,CHF,16,0,,,5.0,0.0,,,,,,,,,,,,50cmby100cm,50,Livraison standard,5.0,false,,50,,,CN,youchufang,youchufang,"77 % avis positifs (1,435 notes)",1435,3.7344947735191636,5a605deb727653301c548d9f,,,https://www.wish.com/c/5f8156c0a4712758e79231c8,https://canary.contestimg.wish.com/api/webimage/5f8156c0a4712758e79231c8-medium.jpg,5f8156c0a4712758e79231c8
