title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
20/40/60Pcs Grafting Clips Greenhouse Clamp Stand Plastic Plant Clip Fastener Bracket Fixed Seed Stem Support Plant Grafting,20/40/60Pcs Grafting Clips Greenhouse Clamp Stand Plastic Plant Clip Fastener Bracket Fixed Seed Stem Support Plant Grafting,8.0,CHF,95.0,CHF,8,2,,,5.0,0.0,,,,,,,,,,,,10large&10small,50,Livraison standard,2.0,false,,50,,,CN,guilian international trading Ltd,guilianinternationaltradingltd,"91 % avis positifs (57,691 notes)",57691,4.288051862508883,557bbf6e5c8a3419ec59765d,,,https://www.wish.com/c/607e4a617533f481427af3d7,https://canary.contestimg.wish.com/api/webimage/607e4a617533f481427af3d7-medium.jpg,607e4a617533f481427af3d7
1PC Gartenschere Gartenschere Bonsai Pruners Gartenschere Easy Pruners Grafting Tool,1PC Garden Scissors Garden Shears Bonsai Pruners Secateurs Easy Pruners Grafting Tool,9.0,CHF,44.0,CHF,9,10,,,5.0,2.0,2,0,0,0,0,,,,,,,,50,Livraison standard,3.0,false,,50,,,CN,woyaokuaile,woyaokuaile,"90% Positives Feedback (1,456 Bewertungen)",1456,4.298076923076923,58d7b27608111752b1cb56ad,,,https://www.wish.com/c/5ebae289fcc85c3f268730e1,https://canary.contestimg.wish.com/api/webimage/5ebae289fcc85c3f268730e1-medium.jpg,5ebae289fcc85c3f268730e1
16 Styles bricolage allée pavage chaussée moule Patio béton étape pierre chemin marche fabricant maison jardin décor,16 Styles DIY Driveway Paving Pavement Mold Patio Concrete Step Stone Path Walk Maker Home Garden Decor,11.0,CHF,11.0,CHF,11,8,,,5.0,0.0,,,,,,,,,,,,a(30x30x4.5cm),3,Livraison standard,3.0,false,,50,,,CN,commercialtornado,commercialtornado,"89 % avis positifs (33,637 notes)",33637,4.21999583791658,574803b422581e5ce8a3c6eb,,,https://www.wish.com/c/6036111f434d63ebc626122e,https://canary.contestimg.wish.com/api/webimage/6036111f434d63ebc626122e-medium.jpg,6036111f434d63ebc626122e
Pocket Hole Jig Kit Schraubendreher Schrittbohrer Holzbearbeitung Tischlerei-Werkzeugsatz,Pocket Hole Jig Kit Screwdriver Step Drill Bit Woodworking Joinery Tool Set,12.0,CHF,12.0,CHF,13,1000,,,4.352941176470588,153.0,89,43,13,2,6,,,,,,grey,1pcs,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,pkqzdcdzd,pkqzdcdzd,"93% Positives Feedback (9,327 Bewertungen)",9327,4.345341481719738,5acb4708cd968d62c6cadd47,,,https://www.wish.com/c/5f3cc768263234003c629b3b,https://canary.contestimg.wish.com/api/webimage/5f3cc768263234003c629b3b-medium.jpg,5f3cc768263234003c629b3b
Femmes montre intelligente vie étanche fréquence cardiaque tensiomètre Smartwatch cadeau d'anniversaire pour dames,Women Smart Watch Life Waterproof Heart Rate Blood Pressure Monitor Smartwatch Birthday Gift For Ladies,29.0,USD,278.0,USD,29,10,,,4.2155172413793105,116.0,68,24,13,3,8,,,,,,,stainlesssteelgoldenband,50,Livraison standard,8.0,false,,50,,,CN,HUASHENG FACTORY,huashengfactory,92 % avis positifs (436 notes),436,4.387614678899083,5d3ff85b838897466b14419f,,,https://www.wish.com/c/5efef1077705bd177c938e50,https://canary.contestimg.wish.com/api/webimage/5efef1077705bd177c938e50-medium.jpg,5efef1077705bd177c938e50
2021 NOUVEAU Mini Vélo D'exercice Étape Machine À La Maison Gym Pédale Vélos Exercice Intérieur Pour La Maison Et Gym (Sans Batterie),2021 NEW Mini Exercise Bike Step Machine Home Gym Pedal Bikes Indoor Exerciser For Home And Gym (No Battery),73.0,CHF,73.0,CHF,80.0,3,,,5.0,0.0,,,,,,,,,,,black,typeb,18,Livraison Express,12.0,true,,18,,,CN,chcuyheya,chcuyheya,93 % avis positifs (91 notes),91,4.406593406593407,5f1261cf4b2c4e0048c50abf,,,https://www.wish.com/c/601a59878c940d26800b9913,https://canary.contestimg.wish.com/api/webimage/601a59878c940d26800b9913-medium.jpg,601a59878c940d26800b9913
NICOLE DIARY 3 en 1 Gel Vernis À Ongles Stylo One Step Nail Gel Crayon,NICOLE DIARY 3 In 1 Gel Nail Polish Pen One Step Nail Gel Pencil,3.36,CHF,4.0,CHF,3.7,10000,,,3.886004514672686,886.0,469,143,103,46,125,,,,,,,nd-b25,50,Livraison standard,1.0,false,,50,,,CN,Fashion Camp,fashioncamp,"93 % avis positifs (33,294 notes)",33294,4.386916561542621,58d4c4e439c21f57d4bcc0b6,,,https://www.wish.com/c/5d230cfbafa4024e78a2d9f3,https://canary.contestimg.wish.com/api/webimage/5d230cfbafa4024e78a2d9f3-medium.jpg,5d230cfbafa4024e78a2d9f3
Kit de formation de cils 19 en 1 extension de cils faux greffage pratique Curl colle pince à épiler outils ensemble sac pour greffe de cils oculaires,19 in 1 Training Eyelashes kit False Eyelash Extension Grafting Practice Curl Glue Tweezer Tools Set Bag For Eye Lash Graft,15.0,CHF,15.0,CHF,16,10,,,3.8194444444444446,72.0,40,8,8,3,13,,,,,,,makeupmannequinhead,50,Livraison standard,4.0,false,,50,,,CN,BHIKUBHFGKJ,bhikubhfgkj,87 % avis positifs (549 notes),549,4.225865209471767,5dabe0093b45910bc0bdb946,,,https://www.wish.com/c/5e7b0732b50ca40c84dbdb6b,https://canary.contestimg.wish.com/api/webimage/5e7b0732b50ca40c84dbdb6b-medium.jpg,5e7b0732b50ca40c84dbdb6b
Fascinator Cerchietto Feather Mesh Cocktail Bowknot Donna Derby Day Fedoras Bridal,Fascinator Headband Feather Mesh Cocktail Bowknot Women Derby Day Fedoras Bridal,9.0,CHF,9.0,CHF,9,10,,,4.2727272727272725,22.0,13,6,1,0,2,,,,,,yellow,,50,Livraison standard,3.0,false,,50,,,CN,zhangchunlan,zhangchunlan,"(6,087 valutazioni)",6087,4.356990307212091,58414b39d914f56ad2890f45,,,https://www.wish.com/c/5db7de0882e54c02a929b33a,https://canary.contestimg.wish.com/api/webimage/5db7de0882e54c02a929b33a-medium.jpg,5db7de0882e54c02a929b33a
2PCS MT3608 DC-DC 2V-24V to 5V-28V 2A Step Up Boost Converter Power Supply Module ,2PCS MT3608 DC-DC 2V-24V to 5V-28V 2A Step Up Boost Converter Power Supply Module ,3.47,CHF,5.0,CHF,3.81,1000,,,4.572093023255814,430.0,322,69,17,7,15,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,DIY Components Maker International,electroncomponentsupermarket,"96% Positive Feedback (7,292 ratings)",7292,4.623971475589688,5b8500eab0c3fa28d5a56c69,,,https://www.wish.com/c/5de5bdbaeb45cadb9107564f,https://canary.contestimg.wish.com/api/webimage/5de5bdbaeb45cadb9107564f-medium.jpg,5de5bdbaeb45cadb9107564f
