title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
"Wii-Fernbedienung, integrierte Motion Plus-Fernbedienung und Nunchuck-Controller + Hülle für Nintendo Wii & Wii U.","Wii Remote, Built In Motion Plus Remote And Nunchuck Controller+Case For Nintendo Wii&Wii U",18.0,CHF,18.0,CHF,19,1000,,,4.346456692913386,127.0,88,19,7,2,11,,,,,,black,wirelessremote,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,CN,beautylife20,beautylife20,(384 Bewertungen),384,3.953125,5ea7eda80bd2c3425ab1dde4,,,https://www.wish.com/c/5f2b6ec6741e9b004fdf1408,https://canary.contestimg.wish.com/api/webimage/5f2b6ec6741e9b004fdf1408-medium.jpg,5f2b6ec6741e9b004fdf1408
"Knitting hands to start step by step: a crochet lesson of needle story, seed paper","Knitting hands to start step by step: a crochet lesson of needle story, seed paper",25.0,CHF,25.0,CHF,27.0,0,,,5.0,0.0,,,,,,,,,,,,,1,Livraison standard,18.1,false,,1,true,Quantité limitée !,KR,atcmart,atcmart,67 % avis positifs (6 notes),6,3.8333333333333335,5fe2119d5265268f81dec682,,,https://www.wish.com/c/6001d4815aef500044aab55e,https://canary.contestimg.wish.com/api/webimage/6001d4815aef500044aab55e-medium.jpg,6001d4815aef500044aab55e
Form für Garten Steinweg Pflaster Walk Maker DIY wiederverwendbare Beton Zementform Auffahrt Pflasterung Stepping Brick Maker,Mould For Garden Stone Path Pavement Walk Maker DIY Reusable Concrete Cement Mold Driveway Paving Stepping Brick Maker,11.0,CHF,11.0,CHF,11,10,,,4.166666666666667,6.0,4,1,0,0,1,,,,,,,i,50,Livraison standard,2.0,false,,50,,,CN,Xingovera,xingovera,"87% Positives Feedback (9,538 Bewertungen)",9538,4.145837701824282,5b2c58018bc0ae18f65ecbc0,,,https://www.wish.com/c/5dab4134809b2f17a159ffd6,https://canary.contestimg.wish.com/api/webimage/5dab4134809b2f17a159ffd6-medium.jpg,5dab4134809b2f17a159ffd6
Black&Grey Floor Fitness Aerobic Step Cardio Yoga Pedal Stepper Gym Workout Exercise Yoga Fitness Aerobic Step Equipment,Black&Grey Floor Fitness Aerobic Step Cardio Yoga Pedal Stepper Gym Workout Exercise Yoga Fitness Aerobic Step Equipment,63.0,CHF,63.0,CHF,69.0,0,,,5.0,0.0,,,,,,,,,,,,m,25,Livraison Express,12.0,true,,50,true,Quantité limitée !,CN,leoflake,leoflake,"91 % avis positifs (12,954 notes)",12954,4.321290721012814,59a3bc8cb7717313b7e92194,,,https://www.wish.com/c/607803a8b3e4fc980ddd47c9,https://canary.contestimg.wish.com/api/webimage/607803a8b3e4fc980ddd47c9-medium.jpg,607803a8b3e4fc980ddd47c9
"Ensemble de forets étagés revêtus de titane HSS, outils de forage à cône à tige hexagonale",HSS Titanium Coated Step Drill Bit set Hex Shank Step Cone Drilling Tools,16.0,CHF,16.0,CHF,17,1000,,,4.264084507042254,284.0,167,59,39,4,15,,,,,,,1set(4-32mm&4-20mm&4-12mm),50,Livraison standard,5.0,false,,50,,,CN,greatfavor,greatfavor,"90 % avis positifs (10,166 notes)",10166,4.2349006492229,59846ab5d9d6a476dd10dbb1,,,https://www.wish.com/c/5df99485d8217a03fd705f9e,https://canary.contestimg.wish.com/api/webimage/5df99485d8217a03fd705f9e-medium.jpg,5df99485d8217a03fd705f9e
Nouveau 7.5 ML vernis à ongles 122 couleurs UR sucre Gel vernis à ongles Semi Permanent tremper hors UV Gel couleurs Nail Art Gel vernis,New 7.5ML Nail Polish  122 Colors UR SUGAR Gel Nail Polish Semi Permanent Soak Off UV Gel Colors Nail Art Gel Varnish,2.0,CHF,15.0,CHF,2,5000,,,4.032520325203252,123.0,74,14,15,5,15,,,,,,,zj-basecoat,50,Livraison standard,1,false,,50,true,Quantité limitée !,US,hablantina,hablantina,90 % avis positifs (262 notes),262,4.347328244274809,5fcdfd071673b1450f31ee44,,,https://www.wish.com/c/5fd3324aca3aa82e34945262,https://canary.contestimg.wish.com/api/webimage/5fd3324aca3aa82e34945262-medium.jpg,5fd3324aca3aa82e34945262
2 in 1 Arm and Leg Training Exercise Bike Step Machine Home Gym Pedal Bikes Indoor Exerciser (Size: 40X35cm),2 in 1 Arm and Leg Training Exercise Bike Step Machine Home Gym Pedal Bikes Indoor Exerciser (Size: 40X35cm),51.0,CHF,51.0,CHF,56.0,0,,,5.0,0.0,,,,,,,,,,,,,5,Livraison Express,12.0,true,,5,,,CN,meanduo,meanduo,"92 % avis positifs (9,789 notes)",9789,4.382367964041271,59fa8454518c1c7482e3e06c,,,https://www.wish.com/c/607e52f6441cdb9def290a92,https://canary.contestimg.wish.com/api/webimage/607e52f6441cdb9def290a92-medium.jpg,607e52f6441cdb9def290a92
Tortue Tremplin Moule Béton Ciment Moule Tortue Jardin Chemin Noir ABS En Plastique Moule,Turtle Stepping Stone Mold Concrete Cement Mould Tortoise Garden Path Black ABS Plastic Mould,22.0,CHF,22.0,CHF,24,10,,,5.0,1.0,1,0,0,0,0,,,,,,,1pc,50,Livraison standard,6.0,false,,50,,,CN,qianqiannuzhuang,qianqiannuzhuang,86 % avis positifs (198 notes),198,4.08080808080808,5ac474849c15ff6205aa7db7,,,https://www.wish.com/c/5f86b7ac6750a7003dc75881,https://canary.contestimg.wish.com/api/webimage/5f86b7ac6750a7003dc75881-medium.jpg,5f86b7ac6750a7003dc75881
Gerber Organic Fruit & Veggie Step 2 99g,Gerber Organic Fruit & Veggie Step 2 99g,32.0,CHF,32.0,CHF,35.0,0,,,5.0,0.0,,,,,,,,,,,,,37,Livraison standard,9.0,false,,37,,,KR,ThinkerValue,thinkervalue,67 % avis positifs (3 notes),3,3.6666666666666665,5fc5ff4c3e691f2727facac4,,,https://www.wish.com/c/5fe2a92b046aef3a8e9b9cbc,https://canary.contestimg.wish.com/api/webimage/5fe2a92b046aef3a8e9b9cbc-medium.jpg,5fe2a92b046aef3a8e9b9cbc
Aonijie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8d71e3eb31f9a6cce12c61,,5f8d71e3eb31f9a6cce12c61
Neuer 3-in-1-Haartrockner & Lockenwickler & Kamm Ein-Schritt-Heißluftbürste Elektrische Föhnbürste Negativer Ionen-Haarglätter Lockenwickler Styling Styler Multifunktionaler Salon Anti-Verbrühungs-Frizz reduzieren,New 3-in-1 Hair Dryer & Hair Curler & Comb One Step Hot Air Brush Electric Blow Dryer Brush Negative Ion Hair Straightener Curler Styling Styler Multi-functional Salon Anti-Scald Reduce Frizz,18.0,CHF,219.0,CHF,19,1000,,,4.068376068376068,234.0,132,44,24,10,24,,,,,,coolblack,auplug,4,Livraison standard,6.0,false,,50,,,US,mywtech,mywtech,"(2,229 Bewertungen)",2229,4.233288470165994,59885fb535e73b7875928ba7,,,https://www.wish.com/c/5e55e0c158d6020781aa8ac4,https://canary.contestimg.wish.com/api/webimage/5e55e0c158d6020781aa8ac4-medium.jpg,5e55e0c158d6020781aa8ac4
"Solar Deck Lights 4/8/12/16 Pcs Solar Step Lights Wasserdichte LED-Solarzaunlampe für Terrassen, Treppen, Gartenwege, Stufen und Zäune (warmweiß)","Solar Deck Lights 4/8/12/16 Pcs Solar Step Lights Outdoor Waterproof Led Solar Fence Lamp for Patio, Stairs,Garden Pathway, Step and Fences(Warm White)",19.0,CHF,146.0,CHF,20,10,,,4.358974358974359,39.0,26,7,2,2,2,,,,,,brown,4pcs,50,Livraison standard,6.0,false,,50,,,CN,fenghongguo88,fenghongguo88,"91% Positives Feedback (22,538 Bewertungen)",22538,4.344617978525157,5d3fd39ce4b65d2e4de599a1,,,https://www.wish.com/c/5e9fed7719a03f034e1fff38,https://canary.contestimg.wish.com/api/webimage/5e9fed7719a03f034e1fff38-medium.jpg,5e9fed7719a03f034e1fff38
Oberton Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5edb7770eb31f904715152ec,,5edb7770eb31f904715152ec
Skywolfeye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f94096590b8a6379ab5c932,,5f94096590b8a6379ab5c932
Yoga Demi-boule Appareil de Conditionnement Physique Exercice Équilibre Balle Point De Massage Pierres Trépieds Bosu Balance Pods,Yoga Half Ball Physical Fitness Appliance Exercise Balance Ball Point Massage Stepping Stones Bosu Balance Pods,15.0,CHF,166.0,CHF,16,10,,,5.0,2.0,2,0,0,0,0,,,,,,red,,50,Livraison standard,5.0,false,,50,,,CN,Happy day man,happydayman,"92 % avis positifs (4,361 notes)",4361,4.332033937170373,5874f663838c484d5fbf3349,,,https://www.wish.com/c/58d144aeb59dc46d40f2c009,https://canary.contestimg.wish.com/api/webimage/58d144aeb59dc46d40f2c009-medium.jpg,58d144aeb59dc46d40f2c009
3 pièces HSS acier titane cône étape forets trou outils de coupe en acier travail du bois bois métal forage ensemble 3-12mm 4-12mm 4-20mm,3pcs HSS Steel Titanium Cone Step Drill Bits Hole Cutting Tools Steel Woodworking Wood Metal Drilling Set 3-12mm 4-12mm 4-20mm,10.0,CHF,10.0,CHF,11,10,,,4.530120481927711,83.0,57,16,8,1,1,,,,,,gold,0.5kg,50,Livraison standard,3.0,false,,50,,,CN,GZ KWOK E-COMMENCE LIMITED,广州过客电子商务有限公司,"96 % avis positifs (24,363 notes)",24363,4.53421171448508,55f543effb4f694279fe8605,,,https://www.wish.com/c/5669371774c8b645fa6d9643,https://canary.contestimg.wish.com/api/webimage/5669371774c8b645fa6d9643-medium.jpg,5669371774c8b645fa6d9643
