title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Bijoux de Marque Noble Naturel Bague en Argent 925 Rouge Rubis Rouge 5.86CT ,Noble Brand Jewelry Natural 5.86CT Red Ruby Gemstone 925 Sterling Silver Ring ,4.23,CHF,93.0,CHF,4.66,20000,,,4.45136186770428,4883.0,3433,740,370,161,179,,,,,,red,6,50,Livraison standard,1.0,false,,50,,,CN,yiwushichamushangpu,义乌市茶木商铺,"90 % avis positifs (22,661 notes)",22661,4.310798287807246,569343b43a698c150735a057,,,https://www.wish.com/c/58492743bdf5e44ef6180322,https://canary.contestimg.wish.com/api/webimage/58492743bdf5e44ef6180322-medium.jpg,58492743bdf5e44ef6180322
16-30inches 8 Größen Snake Fine 925 Sterling Silber Italien Mode Halskette Ketten mit Hummerverschlüssen Link für Charms Anhänger Hochzeitsfeier trendigen Schmuck,16-30inches 8 Sizes Snake Fine 925 Sterling Silver Italy Fashion Necklace Chains With Lobster Clasps Link for Charms Pendant Wedding Party trendy Jewelry,4.37,CHF,5.0,CHF,4.8100000000000005,1000,,,4.1873015873015875,315.0,194,55,26,11,29,,,,,,silver,16inch,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,fantasy beauty international,fantasybeautyinternational,"(63,675 Bewertungen)",63675,4.370804868472713,53b237f7ff4d6d2881574798,,,https://www.wish.com/c/5525207c67233c099f82a7f3,https://canary.contestimg.wish.com/api/webimage/5525207c67233c099f82a7f3-medium.jpg,5525207c67233c099f82a7f3
100 pièces en argent sterling 925 butoirs arrière boucles d'oreilles résultats de bijoux,100PCS 925 Sterling Silver BACK STOPPERS Earrings Jewelry Findings,3.0,CHF,10.0,CHF,3,1000,,,4.650326797385621,306.0,240,44,11,3,8,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,Li Ping Jewelry,lipingjewelry,"91 % avis positifs (26,059 notes)",26059,4.328792355807974,56e3e458b7eef6584348d274,,,https://www.wish.com/c/587f5c25ad16174fa4cebab7,https://canary.contestimg.wish.com/api/webimage/587f5c25ad16174fa4cebab7-medium.jpg,587f5c25ad16174fa4cebab7
Femmes Chic 925 Argent Sterling Naturel Pierres Précieuses Perle Blanc Saphir Anneau Marque Bijoux,Women Chic 925 Sterling Silver Natural Gemstone Pearl White Sapphire Ring Brand Jewelry,4.42,CHF,5.0,CHF,4.86,1000,,,4.4391727493917275,822.0,584,124,45,29,40,,,,,,white,6,50,Livraison standard,1.0,false,,50,,,CN,Youii,youii,"91 % avis positifs (68,984 notes)",68984,4.354879392322857,56234d9e931ea940bcb29b80,,,https://www.wish.com/c/5782fe16b564f377dc211bdf,https://canary.contestimg.wish.com/api/webimage/5782fe16b564f377dc211bdf-medium.jpg,5782fe16b564f377dc211bdf
"Boucles d'oreilles en diamant en argent sterling 925, boucles d'oreilles personnalisées incrustées de diamants en or 18 carats pour les femmes Boucles d'oreilles de fiançailles Bijoux d'anniversaire de mode","925 Sterling Silver Diamond Earrings, 18K gold diamond inlaid personalized earrings for women's engagement Earrings Fashion anniversary jewelry",2.42,CHF,11.0,CHF,2.66,1000,,,4.403846153846154,104.0,70,17,10,3,4,,,,,,,rosegold.,50,Livraison standard,1,false,,50,,,CN,Aiping jewelry company,aipingjewelrycompany,85 % avis positifs (658 notes),658,4.0820668693009114,5de6044520d377027b1f38e0,,,https://www.wish.com/c/5fa79ead50f233003f4e9d1f,https://canary.contestimg.wish.com/api/webimage/5fa79ead50f233003f4e9d1f-medium.jpg,5fa79ead50f233003f4e9d1f
"Bague de fiançailles en argent sterling massif 925, ensemble de bagues de mariée avec boîte de bagues sans zircone cubique de haute qualité",Solid Sterling Silver 925 Engagement Ring Set Bridal Rings with High Quality Cubic Zirconia Free Ring Box,32.0,CHF,182.0,CHF,35,1000,,,4.548349056603773,848.0,647,103,48,16,34,,,,,,,5,12,Livraison standard,9.0,false,,50,,,,Jewelry Hub,metalmastersco,"96 % avis positifs (34,020 notes)",34020,4.578012933568489,520bf6eb7360460831d5f7c8,,,https://www.wish.com/c/5217ea461c23882fbdbe00ed,https://canary.contestimg.wish.com/api/webimage/5217ea461c23882fbdbe00ed-medium.jpg,5217ea461c23882fbdbe00ed
"Personnalité en argent sterling 925 pour femmes, déformation de l'enroulement, feuilles, mode, créativité, bagues, fiançailles, mariage, banquet, haute joaillerie, cadeau de noël",Personality 925 Sterling Silver Women's Winding Distortion Leaves Fashion Creativity Rings Bridal Engagement Wedding Banquet Party High Jewelry Christmas Gift Size 5-10,2.43,CHF,3.0,CHF,2.67,10,,,4.609756097560975,82.0,61,11,9,1,0,,,,,,,5,50,Livraison standard,1,false,,50,,,CN,xingqingyan,xingqingyan,89 % avis positifs (352 notes),352,4.235795454545454,5eb51d67d2f96d20c73d0670,,,https://www.wish.com/c/5f34d38e337af106f1b139f5,https://canary.contestimg.wish.com/api/webimage/5f34d38e337af106f1b139f5-medium.jpg,5f34d38e337af106f1b139f5
Moda mulher motociclista ônix preto motocicleta coração asa anel 925 prata esterlina punk festa anéis joias de casamento presente tamanho 5-12,Fashion Woman Biker Black Onyx Motorcycle Heart Wing Ring 925 Sterling Silver Punk Party Rings Wedding Jewelry Gift Size 5-12,2.46,CHF,53.0,CHF,2.71,1000,,,4.163043478260869,92.0,55,11,17,4,5,,,,,,silver,5,50,Livraison standard,1,false,,50,,,CN,The latest fashion charm boutiques,thelatestfashioncharmboutiques,"86% Feedback positivo (7,509 avaliações)",7509,4.11825809029165,5d3f02f583889708190e47ab,,,https://www.wish.com/c/5e8fe01bbb09f603109f5391,https://canary.contestimg.wish.com/api/webimage/5e8fe01bbb09f603109f5391-medium.jpg,5e8fe01bbb09f603109f5391
"Ensemble de bande de bague de mariage de fiançailles de promesse de mariage en argent sterling avec 2,00 carats de zircone cubique CZ Center Stone et Princess CZ Set",Sterling Silver 2-Pc Bridal Promise Engagement Wedding Ring Band Set with 2.00 Carat Round Cubic Zirconia CZ Center Stone and Princess Cut CZ Set,38.0,CHF,273.0,CHF,41,1000,,,4.505277044854881,758.0,573,94,32,19,40,,,,,,,5,12,Livraison standard,11.0,false,,50,,,,Jewelry Hub,metalmastersco,"96 % avis positifs (34,020 notes)",34020,4.578012933568489,520bf6eb7360460831d5f7c8,,,https://www.wish.com/c/538cef082413660d9649921a,https://canary.contestimg.wish.com/api/webimage/538cef082413660d9649921a-medium.jpg,538cef082413660d9649921a
Véritable collier en argent sterling 925 pierre de lune perle colliers et pendentifs pour les femmes fait à la main 925 bijoux de mode en argent Sterling,Real 925 sterling silver necklace Moonstone Bead Necklaces & Pendants For Women Handmade 925 Sterling Silver Fashion Jewelry,13.0,CHF,13.0,CHF,14.0,2,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,0.0,false,,50,,,CA,Loom,loom,81 % avis positifs (403 notes),403,4.054590570719603,60108516d38ac0468d48a860,,,https://www.wish.com/c/6018172dd52e37003e122060,https://canary.contestimg.wish.com/api/webimage/6018172dd52e37003e122060-medium.jpg,6018172dd52e37003e122060
