title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Kreative Snacks Typ Plüschtasche Taille Kissen Süße Mini-Tiere Schweinepuppe Sakura Häschen Katze Gefüllte Spielzeug Kissen Geschenk,Creative Snacks Type Plushie Bag Waist Cushion Cute Mini Animals Pig Doll Sakura Bunny Cat Stuffed Toys Pillow Gift ,21.0,CHF,21.0,CHF,23,10,,,5.0,9.0,9,0,0,0,0,,,,,,,rabit,50,Livraison standard,6.0,false,,50,,,CN,Ms Rou,rosaselectedtextiledecorationshop,(898 Bewertungen),898,4.489977728285078,5af50c2bfbf60d6859985470,,,https://www.wish.com/c/5f841a8156989323a36fc14e,https://canary.contestimg.wish.com/api/webimage/5f841a8156989323a36fc14e-medium.jpg,5f841a8156989323a36fc14e
30 CM / 50 CM Mignon Lapin En Peluche Poupée Lapin Jouets Animal En Peluche Bébé Accompagner Sommeil Jouet Cadeaux pour Enfants Filles,30CM/50CM Cute Rabbit Plush Doll Bunny Toys Stuffed Animal Baby Accompany Sleep Toy Gifts for Kids Girls,8.0,CHF,91.0,CHF,8,10,,,4.765625,64.0,55,6,1,1,1,,,,,,pink,30cm,50,Livraison standard,2.0,false,,50,,,CN,Two cats Hobby,twocatshobby,"94 % avis positifs (16,077 notes)",16077,4.454500217702308,58c690d698a470019afc7d87,,,https://www.wish.com/c/5d47e4bf87d0692c1fb70eee,https://canary.contestimg.wish.com/api/webimage/5d47e4bf87d0692c1fb70eee-medium.jpg,5d47e4bf87d0692c1fb70eee
Niedlicher Plüsch Anime Weiche Kuscheltierpuppe Snorlax Plüschtier Kissen Kissenbett NUR ABDECKUNG MIT REISSVERSCHLUSS,Cute Plush Anime Soft Stuffed Animal Doll Snorlax Plush Toys Pillow Bed ONLY COVER WITH ZIPPER,26.0,CHF,26.0,CHF,28,10,,,4.288888888888889,45.0,29,7,4,3,2,,,,,,,size80cm,35,Livraison standard,8.0,false,,50,,,CN,czyouth0203,czyouth0203,"90% Positives Feedback (6,089 Bewertungen)",6089,4.261783544095911,59e998e4ef7b8913e4831544,,,https://www.wish.com/c/5c8f091759e738481a22299b,https://canary.contestimg.wish.com/api/webimage/5c8f091759e738481a22299b-medium.jpg,5c8f091759e738481a22299b
"Celestial Buddies Our Precious Planet, a Larger (9â Diameter) Plush Toy","Celestial Buddies Our Precious Planet, a Larger (9â Diameter) Plush Toy",25.0,CHF,25.0,CHF,26.99,0,,,5.0,0.0,,,,,,,,,,,,,2,Livraison standard,15.95,false,,2,,,US,Atharva Products,atharvaproducts,"96 % avis positifs (3,602 notes)",3602,4.667406996113271,5733bba675f50319c6a1f3b3,,,https://www.wish.com/c/5f371eddc9631900504966bb,https://canary.contestimg.wish.com/api/webimage/5f371eddc9631900504966bb-medium.jpg,5f371eddc9631900504966bb
Licorne Walking Sing en peluche peluche licorne multicolore,Unicorn Walking Sing Stuffed Plush Toy multicolored  unicorn pet,23.0,CHF,23.0,CHF,25,10,,,4.5,2.0,1,1,0,0,0,,,,,,pink,,50,Livraison standard,7.0,false,,50,true,Quantité limitée !,CN,"Yancheng Azer Trade Co., LTD",azerchina,"91 % avis positifs (1,060 notes)",1060,4.331132075471698,54856ec534719132d9dd3ae1,,,https://www.wish.com/c/5e628bf7ba0cbc86ad05a144,https://canary.contestimg.wish.com/api/webimage/5e628bf7ba0cbc86ad05a144-medium.jpg,5e628bf7ba0cbc86ad05a144
2020 NEU Fire Lizard Elves Salamander Plüschtier Gefüllte Puppenpuppe für Kinder Kinder Kinder,2020 NEW Fire Lizard Elves Salamander Plush Toy Stuffed Doll Doll for Kid Child Kids,9.0,CHF,9.0,CHF,9,10,,,4.554054054054054,74.0,57,7,7,0,3,,,,,,,c,9,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,bdssf,bdssf,"(4,590 Bewertungen)",4590,4.2821350762527235,58ce8d76e65b315071f91f5f,,,https://www.wish.com/c/5ee07214df485030b383c029,https://canary.contestimg.wish.com/api/webimage/5ee07214df485030b383c029-medium.jpg,5ee07214df485030b383c029
30 / 40CM Super süße Koala Faultier Puppe Schlafkissen Plüsch Tier Kinder Geburtstagsgeschenk Paar Geschenk Cartoon Tier Spielzeug Plüschtier Kinderspielzeug Schlafen Ragdoll Kuscheltier Spielzeug für Kinder,30 / 40CM Super Cute Koala Sloth Doll Sleeping Pillow Plush Animal Kids Birthday Gift Couple Gift Cartoon Animal Toy Plush Toy Child Toy Sleeping Ragdoll Stuffed Animal Toy for Kids,12.0,CHF,46.0,CHF,13,10,,,4.75,4.0,3,1,0,0,0,,,,,,grey,3ocm,1,Livraison standard,3.0,false,,1,true,Quantité limitée !,CN,NuoxiejiaoyanJSd,nuoxiejiaoyanjsd,93% Positives Feedback (266 Bewertungen),266,4.462406015037594,5deb0b69afb5c2036a7c5b88,,,https://www.wish.com/c/5e1abb40dbdd722d68f0b510,https://canary.contestimg.wish.com/api/webimage/5e1abb40dbdd722d68f0b510-medium.jpg,5e1abb40dbdd722d68f0b510
25cm Cartoon Plüsch Gefülltes Puppenspielzeug für Kinder Baby Geburtstagsgeschenk,25cm Cartoon Plush Stuffed Doll Toy for Children Baby Birthday Gift,8.0,CHF,8.0,CHF,8,10,,,4.6,10.0,8,1,0,1,0,,,,,,,blue,50,Livraison standard,2.0,false,,50,,,CN,hjhjkhk,hjhjkhk,"89% Positives Feedback (1,992 Bewertungen)",1992,4.252008032128514,5d59345d1d86297e3042ebfa,,,https://www.wish.com/c/5ee484e8da9606212c780f37,https://canary.contestimg.wish.com/api/webimage/5ee484e8da9606212c780f37-medium.jpg,5ee484e8da9606212c780f37
Nat and Jules Sitting Small French Bulldog Light Brown And White Children's Plush Stuffed Animal,Nat and Jules Sitting Small French Bulldog Light Brown And White Children's Plush Stuffed Animal,18.0,CHF,18.0,CHF,18.95,0,,,5.0,0.0,,,,,,,,,,,multicolor,,2,Livraison standard,15.95,false,,2,,,US,Atharva Products,atharvaproducts,"96 % avis positifs (3,602 notes)",3602,4.667406996113271,5733bba675f50319c6a1f3b3,,,https://www.wish.com/c/5f7687c4707f3c0044234f8f,https://canary.contestimg.wish.com/api/webimage/5f7687c4707f3c0044234f8f-medium.jpg,5f7687c4707f3c0044234f8f
Nuovo cane di simulazione Yorkie Dog Realistic Puppy Toy Dog Puppy Realistico farcito Companion Toy Pet Dog Handcrafted,New Simulation Dog Yorkie Dog Realistic Puppy Toy Dog Puppy Lifelike Stuffed Companion Toy Pet Dog Handcrafted,23.0,CHF,23.0,CHF,25,10,,,1.0,1.0,0,0,0,0,1,,,,,,,style1-electric.,6,Livraison standard,7.0,false,,50,,,CN,zwyouth41,zwyouth41,"(2,001 valutazioni)",2001,3.9880059970014994,58d75be3c430d8535aebbbc9,,,https://www.wish.com/c/5f9bbbbb24dcf5145785c306,https://canary.contestimg.wish.com/api/webimage/5f9bbbbb24dcf5145785c306-medium.jpg,5f9bbbbb24dcf5145785c306
