title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
3-12V 12W 1.2A AC / DC Adaptateur d'alimentation Adaptateur de chargeur universel avec 6 fiches Adaptateur d'alimentation régulé réglable,3-12V 12W 1.2A AC/DC Power Supply Adaptor Universal Charger Adaptor with 6 Plugs Adjustable Regulated Power Adapter,10.0,CHF,10.0,CHF,11,10,,,4.4,25.0,17,3,4,0,1,,,,,,,uk,50,Livraison standard,3.0,false,,50,,,CN,JKHDFIKJSD,jkhdfikjsd,"76 % avis positifs (3,091 notes)",3091,3.738272403752831,5da2cbcdc095e11e44d17625,,,https://www.wish.com/c/5f5b43e10120fd18d9dd3d0a,https://canary.contestimg.wish.com/api/webimage/5f5b43e10120fd18d9dd3d0a-medium.jpg,5f5b43e10120fd18d9dd3d0a
"Grand lit pour chien, lits, animaux domestiques, canapés, chiens, fournitures pour animaux de compagnie, griffes, chats, chien Knnel, tapis de chat","Large Dog Bed, Beds, Pets, Sofas, Dogs, Pet Supplies, Claws, Cats, Dog Knnel, Cat Mat",22.0,CHF,32.0,CHF,24,10,,,3.7176470588235295,85.0,41,10,13,11,10,,,,,,rose,s.,50,Livraison standard,6.0,false,,50,,,CN,store513,store513,"94 % avis positifs (12,002 notes)",12002,4.479003499416764,59c9c47515da071c3b66d7d5,,,https://www.wish.com/c/5b9627dcf8c22c164cca4a4b,https://canary.contestimg.wish.com/api/webimage/5b9627dcf8c22c164cca4a4b-medium.jpg,5b9627dcf8c22c164cca4a4b
2021 Neues Upgrade 18 Farben 6/4/2 / 1St. Stuhlbezug Abnehmbarer dünner Stuhlbezug aus massivem Stretch Bankettsitzbezug Waschbare Schonbezüge Home Hotelzubehör Geschenke,2021 New Upgrade 18 Colors 6/4/2/1pcs Chair Cover Detachable Thin Solid Stretch Chair Cover Banquet Seat Cover Washable Slipcovers Home Hotel Supplies Gifts,5.33,CHF,15.0,CHF,5.87,10,,,4.5227272727272725,44.0,30,8,5,1,0,,,,,,green,packof1pc,1,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Qin1992Tang,qin1992tang,(306 Bewertungen),306,4.245098039215686,5d5382b415275429b303e325,,,https://www.wish.com/c/5fa28f5cfaddb05a78865dd5,https://canary.contestimg.wish.com/api/webimage/5fa28f5cfaddb05a78865dd5-medium.jpg,5fa28f5cfaddb05a78865dd5
120 couleur croquis marqueur alcool marqueurs Art dessin Manga double conseils marqueur stylo ensemble noir corps Art fournitures pour artiste,120Color Sketch Marker Alcohol Markers Art Drawing Manga Dual Tips Marker Pen Set Black Body Art Supplies for Artist,12.0,CHF,12.0,CHF,13,10,,,4.014388489208633,139.0,71,30,16,13,9,,,,,,multicolor,18pcs,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,Deffidrcie,deffidrcie,84 % avis positifs (127 notes),127,3.937007874015748,5f3b8287de75dffdd8ccdf9e,,,https://www.wish.com/c/5f4611ad5c85a9109b4caa3e,https://canary.contestimg.wish.com/api/webimage/5f4611ad5c85a9109b4caa3e-medium.jpg,5f4611ad5c85a9109b4caa3e
BDSM Fetisch Seil 10M Sexspielzeug provokative Alternative liefert Baumwolle Seile Bondage bequeme Kit Body Sex Spiel,BDSM Fetish rope 10M sex toys provocative alternative supplies cotton tied ropes bondage comfortable kit body sex game,4.0,CHF,181.0,CHF,4,1000,,,4.352631578947369,190.0,126,32,16,5,11,,,,,,black,1m,7,Livraison standard,1.0,false,,50,,,CN,zzzzzy1894,zzzzzy1894,89% Positives Feedback (827 Bewertungen),827,4.151148730350665,5d3d1ebae13a7e7b90f35bfe,,,https://www.wish.com/c/5e59f85ec43f010e4064f22c,https://canary.contestimg.wish.com/api/webimage/5e59f85ec43f010e4064f22c-medium.jpg,5e59f85ec43f010e4064f22c
10 supports de support de tasse à crochet pour insérer les tasses à café Cuisine nouvelles fournitures,10 Hook Cup Hanging Bracket Holders For Insetting Coffee Cups Kitchen New Supplies,13.0,CHF,13.0,CHF,14,1000,,,4.033816425120773,414.0,228,74,49,24,39,,,,,,,,50,Livraison standard,3.0,false,,50,,,CN,xushu,xushu,"(21,119 notes)",21119,4.329892513850088,58edf2883ef7bc22e55eb4d6,,,https://www.wish.com/c/59265563609fe240511d8994,https://canary.contestimg.wish.com/api/webimage/59265563609fe240511d8994-medium.jpg,59265563609fe240511d8994
Seagate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5eda25f290b8a631048f8bc3,,5eda25f290b8a631048f8bc3
Pet Dog Automatic Feeder Katzentrinker Hundenapf Katzenbecken Wasserfutter Hundefutter Spender Kombination Aufbewahrungseimer Tierbedarf,Pet Dog Automatic Feeder Cat Drinker Dog Bowl Cat Basin Water Feed Dog Food Dispenser Combination Storage Bucket Pet supplies,15.0,CHF,15.0,CHF,16,10,,,3.76,25.0,12,4,4,1,4,,,,,,white,1pieces-feedforwater,50,Livraison standard,5.0,false,,50,,,CN,TER MALL,termall,"94% Positives Feedback (27,688 Bewertungen)",27688,4.409058075700664,57f4741d1269d538570692f8,,,https://www.wish.com/c/5f575532deefa7be0f182185,https://canary.contestimg.wish.com/api/webimage/5f575532deefa7be0f182185-medium.jpg,5f575532deefa7be0f182185
DC DC Buck Boost Converter CC 1.8-32V 5A Power Module Adjustable Regulated Laboratory Power Supply Variable,DC DC Buck Boost Converter CC 1.8-32V 5A Power Module Adjustable Regulated Laboratory Power Supply Variable,33.0,CHF,33.0,CHF,36,2,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,10.0,false,,50,true,Quantité limitée !,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80% feedback positivi (1,166 recensioni)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/600026447167c66bbd7d228c,https://canary.contestimg.wish.com/api/webimage/600026447167c66bbd7d228c-medium.jpg,600026447167c66bbd7d228c
Cooler Master N200 No Power Supply MicroATX Mini Case (Midnight Black),Cooler Master N200 No Power Supply MicroATX Mini Case (Midnight Black),193.0,CHF,193.0,CHF,212.0,0,,,5.0,0.0,,,,,,,,,,,,,31,Livraison standard,12.0,false,,31,,,US,shoppersshopllc,shoppersshopllc,,0,5.0,5a2a4ca3028bbd7ee51c63f3,,,https://www.wish.com/c/603a049e4924c3acd0fdbaaa,https://canary.contestimg.wish.com/api/webimage/603a049e4924c3acd0fdbaaa-medium.jpg,603a049e4924c3acd0fdbaaa
