title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
A small household 220V/110V European/USA standard single cylinder washing machine,A small household 220V/110V European/USA standard single cylinder washing machine,84.0,CHF,84.0,CHF,92.0,8,,,5.0,0.0,,,,,,,,,,,,euplug,8,Livraison Express,12.0,true,,17,,,CN,xiangladier,xiangladier,74% feedback positivi (99 recensioni),99,3.787878787878788,5edf3727e993325c4b53cc9d,,,https://www.wish.com/c/5f603416238df1a8ead39226,https://canary.contestimg.wish.com/api/webimage/5f603416238df1a8ead39226-medium.jpg,5f603416238df1a8ead39226
Serviette de plage 70x140cm Drapeau du Royaume-Uni Drapeau du Royaume-Uni Drapeau du Canada Serviettes de bain en microfibres du dollar canadien Serviettes de bain de salle de bain sèche serviette de plage,70x140cm Beach Towel USA Flag UK Flag Canadian Flag Dollar Microfiber Bath Towels Bathroom Drying Beach Towel,9.0,CHF,22.0,CHF,9,1000,,,4.377521613832853,347.0,226,62,37,8,14,,,,,,,usaflag,50,Livraison standard,3.0,false,,50,,,,freebird,fashionshow,"87 % avis positifs (852,711 notes)",852711,4.103545046328709,52bd3ddb34067e4620a4c62d,,,https://www.wish.com/c/5cb961586f321f6fb3450d04,https://canary.contestimg.wish.com/api/webimage/5cb961586f321f6fb3450d04-medium.jpg,5cb961586f321f6fb3450d04
1/2 Pcs Universal Motorcycle Bike American USA Flag Mastro de Malas Suporte para Bagagem,1/2 Pcs Universal Motorcycle Bike American USA Flag Flagpole Luggage Rack Mount ,18.0,CHF,30.0,CHF,19,3,,,5.0,0.0,,,,,,,,,,,black,1pc,3,Livraison standard,6.0,false,,4,true,Quantité limitée !,CN,Ryanti,ryanti,"91% Feedback positivo (22,989 avaliações)",22989,4.31175779720736,58787c0e7a5b4f4d4f361298,,,https://www.wish.com/c/5ebfa0f48eb3bd10d5bb5fc1,https://canary.contestimg.wish.com/api/webimage/5ebfa0f48eb3bd10d5bb5fc1-medium.jpg,5ebfa0f48eb3bd10d5bb5fc1
BZTANG Complete Tattoo Kit Motor Pen Machine 10 USA Color Inks Power Supply Set 10 Needles Professional ,BZTANG Complete Tattoo Kit Motor Pen Machine 10 USA Color Inks Power Supply Set 10 Needles Professional ,85.0,CHF,154.0,CHF,93.0,10,,,3.925,80.0,48,12,2,2,16,,,,,,black,,50,Livraison Express,17.0,true,,50,,,CN,ningbofeierguojishangmaoyouxiangongsi,宁波菲儿国际商贸有限公司,"(8,112 ratings)",8112,4.139669625246548,54a3a5b33b64454818a71589,,,https://www.wish.com/c/5eacefd77163e81ba1936f4d,https://canary.contestimg.wish.com/api/webimage/5eacefd77163e81ba1936f4d-medium.jpg,5eacefd77163e81ba1936f4d
Épinglette maçonnique épingles Badge broche Mason franc-maçon ruban USA drapeau 3.8 cm LPM62,Masonic Lapel Pins Badge Brooch Mason Freemason Ribbon USA Flag 3.8cm LPM62,4.24,CHF,5.0,CHF,4.67,10,,,4.5,8.0,6,0,2,0,0,,,,,,,,35,Livraison standard,1.0,false,,35,,,CN,"ES International Trade Co.,Ltd",esinternationaltradecoltd,95 % avis positifs (183 notes),183,4.5683060109289615,554575d40b73341e59551386,,,https://www.wish.com/c/5e135049bb8540b403d3c9c9,https://canary.contestimg.wish.com/api/webimage/5e135049bb8540b403d3c9c9-medium.jpg,5e135049bb8540b403d3c9c9
Graffiti and Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8c2060eb31f9c6391a6240,,5f8c2060eb31f9c6391a6240
Drapeau américain Eagle USA camion arrière hayon Wrap vinyle graphique autocollant autocollant,American Flag Eagle USA Truck Rear Tailgate Wrap Vinyl Graphic Decal Sticker,22.0,CHF,22.0,CHF,24,10,,,3.7777777777777777,27.0,14,2,4,5,2,,,,,,,,50,Livraison standard,6.0,false,,50,,,CN,Asyouwant,asyouwant,"91 % avis positifs (96,731 notes)",96731,4.284479639412391,567a3fd3574903489c238e3d,,,https://www.wish.com/c/5cf7321c71c428720e7cf282,https://canary.contestimg.wish.com/api/webimage/5cf7321c71c428720e7cf282-medium.jpg,5cf7321c71c428720e7cf282
PUERTO RICAN FLAGGE VON PUERTO RICO Banner USA Büro / Aktivität / Parade / Festival / Inneneinrichtung Wimpel 3x5 Fuß (90 cm * 166 cm),PUERTO RICAN FLAG OF PUERTO RICO Banner usa Office/Activity/parade/Festival/Home Decoration Pennants 3x5feet (90cm*166cm),5.17,CHF,6.0,CHF,5.6899999999999995,1000,,,4.746753246753247,308.0,265,23,12,1,7,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,"ShenZhen Hua Sheng Ling Xun Science and Technology Development Co., Ltd",shenzhenhuashenglingxunscienceandtechnologydevelopmentcoltd,"93% Positives Feedback (17,945 Bewertungen)",17945,4.38723878517693,5583877a51283567acf40510,,,https://www.wish.com/c/5831837a6452a31a33ce2bd3,https://canary.contestimg.wish.com/api/webimage/5831837a6452a31a33ce2bd3-medium.jpg,5831837a6452a31a33ce2bd3
Drapeau de l'état de Floride de 3 x 5 pieds - Couleurs vives et résistant à la décoloration UV - En-tête en toile et double couture - Drapeaux de l'État des États-Unis en polyester avec œillets en laiton,3x5 Foot Florida State Flag - Vivid Color and UV Fade Resistant - Canvas Header and Double Stitched - USA State Flags Polyester with Brass Grommets,6.0,CHF,6.0,CHF,6,10,,,4.5,26.0,19,3,3,0,1,,,,,,,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Morning Boat,morningboat,"96 % avis positifs (2,023 notes)",2023,4.56154226396441,5b7b761ae69c151aec5c57aa,,,https://www.wish.com/c/5d49935b25d4610f8818404b,https://canary.contestimg.wish.com/api/webimage/5d49935b25d4610f8818404b-medium.jpg,5d49935b25d4610f8818404b
90*150cm 3ft*5ft Polyester US U.S. FLAG USA American Stars Stripes US Stripes United States Grommets,90*150cm 3ft*5ft Polyester US U.S. FLAG USA American Stars Stripes United States Grommets,5.19,CHF,50.0,CHF,5.71,1000,,,4.636579572446556,421.0,318,68,24,7,4,,,,,,,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,ju ju min shop,jujuminshop,"91 % avis positifs (20,126 notes)",20126,4.337523601311736,58c3f6c99010f0504c95d1cc,,,https://www.wish.com/c/5c7ce12f6e93b11f207bc489,https://canary.contestimg.wish.com/api/webimage/5c7ce12f6e93b11f207bc489-medium.jpg,5c7ce12f6e93b11f207bc489
