title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Nouveau bricolage T-Shirt transfert de chaleur rouleau de vinyle tissu de repassage HTV presse peut imprimer Scrapbooking papier vinyle autocollant feuille d'artisanat outil,New DIY T-Shirt Heat Transfer Vinyl Roller Ironing Fabric HTV Press Can Print Scrapbooking Paper Vinyl Sticker Art Sheet Craft Tool,5.17,CHF,6.0,CHF,5.6899999999999995,1000,,,3.5833333333333335,60.0,27,11,5,4,13,,,,,,gold,1pcs,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,Xintianji,xintianji,"90 % avis positifs (11,657 notes)",11657,4.283520631380287,5b56db37a3759d19c42c4c33,,,https://www.wish.com/c/5c7e21c4128dbb706cdb31d0,https://canary.contestimg.wish.com/api/webimage/5c7e21c4128dbb706cdb31d0-medium.jpg,5c7e21c4128dbb706cdb31d0
3Tailles Vinyle Tissu Bling Photographie Glitter Noir Or Dots Toile de Fond Studio Fond Photo Props,3Sizes Vinyl Cloth Bling Photography Glitter Black Gold Dots Backdrop Studio Background Photo Props,8.0,CHF,137.0,CHF,8,10,,,3.94,50.0,27,8,6,3,6,,,,,,,3x5ft/0.9x1.5m,50,Livraison standard,3.0,false,,50,,,CN,zhangchenyuz,zhangchenyuz,"89 % avis positifs (3,066 notes)",3066,4.265166340508806,5b39ef60feaa1f178d0eadbc,,,https://www.wish.com/c/5cbc41e1119724489af4cd70,https://canary.contestimg.wish.com/api/webimage/5cbc41e1119724489af4cd70-medium.jpg,5cbc41e1119724489af4cd70
7 / 13pcs Auto Film Tool Auto Vinyl Aufkleber Schaber Kit Car Squeegee Auto Aufkleber Installation Kit Car Wrap Film Tools,7/13pcs Car Film Tool Auto Vinyl Stickers Scraper Kit Car Squeegee Car Stickers Installation Kit Car Wrap Film Tools,6.0,CHF,6.0,CHF,6,10,,,3.888888888888889,9.0,4,3,0,1,1,,,,,,,7pcs,50,Livraison standard,2.0,false,,50,,,CN,gaoyuanyuangao,gaoyuanyuangao,"92% Positives Feedback (3,696 Bewertungen)",3696,4.346861471861472,5986c31b8ee78d4353063b0f,,,https://www.wish.com/c/5ee9c3e4b296ba122bb813c6,https://canary.contestimg.wish.com/api/webimage/5ee9c3e4b296ba122bb813c6-medium.jpg,5ee9c3e4b296ba122bb813c6
30cm*20cm and 30cm*100cm Adhesive Clear Transfer Paper Tape Roll with Blue Grid Lines for Vinyl Decals Medium Tack DIY,30cm*20cm and 30cm*100cm Adhesive Clear Transfer Paper Tape Roll with Blue Grid Lines for Vinyl Decals Medium Tack DIY,2.48,CHF,3.0,CHF,2.73,10,,,5.0,0.0,,,,,,,,,,,blue,30cmx20cm,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,LZR0O,lzr0o,"94 % avis positifs (2,614 notes)",2614,4.428079571537873,5ed0a3f34606bb0b43cbe0ab,,,https://www.wish.com/c/605c4c359ff6d436e736876d,https://canary.contestimg.wish.com/api/webimage/605c4c359ff6d436e736876d-medium.jpg,605c4c359ff6d436e736876d
Crossweave Woven Vinyl Non-Slip Insulation Placemat Washable Table Mats(4/6pcs Placemats),Crossweave Woven Vinyl Non-Slip Insulation Placemat Washable Table Mats(4/6pcs Placemats),15.0,CHF,15.0,CHF,16,10,,,4.636363636363637,66.0,48,14,3,0,1,,,,,,silver&grey,4pcs/set,50,Livraison standard,5.0,false,,50,true,Quantité limitée !,CN,niuyubin123,andylife,90% Положителни отзиви (426 оценки),426,4.2981220657277,5b9359ac1d467722c5a1d48c,,,https://www.wish.com/c/5c931930b453e224ed8e7922,https://canary.contestimg.wish.com/api/webimage/5c931930b453e224ed8e7922-medium.jpg,5c931930b453e224ed8e7922
Outil de réparation de cuir universel Siège de voiture Canapé Manteaux Scratch No Heat Kit de réparation de vinyle en cuir liquide,Universal Leather Repair Tool Car Seat Sofa Coats Scratch No Heat Liquid Leather Vinyl Repair Kit,4.0,CHF,4.0,CHF,4,10,,,5.0,0.0,,,,,,,,,,,,20mlblack,50,Livraison standard,1.0,false,,50,,,CN,wuyox,wuyox,90 % avis positifs (10 notes),10,4.3,5fc60aefbee3db77d10449d4,,,https://www.wish.com/c/6057f8a271e6faa8ff314fe3,https://canary.contestimg.wish.com/api/webimage/6057f8a271e6faa8ff314fe3-medium.jpg,6057f8a271e6faa8ff314fe3
"Platines vinyle Hifi / pince d'enregistrement de disque stabilisateur en métal 50 / 60Hz vitesse de niveau à bulle, pince en alliage d'aluminium pour phonographe de lecteur de disque vinyle Lp",Vinyl Hifi Turntables/Metal Stabilizer Disc Record Clamp 50/ 60Hz Bubble Level Speed， Aluminum Alloy Clamp For Lp Vinyl Record Player Phonograph,18.0,CHF,18.0,CHF,19,10,,,5.0,2.0,2,0,0,0,0,,,,,,,black1,50,Livraison standard,5.0,false,,50,,,CN,chujiah,chujiah,92 % avis positifs (802 notes),802,4.395261845386534,5874850b6a0f7a22a5eaea00,,,https://www.wish.com/c/601ce904c0c7db51e10f21f8,https://canary.contestimg.wish.com/api/webimage/601ce904c0c7db51e10f21f8-medium.jpg,601ce904c0c7db51e10f21f8
1Mx3cm Sicherheits-Silber-Reflexionsband Bügeleisen auf Wärmeübertragungs-Vinyl-Filmaufklebern DIY-Klebeband für Kleidung Bunte Stern-Fußabdruck-Reflexionsbänder,1Mx3cm Safety Silver Reflective Tape Iron on Heat Transfer Vinyl Film Stickers DIY Tape for Clothing Colorful Star Footprint Reflective Tapes,3.34,CHF,4.0,CHF,3.6799999999999997,10,,,4.526315789473684,19.0,14,2,2,1,0,,,,,,silver,stripe,50,Livraison standard,1.0,false,,50,,,CA,Kid U Not,kidunot,"(8,984 Bewertungen)",8984,4.292631344612644,583d8625168b543c11ff97e9,,,https://www.wish.com/c/5fbf52881ca1215308b981ff,https://canary.contestimg.wish.com/api/webimage/5fbf52881ca1215308b981ff-medium.jpg,5fbf52881ca1215308b981ff
Règle de courbe flexible outil de dessin de dessin vinyle en plastique 30cm 40cm 50cm 60cm,Flexible Curve Ruler Drafting Drawing Tool Plastic Vinyl 30cm 40cm 50cm 60cm,6.0,CHF,6.0,CHF,6,10,,,4.4411764705882355,34.0,20,9,5,0,0,,,,,,,30cm,50,Livraison standard,2.0,false,,50,,,CN,Summer windy,summerwindy,"93 % avis positifs (16,261 notes)",16261,4.364922206506365,57be8d41c7a8e937ab0c347f,,,https://www.wish.com/c/594b7838dc9b7a1c1f54c4f8,https://canary.contestimg.wish.com/api/webimage/594b7838dc9b7a1c1f54c4f8-medium.jpg,594b7838dc9b7a1c1f54c4f8
Hibiscus Flower Hawaiian Auto LKW Fenster Laptop Vinyl Aufkleber Aufkleber (Rainbow Tie Dye),Hibiscus Flower Hawaiian Car Truck Window Laptop Vinyl Decal Sticker (Rainbow Tie Dye),2.42,CHF,3.0,CHF,2.66,10,,,4.390625,64.0,48,6,2,3,5,,,,,,red,"2.5""",50,Livraison standard,1,false,,50,,,CN,Worshiperstore,worshiperstore,"(4,123 Bewertungen)",4123,4.316759641038079,58f3648379cc7d11aa5efdd2,,,https://www.wish.com/c/5cff67262b18ce41d2d8eb38,https://canary.contestimg.wish.com/api/webimage/5cff67262b18ce41d2d8eb38-medium.jpg,5cff67262b18ce41d2d8eb38
