title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Dr Pepper is a woman T shirt dr pepper woman drpepper yum soda funny meme feminism dr pepper,Dr Pepper is a woman T shirt dr pepper woman drpepper yum soda funny meme feminism dr pepper,15.0,CHF,15.0,CHF,16,0,,,5.0,0.0,,,,,,,,,,,black,xs,50,Livraison standard,5.0,false,,50,,,US,Charisse Miller,charissemiller,,0,5.0,5e63893c982865732b847812,,,https://www.wish.com/c/601afc125e65237bc348d795,https://canary.contestimg.wish.com/api/webimage/601afc125e65237bc348d795-medium.jpg,601afc125e65237bc348d795
Bacon (Yum) Element  YMRT Funny T-shirts,Bacon (Yum) Element  YMRT Funny T-shirts,17.0,CHF,17.0,CHF,18,0,,,5.0,0.0,,,,,,,,,,,,men-s,50,Livraison standard,5.0,false,,50,true,Quantité limitée !,CN,linchangbiao8752895,linchangbiao8752895,62 % avis positifs (13 notes),13,3.076923076923077,5fa8d9b100c0bb51747f1029,,,https://www.wish.com/c/608289f019d0807d07996de1,https://canary.contestimg.wish.com/api/webimage/608289f019d0807d07996de1-medium.jpg,608289f019d0807d07996de1
KOREA Meeting Mall (Total Store) Yum Yum Pet Yum Yum Refrigerator 9001,KOREA Meeting Mall (Total Store) Yum Yum Pet Yum Yum Refrigerator 9001,148.0,CHF,148.0,CHF,162.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,onecolor,50,Livraison standard,12.0,false,,50,,,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/604ba3be042fda5e535f53ec,https://canary.contestimg.wish.com/api/webimage/604ba3be042fda5e535f53ec-medium.jpg,604ba3be042fda5e535f53ec
Yab Yum Storage Packet,Yab Yum Storage Packet,19.0,CHF,19.0,CHF,20,0,,,5.0,0.0,,,,,,,,,,,black,onesize,50,Livraison standard,6.0,false,,50,,,US,Knorbrand,knorbrand,,0,5.0,601f6fb864f74435ef3e3743,,,https://www.wish.com/c/6052cc28657ad8d24c883d21,https://canary.contestimg.wish.com/api/webimage/6052cc28657ad8d24c883d21-medium.jpg,6052cc28657ad8d24c883d21
Grey Short Sleeved Yum Yum T-Shirt xincun,Grey Short Sleeved Yum Yum T-Shirt xincun,18.0,CHF,18.0,CHF,19,0,,,5.0,0.0,,,,,,,,,,,,s,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,CN,duaoxion,duaoxion,100 % avis positifs (5 notes),5,4.6,5fffd2066f09c73a0a7060b1,,,https://www.wish.com/c/60129efafc321b8809bcad13,https://canary.contestimg.wish.com/api/webimage/60129efafc321b8809bcad13-medium.jpg,60129efafc321b8809bcad13
All I Want In Life Is To Chill And Eat Pizza Food Quotes Cute Yum Women's Tank,All I Want In Life Is To Chill And Eat Pizza Food Quotes Cute Yum Women's Tank,19.0,CHF,19.0,CHF,20,0,,,5.0,0.0,,,,,,,,,,,,men-s,50,Livraison standard,6.0,false,,50,,,CN,xuejiajia0986,xuejiajia0986,40 % avis positifs (5 notes),5,2.6,5fa8d4d00c42de5cb01ea4c6,,,https://www.wish.com/c/6052fdb7803e945aa253aacb,https://canary.contestimg.wish.com/api/webimage/6052fdb7803e945aa253aacb-medium.jpg,6052fdb7803e945aa253aacb
Yum Yum For Koala Vintage Chest Package Multipurpose Crossbody Sling Backpack Outdoor Shoulder Bag Travel Hiking Daypack Men   Women Casual Sport Rucksack,Yum Yum For Koala Vintage Chest Package Multipurpose Crossbody Sling Backpack Outdoor Shoulder Bag Travel Hiking Daypack Men   Women Casual Sport Rucksack,23.0,CHF,23.0,CHF,25,0,,,5.0,0.0,,,,,,,,,,,fashion,onesize,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,CN,ybfe92bin,ybfe92bin,86 % avis positifs (22 notes),22,4.090909090909091,5f698726f676dd0050489df5,,,https://www.wish.com/c/60759d5688a25e382c976ebd,https://canary.contestimg.wish.com/api/webimage/60759d5688a25e382c976ebd-medium.jpg,60759d5688a25e382c976ebd
Under The Yum Yum Tree Jack Lemmon 1963 Affiche de film Masterprint,Under The Yum Yum Tree Jack Lemmon 1963 Movie Poster Masterprint,24.0,CHF,24.0,CHF,26,0,,,5.0,0.0,,,,,,,,,,,,11x17,50,Livraison standard,7.0,false,,50,,,US,Posterazzi,posterazzi,"77 % avis positifs (5,643 notes)",5643,3.8628389154704945,55c0deb64e6a0874f22b3167,,,https://www.wish.com/c/5928a57c17802a616824417b,https://canary.contestimg.wish.com/api/webimage/5928a57c17802a616824417b-medium.jpg,5928a57c17802a616824417b
Yum Yum Yum! Flagon 8 OZ,Yum Yum Yum! Flagon 8 OZ,26.0,CHF,26.0,CHF,28,0,,,5.0,0.0,,,,,,,,,,,gray,onesize,50,Livraison standard,8.0,false,,50,,,CN,liyuxin997,liyuxin997,100 % avis positifs (1 notes),1,5.0,5e8db458f40f252f984a0431,,,https://www.wish.com/c/5ee9c9c4376cae149e290c04,https://canary.contestimg.wish.com/api/webimage/5ee9c9c4376cae149e290c04-medium.jpg,5ee9c9c4376cae149e290c04
S-XL Damenpaket Hip Tight Slim Bodycon Verbandhose Yoga Leggings,S-XL Women's Package Hip Tight Slim Bodycon Bandage Trousers Yoga Leggings,8.0,CHF,8.0,CHF,8,10000,,,3.989771833202203,3813.0,2008,721,494,217,373,,,,,,black,s,50,Livraison standard,3.0,false,,50,,,CN,trendy_world,shanghailalanginternationaltradecoltd,"86% Positives Feedback (346,498 Bewertungen)",346498,4.071769534023284,53f2beb39020ee03566d6e18,,,https://www.wish.com/c/5b07a85d35dbf540d044adae,https://canary.contestimg.wish.com/api/webimage/5b07a85d35dbf540d044adae-medium.jpg,5b07a85d35dbf540d044adae
