title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
New Comfortable Cotton    Shining 'Halmstad' T-Shirt - NEW & OFFICIAL!,New Comfortable Cotton    Shining 'Halmstad' T-Shirt - NEW & OFFICIAL!,20.0,CHF,20.0,CHF,22,0,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5f181d7e19695c083aee47e0,https://canary.contestimg.wish.com/api/webimage/5f181d7e19695c083aee47e0-medium.jpg,5f181d7e19695c083aee47e0
Fashion Cotton     Dungeons and Dragons Men's T-Shirt Dungeon Master,Fashion Cotton     Dungeons and Dragons Men's T-Shirt Dungeon Master,19.0,CHF,19.0,CHF,20,0,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,6.0,false,,50,,,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5f1ad76bedba6ce69398a244,https://canary.contestimg.wish.com/api/webimage/5f1ad76bedba6ce69398a244-medium.jpg,5f1ad76bedba6ce69398a244
삠 Girls' Sim Kung Yumi Top and Back Set JLEBN01,삠 Girls' Sim Kung Yumi Top and Back Set JLEBN01,26.0,CHF,26.0,CHF,28.0,0,,,5.0,0.0,,,,,,,,,,,mustard,120,11,Livraison standard,18.1,false,,11,,,KR,atcmart,atcmart,67 % avis positifs (6 notes),6,3.8333333333333335,5fe2119d5265268f81dec682,,,https://www.wish.com/c/5ff0bced05bd8bc34484ccd2,https://canary.contestimg.wish.com/api/webimage/5ff0bced05bd8bc34484ccd2-medium.jpg,5ff0bced05bd8bc34484ccd2
Fashion Cotton     Cotton O-ne Custom Printed Tshirt Men T Shirt UFO ROBO Grendizer - Goldorak,Fashion Cotton     Cotton O-ne Custom Printed Tshirt Men T Shirt UFO ROBO Grendizer - Goldorak,19.0,CHF,19.0,CHF,20,0,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5f1afc9d84efd6bd5f6ec5b4,https://canary.contestimg.wish.com/api/webimage/5f1afc9d84efd6bd5f6ec5b4-medium.jpg,5f1afc9d84efd6bd5f6ec5b4
Men's round collar printed casual and comfortable T-shirtstract DI BOKU NO My HERO ACADEMIA SAD BOY T Shirt  ,Men's round collar printed casual and comfortable T-shirtstract DI BOKU NO My HERO ACADEMIA SAD BOY T Shirt  ,20.0,CHF,20.0,CHF,22,0,,,5.0,0.0,,,,,,,,,,,grey,m-s,50,Livraison standard,5.0,false,,50,,,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5fa4e720f7abc005c679dd36,https://canary.contestimg.wish.com/api/webimage/5fa4e720f7abc005c679dd36-medium.jpg,5fa4e720f7abc005c679dd36
"Nouvelle robe de mariée élégante blanche pour princesse pour poupée 11 pouces (29cm), robe de mariée élégante faite à la main.",New White Elegant Handmade Wedding Princess Dress for 11 Inches (29cm) Doll Floral Doll Dress Clothes Clothing Multi Layers Dolls Accessories,3.0,CHF,3.0,CHF,3,10000,,,4.12514220705347,879.0,502,166,97,47,67,,,,,,,style1,50,Livraison standard,1.0,false,,50,,,CN,Domino tuo,dominotuo,"92 % avis positifs (5,489 notes)",5489,4.369830570231372,57e7c2a3983a0b1320510c72,,,https://www.wish.com/c/5ce0c08ad359ba595c9170e2,https://canary.contestimg.wish.com/api/webimage/5ce0c08ad359ba595c9170e2-medium.jpg,5ce0c08ad359ba595c9170e2
Men's round collar printed casual and comfortable T-shirtKeep Calm & Walk The nish Water Dog Lovers Funny Mens T-Shirt Size S-XXXL  ,Men's round collar printed casual and comfortable T-shirtKeep Calm & Walk The nish Water Dog Lovers Funny Mens T-Shirt Size S-XXXL  ,21.0,CHF,21.0,CHF,23,0,,,5.0,0.0,,,,,,,,,,,black,m-s,50,Livraison standard,6.0,false,,50,,,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5fa4c15385a55d35110885b5,https://canary.contestimg.wish.com/api/webimage/5fa4c15385a55d35110885b5-medium.jpg,5fa4c15385a55d35110885b5
Fashion Cotton     Mudvayne Men The Hangman T-shirt,Fashion Cotton     Mudvayne Men The Hangman T-shirt,19.0,CHF,19.0,CHF,20,0,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,6.0,false,,50,,,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5f1adbde96fbe77d8be93452,https://canary.contestimg.wish.com/api/webimage/5f1adbde96fbe77d8be93452-medium.jpg,5f1adbde96fbe77d8be93452
"Waterproof Case For Iphone 12 Pro / Iphone 12 Mini Yumi Floral , Waterproof Leather Case For Iphone 12 / 12 Pro Max , With Handy Stand Feature","Waterproof Case For Iphone 12 Pro / Iphone 12 Mini Yumi Floral , Waterproof Leather Case For Iphone 12 / 12 Pro Max , With Handy Stand Feature",17.0,CHF,17.0,CHF,18,0,,,5.0,0.0,,,,,,,,,,,,ip12-6.1,50,Livraison standard,5.0,false,,50,,,CN,iodasdjashd,iodasdjashd,,0,5.0,5ee19ef92392f11cf0272b95,,,https://www.wish.com/c/605c79d8c1a477b02228c7f9,https://canary.contestimg.wish.com/api/webimage/605c79d8c1a477b02228c7f9-medium.jpg,605c79d8c1a477b02228c7f9
Fashion Cotton     Hellraiser Men T-Shirt Top Tee Casual Style Tshirt Street Wear,Fashion Cotton     Hellraiser Men T-Shirt Top Tee Casual Style Tshirt Street Wear,18.0,CHF,18.0,CHF,19,0,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,6.0,false,,50,,,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5f1a6306bd7235b4cc6dd5ff,https://canary.contestimg.wish.com/api/webimage/5f1a6306bd7235b4cc6dd5ff-medium.jpg,5f1a6306bd7235b4cc6dd5ff
"Shower Curtain 36X72 In Machine Washable , Shower Curtain Yumi Floral Marsala 39 Polyester Fabric , 12 Hooks Home Hotel Bathroom Decoration","Shower Curtain 36X72 In Machine Washable , Shower Curtain Yumi Floral Marsala 39 Polyester Fabric , 12 Hooks Home Hotel Bathroom Decoration",25.0,CHF,25.0,CHF,27,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,7.0,false,,50,,,CN,huangjianfeng Store me,huangjianfengstoreme,,0,5.0,5f72af352914a862436d5a38,,,https://www.wish.com/c/6059a4b59545df9960e8ec2a,https://canary.contestimg.wish.com/api/webimage/6059a4b59545df9960e8ec2a-medium.jpg,6059a4b59545df9960e8ec2a
New Fashion Woman 925 Aiguille en argent 925 version coréenne de vos gestes d'amour Boucles d'oreilles asymétriques Bijoux Tendance Personnalité Boucles d'oreilles d'amour pour étudiants Tempérament Bijoux d'oreilles Wild Earry,New Fashion Woman 925 Silver Needle Korean Version of Your Love Gestures Asymmetric Earrings Jewelry Trend Personality Student Love Earrings Temperament Wild Ear Jewelry,3.0,CHF,3.0,CHF,3,5000,,,4.677616501145913,1309.0,1043,171,58,13,24,,,,,,silver,,50,Livraison standard,1.0,false,,50,,,CN,LTShoppp,ltshoppp,"94 % avis positifs (8,433 notes)",8433,4.490572749911063,5ab4b1d6ea876474cb1395a0,,,https://www.wish.com/c/5cbafc79b9ce8714d47169e8,https://canary.contestimg.wish.com/api/webimage/5cbafc79b9ce8714d47169e8-medium.jpg,5cbafc79b9ce8714d47169e8
New Comfortable Cotton    WunoD Men's Blue Exorcist T-shirt,New Comfortable Cotton    WunoD Men's Blue Exorcist T-shirt,20.0,CHF,20.0,CHF,22,0,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,6.0,false,,50,,,US,YUMI OGATAHALL,yumiogatahall,,0,5.0,5e9a889bef1dce0ac3eb4117,,,https://www.wish.com/c/5f186eadce11760d41b68ecc,https://canary.contestimg.wish.com/api/webimage/5f186eadce11760d41b68ecc-medium.jpg,5f186eadce11760d41b68ecc
