title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Funny T-Shirt YUMMY Unisex Shirt,Funny T-Shirt YUMMY Unisex Shirt,21.0,CHF,21.0,CHF,23,0,,,5.0,0.0,,,,,,,,,,,,s,50,Livraison standard,6.0,false,,50,,,CN,duaoxion,duaoxion,100 % avis positifs (5 notes),5,4.6,5fffd2066f09c73a0a7060b1,,,https://www.wish.com/c/60128a89e166cd34515368fc,https://canary.contestimg.wish.com/api/webimage/60128a89e166cd34515368fc-medium.jpg,60128a89e166cd34515368fc
Carpe Bacon - Delicious Crispy Meat Pork Yummy Mens V-neck T-shirt,Carpe Bacon - Delicious Crispy Meat Pork Yummy Mens V-neck T-shirt,16.0,CHF,17.0,CHF,17,0,,,5.0,0.0,,,,,,,,,,,green,men-s,50,Livraison standard,5.0,false,,50,,,CN,liyao123321,liyao123321,82 % avis positifs (416 notes),416,3.9278846153846154,5e6765a95a3e1f77e08fa826,,,https://www.wish.com/c/5ed9e3a2e17013342abfd570,https://canary.contestimg.wish.com/api/webimage/5ed9e3a2e17013342abfd570-medium.jpg,5ed9e3a2e17013342abfd570
Yummy Men's Short Sleeve T-shirt,Yummy Men's Short Sleeve T-shirt,28.0,CHF,28.0,CHF,30,0,,,5.0,0.0,,,,,,,,,,,white,s,50,Livraison standard,8.0,false,,50,,,US,Lum Phi Ni_Wear,lumphini_wear,,0,5.0,601ebdeee899fba134c4a762,,,https://www.wish.com/c/60498795c3b4ae751fa5f891,https://canary.contestimg.wish.com/api/webimage/60498795c3b4ae751fa5f891-medium.jpg,60498795c3b4ae751fa5f891
"Tray Yummy White (30,8 x 21,4 cm)","Tray Yummy White (30,8 x 21,4 cm)",32.0,CHF,32.0,CHF,35,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,9.0,false,,50,,,NL,Nicezthings,nicezthings,80 % avis positifs (588 notes),588,4.006802721088436,5dd8751588f1f30fd77748ea,,,https://www.wish.com/c/60327467fc93aa0298f5a2a5,https://canary.contestimg.wish.com/api/webimage/60327467fc93aa0298f5a2a5-medium.jpg,60327467fc93aa0298f5a2a5
Grape Cherry Strawberry Berry Pastel Yummy Nature Organic Food Healthy Style Design Unisex Adult Dust Mask,Grape Cherry Strawberry Berry Pastel Yummy Nature Organic Food Healthy Style Design Unisex Adult Dust Mask,10.0,CHF,10.0,CHF,10.75,0,,,5.0,0.0,,,,,,,,,,,black,onesize,50,Livraison standard,5.19,false,,50,,,CN,Xia Yu Koizumi scissors brand,xiayukoizumiscissorsbrand,89 % avis positifs (273 notes),273,4.135531135531136,5b121430c2586975896a6f4b,,,https://www.wish.com/c/5f72a943ac3e21004d145eac,https://canary.contestimg.wish.com/api/webimage/5f72a943ac3e21004d145eac-medium.jpg,5f72a943ac3e21004d145eac
Nature Lemon Orange Clementine Tree Branches Fruit Yummy Winter Season Vitamin Design Multicolor Shower Curtain Waterproof Bathroom Decor Polyester Fabric Curtain Sets Hooks,Nature Lemon Orange Clementine Tree Branches Fruit Yummy Winter Season Vitamin Design Multicolor Shower Curtain Waterproof Bathroom Decor Polyester Fabric Curtain Sets Hooks,28.0,CHF,452.0,CHF,30,0,,,5.0,0.0,,,,,,,,,,,black,180cmby200cm,50,Livraison standard,9.0,false,,50,,,US,tubjhfu446,tubjhfu446,100 % avis positifs (1 notes),1,5.0,5e85a1ef8fb68151c495bdbf,,,https://www.wish.com/c/5fa3b044b12a7306cd9d13a4,https://canary.contestimg.wish.com/api/webimage/5fa3b044b12a7306cd9d13a4-medium.jpg,5fa3b044b12a7306cd9d13a4
New Milf Mug New Milf Gift Milfasaurus Dinosaur Mug New Mum Gift Baby Shower New Baby New Mum Gifts Mom Push Present Yummy Mummy,New Milf Mug New Milf Gift Milfasaurus Dinosaur Mug New Mum Gift Baby Shower New Baby New Mum Gifts Mom Push Present Yummy Mummy,22.0,CHF,22.0,CHF,24,0,,,5.0,0.0,,,,,,,,,,,white,11oz,50,Livraison standard,6.0,false,,50,,,DE,BlueWhaleStore,bluewhalestore,100 % avis positifs (1 notes),1,5.0,5fcdcc2d91d2e5a8717613b2,,,https://www.wish.com/c/600abc92448d4000567186a5,https://canary.contestimg.wish.com/api/webimage/600abc92448d4000567186a5-medium.jpg,600abc92448d4000567186a5
Yummy Mummy Trending Sweatshirt At,Yummy Mummy Trending Sweatshirt At,27.0,CHF,27.0,CHF,29,0,,,5.0,0.0,,,,,,,,,,,,s,50,Livraison standard,8.0,false,,50,,,CN,lijiawei4628,lijiawei4628,100 % avis positifs (1 notes),1,4.0,5ffd30da6dd2f9412ae3f60f,,,https://www.wish.com/c/601bb9ae82b25b50b2a9817a,https://canary.contestimg.wish.com/api/webimage/601bb9ae82b25b50b2a9817a-medium.jpg,601bb9ae82b25b50b2a9817a
"Pizza at lemon green all-over-print hoodie, yummy fastfood themed Tshirt","Pizza at lemon green all-over-print hoodie, yummy fastfood themed Tshirt",39.0,CHF,39.0,CHF,42,0,,,5.0,0.0,,,,,,,,,,,,xxs,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,CN,kongchuiting99,kongchuiting99,75 % avis positifs (4 notes),4,4.0,5ffc1534fba0f23d419983c6,,,https://www.wish.com/c/601b6e99b1a5584e3c486211,https://canary.contestimg.wish.com/api/webimage/601b6e99b1a5584e3c486211-medium.jpg,601b6e99b1a5584e3c486211
Justin Bieber Yummy Cosmetic bag,Justin Bieber Yummy Cosmetic bag,20.0,CHF,20.0,CHF,22,0,,,5.0,0.0,,,,,,,,,,,,onesize,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,US,Erin Zebrowski,erinzebrowski,50 % avis positifs (2 notes),2,3.0,5f53697bde2080bb0595d5c4,,,https://www.wish.com/c/604228e933a40f5ce6eed04f,https://canary.contestimg.wish.com/api/webimage/604228e933a40f5ce6eed04f-medium.jpg,604228e933a40f5ce6eed04f
