title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
2021 Mise à jour 1M 2M Nouveau câble USB magnétique Câble de charge magnétique LED Micro USB Type C Charge rapide Chargeur magnétique Type-C Câble de téléphone portable USB C pour Huawei iPhone 11 Pro Xr XS Samsung Huawei et plus,2021 Updated 1M 2M New Magnetic USB Cable LED Magnetic Charging Cable Micro USB Type C Fast Charging Type-C Magnet Charger Mobile Phone Cable USB C For Huawei iPhone 11 Pro Xr XS Samsung Huawei and More,3.18,EUR,4.0,EUR,3.86,1000,,,4.4148148148148145,135.0,90,25,11,4,5,,,,,,blue,1mcable+3plugs,50,Livraison standard,1.0,false,,50,,,CN,lihaos,lihaos,(88 notes),88,4.5,60110f93e74de317ba2dd260,,,https://www.wish.com/c/601d35b996fe8cdf1a796e0d,https://canary.contestimg.wish.com/api/webimage/601d35b996fe8cdf1a796e0d-medium.jpg,601d35b996fe8cdf1a796e0d
"2021 NOUVEAU !! Lumière d'armoire à capteur de mouvement 5PCS, éclairage de placard sous comptoir, veilleuses de cuisine rechargeables sans fil USB, lumière alimentée par batterie / USB, lumière uniforme pour armoire, placards, armoire, placard","2021 NEW!! 5PCS Motion Sensor Cabinet Light,Under Counter Closet Lighting, Wireless USB Rechargeable Kitchen Night Lights,Battery/USB Powered Operated Light,Uniform Light For Wardrobe,Closets,Cabinet,Cupboard",6.0,EUR,32.0,EUR,7,10,,,3.814814814814815,27.0,15,2,4,2,4,,,,,,,1pcs(5ledwhitelight),50,Livraison Express,8.0,true,,50,,,CN,dcshop,dcshop,"89 % avis positifs (32,487 notes)",32487,4.2124234309108255,571f119aea0b575f0ec9609c,,,https://www.wish.com/c/5f990d3727cd3013ad2e5b6b,https://canary.contestimg.wish.com/api/webimage/5f990d3727cd3013ad2e5b6b-medium.jpg,5f990d3727cd3013ad2e5b6b
Grupo Erik - Frida Kahlo 2021 Desk Calendar,Grupo Erik - Frida Kahlo 2021 Desk Calendar,57.0,EUR,73.0,EUR,68.99,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,19.99,false,,3,true,Quantité limitée !,GB,Giftenza,giftenza,79 % avis positifs (336 notes),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/60560b618099035833c139db,https://canary.contestimg.wish.com/api/webimage/60560b618099035833c139db-medium.jpg,60560b618099035833c139db
2021 Fashion  Beats By Dr. Dre Beats X Wireless Earbuds Bluetooth In-Ear Earphones Wireless Headphones Sport Stereo Headset Audifonos,2021 Fashion  Beats By Dr. Dre Beats X Wireless Earbuds Bluetooth In-Ear Earphones Wireless Headphones Sport Stereo Headset Audifonos,13.0,EUR,13.0,EUR,15,8,,,5.0,0.0,,,,,,,,,,,grey,lowquality,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,US,polaris.boutique,polarisboutique,73 % avis positifs (100 notes),100,3.62,5fa11811aea7174132fe61a8,,,https://www.wish.com/c/6062c83245b2e61640891368,https://canary.contestimg.wish.com/api/webimage/6062c83245b2e61640891368-medium.jpg,6062c83245b2e61640891368
2021 jouet nouveau pousser Pop bulle jouets Fidget jouet sensoriel autisme soulagement du Stress besoins spéciaux salle de classe silencieuse jouets à presser,2021 Toy NEW Push Pop Bubble Toys Fidget Sensory Toy Autism Stress Relief Special Needs Silent Classroom Squeeze Toys,2.0,EUR,2.0,EUR,2,5000,,,4.061728395061729,486.0,306,63,33,9,75,,,,,,black,estyle,50,Livraison standard,1,false,,50,,,US,LianranyonghuaigOd,lianranyonghuaigod,84 % avis positifs (822 notes),822,4.049878345498784,5e6cf2821e19859e2a2353c1,,,https://www.wish.com/c/60128901b65cf2552f6a6953,https://canary.contestimg.wish.com/api/webimage/60128901b65cf2552f6a6953-medium.jpg,60128901b65cf2552f6a6953
Panini's 2021 Premier League Sticker Collection (100 Packs),Panini's 2021 Premier League Sticker Collection (100 Packs),70.0,EUR,70.0,EUR,83.83,1,,,5.0,0.0,,,,,,,,,,,,,24,Livraison standard,5.49,false,,24,,,GB,Shop US Store,shopusstore,96 % avis positifs (459 notes),459,4.651416122004357,5fd0eeeacd5109e2c0dffa15,,,https://www.wish.com/c/60300fc5d4ac4a3169b7aa14,https://canary.contestimg.wish.com/api/webimage/60300fc5d4ac4a3169b7aa14-medium.jpg,60300fc5d4ac4a3169b7aa14
"2021 New Design M5 Smart Bracelet 1.1"" AMOLED Colorful Screen Multi-function Wristband PK Xiaomi Mi band M5 M4 Series","2021 New Design M5 Smart Bracelet 1.1"" AMOLED Colorful Screen Multi-function Wristband PK Xiaomi Mi band M5 M4 Series",7.0,EUR,7.0,EUR,8,10,,,1.5,2.0,0,0,0,1,1,,,,,,black,m4,50,Livraison Express,8.0,true,,50,true,Quantité limitée !,CN,Kru,kru,"(14,132 notes)",14132,4.049816020379281,59409c23795a3d7b68c78ded,,,https://www.wish.com/c/6051a28cd0228de1a8858bc1,https://canary.contestimg.wish.com/api/webimage/6051a28cd0228de1a8858bc1-medium.jpg,6051a28cd0228de1a8858bc1
Bestrunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f94096090b8a6379ab5c927,,5f94096090b8a6379ab5c927
Smartphone 2021 HAUWEI P40 Pro 5G avec 8 Go + 256 Go de grande mémoire Prise en charge de la reconnaissance faciale des empreintes digitales déverrouiller le téléphone portable,2021 HAUWEI P40 Pro 5G smartphone With 8GB+256GB Large Memory Support Face Recognition Fingerprint Unlock Mobile Phone,57.0,EUR,248.0,EUR,68.0,10,,,2.888888888888889,9.0,3,1,1,0,4,,,,,,black,usplug8gb&256gb,50,Livraison standard,12.0,false,,50,,,CN,cgrk16,cgrk16,56 % avis positifs (410 notes),410,2.995121951219512,5d553927560eca511fd3abbb,,,https://www.wish.com/c/5fa36b7c8a9fe2427f1e0e00,https://canary.contestimg.wish.com/api/webimage/5fa36b7c8a9fe2427f1e0e00-medium.jpg,5fa36b7c8a9fe2427f1e0e00
2021 nouvelles lunettes anti-buée transparentes HD de haute qualité anti-gouttelettes anti-poussière protéger mode visière complète masque de couverture coupe-vent,2021 NEW High Quality Transparent HD Anti-fog Glasses Anti Droplet Dust-proof Protect Fashion Full Face Visor Windproof Covering Mask ,3.0,EUR,21.0,EUR,3.42,1000,,,4.030075187969925,133.0,84,14,10,5,20,,,,,,transparent,style1,50,Livraison standard,1.5,false,,50,,,CN,liuzukui123,liuzukui123,86 % avis positifs (609 notes),609,4.160919540229885,5d3bcc6ae13a7e74b6245f0a,,,https://www.wish.com/c/5fd98d77ad2ede73851387d0,https://canary.contestimg.wish.com/api/webimage/5fd98d77ad2ede73851387d0-medium.jpg,5fd98d77ad2ede73851387d0
