title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
2021 Sexy couleur Bikini femmes maillots de bain Bandeau Biquini maillot de bain femme maillot de bain Push Up Bikini ensemble maillots de bain купальники,2021 Sexy Color Bikini Women Swimwear Bandeau Biquini Swimsuit Female Bathing Suit Push Up Bikini Set Beachwear купальники,16.0,EUR,16.0,EUR,19,0,,,5.0,0.0,,,,,,,,,,,multi,"s,poland",50,Livraison standard,5.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/601c47d4b1a558d1e0485510,https://canary.contestimg.wish.com/api/webimage/601c47d4b1a558d1e0485510-medium.jpg,601c47d4b1a558d1e0485510
Femmes Mode Deux Pièces Tankini Maillots De Bain Col V Halter Maillots De Bain Dos Nu Beachwear Maillot De Bain et Shorts Maillots De Bain Décontractés Plus La Taille S-8XL,Women Fashion Two Pieces Tankini Swimwear V-neck Halter Bathing Suits Backless Beachwear Swimdress and Shorts Casual Swimsuits Plus Size S-8XL,6.0,EUR,6.0,EUR,7,10,,,3.1818181818181817,11.0,3,3,1,1,3,,,,,,green,sizexxs,2,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,ruierhuashhai,ruierhuashhai,"83 % avis positifs (1,866 notes)",1866,3.9442658092175775,5957e4679579d819c0d2547a,,,https://www.wish.com/c/5e5348d0f39535ab61128496,https://canary.contestimg.wish.com/api/webimage/5e5348d0f39535ab61128496-medium.jpg,5e5348d0f39535ab61128496
Maillot de bain une pièce Femme Ananas Imprimé Épaule Maillot de bain Maillot de bain Monokini Tankini Maillot de bain Monokini Taille Plus XS-8XL,Women One Piece Swimsuit Pineapple Printed Off Shoulder Bathing Suit Beachwear Monokini Tankini Bathing Suit Plus Size XS-8XL,10.0,EUR,10.0,EUR,11,1000,,,4.457081545064377,466.0,317,92,28,11,18,,,,,,pine&black,xs,50,Livraison standard,2.0,false,,50,,,CN,Facing the sea,facingthesea,"89 % avis positifs (19,938 notes)",19938,4.1657137125087775,5760bd976238335e38551943,,,https://www.wish.com/c/5c401522c86a9109231b21e6,https://canary.contestimg.wish.com/api/webimage/5c401522c86a9109231b21e6-medium.jpg,5c401522c86a9109231b21e6
Femmes grande taille rayé Tankini maillot de bain maillot de bain Beachwear maillots de bain rembourrés S-5XL,Women Plus Size Striped Tankini Swimjupmsuit Swimsuit Beachwear Padded Swimwear S-5XL,11.0,EUR,132.0,EUR,13,10,,,5.0,1.0,1,0,0,0,0,,,,,,black,s,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,aihualaonian,aihualaonian,85 % avis positifs (334 notes),334,4.07185628742515,5b00d2cc9a338512336d3da6,,,https://www.wish.com/c/5ce20c825ea312408c67a7fe,https://canary.contestimg.wish.com/api/webimage/5ce20c825ea312408c67a7fe-medium.jpg,5ce20c825ea312408c67a7fe
2020 mode féminine léopard Bikini Tube haut maillot de bain fendu maillot de bain vêtements de plage,2020 Women's Fashion Leopard Bikini Tube Top Split Swimsuit Swimming Suit Beachwear,8.0,EUR,8.0,EUR,9,10,,,4.75,4.0,3,1,0,0,0,,,,,,coolblack,xxs,1,Livraison standard,3.0,false,,50,true,Quantité limitée !,VE,Markecap,markecap,89 % avis positifs (74 notes),74,4.256756756756757,5de2ea1129e7862d6edd6b9a,,,https://www.wish.com/c/5e06c49eb911c203b240c621,https://canary.contestimg.wish.com/api/webimage/5e06c49eb911c203b240c621-medium.jpg,5e06c49eb911c203b240c621
6 couleurs été femmes sexy bikini ensemble mode feuille imprimé deux pièces split maillot de bain beachwear,6 Colors Summer Women Sexy Bikini Set Fashion Leaf Printed Two Piece Split Bathing Suit Beachwear,4.73,EUR,5.0,EUR,5.73,1000,,,4.01,200.0,112,33,24,7,24,,,,,,pink,xs,1,Livraison standard,1.0,false,,50,,,CN,Qulo,qulo,"84 % avis positifs (2,342 notes)",2342,3.976088812980359,5947bed57fe2417e7057da6f,,,https://www.wish.com/c/5e1ed2b5e7ceea0f1210a068,https://canary.contestimg.wish.com/api/webimage/5e1ed2b5e7ceea0f1210a068-medium.jpg,5e1ed2b5e7ceea0f1210a068
Maillots de bain pour femmes New Black Sexy Gauze Backless Elastic Beachwear,Women Swimwear New Black Sexy Gauze Backless Elastic  Beachwear,11.0,EUR,25.0,EUR,13,1000,,,4.2733739837398375,984.0,590,206,99,45,44,,,,,,,s,20,Livraison standard,3.0,false,,50,,,CN,Pretty Spot,prettyspot,"91 % avis positifs (29,723 notes)",29723,4.281532819701915,5600ed46293a5b0145a3e1af,,,https://www.wish.com/c/58f48a5bdc138b11b549bdce,https://canary.contestimg.wish.com/api/webimage/58f48a5bdc138b11b549bdce-medium.jpg,58f48a5bdc138b11b549bdce
Hot 2019 maillot de bain en coton pour plage vêtements de plage Mini robe femmes maillot de bain couvertures femme maillots de bain plage couvrir,Hot 2019 Cotton swimsuit for Beach Beachwear Mini Dress Women Swimsuit Cover-ups Woman Swimwear Beach Cover up,10.0,EUR,71.0,EUR,12,10,,,4.0,11.0,6,2,1,1,1,,,,,,black,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,"Shenzhen Winone Technology Co., Ltd",shenzhenwinonetechnologycoltd,(566 notes),566,4.104240282685512,54d877ea7851092831ee8303,,,https://www.wish.com/c/5e024c4ab69b2e0028520c02,https://canary.contestimg.wish.com/api/webimage/5e024c4ab69b2e0028520c02-medium.jpg,5e024c4ab69b2e0028520c02
2021 femmes mode imprimé Bikini deux pièces licou ourlet maillot de bain maillots de bain maillot de bain Bikini,2021 Women's Fashion Print Bikini Two Piece Halter Hem Swimdress Beachwear Swimsuit Bikini,5.0,EUR,5.0,EUR,6,10,,,3.7,10.0,4,3,0,2,1,,,,,,black,5xl.,1,Livraison standard,2.0,false,,50,true,Quantité limitée !,US,objecucfy,objecucfy,79 % avis positifs (73 notes),73,3.7945205479452055,5e63600598286555b88477d3,,,https://www.wish.com/c/60179b7ead3acee2e34ee998,https://canary.contestimg.wish.com/api/webimage/60179b7ead3acee2e34ee998-medium.jpg,60179b7ead3acee2e34ee998
Maillot de bain femme maillot de bain maillot de bain Tankini Bikini Monokini maillot de bain maillot de bain grande taille,Women Swimsuit Swimwear Bathing Suit Tankini Bikini Monokini Swimming Suit Beachwear Plus Size,3.95,EUR,4.0,EUR,4.79,1000,,,3.700906344410876,331.0,145,64,47,28,47,,,,,,rose&black,xxs,2,Livraison standard,1.0,false,,50,,,CN,jingman,jingman,"77 % avis positifs (1,580 notes)",1580,3.7272151898734176,58bd6d5d9eed0a5ba364d256,,,https://www.wish.com/c/5e38f88f87e96b0480736e45,https://canary.contestimg.wish.com/api/webimage/5e38f88f87e96b0480736e45-medium.jpg,5e38f88f87e96b0480736e45
