title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Mini clavier et souris sans fil 2.4G réglés étanches pour ordinateur Mac Apple PC,2.4G Mini Wireless Keyboard And Mouse Set Waterproof For Mac Apple PC Computer,16.0,EUR,16.0,EUR,19,10,,,4.034188034188034,117.0,65,25,9,2,16,,,,,,black,,50,Livraison standard,5.0,false,,50,,,CN,suxuefang,suxuefang,"92 % avis positifs (8,625 notes)",8625,4.341797101449275,5a9e785cc98949175923aa21,,,https://www.wish.com/c/5c78f3b8469dfe32d9a4b1f1,https://canary.contestimg.wish.com/api/webimage/5c78f3b8469dfe32d9a4b1f1-medium.jpg,5c78f3b8469dfe32d9a4b1f1
"2020 Le plus récent Ipad Pro 9.7 Tablet Computer Clavier Bluetooth Air2 Clavier sans fil Bluetooth Flip - Over, 4 couleurs","2020 The Newest Ipad Pro 9.7 Tablet Computer Bluetooth Keyboard Air2 Wireless Bluetooth Flip - Over Keyboard, 4 Colors",21.0,EUR,33.0,EUR,25,10,,,3.0,2.0,1,0,0,0,1,,,,,,gold,withbox(minimumgarbagequality）,1,Livraison standard,7.0,false,,50,,,CN,bguid928,bguid928,73 % avis positifs (935 notes),935,3.5711229946524066,5d42e04fe4b65d2beac013ba,,,https://www.wish.com/c/5f51d538aa7420003c04a781,https://canary.contestimg.wish.com/api/webimage/5f51d538aa7420003c04a781-medium.jpg,5f51d538aa7420003c04a781
Souris professionnelle 2.4Ghz optique sans fil 2000DPI ajustable pour jeux vidéo,Professional 2.4Ghz Wireless Optical 2000DPI Adjustable Game Mouse,5.0,EUR,15.0,EUR,5,10000,,,4.310177313577848,4117.0,2549,834,403,124,207,,,,,,red,,1,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,onestore168,onestore168,"93 % avis positifs (43,496 notes)",43496,4.39727791061247,594b7281abea9102df686d37,,,https://www.wish.com/c/596c787e0c4463690a5794b6,https://canary.contestimg.wish.com/api/webimage/596c787e0c4463690a5794b6-medium.jpg,596c787e0c4463690a5794b6
"The Newest Ultra-thin Ipad Pro 9.7 Tablet Computer Bluetooth Keyboard Air2 Wireless Bluetooth 5.0 Flip - Over Keyboard, 4 Colors","The Newest Ultra-thin Ipad Pro 9.7 Tablet Computer Bluetooth Keyboard Air2 Wireless Bluetooth 5.0 Flip - Over Keyboard, 4 Colors",29.0,EUR,107.0,EUR,35,10,,,3.727272727272727,22.0,8,7,3,1,3,,,,,,black,withoutbox(lowquality),20,Livraison standard,9.0,false,,50,,,CN,Baby care fere,babycarefere,80% Positive Feedback (427 ratings),427,3.8266978922716626,5d575dad78d41d5c3d9fd4af,,,https://www.wish.com/c/5f100f6228f4561287afc167,https://canary.contestimg.wish.com/api/webimage/5f100f6228f4561287afc167-medium.jpg,5f100f6228f4561287afc167
Timetec Hynix IC 16GB Kit (2x8GB) DDR3L 1600MHz PC3-12800 Unbuffered Non-ECC 1.35V CL11 2Rx8 Dual Rank 204 Pin SODIMM Notebook Computer Module de mémoire RAM pour Intel et AMD,Timetec Hynix IC 16GB Kit (2x8GB) DDR3L 1600MHz PC3-12800 Unbuffered Non-ECC 1.35V CL11 2Rx8 Dual Rank 204 Pin SODIMM Laptop Notebook Computer Memory RAM Module for Intel and AMD,200.0,EUR,260.0,EUR,241.99,2,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,20.0,false,,3,,,GB,Giftenza,giftenza,79 % avis positifs (336 notes),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/5f988094e9c3a63eaeb54481,https://canary.contestimg.wish.com/api/webimage/5f988094e9c3a63eaeb54481-medium.jpg,5f988094e9c3a63eaeb54481
1600X / 1000X / 500X Portable 8 LED Light Loupe Variateur réglable Pratique Hand Held USB Microscope Ordinateurs Inspection vidéo en temps réel Microscope numérique,1600X /1000X/500X  Portable 8 LED Light Magnifier Adjustable Dimmer Practical Hand Held USB Microscope Computers Real-Time Video Inspection Digital Microscope,7.0,EUR,23.0,EUR,8,10,,,4.077464788732394,142.0,75,32,17,7,11,,,,,,,magnifier,50,Livraison standard,3.0,false,,50,,,CN,xicha,blitzwolf17828,"(7,547 notes)",7547,4.2363853186696705,59a3b4fa439a9869cc3cf6ad,,,https://www.wish.com/c/5ecf9fefe00b415c51fee63b,https://canary.contestimg.wish.com/api/webimage/5ecf9fefe00b415c51fee63b-medium.jpg,5ecf9fefe00b415c51fee63b
USB-C USB 3.1 Type C mâle vers USB 3.0 femelle adaptateur de convertisseur de données OTG lumière,USB-C USB 3.1 Type C Male To USB 3.0 Female Data OTG Converter Adapter Light,2.21,EUR,4.0,EUR,2.6799999999999997,10,,,4.395604395604396,91.0,63,15,6,0,7,,,,,,rosered,withoutbreathinglight,50,Livraison standard,1,false,,50,,,CN,xy275841151@163.com,xy275841151163com,"(8,847 notes)",8847,4.297841076070984,5928f250f1dd6a5bbe0e4af6,,,https://www.wish.com/c/5fe40f385c129954f92aaeb0,https://canary.contestimg.wish.com/api/webimage/5fe40f385c129954f92aaeb0-medium.jpg,5fe40f385c129954f92aaeb0
Bestrunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f94096090b8a6379ab5c927,,5f94096090b8a6379ab5c927
Aigo Ak700 Max 700W Pc unité d'alimentation Gaming silencieux 120Mm ventilateur RVB 24Pin 12V Atx Btc Psu ordinateur de bureau alimentation pour Pc,Aigo Ak700 Max 700W Pc Power Supply Unit Gaming Quiet 120Mm Rgb Fan 24Pin 12V Atx Btc Psu Desktop Computer Power Supply for Pc,38.0,EUR,65.0,EUR,46,10,,,4.666666666666667,3.0,2,1,0,0,0,,,,,,,ak600600w,50,Livraison standard,12.0,false,,50,,,CN,caotong5928,caotong5928,98 % avis positifs (42 notes),42,4.785714285714286,5fe1877d0897e910dfa01b75,,,https://www.wish.com/c/60053c69798684604aec1f6a,https://canary.contestimg.wish.com/api/webimage/60053c69798684604aec1f6a-medium.jpg,60053c69798684604aec1f6a
Nouveau clavier et souris lumineux Ensemble clavier USB Souris USB Glow Game Suite Noir,New Glowing Keyboard and Mouse Set USB Keyboard USB Mouse Glow Game Suite Black,19.0,EUR,19.0,EUR,23,1000,,,3.760919540229885,435.0,226,65,40,22,82,,,,,,black,,5,Livraison standard,6.0,false,,5,,,CN,biwangzhiwang,fleur,"87 % avis positifs (9,325 notes)",9325,4.144235924932976,5a3b637eccd9fc77d0cb65ac,,,https://www.wish.com/c/5c1896149b427b413d07c157,https://canary.contestimg.wish.com/api/webimage/5c1896149b427b413d07c157-medium.jpg,5c1896149b427b413d07c157
