title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Clé de stockage externe haute vitesse durable USB 3.0 Clé de stylo Clé de mémoire Clé USB 3.0 U Disque Flash Drive,USB 3.0 Durable High Speed External Storage Key Pen Drive Memory Stick USB 3.0 U Disk Flash Drive,5.0,EUR,5.0,EUR,5,10,,,3.784090909090909,88.0,52,7,6,4,19,,,,,,black,128m,46,Livraison standard,2.0,false,,50,,,CN,yanderong686868,yanderong686868,85 % avis positifs (286 notes),286,4.125874125874126,5ddf5ae5b4519f2f556f3413,,,https://www.wish.com/c/5f0d1355d1daaf0418bcef96,https://canary.contestimg.wish.com/api/webimage/5f0d1355d1daaf0418bcef96-medium.jpg,5f0d1355d1daaf0418bcef96
2020 plus récent USB 3.0 lecteur Flash USB stylo mémoire clé USB U disque Durable haute vitesse clé de stockage externe stylo bâton lecteur Flash,2020 NEWEST USB 3.0 USB Flash Drive Memory Pen USB Stick U Disk Durable High Speed External Storage Key Pen Stick Flash Drive,5.0,EUR,17.0,EUR,5,10,,,4.454545454545454,22.0,16,2,3,0,1,,,,,,,4gb1pcs,38,Livraison standard,1.0,false,,50,,,PE,LM & AK,lmak,88 % avis positifs (541 notes),541,4.269870609981516,5deda9fa99261f006f09c008,,,https://www.wish.com/c/5f87dbd10fbb9e0601899d6e,https://canary.contestimg.wish.com/api/webimage/5f87dbd10fbb9e0601899d6e-medium.jpg,5f87dbd10fbb9e0601899d6e
Epson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e542cf89719ed19e8484847,,5e542cf89719ed19e8484847
2022 le plus récent 4/2/1 pièces USB3.0 Ultra grand disque de mémoire USB en métal Clés USB Clé USB Résistant à l'eau Clé USB Clé USB OTG U Disque pour ordinateur portable 4 Colos,2022 Newest 4/2/1pcs USB3.0 Ultra Large Metal USB Disk Memory Drive Flash Drives USB Stick Water-resistant Pen Drive Flash Drives OTG U Disk for Laptop PC 4 Colos,3.0,EUR,3.0,EUR,3,10,,,4.0,4.0,3,0,0,0,1,,,,,,gold,1gb*1pcs,47,Livraison standard,1.0,false,,50,,,GB,Bethan,bethan,81 % avis positifs (37 notes),37,3.945945945945946,5f7b0baf68d87ac5c7d16967,,,https://www.wish.com/c/6018f8dc8cb420b5eb9cf823,https://canary.contestimg.wish.com/api/webimage/6018f8dc8cb420b5eb9cf823-medium.jpg,6018f8dc8cb420b5eb9cf823
Clé USB 2.0 haute vitesse 3 EN 1 Type-C Clé USB Clé USB OTG Clé USB 64 Go 32 Go 16 Go 128 Go Pilote de stylo Cle USB,High Speed 3 IN 1 Type-C USB 2.0 Flash Drives Pendrive usb key OTG USB Flash Drive 64GB 32GB 16GB 128GB Pen Driver Cle USB,13.0,EUR,13.0,EUR,15,9,,,5.0,1.0,1,0,0,0,0,,,,,,white,16gb,50,Livraison standard,4.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/5fff232808d95f77b49206a6,https://canary.contestimg.wish.com/api/webimage/5fff232808d95f77b49206a6-medium.jpg,5fff232808d95f77b49206a6
OTG 3 In 1 Metal Flash Drive USB 2.0 & Type-C High Speed Pen Drive 4GB 8GB 16GB 32GB 64GB Pendrive Cle USB Memory Stick for Gift,OTG 3 In 1 Metal Flash Drive USB 2.0 & Type-C High Speed Pen Drive 4GB 8GB 16GB 32GB 64GB Pendrive Cle USB Memory Stick for Gift,11.0,EUR,11.0,EUR,13,1,,,5.0,0.0,,,,,,,,,,,white,4gb,50,Livraison standard,3.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"(1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/606353509fcb39c12b0d10fe,https://canary.contestimg.wish.com/api/webimage/606353509fcb39c12b0d10fe-medium.jpg,606353509fcb39c12b0d10fe
Master Card étanche 64/32/16/8 Go forme de carte de crédit bancaire lecteur flash USB,Master Card Waterproof 64/32/16/8GB Bank Credit Card Shape USB Flash Drive,4.0,EUR,16.0,EUR,4,10,,,4.50253807106599,197.0,139,38,10,0,10,,,,,,,4gb,22,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,New style Boutique Mall,深圳市华明信息技术服务有限公司,"95 % avis positifs (4,763 notes)",4763,4.494016376233466,55112162dd699c71c7fc1715,,,https://www.wish.com/c/5816a90ffacfb521218346b2,https://canary.contestimg.wish.com/api/webimage/5816a90ffacfb521218346b2-medium.jpg,5816a90ffacfb521218346b2
4pcs USB Flash Drives Metal USB Flash Drives 1T/2T Ultra-large Capacity Keychain Flash Memory USB Stick U Disk Storage Exquisite Little Gift,4pcs USB Flash Drives Metal USB Flash Drives 1T/2T Ultra-large Capacity Keychain Flash Memory USB Stick U Disk Storage Exquisite Little Gift,6.0,EUR,6.0,EUR,7,10,,,4.052631578947368,19.0,12,3,0,1,3,,,,,,gunmetal,1gb1pcs,50,Livraison standard,2.0,false,,50,,,CN,hikoisdjis,hikoisdjis,73 % avis positifs (485 notes),485,3.6288659793814433,5f6d62922b0043003b2d5273,,,https://www.wish.com/c/60096a9159372dc7ea8472a8,https://canary.contestimg.wish.com/api/webimage/60096a9159372dc7ea8472a8-medium.jpg,60096a9159372dc7ea8472a8
2Pcs High Speed Type-C to USB OTG Adapter Converter for Flash Drive Mouse U Disk Reader For Android iphone Tablet Smart Phone,2Pcs High Speed Type-C to USB OTG Adapter Converter for Flash Drive Mouse U Disk Reader For Android iphone Tablet Smart Phone,11.0,EUR,11.0,EUR,13,1,,,5.0,0.0,,,,,,,,,,,white,,50,Livraison standard,8.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/601ea2aff9be10b7647f8536,https://canary.contestimg.wish.com/api/webimage/601ea2aff9be10b7647f8536-medium.jpg,601ea2aff9be10b7647f8536
"Disque dur Western Digital WDS2G0A 2,5 SSD SATA III","Hard Drive Western Digital WDS2G0A 2,5  SSD SATA III",139.0,EUR,139.0,EUR,168.0,6,,,4.0,3.0,1,1,1,0,0,,,,,,,1tb,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,NL,Nicezthings,nicezthings,80 % avis positifs (588 notes),588,4.006802721088436,5dd8751588f1f30fd77748ea,,,https://www.wish.com/c/5ed89d373e77f1430e3e4a66,https://canary.contestimg.wish.com/api/webimage/5ed89d373e77f1430e3e4a66-medium.jpg,5ed89d373e77f1430e3e4a66
Clé USB 1GB 8GB lecteur Flash Usb OTG multifonctionnel pour téléphone intelligent Android 16GB 32GB clé USB 64GB Memoria USB Pen Drive,USB Stick 1GB 8GB Multifunctional OTG Usb Flash Drive For Android Smart Phone 16GB 32GB  Pendrive 64GB Memoria Usb Pen Drive,3.19,EUR,27.0,EUR,3.87,1000,,,4.289099526066351,211.0,133,46,10,4,18,,,,,,black,1gb,1,Livraison standard,1.0,false,,50,,,CN,Tangfengxiu,tangfengxiu,91 % avis positifs (214 notes),214,4.313084112149533,5d8b19cf9b72cc5e9e871e65,,,https://www.wish.com/c/5ddea7764a3b1547b9a0f166,https://canary.contestimg.wish.com/api/webimage/5ddea7764a3b1547b9a0f166-medium.jpg,5ddea7764a3b1547b9a0f166
Portable Mini USB 2.0 Micro SD TF T-Flash Adaptateur de lecteur de carte mémoire Lecteur Flash,Portable Mini USB 2.0 Micro SD TF T-Flash Memory Card Reader Adapter Flash Drive,3.18,EUR,7.0,EUR,3.85,10,,,4.635294117647059,85.0,67,10,5,1,2,,,,,,black,onesize,50,Livraison standard,1.0,false,,50,,,CN,liuqiumeidianpu,liuqiumeidianpu,85 % avis positifs (571 notes),571,4.112084063047285,5dd8f0f88da0100dd596c36d,,,https://www.wish.com/c/5f587d3ddf91fd0d7fd96480,https://canary.contestimg.wish.com/api/webimage/5f587d3ddf91fd0d7fd96480-medium.jpg,5f587d3ddf91fd0d7fd96480
"NAWB USB Flash Drive Compatible iPhone/iOS 256GB[3in-1] Lightning OTG Jump Drive USB 3.0 Thumb Drive External USB Memory, 1","NAWB USB Flash Drive Compatible iPhone/iOS 256GB[3in-1] Lightning OTG Jump Drive USB 3.0 Thumb Drive External USB Memory, 1",113.0,EUR,113.0,EUR,137.0,0,,,5.0,0.0,,,,,,,,,,,,,10,Livraison standard,12.0,false,,10,,,CA,othep,othep,60 % avis positifs (5 notes),5,3.2,5ff04c48c9720a6520e73166,,,https://www.wish.com/c/6015f79b3d5fe00054916c54,https://canary.contestimg.wish.com/api/webimage/6015f79b3d5fe00054916c54-medium.jpg,6015f79b3d5fe00054916c54
8 Go SPY Digital Voice Recorder Pen Dictaphone USB Memory Stick,8GB SPY Digital Voice Recorder Pen Dictaphone USB Memory Stick,8.0,EUR,8.0,EUR,9,10,,,4.148148148148148,27.0,15,7,2,0,3,,,,,,,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,domarater gdd,domaratergdd,(886 notes),886,4.355530474040632,5d5223418f85fa4d84b063a2,,,https://www.wish.com/c/5db3bdab99657b064ec0c694,https://canary.contestimg.wish.com/api/webimage/5db3bdab99657b064ec0c694-medium.jpg,5db3bdab99657b064ec0c694
Lecteur de lecteur de graveur de lecteur mince graveur de CD DVD RW externe USB 3.0 pour ordinateur portable PC,USB 3.0 External DVD RW CD Writer Slim Drive Burner Reader Player For PC Laptop ,20.0,EUR,20.0,EUR,24,10,,,4.5,2.0,1,1,0,0,0,,,,,,,,29,Livraison standard,6.0,false,,29,true,Quantité limitée !,CN,SHIPFROMEU,shipfromeu,"92 % avis positifs (29,215 notes)",29215,4.3641622454218725,582ab4c0d914f5436fac4afb,,,https://www.wish.com/c/5d677983d1d49a779ce499ac,https://canary.contestimg.wish.com/api/webimage/5d677983d1d49a779ce499ac-medium.jpg,5d677983d1d49a779ce499ac
Lunettes de soleil de sport de plein air classiques pour hommes Marque Designer Driving Square UV 400 Protection Lunettes de soleil Masque de vélo Lunettes de soleil pour hommes,Classic Outdoor Sports Sunglasses for Men Brand Designer Driving Square UV 400 Protection Sun Glasses Male Cycling Goggle Men's Sunglasses,11.0,EUR,48.0,EUR,13,10,,,2.5,2.0,0,0,1,1,0,,,,,,,c1,50,Livraison standard,3.0,false,,50,,,CN,xiumei007,xiumei007,87 % avis positifs (311 notes),311,4.167202572347267,5803269d047bed5c2b8569ce,,,https://www.wish.com/c/5de6606bfbce9beb86aec0ce,https://canary.contestimg.wish.com/api/webimage/5de6606bfbce9beb86aec0ce-medium.jpg,5de6606bfbce9beb86aec0ce
6PC haute qualité Carte mémoire TF Carte mémoire Micro SD Lecteur de carte USB 2.0 Support 64GB,6PC High Quality TF Card Memory Card Micro SD Card Reader USB 2.0 Support 64GB,3.91,EUR,4.0,EUR,4.74,10000,,,3.7711728986896773,3129.0,1580,515,342,122,570,,,,,,multicolor,,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,NewZJS,newzjs,"(3,988 notes)",3988,4.141925777331996,5a14f4210ec30f6b45e4e1dd,,,https://www.wish.com/c/5ca9e90fc7c1b551e272896e,https://canary.contestimg.wish.com/api/webimage/5ca9e90fc7c1b551e272896e-medium.jpg,5ca9e90fc7c1b551e272896e
kuu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f22a87eeb31f98e025d608d,,5f22a87eeb31f98e025d608d
Creative caca coloré USB Flash Drive Pen Drive Drôle intestins Emoji Memory Stick 4 Go 8 Go 16 Go 32 Go 64 Go,Creative Colorful Poops USB Flash Drive Pen Drive Funny Bowels Emoji Memory Stick 4GB 8GB 16GB 32GB 64GB,6.0,EUR,6.0,EUR,7,10,,,4.55,20.0,13,6,0,1,0,,,,,,multicolor,4gb,50,Livraison standard,2.0,false,,50,,,CN,"WangShi Group (HK) Co.,Ltd",wangshigrouphkcoltd,"94 % avis positifs (1,373 notes)",1373,4.504005826656956,53ae1f5fd911396a51a1656a,,,https://www.wish.com/c/5b9f5f374373ca15e0dacab9,https://canary.contestimg.wish.com/api/webimage/5b9f5f374373ca15e0dacab9-medium.jpg,5b9f5f374373ca15e0dacab9
Hellfire Trading 3.0 USB Data Transfer Black Charger Power Cable for Toshiba Canvio 1TB External Hard Drive,Hellfire Trading 3.0 USB Data Transfer Black Charger Power Cable for Toshiba Canvio 1TB External Hard Drive,5.0,EUR,5.0,EUR,5.56,0,,,5.0,0.0,,,,,,,,,,,black,,25,Livraison standard,4.13,false,,25,,,GB,hellfire_trading,hellfire_trading,82 % avis positifs (205 notes),205,4.009756097560976,5f76f5cf43e8e8c54016a8dc,,,https://www.wish.com/c/5faae1573eccfa004ef7ef12,https://canary.contestimg.wish.com/api/webimage/5faae1573eccfa004ef7ef12-medium.jpg,5faae1573eccfa004ef7ef12
Capacité réelle 3 pièces USB 3.0 lecteur flash USB métal lecteur flash USB clé USB Pendrive Flash Memory USB Stick U stockage sur disque,Real capacity 3PCS USB 3.0 flash drive metal USB flash drive  pen drive Pendrive Flash Memory USB Stick U disk storage,5.0,EUR,19.0,EUR,6,10,,,4.3125,16.0,10,3,2,0,1,,,,,,,8gb1pcs,9,Livraison standard,2.0,false,,50,,,US,LianjulutuisL,lianjulutuisl,88 % avis positifs (41 notes),41,4.2439024390243905,5e6dca5f57af0933d560d3a7,,,https://www.wish.com/c/5f866e39f1f76c0d90bcfeb5,https://canary.contestimg.wish.com/api/webimage/5f866e39f1f76c0d90bcfeb5-medium.jpg,5f866e39f1f76c0d90bcfeb5
Disque dur externe 1 To / 2 To Périphériques de stockage sur disque dur 2.5 '' USB3.0 SATA haute vitesse,1TB/2TB External Hard Drive Disk Storage Devices 2.5'' USB3.0 SATA High Speed,14.0,EUR,14.0,EUR,16,10,,,4.666666666666667,3.0,2,1,0,0,0,,,,,,silver,500gb,20,Livraison Express,5.0,true,,50,,,CN,Colorlight,colorlight,"88 % avis positifs (3,111 notes)",3111,4.171648987463838,59311ef50d7f401109afa8bc,,,https://www.wish.com/c/606e7b0d2a4416ce55b870ad,https://canary.contestimg.wish.com/api/webimage/606e7b0d2a4416ce55b870ad-medium.jpg,606e7b0d2a4416ce55b870ad
"Adata Durable External Hard Drive HD330, 4TB, Blue","Adata Durable External Hard Drive HD330, 4TB, Blue",530.0,EUR,530.0,EUR,642.0,0,,,5.0,0.0,,,,,,,,,,,blue,,1,Livraison standard,12.0,false,,1,,,KR,awesomekorea,awesomekorea,100 % avis positifs (1 notes),1,5.0,600f907c35473d26e050c7dd,,,https://www.wish.com/c/6032873687a3381e76c2aecd,https://canary.contestimg.wish.com/api/webimage/6032873687a3381e76c2aecd-medium.jpg,6032873687a3381e76c2aecd
Boîtier de rangement pour boîtier de disque dur USB 3.0 2.5 pouces SATA3 5gbps pour disque dur externe / SSD,USB 3.0 2.5Inch SATA3 5gbps Hard Drive Enclosure Caddy Case For External HDD/SSD ,8.0,EUR,8.0,EUR,9,10,,,4.673913043478261,230.0,184,30,9,1,6,,,,,,,oneset,50,Livraison standard,3.0,false,,50,,,CN,liwenlong,liwenlong,"(10,553 notes)",10553,4.213019994314413,58bd6e344ffb8a504712feee,,,https://www.wish.com/c/5b16529f3d23631697e61f7b,https://canary.contestimg.wish.com/api/webimage/5b16529f3d23631697e61f7b-medium.jpg,5b16529f3d23631697e61f7b
2021 Police Sunglasses Tide Men Fishing Polarizing Glasses Sunglasses Driver Glasses Anti UV Driving Glasses,2021 Police Sunglasses Tide Men Fishing Polarizing Glasses Sunglasses Driver Glasses Anti UV Driving Glasses,8.0,USD,8.0,USD,8,10,,,5.0,2.0,2,0,0,0,0,,,,,,blue,withoutbox,6,Livraison standard,2.0,false,,50,,,CN,hnxiaodong1027,hnxiaodong1027,100 % avis positifs (1 notes),1,5.0,603f54b4c45b713b857d534d,,,https://www.wish.com/c/60421ea932a668408ff352db,https://canary.contestimg.wish.com/api/webimage/60421ea932a668408ff352db-medium.jpg,60421ea932a668408ff352db
