title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Protecteur d'écran atFoliX 3x compatible avec le film protecteur transparent Garmin Edge 130 Plus,atFoliX 3x Screen Protector compatible with Garmin Edge 130 Plus clear Protector Film,7.0,CHF,11.0,CHF,6.87,1,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,6.87,false,,50,true,Quantité limitée !,DE,atFoliX,atfolix,"72 % avis positifs (1,880 notes)",1880,3.6398936170212766,5e4d359729e786526133b5d2,,,https://www.wish.com/c/5efd4ebd99c04500a08af911,https://canary.contestimg.wish.com/api/webimage/5efd4ebd99c04500a08af911-medium.jpg,5efd4ebd99c04500a08af911
8-teiliger Kindersicherheits-Eckschutz Weiche PVC-Tischtischschutzkantenschutzabdeckung,8Pcs Child Safety Corner Protector Soft PVC Desk Table Guard Edge Protection Cover,3.38,CHF,6.0,CHF,3.71,1000,,,4.384615384615385,65.0,41,14,6,2,2,,,,,,,4pcs,50,Livraison standard,1.0,false,,50,,,CN,Nanfangyouni,nanfangyouni,93% Positives Feedback (395 Bewertungen),395,4.440506329113924,5f9ba64023aaec7b0da51c69,,,https://www.wish.com/c/5fe993c2fa31442368c3b07c,https://canary.contestimg.wish.com/api/webimage/5fe993c2fa31442368c3b07c-medium.jpg,5fe993c2fa31442368c3b07c
Mehrfarbige Silikonhülle für Garmin Edge 1030 GPS-Fahrradcomputer FEM,Multi-color Silicone Skin Case Cover For Garmin Edge 1030 GPS Cycling Computer FEM,6.0,CHF,6.0,CHF,6,10,,,4.571428571428571,21.0,15,3,3,0,0,,,,,,yellow,,50,Livraison standard,2.0,false,,50,,,CN,Female's shop,femalesshop,"91% Positives Feedback (1,527 Bewertungen)",1527,4.355599214145383,5874b67983cdfa67abda86f4,,,https://www.wish.com/c/5eaffc6c8f0a5509ba7c455c,https://canary.contestimg.wish.com/api/webimage/5eaffc6c8f0a5509ba7c455c-medium.jpg,5eaffc6c8f0a5509ba7c455c
Proteggi schermo in vetro temperato da 2 pezzi per Motorola Moto G9 G8 G7 Riproduci G8 G7 G6 Plus G8 G7 power G6 E7 E6 E5 E4 Plus Edge Oen 5g fusion hyper X4 Z4 Z3 Z2 Z Pellicola protettiva,2 Pcs Full Cover Tempered Glass Screen Protector for Motorola Moto G9 G8 G7 Play G8 G7 G6 Plus G8 G7 power G6 E7 E6 E5 E4 Plus Edge Oen 5g fusion hyper X4 Z4 Z3 Z2 Z Protective Film,6.0,CHF,6.0,CHF,6,5000,,,4.38422247446084,1762.0,1248,231,115,48,120,,,,,,black,2pcsmotog9play/motog9,20,Livraison standard,2.0,false,,50,,,CN,Adreams,adreams,"(17,607 valutazioni)",17607,4.378826603055603,557537bb0c49c819f0369358,,,https://www.wish.com/c/5b6d2eee3d9e2e752265b403,https://canary.contestimg.wish.com/api/webimage/5b6d2eee3d9e2e752265b403-medium.jpg,5b6d2eee3d9e2e752265b403
TUSITA Case Compatible with Garmin Edge 830 - Anti Drop Silicone Protective Cover - Cycling GPS Computer Accessories,TUSITA Case Compatible with Garmin Edge 830 - Anti Drop Silicone Protective Cover - Cycling GPS Computer Accessories,60.0,CHF,77.0,CHF,64.99,2,,,5.0,0.0,,,,,,,,,,,,,2,Livraison standard,20.0,false,,2,true,Quantité limitée !,GB,Giftenza,giftenza,(336 ratings),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/5fad2ead66251a8f2d75ff7b,https://canary.contestimg.wish.com/api/webimage/5fad2ead66251a8f2d75ff7b-medium.jpg,5fad2ead66251a8f2d75ff7b
BSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5eaaefd79719ed25a17f44a0,,5eaaefd79719ed25a17f44a0
Jeu de jeu de rôle du MDN Dice Ensembles de dés à miroir polyédrique à 7 matrices avec bords tranchants et belles inclusions pour joueur de RPG,DND Role Playing Game Dice  7-Die Polyhedral Mirror Dice Sets with Sharp Edges and Beautiful Inclusions For RPG Player,17.0,CHF,17.0,CHF,18,10,,,4.181818181818182,11.0,8,1,0,0,2,,,,,,,1pcsofdarkd6,50,Livraison standard,5.0,false,,50,,,CN,AUSPDICE,auspdice,(6 notes),6,4.333333333333333,5ecb580b29e78652f7815fca,,,https://www.wish.com/c/5fe2b25e790a08570c61b02a,https://canary.contestimg.wish.com/api/webimage/5fe2b25e790a08570c61b02a-medium.jpg,5fe2b25e790a08570c61b02a
atFoliX 3x Screen Protector compatible with Garmin Edge 510 clear Protector Film,atFoliX 3x Screen Protector compatible with Garmin Edge 510 clear Protector Film,7.0,CHF,12.0,CHF,7.12,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,6.87,false,,50,,,DE,atFoliX,atfolix,"72 % avis positifs (1,880 notes)",1880,3.6398936170212766,5e4d359729e786526133b5d2,,,https://www.wish.com/c/5efd4ded56f95100def63507,https://canary.contestimg.wish.com/api/webimage/5efd4ded56f95100def63507-medium.jpg,5efd4ded56f95100def63507
GemRed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f77086890b8a68eb0355564,,5f77086890b8a68eb0355564
Housse de protection antichoc de luxe dégradé couleur 360 ° pour iPhone XSMax XS XR X 8 8Plus 7 7Plus 6s 6sPlus 6 6Plus SE 5S 5 / Samsung Galaxy S9 S9Plus S8 S8Plus S7 S7Edge S6 S6Edge S5 Note8 Note5,Luxury Gradient Color 360° Protection Shockproof Case Cover for iPhone XSMax XS XR X 8 8Plus 7 7Plus 6s 6sPlus 6 6Plus SE 5S 5 / Samsung Galaxy S9 S9Plus S8 S8Plus S7 S7Edge S6 S6Edge S5 Note8 Note5,2.51,CHF,8.0,CHF,2.76,10,,,4.2125,160.0,109,15,15,3,18,,,,,,blue&yellow,iphone5,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,Covo,covo,"(28,030 notes)",28030,4.455190866928291,59887e67776ab9243dbd1cd7,,,https://www.wish.com/c/5c1fdd4cb18065214bcb2bbc,https://canary.contestimg.wish.com/api/webimage/5c1fdd4cb18065214bcb2bbc-medium.jpg,5c1fdd4cb18065214bcb2bbc
