title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Extra Thick Gym Flooring Interlocking Floor Mats Eva Soft Foam Mat Yoga Tiles,Extra Thick Gym Flooring Interlocking Floor Mats Eva Soft Foam Mat Yoga Tiles,55.0,EUR,55.0,EUR,66.0,10,,,5.0,0.0,,,,,,,,,,,black,24pcs,50,Livraison Express,12.0,true,,50,,,CN,badening258,badening258,"70 % avis positifs (1,080 notes)",1080,3.5148148148148146,5d5663134a4e2232c2dbc66e,,,https://www.wish.com/c/607014c2b72da7a6e0a73db6,https://canary.contestimg.wish.com/api/webimage/607014c2b72da7a6e0a73db6-medium.jpg,607014c2b72da7a6e0a73db6
Lampadaire Lampadaire Lampadaire Blanc Stehleuchte Lampadaire Lampadaire,Floor lamp floor lamp floor lamp white Stehleuchte Vloerlamp Lampadaire,65.0,EUR,65.0,EUR,78.0,1,,,5.0,0.0,,,,,,,,,,,,,50,Livraison Express,13.0,true,,50,,,US,The Samrat,thesamrat,"93 % avis positifs (3,717 notes)",3717,4.41000807102502,59a98405bf25535598bc6a92,,,https://www.wish.com/c/5eac39c25294de29a6f1b10b,https://canary.contestimg.wish.com/api/webimage/5eac39c25294de29a6f1b10b-medium.jpg,5eac39c25294de29a6f1b10b
9PCS 30 * 30cm Kids Soft Floor Carpet Foam EVA Baby Floor Puzzle Mat,9PCS 30*30cm Kids Soft Floor Carpet Foam EVA Baby Floor Puzzle Mat,7.0,EUR,13.0,EUR,8,10,,,3.169230769230769,65.0,17,12,16,5,15,,,,,,beige,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,91sky E-commerce Co.Ltd.,91skyecommercecoltd,"90 % avis positifs (53,555 notes)",53555,4.2632247222481565,55939844783ba140222d5340,,,https://www.wish.com/c/5b9ca42884e6a6464995ce2b,https://canary.contestimg.wish.com/api/webimage/5b9ca42884e6a6464995ce2b-medium.jpg,5b9ca42884e6a6464995ce2b
17 MILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8d71d8eb31f9a6cce12c2c,,5f8d71d8eb31f9a6cce12c2c
SADALAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8d71faeb31f9a6cce12cd5,,5f8d71faeb31f9a6cce12cd5
Custom 3D Floor Wallpaper PVC Waterproof Self Adhesive Living Room Bedroom Floor Sticker Wall Decals Luxury Marble Pattern Mural (1 ㎡),Custom 3D Floor Wallpaper PVC Waterproof Self Adhesive Living Room Bedroom Floor Sticker Wall Decals Luxury Marble Pattern Mural (1 ㎡),31.0,USD,31.0,USD,31,1,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,15.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/601579f2f6900599c0f6574a,https://canary.contestimg.wish.com/api/webimage/601579f2f6900599c0f6574a-medium.jpg,601579f2f6900599c0f6574a
Natural Wood Seasoning Beewax Polish Complete Solution Furniture Beeswax Care Floor Protectant Cleaner,Natural Wood Seasoning Beewax Polish Complete Solution Furniture Beeswax Care Floor Protectant Cleaner,4.02,EUR,5.0,EUR,4.87,10,,,3.6666666666666665,3.0,2,0,0,0,1,,,,,,,only1pc20gbeewax,50,Livraison standard,1.0,false,,50,,,CN,wuchuana,wuchuana,"88 % avis positifs (3,245 notes)",3245,4.192912172573189,5b14a0650128757e2f259f65,,,https://www.wish.com/c/603f2dc3e67383cac27b2100,https://canary.contestimg.wish.com/api/webimage/603f2dc3e67383cac27b2100-medium.jpg,603f2dc3e67383cac27b2100
Marilyn Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e8d30009719ed64049677c2,,5e8d30009719ed64049677c2
Ensemble de seau de vadrouille plate à rotation à 360 ° à main libre Nettoyage du sol Squeeze Essorage Vadrouille Sec Humide Lavable à double usage Tampons de vadrouille en microfibre lavables Vadrouille,Hand-free 360° Rotation Flat Mop Bucket Set Floor Cleaning Squeeze Wringing Mop Dry Wet Dual Use Washable Microfiber Mop Pads Vadrouille,12.0,EUR,26.0,EUR,14,10,,,4.2,30.0,16,7,5,1,1,,,,,,,5pcsreplacementpadsonly,50,Livraison standard,3.0,false,,50,,,CN,Lupishu,lupishu,"89 % avis positifs (6,341 notes)",6341,4.217788992272512,5c95e1ee07ca512952274057,,,https://www.wish.com/c/60113c979149ad746029a381,https://canary.contestimg.wish.com/api/webimage/60113c979149ad746029a381-medium.jpg,60113c979149ad746029a381
Tapis en peluche Salon Tapis moelleux doux Décor à la maison Tapis Shaggy Chambre à coucher Canapé Table basse Tapis de sol Gradient Couleur Moelleux Chambre Tapis Mode Décorations pour la maison,Plush Carpets Living Room Soft Fluffy Rug Home Decor Shaggy Carpet Bedroom Sofa Coffee Table Floor Mat Gradient Color Fluffy Bedroom Carpet Fashion Home Decorations,7.0,EUR,50.0,EUR,8,10,,,3.753623188405797,69.0,40,4,7,4,14,,,,,,coffee,xxs(15x5cm),1,Livraison standard,3.0,false,,50,,,CN,AnnAnnAnn,annannann,77 % avis positifs (591 notes),591,3.676818950930626,5de89bb0ad07de0023801d70,,,https://www.wish.com/c/5ed1bbdd9ddd9d1e4440e190,https://canary.contestimg.wish.com/api/webimage/5ed1bbdd9ddd9d1e4440e190-medium.jpg,5ed1bbdd9ddd9d1e4440e190
