title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Naruto bandeau feuille Village Logo Konoha Kakashi Akatsuki membres bandeau Cosplay Costume accessoires,Naruto Headband Leaf Village Logo Konoha Kakashi Akatsuki Members Headband Cosplay Costume Accessories,3.0,EUR,3.0,EUR,3,1000,,,4.5326460481099655,291.0,210,48,18,8,7,,,,,,,,50,Livraison standard,1.0,false,,50,,,CN,BestSeller88,bestseller88,"(7,244 notes)",7244,4.202098288238542,573daf57a8aafc5957b152cb,,,https://www.wish.com/c/600be21a71ed4740bbce93af,https://canary.contestimg.wish.com/api/webimage/600be21a71ed4740bbce93af-medium.jpg,600be21a71ed4740bbce93af
"Hairband lace toothed hairpin covers white hair, presses the hair with wide edge, and brings a female headband","Hairband lace toothed hairpin covers white hair, presses the hair with wide edge, and brings a female headband",5.0,EUR,5.0,EUR,5,10,,,5.0,1.0,1,0,0,0,0,,,,,,red,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,baoye,baoye,91 % avis positifs (34 notes),34,4.235294117647059,5d3e9f4372b0c914801f3c8b,,,https://www.wish.com/c/605ba8640fc2554f05435c24,https://canary.contestimg.wish.com/api/webimage/605ba8640fc2554f05435c24-medium.jpg,605ba8640fc2554f05435c24
2 pièces / ensemble femmes bouton bande de cheveux bandeaux imprimés et masque Yoga sport bandeaux élastiques masque facile à boire,2pcs/Set Women Button Hair Band Printed HeadBands And Mask Yoga Sports Elastic Headbands Easy To Drink Mask,2.0,EUR,5.0,EUR,1.55,10,,,3.4782608695652173,23.0,9,2,5,5,2,,,,,,pink,1pcsmask,8,Livraison standard,1.04,false,,50,,,CN,panda4886,panda4886,"87 % avis positifs (1,522 notes)",1522,4.140604467805519,58e8ed4acbbf2a155c68eb72,,,https://www.wish.com/c/5f79782fc82aeb5516408c5a,https://canary.contestimg.wish.com/api/webimage/5f79782fc82aeb5516408c5a-medium.jpg,5f79782fc82aeb5516408c5a
Hiver Twist Crochet tricoté bandeau femmes plus velours oreille plus chaud bandes de cheveux chapeaux de sport,Winter Twist Crochet Knitted Headband Women Plus Velvet Ear Warmer Hair Bands Sports Headwear,4.82,EUR,6.0,EUR,5.84,10,,,4.615384615384615,13.0,9,3,1,0,0,,,,,,,black-motley,50,Livraison standard,1.0,false,,50,,,CN,sport_meeting,sport_meeting,87 % avis positifs (863 notes),863,4.184241019698725,5d54bfe741ed512e55cd5d03,,,https://www.wish.com/c/5fd9aaf436f28a0801e89e8b,https://canary.contestimg.wish.com/api/webimage/5fd9aaf436f28a0801e89e8b-medium.jpg,5fd9aaf436f28a0801e89e8b
"Brassard, bandeau ou bracelet serpent Cléopâtre doré","Gold Snake Cleopatra Armband, Headband or Bracelet",17.0,EUR,17.0,EUR,20,10,,,2.142857142857143,7.0,2,0,0,0,5,,,,,,gold,onesize,5,Livraison standard,6.0,false,,5,true,Quantité limitée !,US,My Party Shirt,mypartyshirt,"92 % avis positifs (10,597 notes)",10597,4.409078040954987,5762fd263a698c3a1a331d7c,,,https://www.wish.com/c/58dd845a3864eb54e72d095c,https://canary.contestimg.wish.com/api/webimage/58dd845a3864eb54e72d095c-medium.jpg,58dd845a3864eb54e72d095c
Pince à cheveux crocodile pinces de coiffure style pour les salons 6pcs durables,Hair Clip Crocodile Hairdressing Clamps Styling For Salons 6Pcs Durable,3.91,EUR,17.0,EUR,4.74,10,,,4.592592592592593,54.0,41,8,3,0,2,,,,,,white,6pcs,50,Livraison standard,1.0,false,,50,,,CN,pumio,pumio,"87 % avis positifs (13,880 notes)",13880,4.142435158501441,569119f43a698c14c6356fc8,,,https://www.wish.com/c/5e849e288c1f3382c0196a6e,https://canary.contestimg.wish.com/api/webimage/5e849e288c1f3382c0196a6e-medium.jpg,5e849e288c1f3382c0196a6e
8 couleurs lune pinces à cheveux accessoires guérison cristal Barrette Boho hippie bijoux cadeaux de Noël uniques,8 Colors Moon Hair Clips Accessories Healing Crystal Barrette Boho Hippie Jewellery Unique Christmas Gifts,3.0,EUR,3.0,EUR,3,1000,,,4.628571428571429,210.0,162,31,10,1,6,,,,,,red,,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,ZQIAN,zqian,"(1,749 notes)",1749,4.360205831903945,57ee451c6a20961035ed149a,,,https://www.wish.com/c/5dccee95de0a190b38e318f3,https://canary.contestimg.wish.com/api/webimage/5dccee95de0a190b38e318f3-medium.jpg,5dccee95de0a190b38e318f3
'47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f33cbe690b8a64127f417c4,,5f33cbe690b8a64127f417c4
Enfants mignon coiffure arc bande de cheveux fille bandeau réglable télescopique bébé bandeau bandeau enfants accessoires cheveux arc,Children's Cute Headdress Bow Hair Band Girl Headband Adjustable Telescopic Baby Headband Headband Kids Accessories Hair Bow,3.0,EUR,3.0,EUR,3,1000,,,4.518518518518518,108.0,85,8,6,4,5,,,,,,,a,50,Livraison standard,1.0,false,,50,,,CN,LiaiQiang,liaiqiang,(129 notes),129,4.434108527131783,5d53cac815275432a080521a,,,https://www.wish.com/c/5ed6893385e34f05f696441d,https://canary.contestimg.wish.com/api/webimage/5ed6893385e34f05f696441d-medium.jpg,5ed6893385e34f05f696441d
Femmes Mode Bouton Infirmière Bandeau Masque Titulaire Sport Bandeau Bandeau Yoga Gym Stretch Unisexe Bandeau,Women Fashion Button Nurse Headband Facemask Holder Sport Sweatband Headband Yoga Gym Stretch Unisex Head Band,3.96,EUR,4.0,EUR,4.8,10,,,5.0,5.0,5,0,0,0,0,,,,,,red,,50,Livraison Express,8.0,true,,50,true,Quantité limitée !,CN,Xiao Yang shoes store,xiaoyangshoesstore,"91 % avis positifs (19,413 notes)",19413,4.256992736825838,585635f21591450a83d05866,,,https://www.wish.com/c/5fb87fe3496eab0051c089f3,https://canary.contestimg.wish.com/api/webimage/5fb87fe3496eab0051c089f3-medium.jpg,5fb87fe3496eab0051c089f3
