title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Portable Pet Dog Cat Travel Double épaule sacs à dos Sport Travel Outdoor Pet Carrier Bag,Portable Pet Dog Cat Travel Double Shoulder Backpacks Sport Travel Outdoor Pet Carrier Bag,10.0,EUR,10.0,EUR,12,5000,,,4.044903777619387,1403.0,736,288,189,86,104,,,,,,black,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,ThemusicNigulifeactivities,themusicnigulifeactivities,"91 % avis positifs (7,619 notes)",7619,4.27431421446384,5ac1cdd4b722cf7046296332,,,https://www.wish.com/c/5aeaaf0171a8f01a0a5e9876,https://canary.contestimg.wish.com/api/webimage/5aeaaf0171a8f01a0a5e9876-medium.jpg,5aeaaf0171a8f01a0a5e9876
Fontaine à eau pour chat / chien Fontaine à eau pour animaux de compagnie en acier inoxydable Fontaine à boire saine et hygiénique,Cat/Dog Water Fountain Pet Water Fountain Stainless Steel Healthy and Hygienic Drinking Fountain Super Quiet Flower Automatic Electric Water Bowl 2.4L with 1Pcs Filter,15.0,EUR,15.0,EUR,18,10,,,3.684931506849315,73.0,42,8,1,2,20,,,,,,,kit3..,50,Livraison standard,5.0,false,,50,,,CN,YUWEIDIANPU,yuweidianpu,88 % avis positifs (249 notes),249,4.224899598393574,5d4e4b5c1527542c42adb5dc,,,https://www.wish.com/c/5fcb52a45e1bd36162b35fa6,https://canary.contestimg.wish.com/api/webimage/5fcb52a45e1bd36162b35fa6-medium.jpg,5fcb52a45e1bd36162b35fa6
Collier de chien élastique en cristal mignon collier en forme de coeur de cloche de velours pour animaux de compagnie,Cute Crystal Elastic Dog Collar Velvet Bell Heart Shape Pet Necklacce,3.09,EUR,4.0,EUR,3.74,10000,,,4.166091292673571,2607.0,1618,386,251,122,230,,,,,,black,,50,Livraison standard,1.0,false,,50,,,CN,paguexia,paguexia,"87 % avis positifs (8,094 notes)",8094,4.147516679021497,5b1ce3f72b041016c6763f4e,,,https://www.wish.com/c/5b2084572c5fdd6bdd2fa33e,https://canary.contestimg.wish.com/api/webimage/5b2084572c5fdd6bdd2fa33e-medium.jpg,5b2084572c5fdd6bdd2fa33e
Pet Castle House Toy  Viewing Deck Ladder Pet Products 1 PC Hamster House Hamster Nest Wooden Seesaw,Pet Castle House Toy  Viewing Deck Ladder Pet Products 1 PC Hamster House Hamster Nest Wooden Seesaw,3.0,EUR,3.0,EUR,3,10,,,3.86046511627907,86.0,47,9,14,3,13,,,,,,,style7,50,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,fubennandiaa,fubennandiaa,89% pozitivnih povratnih informacija (253 ocjena),253,4.24505928853755,5d47cb3cb87ed849be8bd080,,,https://www.wish.com/c/5f18f17a754ec9222a3e81eb,https://canary.contestimg.wish.com/api/webimage/5f18f17a754ec9222a3e81eb-medium.jpg,5f18f17a754ec9222a3e81eb
4 pièces / ensemble chaud hiver Pet chien bottes chiot chaussures de protection anti-dérapant vêtements pour chats / chien,4Pcs/Set Warm Winter Pet Dog Boots Puppy Shoes Protective Anti-Slip Apparel For Cats/Dog,3.0,EUR,33.0,EUR,3,10,,,4.043478260869565,46.0,27,8,3,2,6,,,,,,blue,xxs(withoutvelvet),8,Livraison standard,1.0,false,,50,,,CN,EssenceLiving Store,essencelivingstore,"82 % avis positifs (8,272 notes)",8272,3.9110251450676983,5d8340276b6e2954004fce6e,,,https://www.wish.com/c/5ff55b32e49036d9aab05eb2,https://canary.contestimg.wish.com/api/webimage/5ff55b32e49036d9aab05eb2-medium.jpg,5ff55b32e49036d9aab05eb2
De nouvelles fournitures de toilettage pour animaux de compagnie Pet Dog Cat,New Pet Grooming Supplies Pet Dog Cat Dedicated Wet Tissue Pet Cleaning Paper Towels ,8.0,EUR,8.0,EUR,9,10000,,,3.7943868212324587,1639.0,773,289,263,95,219,,,,,,,,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,fansirui,fansirui,"91 % avis positifs (4,540 notes)",4540,4.284361233480176,58a28d559f28d450e088cd7b,,,https://www.wish.com/c/5c9c3ccaf5b5ba5c663a4c32,https://canary.contestimg.wish.com/api/webimage/5c9c3ccaf5b5ba5c663a4c32-medium.jpg,5c9c3ccaf5b5ba5c663a4c32
Nylon sécurité pour animaux de compagnie LED harnais produit pour chien harnais de lumière clignotante laisse corde ceinture collier de chien gilet fournitures pour animaux de compagnie,Nylon Pet Safety LED Harness Dog Product Flashing Light Harness Leash Rope Belt Dog Collar Vest Pet Supplies,3.0,EUR,3.0,EUR,3,1000,,,3.6258064516129034,310.0,144,45,42,19,60,,,,,,red,collar-s,50,Livraison standard,1.0,false,,50,,,CN,OUQIGN E-commerce,ouqignecommerce,"92 % avis positifs (16,759 notes)",16759,4.333373112954233,55ab5842b06e29408bd8700c,,,https://www.wish.com/c/5f8e89efa38667127eae89c4,https://canary.contestimg.wish.com/api/webimage/5f8e89efa38667127eae89c4-medium.jpg,5f8e89efa38667127eae89c4
Pet Cat Dog Electric Hair Clipper Cutter Toilettage Tondeuse Animal Hair Shaver Kit Low Noise Wireless Rechargeable Professional,Pet Cat Dog Electric Hair Clipper Cutter Grooming Trimmer Animal Hair Shaver Kit Low Noise Wireless Rechargeable Professional,12.0,EUR,12.0,EUR,14,1000,,,4.426258992805756,556.0,387,94,33,9,33,,,,,,gold,auplug,4,Livraison standard,3.0,false,,50,,,CN,DB-HI86,dbhi86,90 % avis positifs (618 notes),618,4.368932038834951,5d4e98b5933fb16bdeb72972,,,https://www.wish.com/c/5dbcedd157046b063481944c,https://canary.contestimg.wish.com/api/webimage/5dbcedd157046b063481944c-medium.jpg,5dbcedd157046b063481944c
"Tampon absorbant imperméable réutilisable pour animaux de compagnie, tapis d'entraînement pour chiot / chaton lavables, tapis de mise bas","Reusable Waterproof  absorbent Pet Pee Pad ,  Washable Puppy/kitten Training Mats, Whelping Mats",11.0,EUR,42.0,EUR,13,1000,,,4.376299376299376,481.0,319,90,33,12,27,,,,,,skyblue,24x18in(60x45cm),50,Livraison standard,3.0,false,,50,,,CN,zhejiangcixi,zhejiangcixi,"90 % avis positifs (3,373 notes)",3373,4.250815297954343,5aed81825ce18041c54fb999,,,https://www.wish.com/c/5d4058538d96b77c81d83f77,https://canary.contestimg.wish.com/api/webimage/5d4058538d96b77c81d83f77-medium.jpg,5d4058538d96b77c81d83f77
Vêtements pour chien hiver chaud chien veste manteau chiot Chihuahua vêtements à capuche pour petits chiens moyens chiot Yorkshire tenue XS-2XL,Dog Clothes Winter Warm Pet Dog Jacket Coat Puppy Chihuahua Clothing Hoodies For Small Medium Dogs Puppy Yorkshire Outfit XS-2XL,5.0,EUR,30.0,EUR,6,1000,,,4.144385026737968,187.0,112,33,18,5,19,,,,,,blue,xxl,50,Livraison standard,2.0,false,,50,,,CN,PinhehuangqiangnKk,pinhehuangqiangnkk,"86 % avis positifs (1,786 notes)",1786,4.091265397536394,5dfae9d9fffb6e08c13c1545,,,https://www.wish.com/c/5f5f1842f96cc7c175db2a84,https://canary.contestimg.wish.com/api/webimage/5f5f1842f96cc7c175db2a84-medium.jpg,5f5f1842f96cc7c175db2a84
