title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
(2Type: 7S+ Card Phone/ XS11 Smartphone) SOYES XS11 Mini Smart Android Phone 2.5Inch WIFI GPS RAM 1GB ROM 8GB Quad Core Google Play Facebook Whatsapp Mobile Phone,(2Type: 7S+ Card Phone/ XS11 Smartphone) SOYES XS11 Mini Smart Android Phone 2.5Inch WIFI GPS RAM 1GB ROM 8GB Quad Core Google Play Facebook Whatsapp Mobile Phone,46.0,CHF,364.0,CHF,50.0,10,,,3.735294117647059,34.0,15,8,4,1,6,,,,,,white,xs11smartphone2.5inch,50,Livraison standard,12.0,false,,50,,,CN,no anxious shop,noanxiousshop,75% Positive Feedback (81 ratings),81,3.876543209876543,5f5600ea35709301f842b937,,,https://www.wish.com/c/5f97cec0782d4e193a7168a8,https://canary.contestimg.wish.com/api/webimage/5f97cec0782d4e193a7168a8-medium.jpg,5f97cec0782d4e193a7168a8
Hommes Sport montre intelligente IP67 étanche Smartwatch moniteur de fréquence cardiaque pression artérielle Multiple Sport Mode femmes montre portable pour Iphone Android,Men Sport Smart Watch IP67 Waterproof Smartwatch Heart Rate Monitor Blood Pressure Multiple Sport Mode Women Wearable Watch for Iphone Android,22.0,CHF,22.0,CHF,24,20000,,,4.3563096500530225,943.0,622,178,58,27,58,,,,,,,pink,50,Livraison standard,6.0,false,,50,,,CN,Erupt,erupt,"93 % avis positifs (10,345 notes)",10345,4.379990333494442,564042bb5f440412914f1cd4,,,https://www.wish.com/c/5c19c72b5d912758f861914f,https://canary.contestimg.wish.com/api/webimage/5c19c72b5d912758f861914f-medium.jpg,5c19c72b5d912758f861914f
"HOT Selling X27 Plus freigeschaltet 2MP 8 Core Dual SIM 512 MB + 4G Günstige Smartphone 5,8 Zoll AndroidMobile SmartPhones in Retail Box",HOT Selling X27 Plus Unlocked 2MP 8 Core Dual SIM 512MB+4G Cheap Smart Phone 5.8 inch AndroidMobile SmartPhones in Retail Box,41.0,CHF,41.0,CHF,44.69,10,,,5.0,0.0,,,,,,,,,,,black,,50,Livraison standard,5.0,false,,50,,,PL,theshopbest12345,theshopbest12345,,0,5.0,5f848982e6dcf76947d8db76,,,https://www.wish.com/c/5fcd625521429625b45d48bc,https://canary.contestimg.wish.com/api/webimage/5fcd625521429625b45d48bc-medium.jpg,5fcd625521429625b45d48bc
2021NEW Smart Call Bluetooth Watch Fitness Tracker Heart Rate Blood Pressure Body Temperature Monitoring Smart Watch Bluetooth Music Player Waterproof Fitness Tracker Sporty Wristbands for IPhone Android Xiaomi Huawei Sony Samsung Phones For Phone Calls with Long Standy Time IWO 12 13 W26 Series 6,2021NEW Smart Call Bluetooth Watch Fitness Tracker Heart Rate Blood Pressure Body Temperature Monitoring Smart Watch Bluetooth Music Player Waterproof Fitness Tracker Sporty Wristbands for IPhone Android Xiaomi Huawei Sony Samsung Phones For Phone Calls with Long Standy Time IWO 12 13 W26 Series 6,5.0,CHF,5.0,CHF,5,10,,,3.462962962962963,54.0,22,8,7,7,10,,,,,,black,onlyearphonenosamrtwatch,20,Livraison standard,1.0,false,,50,,,CN,thdishgsdy,thdishgsdy,72 % avis positifs (775 notes),775,3.5625806451612902,5f9118002700fdd8af638232,,,https://www.wish.com/c/6037571a4572d22b035d8fad,https://canary.contestimg.wish.com/api/webimage/6037571a4572d22b035d8fad-medium.jpg,6037571a4572d22b035d8fad
2021 Nuevo lanzamiento Reloj inteligente Hombres Mujeres IP68 Color a prueba de agua Pantalla táctil completa Frecuencia cardíaca Oxígeno en sangre Reloj inteligente Bluetooth con llamada telefónica Música Rastreador deportivo para Android IOS,2021 New Release Smart Watch Men Women IP68 Waterproof Color Full Touch Screen Heart Rate Blood Oxygen Bluetooth relogio Smartwatch With Phone Call Music Sports Tracker for Android IOS,24.0,CHF,181.0,CHF,26,10,,,2.7848101265822787,79.0,23,9,9,4,34,,,,,,brown,38mm&siliconestrap,9,Livraison standard,7.0,false,,50,,,CN,shinningday916,shinningday916,"86% retroalimentación positiva (5,678 calificaciones)",5678,4.118703768932723,579e10a4b639500f5ac4ee8a,,,https://www.wish.com/c/6036154b91005a08b6ffc1cb,https://canary.contestimg.wish.com/api/webimage/6036154b91005a08b6ffc1cb-medium.jpg,6036154b91005a08b6ffc1cb
LOKMAT Sport montre intelligente professionnelle 5ATM étanche Bluetooth rappel d'appel numérique hommes horloge SmartWatch pour ios et Android,LOKMAT Sport Smart Watch Professional 5ATM Waterproof Bluetooth Call Reminder Digital Men Clock SmartWatch For ios and Android,38.0,CHF,38.0,CHF,41,0,,,5.0,0.0,,,,,,,,,,,black,,50,Livraison Express,17.0,true,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/5ffdc925f4b922865355c0d9,https://canary.contestimg.wish.com/api/webimage/5ffdc925f4b922865355c0d9-medium.jpg,5ffdc925f4b922865355c0d9
Outdoor Winter Beanie Hut Drahtlose Bluetooth-Mütze Smart Cap Kopfhörer Outdoor Sporthut Fahrradhut Gestrickte Beanie Mütze LED Light Music Headset Warme Strickmützen Bergsteigen Angeln LED Hut,Outdoor Winter Beanie Hat Wireless bluetooth hat Smart Cap Headphone Outdoor sport hat Cycling Hat Knitted Beanie Hat LED Light Music Headset Warm Knitting Caps Mountain climbing Fishing led hat,5.28,CHF,6.0,CHF,5.8100000000000005,1000,,,3.52073732718894,434.0,208,46,47,30,103,,,,,,camouflage,batterystyle,18,Livraison standard,2.0,false,,50,,,CN,Pick Beau,pickbeau,"83% Positives Feedback (10,076 Bewertungen)",10076,3.9795553791186977,5b06251d2f9ef64c21fd1a14,,,https://www.wish.com/c/5fc4ca3cc78c97584042d9d9,https://canary.contestimg.wish.com/api/webimage/5fc4ca3cc78c97584042d9d9-medium.jpg,5fc4ca3cc78c97584042d9d9
2021 Nuovo V8 Bluetooth Smart Watch Sport Fitness Tracker Supporto Scheda SD Scheda SIM Smartwatch Telefono Pedometro Monitor del sonno Orologio da polso Bluetooth Smartwatch Orologio Android per bambini Donna,2021 New V8 Bluetooth Smart Watch Sports Fitness Tracker Support SD Card SIM Card Smartwatch Phone Pedometer Sleep Monitor Bluetooth Wrist Watch Smartwatch Android Watch for Kids Women,12.0,CHF,12.0,CHF,13,10,,,4.0,2.0,0,2,0,0,0,,,,,,brown,refurbishedsmartwatch,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,7826774,7826774,"85% feedback positivi (4,660 recensioni)",4660,4.021459227467811,579b68a9fa5cec39d6d831de,,,https://www.wish.com/c/5f98eb0d12b1dc06af7cfbd4,https://canary.contestimg.wish.com/api/webimage/5f98eb0d12b1dc06af7cfbd4-medium.jpg,5f98eb0d12b1dc06af7cfbd4
2021 Newest Smart Watch Bluetooth Call 1.28 Inch Full Touch Screen Heart Rate Blood Oxygen Smartwatch Phone Call Music Sport Tracker For Android iOS Phone Watch,2021 Newest Smart Watch Bluetooth Call 1.28 Inch Full Touch Screen Heart Rate Blood Oxygen Smartwatch Phone Call Music Sport Tracker For Android iOS Phone Watch,28.0,CHF,28.0,CHF,30,10,,,3.7735849056603774,53.0,28,9,3,2,11,,,,,,silver,cloneversion(siliconestrap),50,Livraison standard,8.0,false,,50,,,CN,macai,macai,87 % avis positifs (103 notes),103,4.135922330097087,5fa2cd97792fb80d8868b255,,,https://www.wish.com/c/6019328b191f41f5b5af19a2,https://canary.contestimg.wish.com/api/webimage/6019328b191f41f5b5af19a2-medium.jpg,6019328b191f41f5b5af19a2
"LED Digitaluhr / D18 Fitness Tracker Smart Watch, Aktivitäts-Tracker Smartband mit Herzfrequenz Blutdruck Sauerstoffmonitor Schritt Kalorienzähler Schrittzähler Wasserdichtes Smart Armband Armband für Kinder Frauen Männer 2 Typen","LED Digital Watch / D18 Fitness Tracker Smart Watch, Activity Tracker Smartband with Heart Rate Blood Pressure Oxygen Monitor Step Calorie Counter Pedometer Waterproof Smart Bracelet Wristband for Kids Women Men 2 Types",6.0,CHF,6.0,CHF,6,5000,,,3.268373245251858,1211.0,485,163,121,76,366,,,,,,blue,leddigitalwatch(onlytimefunction),3,Livraison standard,2.0,false,,32,true,Quantité limitée !,CN,POLYVORE TRADE LIMITED,polyvoretradelimited,"70% Positives Feedback (8,870 Bewertungen)",8870,3.49695603156708,58f8681a29867d1118cb0964,,,https://www.wish.com/c/5f700f580e38980570f9ce4d,https://canary.contestimg.wish.com/api/webimage/5f700f580e38980570f9ce4d-medium.jpg,5f700f580e38980570f9ce4d
