title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Almost NEW  IPhone 5C  Smartphone Unlocked Running Smoothly Apple IPhone Used 4-inch screen Dual Core Rom 16GB/32GB Bluetooth GPS Multi-Language,Almost NEW  IPhone 5C  Smartphone Unlocked Running Smoothly Apple IPhone Used 4-inch screen Dual Core Rom 16GB/32GB Bluetooth GPS Multi-Language,33.0,EUR,33.0,EUR,39,8,,,5.0,0.0,,,,,,,,,,,white,16gb(gradeb),50,Livraison standard,11.0,false,,50,,,US,polaris.boutique,polarisboutique,73% Feedback pozitiv (100 rating),100,3.62,5fa11811aea7174132fe61a8,,,https://www.wish.com/c/5fd6de9bc98f971e0a6788b8,https://canary.contestimg.wish.com/api/webimage/5fd6de9bc98f971e0a6788b8-medium.jpg,5fd6de9bc98f971e0a6788b8
"Unihertz Atom, The Smallest 4G Rugged Smartphone in The World, Android 9.0 Pre Unlocked Smart Phone with 4GB RAM and 64GB ROM","Unihertz Atom, The Smallest 4G Rugged Smartphone in The World, Android 9.0 Pre Unlocked Smart Phone with 4GB RAM and 64GB ROM",398.0,EUR,398.0,EUR,482.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,17.0,false,,50,true,Quantité limitée !,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"(1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/6012d7518ecca13d77b052a8,https://canary.contestimg.wish.com/api/webimage/6012d7518ecca13d77b052a8-medium.jpg,6012d7518ecca13d77b052a8
"Galaxy S20 + pro mode 7,3 pouces Smartphone plein écran 5600Mah 12 Go + 512 Go Grande mémoire Déverrouiller la version mondiale 4G 5G Système Android 10.0 24MP + 48MP Caméra HD Bluetooth Navigation GPS",Galaxy S20+ pro fashion 7.3 Inch Full Screen Smartphone 5600Mah 12GB+512GB Large Memory Unlock Global Version 4G 5G Android 10.0 System 24MP+48MP HD Camera Bluetooth GPS Navigation,75.0,EUR,907.0,EUR,90.0,10,,,3.3333333333333335,6.0,1,3,0,1,1,,,,,,black,auplug12g&512g,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,US,thewalletstore,thewalletstore,60 % avis positifs (10 notes),10,3.0,5fd243f3181685f05f716bf0,,,https://www.wish.com/c/6037530cdf9224d3816ce411,https://canary.contestimg.wish.com/api/webimage/6037530cdf9224d3816ce411-medium.jpg,6037530cdf9224d3816ce411
NOUVEAU Apple iPhone 8 - 64 Go - Or (déverrouillé) Smartphone,NEW Apple iPhone 8 - 64GB - Gold (Unlocked) Smartphone,413.0,EUR,537.0,EUR,499.99,3,,,1.0,1.0,0,0,0,0,1,,,,,,,onesize,50,Livraison standard,199.99,false,,50,,,US,Twin Cell,twincell,69 % avis positifs (379 notes),379,3.5672823218997363,5e6932c9a1f2afe71e2ebd74,,,https://www.wish.com/c/5e6ae4e6f09be714439b08b9,https://canary.contestimg.wish.com/api/webimage/5e6ae4e6f09be714439b08b9-medium.jpg,5e6ae4e6f09be714439b08b9
2021 New  S21+ UItra Android OS 10.0 system 5000mAh (12GB + 512GB) large memory operation 6.8 inches 1440 * 3200 full screen ultra-thin smart 4G 5G network 24MP + 48MP smartphone face/fingerprint HD camera Bluetooth navigation phone global version,2021 New  S21+ UItra Android OS 10.0 system 5000mAh (12GB + 512GB) large memory operation 6.8 inches 1440 * 3200 full screen ultra-thin smart 4G 5G network 24MP + 48MP smartphone face/fingerprint HD camera Bluetooth navigation phone global version,68.0,EUR,154.0,EUR,82.0,10,,,3.25,8.0,3,2,0,0,3,,,,,,green,auplug,50,Livraison standard,12.0,false,,50,,,CN,Babycam,babycam,"76 % avis positifs (1,216 notes)",1216,3.716282894736842,598d7dfe21064f115fa28eed,,,https://www.wish.com/c/60404a608925a9573e8ba16b,https://canary.contestimg.wish.com/api/webimage/60404a608925a9573e8ba16b-medium.jpg,60404a608925a9573e8ba16b
Phone Case Hawei Smartphone 7.7 Inch with 12+512Gb Large Memory Smartphone Mobile Phone with 4G/5G Dual Sim Cards Bluetooth Wifi Camera Ten Core Face Id,Phone Case Hawei Smartphone 7.7 Inch with 12+512Gb Large Memory Smartphone Mobile Phone with 4G/5G Dual Sim Cards Bluetooth Wifi Camera Ten Core Face Id,17.0,EUR,46.0,EUR,20,10,,,5.0,0.0,,,,,,,,,,,,iphone6,50,Livraison standard,6.0,false,,50,,,US,Dawn	Brown,dawnbrown,50% Positive Feedback (2 ratings),2,2.0,5e8c3c8c84b254ab5fb04cd8,,,https://www.wish.com/c/6034d5e80e6eef0237b8d93a,https://canary.contestimg.wish.com/api/webimage/6034d5e80e6eef0237b8d93a-medium.jpg,6034d5e80e6eef0237b8d93a
Chuwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5eb53bda90b8a620159c3aba,,5eb53bda90b8a620159c3aba
Apple iPhone 7 256 Go Verizon + GSM débloqué Smartphone 4G LTE - Argent,Apple iPhone 7 256GB Verizon + GSM Unlocked 4G LTE Smartphone - Silver,368.0,EUR,743.0,EUR,444.99,0,,,5.0,0.0,,,,,,,,,,,silver,onesize,50,Livraison standard,199.99,false,,50,,,US,B&H Cellular,bhcellular,66 % avis positifs (47 notes),47,3.382978723404255,5f92ef5e82c6601e91f84f54,,,https://www.wish.com/c/5f9873559939aa00c524bb9b,https://canary.contestimg.wish.com/api/webimage/5f9873559939aa00c524bb9b-medium.jpg,5f9873559939aa00c524bb9b
"Cadeau de Noël 2020 Nouveau Smartphone 6,6 pouces 4G / 5G Phone12 Smartphone de reconnaissance Pro Max avec 12 + 512 Go de grande mémoire Téléphone mobile Android Double cartes Sim Bluetooth Caméra Wifi Téléphone portable Android 10.0 Octa Core",Christmas present 2020 New 6.6 Inch 4G/5G Smartphone Phone12 Pro Max Recognition Smartphone with 12+512GB Large Memory Android Mobile Phone Dual Sim Cards Bluetooth Wifi Camera Mobile Phone Android 10.0 Octa Core,64.0,EUR,1648.0,EUR,77.0,10,,,2.9166666666666665,12.0,2,2,4,1,3,,,,,,white,auplug6g&128g,50,Livraison Express,19.0,true,,50,,,CN,Sell by Barbie,sellbybarbie,68 % avis positifs (99 notes),99,3.5454545454545454,5d610a4240defd7d5e8882fe,,,https://www.wish.com/c/5fbf77f57c0a49ec6ba21fe1,https://canary.contestimg.wish.com/api/webimage/5fbf77f57c0a49ec6ba21fe1-medium.jpg,5fbf77f57c0a49ec6ba21fe1
"Smartphone OPPO Find X2 Lite (16,3 cm (6,4 pouces) 128 Go de mémoire interne 8 Go de RAM 4260 mAh avec 30",OPPO Find X2 Lite Smartphone (16.3 cm (6.4 Inch) 128 GB Internal Memory 8 GB RAM 4260 mAh with 30,2053.0,EUR,2053.0,EUR,2488.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,15.0,false,,3,,,KR,KoreanBox,koreanbox,80 % avis positifs (10 notes),10,3.8,5feeec90695fde32a5447541,,,https://www.wish.com/c/60007469799fc71691a9c282,https://canary.contestimg.wish.com/api/webimage/60007469799fc71691a9c282-medium.jpg,60007469799fc71691a9c282
