title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
24/30/40/60 Copic Markers Sketch Set für Manga Design Double Head Brush Pen für School Art Supplies Design Markers Set,24/30/40/60 Copic Markers Sketch Set for Manga Design Double Head Brush Pen for School Art Supplies Design Markers Set,13.0,CHF,13.0,CHF,14,10,,,4.269230769230769,104.0,61,23,13,1,6,,,,,,black,24colors,50,Livraison Express,5.0,true,,50,,,CN,sunchunhua90,sunchunhua90,"(46,727 Bewertungen)",46727,3.9399918676568153,585a80fbf799dd4cae9a082a,,,https://www.wish.com/c/5d13a2291a67515484f75986,https://canary.contestimg.wish.com/api/webimage/5d13a2291a67515484f75986-medium.jpg,5d13a2291a67515484f75986
Ensemble stylo gel et marque-pages Philadelphia Eagles,Philadelphia Eagles Gel Pen and Bookmark Pack,18.0,CHF,18.0,CHF,19,8,,,5.0,8.0,8,0,0,0,0,,,,,,,,1,Livraison standard,6.0,false,,1,,,US,My Party Shirt,mypartyshirt,"92 % avis positifs (10,597 notes)",10597,4.409078040954987,5762fd263a698c3a1a331d7c,,,https://www.wish.com/c/5b454352d5d0751a4c1b67d2,https://canary.contestimg.wish.com/api/webimage/5b454352d5d0751a4c1b67d2-medium.jpg,5b454352d5d0751a4c1b67d2
120/80/60 / Color Art Supplies Kunstmarker Pen Manga Drawing School Supplies Alkoholbasierte Skizze Filzspitze Ölige Doppelbürstenstifte,120/80/60/ Color Art Supplies Art Markers Pen Manga Drawing School Supplies Alcohol Based Sketch Felt-Tip Oily Twin Brush Pens,3.35,CHF,4.0,CHF,3.69,1000,,,4.264150943396227,212.0,128,46,17,8,13,,,,,,,2color,50,Livraison standard,1.0,false,,50,,,CN,damengkuku,damengkuku,"(4,511 Bewertungen)",4511,4.114608734205276,5ae1b87bc1d5182bf8f15171,,,https://www.wish.com/c/5fa26d1192d57fdf05fae517,https://canary.contestimg.wish.com/api/webimage/5fa26d1192d57fdf05fae517-medium.jpg,5fa26d1192d57fdf05fae517
Les Tresors De Lily [N0854] - Coffret 'Sissi' noir chrome (stylo + porte-cles) | Box 'Sissi' black chrome (+ pen keyring). | Box 'Sissi' schwarz verchromt (+ stiftschlusselring).,Les Tresors De Lily [N0854] - Coffret 'Sissi' noir chrome (stylo + porte-cles) | Box 'Sissi' black chrome (+ pen keyring). | Box 'Sissi' schwarz verchromt (+ stiftschlusselring).,25.0,CHF,57.0,CHF,27.21,0,,,5.0,0.0,,,,,,,,,,,silver,na,2,Livraison Express,10.93,true,,2,,,FR,Les_Tresors_de_Lily,les_tresors_de_lily,"92 % avis positifs (7,527 notes)",7527,4.3782383419689115,59d33f6d21064f3aea32b028,,,https://www.wish.com/c/59ef8ffbb53ab25577990571,https://canary.contestimg.wish.com/api/webimage/59ef8ffbb53ab25577990571-medium.jpg,59ef8ffbb53ab25577990571
Les Tresors De Lily [J9936] - Set de 4 stylos fantaisie 'Chevaliers'  | Set of 4 pens fantasy 'Chevaliers' . | Set mit 4 stiften fantasy 'Chevaliers' .,Les Tresors De Lily [J9936] - Set de 4 stylos fantaisie 'Chevaliers'  | Set of 4 pens fantasy 'Chevaliers' . | Set mit 4 stiften fantasy 'Chevaliers' .,28.0,CHF,33.0,CHF,30.48,0,,,5.0,0.0,,,,,,,,,,,gold,na,15,Livraison Express,17.48,true,,15,,,FR,Les_Tresors_de_Lily,les_tresors_de_lily,"92 % avis positifs (7,527 notes)",7527,4.3782383419689115,59d33f6d21064f3aea32b028,,,https://www.wish.com/c/59ef8f9c89b87570c2278146,https://canary.contestimg.wish.com/api/webimage/59ef8f9c89b87570c2278146-medium.jpg,59ef8f9c89b87570c2278146
2020 Neuester professioneller nichtinvasiver Vernebler Hylauronsäure-Mikroinjektor Hyaluron Pen,2020 Newest Professional Noninvasive Nebulizer Hylauronic Acid Micro Injector Hyaluron Pen,12.0,CHF,12.0,CHF,13,10,,,3.522222222222222,90.0,44,8,12,3,23,,,,,,,1pcsampouleheads,50,Livraison standard,3.0,false,,50,,,CN,QinQin.ZHANG,qinqinzhang,"90% Positives Feedback (1,855 Bewertungen)",1855,4.307816711590297,5dd779dc29e78618060ff799,,,https://www.wish.com/c/5e81b79d16e173174840b5ec,https://canary.contestimg.wish.com/api/webimage/5e81b79d16e173174840b5ec-medium.jpg,5e81b79d16e173174840b5ec
Stylo Bille Charles Delon Marseille Collection Argent / Noir avec Encre Bleue,Charles Delon Marseille Collection Ballpoint Pen Silver/Black with Blue Ink,19.0,CHF,19.0,CHF,20,4,,,4.5,2.0,1,1,0,0,0,,,,,,silver/black,,18,Livraison standard,6.0,false,,18,,,US,Megafashion11,megafashion11,96 % avis positifs (84 notes),84,4.595238095238095,5f01f838b9d8b1a30e9a94d5,,,https://www.wish.com/c/5f0626134b92ab1dc2e60de2,https://canary.contestimg.wish.com/api/webimage/5f0626134b92ab1dc2e60de2-medium.jpg,5f0626134b92ab1dc2e60de2
"Outdoor Emergency AX Survival Kit, Outdoor Survival Gear Tool mit Klappmesser, Taktischer Stift für Camping, Wanderjagd, Klettern Multi-Tool Hatchet Survival Kit","Outdoor Emergency AXE Survival Kit,Outdoor Survival Gear Tool with Folding Knife,Tactical Pen for Camping,Hiking Hunting,Climbing Multi-Tool Hatchet Survival Kit ",26.0,CHF,26.0,CHF,28,10,,,4.192,125.0,76,24,10,3,12,,,,,,black,kit(13in1),50,Livraison standard,8.0,false,,50,true,Quantité limitée !,CN,Kepeak Team,kepeakteam,"91% Positives Feedback (7,944 Bewertungen)",7944,4.303625377643504,580df99bda3d8e196be5c571,,,https://www.wish.com/c/5fa372e12da0fa55bdabeefc,https://canary.contestimg.wish.com/api/webimage/5fa372e12da0fa55bdabeefc-medium.jpg,5fa372e12da0fa55bdabeefc
3pcs/set Stylo Lumière Encre Invisible Encre Imperméable à l'eau Pneu Permanent Marqueur à base d'huile de caoutchouc Marqueur Peinture Stylo Plume Qualité Superise Valentines Cadeau de la Saint-Valentin,3pcs/set Light Pen Invisible Ink Waterproof Permanent Tyre Rubber Oil Based Marker Paint Pen Quality  Superise Valentines Day Gift,4.0,CHF,19.0,CHF,4,20000,,,4.5221851145038165,4192.0,2985,687,339,86,95,,,,,,,3,50,Livraison standard,1.0,false,,50,,,CN,JH06,jh06,"93 % avis positifs (79,456 notes)",79456,4.369273560209424,56bd9de9cb792450af950e2d,,,https://www.wish.com/c/599a5c92cfbaf80f8f481bec,https://canary.contestimg.wish.com/api/webimage/599a5c92cfbaf80f8f481bec-medium.jpg,599a5c92cfbaf80f8f481bec
Rowin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8c2064eb31f9c6391a624f,,5f8c2064eb31f9c6391a624f
