title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
ZANZEA Femmes Mode En Velours Côtelé À Manches Longues O-Cou Ourlet Boutons Parti Casual Blouse Lâche Vintage T-shirt Tops Camisas Mujer,ZANZEA Women Fashion Corduroy Long Sleeve O-Neck Hem Buttons Party Casual Blouse Loose Vintage Tshirt Tops Camisas Mujer,10.0,CHF,15.0,CHF,11,1000,,,4.059040590405904,271.0,152,41,39,20,19,,,,,,blue,m,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,genau,genau,"(4,195 notes)",4195,4.14445768772348,58ae9e13ff7522089d48b521,,,https://www.wish.com/c/5ddba9a3aeb36e0517961805,https://canary.contestimg.wish.com/api/webimage/5ddba9a3aeb36e0517961805-medium.jpg,5ddba9a3aeb36e0517961805
Damenmode Langarm Open Front Pailletten Blazer Mantel,Women Fashion Long Sleeve Open Front Sequin Blazer Coat,16.0,CHF,146.0,CHF,17,1000,,,3.3705583756345177,197.0,84,21,26,16,50,,,,,,black,s,50,Livraison standard,5.0,false,,50,,,CN,hanhandedian,hanhandedian,"(2,380 Bewertungen)",2380,4.210504201680672,58afd738e37fc650654f81c1,,,https://www.wish.com/c/5e01a75c10805500343073ab,https://canary.contestimg.wish.com/api/webimage/5e01a75c10805500343073ab-medium.jpg,5e01a75c10805500343073ab
Damen Tops und Blusen 2019 Damen Tops Shirts Plus Size Damen Weiße Spitze Fledermaus Ärmel Tops Für Damen Kleidung Blusas 0033,Womens Tops And Blouses 2019 Ladies Tops Shirts Plus Size Women White Lace Bat Sleeve Tops For Women Clothing Blusas 0033,24.0,CHF,24.0,CHF,26,5,,,5.0,0.0,,,,,,,,,,,white,l,50,Livraison standard,12.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"(1,166 Bewertungen)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/6012d9f8364f473528c07a3c,https://canary.contestimg.wish.com/api/webimage/6012d9f8364f473528c07a3c-medium.jpg,6012d9f8364f473528c07a3c
Herbst Winter Damenmode Casual Tops Rose Print Warme Hoodies Loos Einfarbige Langarm-Sweatshirts Pullover,Autumn Winter Women’s Fashion Casual Tops Rose Print Warm Hoodies Loos Solid Color Long Sleeve Sweatshirts Pullovers,7.0,CHF,8.0,CHF,7,5000,,,3.361818181818182,1100.0,394,173,193,117,223,,,,,,blue,xs,3,Livraison standard,2.0,false,,50,,,CN,maligoodsmart est un vendeur agréé,lazzyshop,"(36,935 Bewertungen)",36935,4.103506159469338,5abb2cf26be8733b5bf6844f,,,https://www.wish.com/c/5d6741eba73a18041b413f7b,https://canary.contestimg.wish.com/api/webimage/5d6741eba73a18041b413f7b-medium.jpg,5d6741eba73a18041b413f7b
Plus Size Frauen Damen Casual Kurzarm V-Ausschnitt Slim T-Shirt Neue Mode Einfarbige Baumwolle Sport Yoga Top Grafik T-Shirts,Plus Size Women Ladies Casual Short Sleeve V-neck Slim T-shirt New Fashion Solid Color Cotton Sport Yoga Top Graphic Tees,5.32,CHF,9.0,CHF,5.86,1000,,,4.086261980830671,313.0,176,53,45,13,26,,,,,,yellow,xs,2,Livraison standard,1.0,false,,50,,,CN,houxiandaili,houxiandaili,"(5,631 Bewertungen)",5631,4.096963239211508,5addba5481260b1ddfffe5a3,,,https://www.wish.com/c/5de8e904a1211534d8886111,https://canary.contestimg.wish.com/api/webimage/5de8e904a1211534d8886111-medium.jpg,5de8e904a1211534d8886111
Mode Frauen Rücken Tief V Sexy Rückenlose Weste Tank Ärmellos Slim Tops Damen T-Shirt,Fashion Women Back Deep V Sexy Backless Vest Tank Sleeveless Slim Tops womens Tshirt,6.0,CHF,14.0,CHF,6,50000,,,3.338870431893688,9331.0,3066,1543,1876,1179,1667,,,,,,gray,s,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,,freebird,fashionshow,"(852,711 Bewertungen)",852711,4.103545046328709,52bd3ddb34067e4620a4c62d,,,https://www.wish.com/c/552f840fcea30816e52aabcf,https://canary.contestimg.wish.com/api/webimage/552f840fcea30816e52aabcf-medium.jpg,552f840fcea30816e52aabcf
Sweat à capuche court pour femmes Sweat court Pull uni à capuche Crop Tops Sexy Casual à manches longues à capuche,Womens Cropped Hoodie Short Sweatshirt Plain Pullover Hooded Crop Tops Sexy Casual Long Sleeve Hooded,8.0,CHF,8.0,CHF,8,1000,,,3.6912751677852347,149.0,70,24,20,9,26,,,,,,white,2xl,1,Livraison standard,3.0,false,,50,,,CN,1903,1903,"(3,088 notes)",3088,4.26360103626943,5aa0d89070cf69224afc0ed4,,,https://www.wish.com/c/5e69ebb6f05cb84faaccd552,https://canary.contestimg.wish.com/api/webimage/5e69ebb6f05cb84faaccd552-medium.jpg,5e69ebb6f05cb84faaccd552
7 Farben Vogue V-Ausschnitt Brief einfarbig Frauen Sommer Tops T-Shirts Damenmode Plus Size Slim Fit Tops T-Shirts,7 Colors Vogue V-neck Brief Solid Color Women Summer Tops T-shirts Ladies Fashion Plus Size Slim Fit Tops Tees,14.0,CHF,14.0,CHF,15,1000,,,3.923694779116466,249.0,130,46,26,18,29,,,,,,pink,s,50,Livraison standard,4.0,false,,50,,,CN,Lzara,lzara,"(59,401 Bewertungen)",59401,3.8749010959411456,55a641ddfa6d460ba65ce3b8,,,https://www.wish.com/c/5e37cead2a81e5291dc76c19,https://canary.contestimg.wish.com/api/webimage/5e37cead2a81e5291dc76c19-medium.jpg,5e37cead2a81e5291dc76c19
Nouveau été femmes mode hauts à la mode manches plume imprimé col en v hors épaule Blouse et chemises S-5XL,New Summer Women's Fashion Tops Trendy Sleeve Feather Print V-neck Off Shoulder Blouse &Shirts S-5XL ,2.55,CHF,3.0,CHF,2.81,10,,,3.870967741935484,31.0,14,6,7,1,3,,,,,,armygreen,xs,1,Livraison standard,1,false,,50,,,CN,Prosehome,prosehome,"85 % avis positifs (3,566 notes)",3566,4.0403813796971395,5c80bd2ab1ad6a6fc52a7eb3,,,https://www.wish.com/c/5eb4ed7dbdc7a421d6843127,https://canary.contestimg.wish.com/api/webimage/5eb4ed7dbdc7a421d6843127-medium.jpg,5eb4ed7dbdc7a421d6843127
Plus Size S-5XL Damen einfarbige Hemden Elegante Damen Top T-Shirts Langarmbluse,Plus Size S-5XL Women's Solid Color Shirts Elegant Ladies Top T Shirts Long Sleevel Blouse,6.0,CHF,23.0,CHF,6,1000,,,3.7883597883597884,189.0,93,33,21,14,28,,,,,,white,s,50,Livraison standard,2.0,false,,50,,,CN,Ahadadada,ahadadada,"87% Positives Feedback (2,894 Bewertungen)",2894,4.071527297857637,5ad1f14d40626a47903fe9df,,,https://www.wish.com/c/5cc082d3841c2b45d9d1da4d,https://canary.contestimg.wish.com/api/webimage/5cc082d3841c2b45d9d1da4d-medium.jpg,5cc082d3841c2b45d9d1da4d
